word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.27370554208755493
SALMON,G,12,223,145,126,0.27358734607696533
SALMON,G,11,225,146,123,0.27345478534698486
SALMON,F,12,219,133,119,0.2728762924671173
SALMON,G,13,221,143,129,0.27252644300460815
WHALE,N,30,69,114,155,0.2694244384765625
WHALE,M,29,72,113,155,0.2654407024383545
WHALE,N,29,75,128,163,0.264190673828125
WHALE,L,27,77,112,147,0.26302123069763184
WHALE,M,28,81,125,163,0.2628724277019501
GRIZZLY,A,1,82,48,27,0.2290894091129303
GRIZZLY,P,10,65,118,66,0.22623825073242188
GRIZZLY,P,11,63,120,66,0.22416135668754578
GRIZZLY,I,18,191,193,194,0.22396951913833618
GRIZZLY,B,1,115,71,37,0.22312232851982117
FLAMINGO,C,16,209,65,110,0.25783389806747437
FLAMINGO,E,14,217,110,120,0.2571175694465637
FLAMINGO,B,17,207,55,102,0.256283164024353
FLAMINGO,B,16,207,57,93,0.25389528274536133
FLAMINGO,C,15,207,67,99,0.2535770535469055
FOX,E,3,223,136,44,0.26665571331977844
FOX,E,5,217,125,46,0.2664628028869629
FOX,E,4,218,131,42,0.26536428928375244
FOX,E,6,213,114,50,0.26433807611465454
FOX,D,7,211,99,50,0.2621608376502991
CRICKET,P,17,81,153,68,0.2313622683286667
CRICKET,O,14,77,150,66,0.23122477531433105
CRICKET,P,16,78,152,70,0.23117578029632568
CRICKET,O,15,81,153,73,0.23069989681243896
CRICKET,P,18,83,155,77,0.2302830070257187
CANARY,L,1,229,216,45,0.35091379284858704
CANARY,L,2,228,217,53,0.3488048315048218
CANARY,K,2,234,219,67,0.34739750623703003
CANARY,J,2,235,211,51,0.3458695411682129
CANARY,K,3,234,219,71,0.3455784022808075
PIG,H,15,218,165,158,0.2571645975112915
PIG,G,15,222,144,155,0.2545592188835144
PIG,F,15,218,127,144,0.24911534786224365
PIG,H,14,222,163,143,0.24699623882770538
PIG,G,14,220,142,135,0.2456807792186737
TIGER,I,18,191,193,194,0.2231510877609253
TIGER,P,10,65,118,66,0.21660089492797852
TIGER,P,12,67,127,70,0.21653756499290466
TIGER,P,22,90,158,106,0.21637719869613647
TIGER,P,11,63,120,66,0.2156500667333603
LADYBUG,I,18,191,193,194,0.21937622129917145
LADYBUG,A,15,205,59,66,0.1808781921863556
LADYBUG,A,14,203,57,56,0.18085148930549622
LADYBUG,B,12,209,65,59,0.17892388999462128
LADYBUG,B,13,201,60,63,0.17649248242378235
FROG,N,9,116,167,70,0.2665727138519287
FROG,P,17,81,153,68,0.2657628059387207
FROG,N,10,106,159,69,0.26497989892959595
FROG,N,8,126,173,68,0.2642638385295868
FROG,O,14,77,150,66,0.26426345109939575
AXOLOTL,I,18,191,193,194,0.1828380972146988
AXOLOTL,N,30,69,114,155,0.15921546518802643
AXOLOTL,H,16,200,164,172,0.15913647413253784
AXOLOTL,M,28,81,125,163,0.1589808464050293
AXOLOTL,M,29,72,113,155,0.1577778458595276
TOAD,L,30,66,90,141,0.18973219394683838
TOAD,L,29,73,99,146,0.18750816583633423
TOAD,K,29,68,88,139,0.18592911958694458
TOAD,K,28,68,91,135,0.18235552310943604
TOAD,J,28,70,87,138,0.1818666160106659
LEMON,K,4,235,222,79,0.35408520698547363
LEMON,L,2,228,217,53,0.35302096605300903
LEMON,L,1,229,216,45,0.35287001729011536
LEMON,K,2,234,219,67,0.35265612602233887
LEMON,K,3,234,219,71,0.35168182849884033
LIME,M,5,194,204,68,0.4308522045612335
LIME,N,5,154,184,62,0.42997419834136963
LIME,N,6,147,183,68,0.42972344160079956
LIME,N,4,161,186,60,0.4290728271007538
LIME,N,1,180,193,51,0.42874324321746826
KIWI,N,5,154,184,62,0.3206790089607239
KIWI,N,6,147,183,68,0.320378839969635
KIWI,N,4,161,186,60,0.3201681971549988
KIWI,N,7,130,175,68,0.31901758909225464
KIWI,N,3,170,189,58,0.3189580738544464
PUMPKIN,E,3,223,136,44,0.3112642765045166
PUMPKIN,E,4,218,131,42,0.31048792600631714
PUMPKIN,E,5,217,125,46,0.30676743388175964
PUMPKIN,E,2,217,140,41,0.3056331276893616
PUMPKIN,F,6,229,154,76,0.30381208658218384
ZUCCHINI,P,10,65,118,66,0.28251534700393677
ZUCCHINI,P,12,67,127,70,0.2819308638572693
ZUCCHINI,P,11,63,120,66,0.2815681993961334
ZUCCHINI,P,9,70,126,68,0.2803295850753784
ZUCCHINI,P,13,70,136,71,0.27811649441719055
GRAPE,C,27,105,59,118,0.37673085927963257
GRAPE,A,29,109,61,122,0.37668049335479736
GRAPE,B,28,109,61,122,0.37668049335479736
GRAPE,A,27,119,61,121,0.3765158951282501
GRAPE,A,28,116,62,121,0.37649354338645935
CUCUMBER,P,16,78,152,70,0.27280616760253906
CUCUMBER,P,12,67,127,70,0.27262163162231445
CUCUMBER,P,18,83,155,77,0.2724137604236603
CUCUMBER,P,15,70,145,67,0.27213481068611145
CUCUMBER,O,15,81,153,73,0.2721105217933655
COCONUT,P,22,90,158,106,0.22301757335662842
COCONUT,P,23,88,158,113,0.22193849086761475
COCONUT,O,22,100,163,117,0.21754823625087738
COCONUT,P,24,87,159,119,0.21706900000572205
COCONUT,P,12,67,127,70,0.21578705310821533
EGGPLANT,B,27,111,59,115,0.28344109654426575
EGGPLANT,C,27,105,59,118,0.28253060579299927
EGGPLANT,D,25,109,64,118,0.2820392847061157
EGGPLANT,A,28,116,62,121,0.28183242678642273
EGGPLANT,A,27,119,61,121,0.28179076313972473
ASPARAGUS,I,18,191,193,194,0.2258421778678894
ASPARAGUS,P,10,65,118,66,0.22555853426456451
ASPARAGUS,P,9,70,126,68,0.22415265440940857
ASPARAGUS,P,8,77,130,68,0.22338926792144775
ASPARAGUS,P,12,67,127,70,0.22301769256591797
PEACH,H,11,230,159,119,0.3951997458934784
PEACH,H,12,227,160,127,0.39370447397232056
PEACH,H,10,235,159,109,0.3905281722545624
PEACH,H,13,224,161,135,0.3860187530517578
PEACH,G,10,227,147,113,0.38412579894065857
APPLE,N,6,147,183,68,0.27195799350738525
APPLE,N,5,154,184,62,0.2718810439109802
APPLE,N,4,161,186,60,0.27052927017211914
APPLE,N,7,130,175,68,0.26919272541999817
APPLE,N,3,170,189,58,0.2685210406780243
EGG,L,26,85,133,166,0.2633271813392639
EGG,N,29,75,128,163,0.2629850506782532
EGG,K,25,95,135,166,0.2622665762901306
EGG,M,28,81,125,163,0.2618653476238251
EGG,M,27,75,130,160,0.26075810194015503
BANANA,L,1,229,216,45,0.2891206741333008
BANANA,K,2,234,219,67,0.28802725672721863
BANANA,J,3,239,213,61,0.28749632835388184
BANANA,L,2,228,217,53,0.287345826625824
BANANA,K,3,234,219,71,0.2866642475128174
TOMATO,B,12,209,65,59,0.303328275680542
TOMATO,A,10,205,61,45,0.3028300702571869
TOMATO,A,11,205,61,45,0.3028300702571869
TOMATO,B,11,207,67,54,0.301869660615921
TOMATO,C,10,213,78,66,0.30155742168426514
BEET,A,20,175,49,110,0.3089655637741089
BEET,A,19,184,48,108,0.30728161334991455
BEET,A,21,168,55,115,0.3071174919605255
BEET,B,20,179,66,121,0.30372658371925354
BEET,A,22,159,58,117,0.3034858703613281
PEARL,I,12,220,198,142,0.23191693425178528
PEARL,H,18,174,159,174,0.23122970759868622
PEARL,H,19,168,152,171,0.23067690432071686
PEARL,I,11,225,195,128,0.22988733649253845
PEARL,I,13,207,190,146,0.2296060472726822
AMETHYST,C,30,85,50,118,0.3553798198699951
AMETHYST,D,28,91,56,119,0.3546488285064697
AMETHYST,A,30,97,59,117,0.3542245328426361
AMETHYST,D,29,82,52,118,0.3541809320449829
AMETHYST,B,30,94,58,120,0.3541432321071625
SAPPHIRE,I,30,48,65,124,0.3646538257598877
SAPPHIRE,H,30,49,56,116,0.36313068866729736
SAPPHIRE,J,30,59,68,123,0.3576267957687378
SAPPHIRE,I,29,62,71,129,0.3548792600631714
SAPPHIRE,M,30,67,101,147,0.35419580340385437
GOLD,G,1,221,168,33,0.37197059392929077
GOLD,I,9,231,195,106,0.3681684732437134
GOLD,F,1,220,158,32,0.36813822388648987
GOLD,H,1,230,186,38,0.3643711507320404
GOLD,I,8,235,194,96,0.3640349507331848
RUBY,A,17,197,53,86,0.3260067105293274
RUBY,A,18,192,50,97,0.32530778646469116
RUBY,B,16,207,57,93,0.3208926320075989
RUBY,A,19,184,48,108,0.32075995206832886
RUBY,A,20,175,49,110,0.3194597363471985
JADE,P,24,87,159,119,0.31161555647850037
JADE,P,23,88,158,113,0.31012046337127686
JADE,P,25,85,160,130,0.30868545174598694
JADE,O,23,98,163,127,0.3073625862598419
JADE,O,24,93,164,133,0.3070148229598999
TILE,B,4,150,70,45,0.3004278540611267
TILE,B,5,158,65,44,0.29940319061279297
TILE,C,4,170,82,47,0.29865387082099915
TILE,B,6,171,61,45,0.296207070350647
TILE,C,5,180,80,46,0.29593366384506226
LAPIS LAZULI,G,29,57,53,119,0.32287052273750305
LAPIS LAZULI,H,30,49,56,116,0.32070624828338623
LAPIS LAZULI,H,29,59,64,124,0.31928443908691406
LAPIS LAZULI,G,30,51,47,105,0.31873756647109985
LAPIS LAZULI,I,30,48,65,124,0.31768184900283813
AMBER,E,2,217,140,41,0.30503374338150024
AMBER,F,2,230,162,42,0.3049246668815613
AMBER,F,3,228,158,50,0.3046169579029083
AMBER,G,3,235,169,52,0.3029930591583252
AMBER,F,4,230,160,63,0.3017745018005371
BRICK,B,4,150,70,45,0.2470172792673111
BRICK,B,3,136,67,39,0.2442132532596588
BRICK,B,5,158,65,44,0.24376556277275085
BRICK,C,4,170,82,47,0.24156306684017181
BRICK,B,6,171,61,45,0.2399418205022812
EMERALD,P,24,87,159,119,0.3684329390525818
EMERALD,P,25,85,160,130,0.3671530485153198
EMERALD,P,13,70,136,71,0.3669517934322357
EMERALD,P,14,70,138,69,0.3664201498031616
EMERALD,P,11,63,120,66,0.3663395643234253
SUNFLOWER,H,2,237,188,52,0.21159444749355316
SUNFLOWER,I,2,235,196,46,0.21028776466846466
SUNFLOWER,I,18,191,193,194,0.21027013659477234
SUNFLOWER,H,3,237,186,58,0.20939341187477112
SUNFLOWER,J,3,239,213,61,0.2091619372367859
BASIL,O,14,77,150,66,0.22567883133888245
BASIL,P,15,70,145,67,0.22520074248313904
BASIL,P,17,81,153,68,0.2248060703277588
BASIL,P,16,78,152,70,0.2246166318655014
BASIL,O,15,81,153,73,0.22279441356658936
MALLOW,G,19,167,138,159,0.2809513211250305
MALLOW,H,17,192,166,175,0.2782020568847656
MALLOW,G,20,152,123,154,0.27807706594467163
MALLOW,H,19,168,152,171,0.27690038084983826
MALLOW,F,18,178,127,153,0.276652991771698
LAVENDER,H,21,142,131,158,0.3552951514720917
LAVENDER,H,22,125,121,154,0.3537418842315674
LAVENDER,H,20,154,142,164,0.35314077138900757
LAVENDER,H,19,168,152,171,0.3504898250102997
LAVENDER,H,23,112,109,149,0.3481004536151886
POPPY,C,11,211,78,73,0.2797962427139282
POPPY,C,12,210,78,76,0.2795417010784149
POPPY,C,10,213,78,66,0.2780572772026062
