,Words,Stat,p-value
0,AMBER,6.650653551437494,0.012784883725442175
1,AMETHYST,4.912580669164402,0.02170778513202698
2,APPLE,15.229228447983752,0.00030705456365998085
3,ASPARAGUS,8.59288057420536,0.006734300868332155
4,AUTUMN,31.290938377774555,4.964311583133263e-05
5,AXOLOTL,1.5821623406628937,0.23797975969363394
6,BANANA,0.2045293407788535,0.8174232372315722
7,BARBIE,10.313641854959322,0.002475152489205823
8,BASIL,0.9289948380207869,0.41133701452629
9,BEET,0.9437076936117051,0.41259455798974043
10,BLAS (Y EPI),6.90936309511215,0.015197774817283682
11,BLOOD,9.457407338194496,0.0019448312831682468
12,BRICK,0.6698878175380383,0.5247671928122907
13,BRUSH,58.03810733053862,1.4299020392183337e-06
14,CANARY,0.36633752197794217,0.7014165930909022
15,CARNATION,2.300358431647482,0.12613114279874382
16,COCONUT,3.605447216179662,0.05098293701868184
17,COOKIE MONSTER,4.063267719386205,0.05110059744744988
18,CORAL,6.094101024705245,0.009526147756370285
19,CRICKET,33.23471334409724,4.824806489223121e-06
20,CUCUMBER,4.74592755436929,0.02529425144283226
21,DANGER,2598.4290324957906,2.8643676874828827e-08
22,DISGUST,0.27532442578710276,0.7628509037025935
23,ECOLOGY,161.1010545644632,2.4716562685433985e-08
24,EGG,9.177726562690857,0.0028396436637599942
25,EGGPLANT,3.477141655892339,0.07605774465061466
26,ELMO,8.306605528235782,0.006331647818778374
27,EMERALD,29.253857428264226,1.0004761094917214e-05
28,EPI (Y BLAS),11.31307706988812,0.004655754718445593
29,FEMINISM,23.842064041603766,6.605935882075809e-05
30,FIRE,2.4942219848270577,0.11610262513274083
31,FLAMINGO,31.904831250555276,4.5649276896764235e-05
32,FLASH,47.863768174281226,1.9104123128999007e-06
33,FOX,46.14999547970748,1.2440780271516516e-06
34,FROG,4.5328757037146055,0.02643739836084713
35,GOLD,2.200528503728679,0.13964839367548065
36,GRAPE,3.9397988379143154,0.048377333957740465
37,GRASS,11.820914582069566,0.0004620817995005799
38,GRINCH,13.242238367962265,0.0015468898517476681
39,GRIZZLY,2.1368483043183963,0.15256215163086617
40,HAPINESS,333.42493253835386,6.760036974640116e-12
41,HOPE,5.674755613206457,0.012947276978683364
42,HULK,126.78113395277025,8.513129978737766e-09
43,HURRICANE,6.498852765955982,0.009273979502763208
44,JADE,4.171495025222919,0.034831204141708816
45,KIWI,1.2599650374894518,0.32508017395474176
46,LADYBUG,1.8078056673722727,0.20289702476825955
47,LAPIS LAZULI,3.5487005093101294,0.04903263669699731
48,LAVENDER,1.0146178989038936,0.38136079761465536
49,LEMON,3.9991259999728324,0.04228428976506493
50,LIME,0.5270420188277026,0.6045351901236826
51,LONELINESS,0.4920757003820263,0.6222960264487997
52,MALLOW,2.2143566910326506,0.15554152634770024
53,MINT,61.455305179958565,2.88174284435172e-09
54,MOSS,34.83444548822438,1.0063464700227343e-05
55,MUD,6.732865987294958,0.010948395897321772
56,PEACE,4.800984437930731,0.02583798349690647
57,PEACH,137.82287407802932,2.2154122980566626e-10
58,PEARL,5.129253067698744,0.015915677336304168
59,PETER PAN,160.93269684997324,7.16443937509581e-09
60,PIG,64.33604824639195,1.175213260040664e-08
61,PIKACHU,3.2978428174148884,0.07943721360234146
62,POND,3.879099753485279,0.047741807722104124
63,POPPY,4.478125766253033,0.02639471908957869
64,PUMPKIN,375.91377664516915,1.5035417355591107e-11
65,RAGE,181.60851202456024,3.0734526035303134e-11
66,RELAX,1.0942396847167486,0.36008374252214304
67,RUBY,0.7964741428683156,0.46704164812374116
68,SADNESS,5.016796852634513,0.038728513198369674
69,SALMON,0.03955892952051571,0.9613132431947801
70,SAND,5.991812228672699,0.010727979469480342
71,SAPPHIRE,1.8885267997363109,0.19053720571169575
72,SEA,8.73430905964811,0.003940840572404847
73,SHAME,4.216014146907269,0.033828573141334806
74,SHRECK,3.826670757966229,0.06270974644632443
75,SIMPSON,216.77035317242508,8.554046360131906e-12
76,SKIN,52.07630200684623,2.4584086188994547e-06
77,SKY,17.452345377816187,0.0001575587876899709
78,SMURF,0.5159540349455011,0.6106888500856517
79,SONIC,3.7411874339631286,0.04378178293777313
80,SPRING,4.804937194392296,0.0273964201346798
81,STITCH,3.1114080729335396,0.08899564774413204
82,SUBMARINE,7.412516980560676,0.010605978527972404
83,SUMMER,2.946866176287236,0.08135821740906013
84,SUNFLOWER,11.856800204900283,0.001172887724886662
85,SUNRISE,10.655809020353578,0.0010011672412186812
86,SUNSET,76.88072518137689,8.490663314653091e-07
87,THUNDERBOLT,6.263220133299737,0.011406264430265156
88,TIGER,69.99847329806526,2.4732093040213954e-08
89,TILE,36.87975358760119,4.3012322614721654e-07
90,TOAD,2.416989890000943,0.12540115915412253
91,TOMATO,1.6994626813047162,0.23651739488105583
92,TOXIC,1.68547380507108,0.22640375331343254
93,TRACTOR,32.848884345930884,4.023320304991085e-05
94,WHALE,13.05734957192152,0.0002704815126076676
95,WHEAT,6.4122362447747765,0.01054818937738733
96,WINTER,1.8354171205491705,0.1985679368474178
97,WITCHCRAFT,33.66929235205469,7.221453876438133e-06
98,WOOD,11.11820280316263,0.0008174430406304722
99,ZUCCHINI,6.8129426745210795,0.008583863720221019
