,Words,Stat,p-value
0,AMBER,6.103815231820442,0.016469877361209084
1,AMETHYST,0.8358346420730483,0.4515847406980563
2,APPLE,9.663696573323405,0.002308271221562186
3,ASPARAGUS,12.405993066250295,0.0019559420826682494
4,AUTUMN,59.392671177831,2.822720101103293e-06
5,AXOLOTL,3.78860672490911,0.046575432993418375
6,BANANA,0.9130297198911053,0.42392272879345727
7,BARBIE,1.715335786861411,0.22119663161758063
8,BASIL,6.000449298941042,0.009092393443346558
9,BEET,1.5112318244924612,0.2545302134806453
10,BLAS (Y EPI),2.620875560951741,0.12678154153206134
11,BLOOD,2.4066406387194106,0.12196505993804829
12,BRICK,0.5279922767111541,0.5991503924730781
13,BRUSH,32.452426774075086,2.4331969403657006e-05
14,CANARY,6.628142964086131,0.01291594241003824
15,CARNATION,0.2861555113563653,0.7541698056924205
16,COCONUT,60.866261279699984,3.316407193310056e-08
17,COOKIE MONSTER,1.041436028747086,0.388283660856932
18,CORAL,8.980003683667627,0.0019727615629439033
19,CRICKET,5.942833333925998,0.013535701512250808
20,CUCUMBER,26.939596582130644,1.0839869619028164e-05
21,DANGER,698.572973124226,7.593499330438291e-07
22,DISGUST,1.2525825732172529,0.31233175341957886
23,ECOLOGY,34.07780648924627,3.429249877973106e-05
24,EGG,6.785574259699691,0.008703866994163811
25,EGGPLANT,4.29549824635488,0.04900995496019567
26,ELMO,3.3329788268389264,0.0738593107398392
27,EMERALD,4.727854802596485,0.026987099883537313
28,EPI (Y BLAS),0.21785939140967384,0.8088566755975435
29,FEMINISM,3.2233342097214237,0.07578440202619807
30,FIRE,2.1799322420391807,0.14754248555843308
31,FLAMINGO,51.341086946705666,5.504576546910833e-06
32,FLASH,5.34657421383755,0.021863463109867864
33,FOX,3.9102363958208577,0.04682124664222842
34,FROG,12.707423604986575,0.00042161264051909786
35,GOLD,2.8457815560092414,0.08435466550247361
36,GRAPE,14.952510608651156,0.0005514308852661021
37,GRASS,32.816582883124724,6.863152346436863e-07
38,GRINCH,11.560848056899161,0.0025086331601177347
39,GRIZZLY,4.851980576018436,0.023710186773728048
40,HAPINESS,161.21637322814527,6.671082575238074e-10
41,HOPE,7.412582260945069,0.004844681640808091
42,HULK,20.419679638950775,0.00013719624325880808
43,HURRICANE,4.4060701415438865,0.03123893358289409
44,JADE,1.2494084180548821,0.3131902567845931
45,KIWI,36.756693341387646,2.4616115501197022e-05
46,LADYBUG,3.4181675972417844,0.06414051467324966
47,LAPIS LAZULI,2.0394449172442983,0.15762225094899507
48,LAVENDER,2.911267604620096,0.07890797946126449
49,LEMON,0.8963430645560602,0.4302334975276686
50,LIME,4.410935197469401,0.039207061270458365
51,LONELINESS,3.415044319581012,0.06427195782353912
52,MALLOW,7.334617049149361,0.009459948229176618
53,MINT,15.987945425609114,7.116730813638839e-05
54,MOSS,62.952817400639525,4.3410561756385135e-07
55,MUD,116.82377264378125,1.3589794956025969e-08
56,PEACE,1.3703521177980769,0.28607518298101053
57,PEACH,13.775502670755985,0.0004016620048260533
58,PEARL,0.44489915852902484,0.6470792688330327
59,PETER PAN,22.609089593367198,0.00012686373798254102
60,PIG,9.132243155344732,0.002025100379406841
61,PIKACHU,5.869010797302986,0.02060155114439155
62,POND,22.15084022847758,6.494473661367017e-05
63,POPPY,0.3278840735654971,0.724660057980232
64,PUMPKIN,31.940682981564894,1.5641436481250715e-05
65,RAGE,78.50918875074451,1.1320695048055995e-08
66,RELAX,1.9658864746185811,0.17448166154294542
67,RUBY,1.0240900501649641,0.38024295649176343
68,SADNESS,6.789996156696368,0.01888664448263777
69,SALMON,2.430615804522605,0.121797429756059
70,SAND,10.945772001196442,0.000881143736842116
71,SAPPHIRE,2.098743638610932,0.16222183534313928
72,SEA,1.8210958192366937,0.20079986590674115
73,SHAME,2.884335606323881,0.08517350149906378
74,SHRECK,5.126275380629361,0.03265081644370804
75,SIMPSON,2.5851024436327523,0.10848185920549791
76,SKIN,4.606112504598416,0.03521941067838508
77,SKY,9.080862218860549,0.0029615629189503334
78,SMURF,2.4716398878314543,0.12986215291172187
79,SONIC,26.8148131546775,3.995934647282873e-06
80,SPRING,5.897105992427524,0.015043703837943956
81,STITCH,2.8420576046494443,0.10536585145779842
82,SUBMARINE,1.8294504207876476,0.21033969452830203
83,SUMMER,349.92196489999765,6.228351168147128e-14
84,SUNFLOWER,3.8188383978914375,0.04958342769800672
85,SUNRISE,1.6937371096577796,0.21341587447455856
86,SUNSET,7.84292376444947,0.008943973395930116
87,THUNDERBOLT,2.7327489485379917,0.09954916746381803
88,TIGER,40.18827796392974,9.437830508218781e-07
89,TILE,18.02733997612181,5.034459402641911e-05
90,TOAD,14.156899755380667,0.0004340323317010286
91,TOMATO,32.683685632894054,7.46225964431968e-05
92,TOXIC,1.2709988706327189,0.3157497673118381
93,TRACTOR,52.41500463389507,5.008676709938875e-06
94,WHALE,5.364000403170304,0.014226072582317895
95,WHEAT,11.675261405251412,0.0010394879360282605
96,WINTER,1.2362478856173986,0.3224700371583278
97,WITCHCRAFT,5.6115750475077055,0.017503816772249547
98,WOOD,3.7420521303861176,0.04500906178013242
99,ZUCCHINI,9.692260693656452,0.002280763052114998
