word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.15061131119728088
SALMON,G,11,225,146,123,0.15048517286777496
SALMON,H,13,224,161,135,0.15046098828315735
SALMON,H,12,227,160,127,0.15035127103328705
SALMON,G,10,227,147,113,0.14940308034420013
WHALE,M,27,75,130,160,0.14972473680973053
WHALE,O,30,75,135,167,0.149358332157135
WHALE,N,28,77,141,173,0.14899827539920807
WHALE,O,29,75,143,168,0.1486460566520691
WHALE,M,26,81,147,175,0.1485837697982788
GRIZZLY,I,19,164,176,185,0.1384771466255188
GRIZZLY,C,1,143,92,43,0.13403311371803284
GRIZZLY,A,1,82,48,27,0.1339907944202423
GRIZZLY,I,20,148,161,177,0.1339196264743805
GRIZZLY,B,1,115,71,37,0.13359403610229492
FLAMINGO,H,14,222,163,143,0.14223644137382507
FLAMINGO,H,13,224,161,135,0.14036092162132263
FLAMINGO,G,12,223,145,126,0.13717597723007202
FLAMINGO,G,11,225,146,123,0.13677498698234558
FLAMINGO,H,15,218,165,158,0.13643422722816467
FOX,D,3,191,112,45,0.1481384038925171
FOX,D,2,188,118,47,0.14781925082206726
FOX,C,3,164,89,46,0.14747697114944458
FOX,C,2,150,87,44,0.14730599522590637
FOX,H,9,229,163,106,0.14730031788349152
CRICKET,I,13,207,190,146,0.1463172882795334
CRICKET,I,12,220,198,142,0.14609889686107635
CRICKET,I,14,209,200,158,0.14571775496006012
CRICKET,I,11,225,195,128,0.1453797072172165
CRICKET,I,15,204,200,166,0.14508657157421112
CANARY,J,3,239,213,61,0.1524125039577484
CANARY,K,4,235,222,79,0.1523505002260208
CANARY,K,2,234,219,67,0.1522701233625412
CANARY,L,1,229,216,45,0.15197665989398956
CANARY,K,3,234,219,71,0.15192946791648865
PIG,I,19,164,176,185,0.14040011167526245
PIG,H,13,224,161,135,0.1384519636631012
PIG,H,12,227,160,127,0.13836780190467834
PIG,I,18,191,193,194,0.13665959239006042
PIG,H,14,222,163,143,0.13662667572498322
TIGER,H,9,229,163,106,0.138030543923378
TIGER,H,8,230,167,96,0.13781429827213287
TIGER,G,7,230,158,91,0.13623210787773132
TIGER,G,6,228,159,82,0.13554665446281433
TIGER,F,6,229,154,76,0.13449130952358246
LADYBUG,C,10,213,78,66,0.1341271996498108
LADYBUG,C,11,211,78,73,0.13350221514701843
LADYBUG,B,12,209,65,59,0.13337302207946777
LADYBUG,B,11,207,67,54,0.13310210406780243
LADYBUG,C,12,210,78,76,0.13291043043136597
FROG,I,16,194,198,180,0.15514865517616272
FROG,J,14,190,196,156,0.15425480902194977
FROG,J,13,197,200,155,0.15382477641105652
FROG,J,15,195,203,165,0.15357881784439087
FROG,J,16,187,201,178,0.1532944142818451
AXOLOTL,I,18,191,193,194,0.13459512591362
AXOLOTL,H,22,125,121,154,0.1318042278289795
AXOLOTL,I,24,103,115,151,0.13144968450069427
AXOLOTL,I,23,115,126,158,0.1313675343990326
AXOLOTL,H,23,112,109,149,0.1303602159023285
TOAD,C,2,150,87,44,0.1515878140926361
TOAD,C,1,143,92,43,0.15149655938148499
TOAD,B,2,128,70,41,0.15073488652706146
TOAD,G,9,225,149,105,0.15035380423069
TOAD,H,12,227,160,127,0.1501709520816803
LEMON,K,4,235,222,79,0.17149293422698975
