word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,I,20,148,161,177,0.42380818724632263
SALMON,H,14,222,163,143,0.4227789044380188
SALMON,G,12,223,145,126,0.4224856495857239
SALMON,H,15,218,165,158,0.4220760762691498
SALMON,G,13,221,143,129,0.422039270401001
WHALE,M,30,67,101,147,0.42369651794433594
WHALE,L,28,74,106,150,0.4216373562812805
WHALE,I,22,124,140,165,0.4195295572280884
WHALE,J,19,165,194,195,0.419320672750473
WHALE,J,25,91,118,155,0.41905105113983154
GRIZZLY,I,18,191,193,194,0.42137259244918823
GRIZZLY,J,24,102,130,162,0.40725764632225037
GRIZZLY,M,30,67,101,147,0.40643349289894104
GRIZZLY,L,27,77,112,147,0.4045870006084442
GRIZZLY,N,30,69,114,155,0.4038882255554199
FLAMINGO,G,14,220,142,135,0.4429950714111328
FLAMINGO,H,15,218,165,158,0.4416514039039612
FLAMINGO,F,14,217,130,129,0.4401416778564453
FLAMINGO,G,13,221,143,129,0.4399026036262512
FLAMINGO,F,13,213,130,122,0.4383999705314636
FOX,I,30,48,65,124,0.41458579897880554
FOX,A,10,205,61,45,0.41406625509262085
FOX,A,11,205,61,45,0.41406625509262085
FOX,I,17,192,196,189,0.4140024185180664
FOX,A,13,194,54,46,0.4126245379447937
CRICKET,I,18,191,193,194,0.4508069157600403
CRICKET,I,17,192,196,189,0.44837790727615356
CRICKET,O,14,77,150,66,0.4448131024837494
CRICKET,P,17,81,153,68,0.4446638524532318
CRICKET,P,16,78,152,70,0.44342780113220215
CANARY,N,1,180,193,51,0.4152985215187073
CANARY,M,4,202,207,62,0.41484469175338745
CANARY,M,3,206,206,55,0.4147314429283142
CANARY,M,2,208,206,51,0.41452720761299133
CANARY,N,2,178,191,54,0.41428422927856445
PIG,H,15,218,165,158,0.4236108362674713
PIG,H,14,222,163,143,0.4192371964454651
PIG,I,18,191,193,194,0.4151417911052704
PIG,I,30,48,65,124,0.4145103991031647
PIG,G,14,220,142,135,0.41325056552886963
TIGER,I,18,191,193,194,0.43079912662506104
TIGER,I,17,192,196,189,0.418741375207901
TIGER,I,15,204,200,166,0.41286414861679077
TIGER,I,14,209,200,158,0.41052716970443726
TIGER,A,10,205,61,45,0.4070941209793091
LADYBUG,I,18,191,193,194,0.4327760636806488
LADYBUG,I,17,192,196,189,0.4199579358100891
LADYBUG,N,29,75,128,163,0.41958868503570557
LADYBUG,M,27,75,130,160,0.4194067120552063
LADYBUG,L,27,77,112,147,0.41871657967567444
FROG,I,18,191,193,194,0.4153226315975189
FROG,N,7,130,175,68,0.41281118988990784
FROG,N,8,126,173,68,0.41262850165367126
FROG,N,6,147,183,68,0.40960246324539185
FROG,N,5,154,184,62,0.406930148601532
AXOLOTL,J,19,165,194,195,0.4110749363899231
AXOLOTL,J,21,134,171,185,0.40952637791633606
AXOLOTL,J,22,123,155,177,0.4058902859687805
