word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,G,11,225,146,123,0.20907337963581085
SALMON,H,14,222,163,143,0.2089426964521408
SALMON,F,11,223,134,112,0.208363875746727
SALMON,G,12,223,145,126,0.20824725925922394
SALMON,H,13,224,161,135,0.20793139934539795
WHALE,J,19,165,194,195,0.1786903738975525
WHALE,L,23,101,176,189,0.1779351532459259
WHALE,J,20,146,185,193,0.1776825189590454
WHALE,M,25,86,163,179,0.17765946686267853
WHALE,P,29,82,157,165,0.17748551070690155
GRIZZLY,J,19,165,194,195,0.1977793276309967
GRIZZLY,I,19,164,176,185,0.19750536978244781
GRIZZLY,J,18,180,202,194,0.195800319314003
GRIZZLY,J,17,181,202,191,0.19346553087234497
GRIZZLY,I,20,148,161,177,0.19054633378982544
FLAMINGO,D,11,208,96,88,0.1851760447025299
FLAMINGO,F,12,219,133,119,0.18515171110630035
FLAMINGO,G,13,221,143,129,0.18513116240501404
FLAMINGO,F,11,223,134,112,0.18513019382953644
FLAMINGO,G,12,223,145,126,0.18484947085380554
FOX,I,20,148,161,177,0.18670016527175903
FOX,D,7,211,99,50,0.18233031034469604
FOX,D,6,202,97,45,0.182028666138649
FOX,D,8,205,95,49,0.18173497915267944
FOX,E,7,212,113,63,0.1817024052143097
CRICKET,P,1,112,140,60,0.18729574978351593
CRICKET,P,12,67,127,70,0.18703316152095795
CRICKET,P,4,102,139,65,0.18677638471126556
CRICKET,P,3,107,142,64,0.18662482500076294
CRICKET,P,2,115,145,62,0.1865280270576477
CANARY,L,1,229,216,45,0.21743443608283997
CANARY,K,2,234,219,67,0.21625584363937378
CANARY,L,2,228,217,53,0.21594896912574768
CANARY,J,2,235,211,51,0.21594852209091187
CANARY,J,3,239,213,61,0.21594756841659546
PIG,H,15,218,165,158,0.18354222178459167
PIG,H,14,222,163,143,0.1813431829214096
PIG,G,13,221,143,129,0.179975226521492
PIG,G,12,223,145,126,0.17953366041183472
PIG,G,14,220,142,135,0.17891423404216766
TIGER,D,7,211,99,50,0.17754393815994263
TIGER,D,6,202,97,45,0.17632293701171875
TIGER,E,6,213,114,50,0.17621973156929016
TIGER,E,7,212,113,63,0.17609252035617828
TIGER,D,8,205,95,49,0.17605409026145935
LADYBUG,C,10,213,78,66,0.1702929139137268
LADYBUG,C,11,211,78,73,0.169107586145401
LADYBUG,B,12,209,65,59,0.16855594515800476
LADYBUG,C,12,210,78,76,0.1683454066514969
LADYBUG,B,11,207,67,54,0.1682453602552414
FROG,L,9,174,194,96,0.1812254935503006
FROG,K,10,194,204,116,0.18120220303535461
FROG,K,11,185,201,122,0.18109917640686035
FROG,L,8,185,199,94,0.18098236620426178
FROG,M,7,171,194,77,0.1808379888534546
AXOLOTL,I,19,164,176,185,0.15784545242786407
AXOLOTL,I,17,192,196,189,0.1575685441493988
AXOLOTL,L,23,101,176,189,0.1574300080537796
AXOLOTL,H,15,218,165,158,0.15716668963432312
AXOLOTL,M,25,86,163,179,0.15676987171173096
TOAD,J,28,70,87,138,0.16822627186775208
TOAD,K,29,68,88,139,0.16801369190216064
TOAD,K,30,65,82,135,0.1675143539905548
TOAD,L,30,66,90,141,0.16724054515361786
TOAD,J,27,77,95,143,0.16636629402637482
LEMON,K,4,235,222,79,0.21435712277889252
LEMON,K,2,234,219,67,0.21384240686893463
LEMON,L,1,229,216,45,0.2135808765888214
LEMON,K,3,234,219,71,0.21341179311275482
LEMON,J,6,240,218,93,0.2130785882472992
LIME,M,5,194,204,68,0.23101061582565308
LIME,M,4,202,207,62,0.2306811809539795
LIME,M,6,182,198,73,0.23043034970760345
LIME,M,7,171,194,77,0.23002904653549194
LIME,M,3,206,206,55,0.22888734936714172
KIWI,K,10,194,204,116,0.2016681581735611
KIWI,M,7,171,194,77,0.20162755250930786
KIWI,L,8,185,199,94,0.20161253213882446
KIWI,L,9,174,194,96,0.20129309594631195
KIWI,M,6,182,198,73,0.20124204456806183
PUMPKIN,D,4,202,115,45,0.20397712290287018
PUMPKIN,E,6,213,114,50,0.20352506637573242
PUMPKIN,D,5,200,104,46,0.203337162733078
PUMPKIN,D,6,202,97,45,0.20284634828567505
PUMPKIN,E,7,212,113,63,0.20246170461177826
ZUCCHINI,I,19,164,176,185,0.18190088868141174
ZUCCHINI,N,4,161,186,60,0.17364320158958435
ZUCCHINI,N,3,170,189,58,0.17352427542209625
ZUCCHINI,N,5,154,184,62,0.17332331836223602
ZUCCHINI,M,7,171,194,77,0.1733081340789795
GRAPE,F,26,92,69,127,0.2152378261089325
GRAPE,F,25,102,72,124,0.21509018540382385
GRAPE,G,25,94,81,128,0.21506983041763306
GRAPE,A,25,131,58,113,0.21447938680648804
GRAPE,E,25,106,67,121,0.21424686908721924
CUCUMBER,I,19,164,176,185,0.1703726053237915
CUCUMBER,N,3,170,189,58,0.16605225205421448
CUCUMBER,N,1,180,193,51,0.16595125198364258
CUCUMBER,M,6,182,198,73,0.16590461134910583
CUCUMBER,N,2,178,191,54,0.16588322818279266
COCONUT,I,19,164,176,185,0.18723474442958832
COCONUT,I,13,207,190,146,0.18259570002555847
COCONUT,I,14,209,200,158,0.18246859312057495
COCONUT,I,15,204,200,166,0.1793394237756729
COCONUT,I,17,192,196,189,0.17902933061122894
EGGPLANT,B,27,111,59,115,0.19755354523658752
EGGPLANT,A,25,131,58,113,0.19718636572360992
EGGPLANT,A,26,124,59,119,0.19715937972068787
EGGPLANT,C,27,105,59,118,0.1968177855014801
EGGPLANT,A,27,119,61,121,0.19674494862556458
ASPARAGUS,J,14,190,196,156,0.16679702699184418
ASPARAGUS,J,15,195,203,165,0.1656537801027298
ASPARAGUS,J,13,197,200,155,0.16541333496570587
ASPARAGUS,P,12,67,127,70,0.16525202989578247
ASPARAGUS,J,16,187,201,178,0.165048748254776
PEACH,G,10,227,147,113,0.2263730764389038
PEACH,H,11,230,159,119,0.225597083568573
PEACH,G,11,225,146,123,0.22497272491455078
PEACH,H,10,235,159,109,0.2249242067337036
PEACH,H,12,227,160,127,0.22421026229858398
APPLE,A,4,109,44,35,0.17961156368255615
APPLE,A,3,99,43,32,0.17924967408180237
APPLE,B,2,128,70,41,0.17870578169822693
APPLE,A,5,124,45,38,0.17834046483039856
APPLE,A,2,90,47,30,0.1783192753791809
EGG,I,20,148,161,177,0.17484593391418457
EGG,H,9,229,163,106,0.17483139038085938
EGG,E,3,223,136,44,0.17478278279304504
EGG,E,4,218,131,42,0.1746615469455719
EGG,J,21,134,171,185,0.17305529117584229
BANANA,J,6,240,218,93,0.2002447247505188
BANANA,J,7,238,220,101,0.1995021104812622
BANANA,J,3,239,213,61,0.19914871454238892
BANANA,J,5,238,217,81,0.19911769032478333
BANANA,I,5,239,203,76,0.1986638307571411
TOMATO,C,9,210,75,50,0.21481230854988098
TOMATO,C,8,205,72,45,0.21433331072330475
TOMATO,C,7,199,74,46,0.21372997760772705
TOMATO,D,9,206,89,63,0.21313245594501495
TOMATO,B,9,202,63,44,0.21255990862846375
BEET,A,19,184,48,108,0.19830802083015442
BEET,A,20,175,49,110,0.19775521755218506
BEET,B,18,199,54,115,0.1965264081954956
BEET,A,18,192,50,97,0.19638174772262573
BEET,A,21,168,55,115,0.19528807699680328
PEARL,I,14,209,200,158,0.18449383974075317
PEARL,I,15,204,200,166,0.18415790796279907
PEARL,I,13,207,190,146,0.183537095785141
PEARL,I,16,194,198,180,0.17872892320156097
PEARL,I,17,192,196,189,0.17719747126102448
AMETHYST,C,27,105,59,118,0.20830625295639038
AMETHYST,F,26,92,69,127,0.2082681655883789
AMETHYST,A,29,109,61,122,0.20812246203422546
AMETHYST,B,28,109,61,122,0.20812246203422546
AMETHYST,B,27,111,59,115,0.20811612904071808
SAPPHIRE,I,30,48,65,124,0.2032007873058319
SAPPHIRE,J,30,59,68,123,0.20155833661556244
SAPPHIRE,J,29,67,79,135,0.20150399208068848
SAPPHIRE,I,29,62,71,129,0.20096608996391296
SAPPHIRE,I,28,70,80,134,0.20093947649002075
GOLD,E,1,203,141,42,0.21796517074108124
GOLD,F,1,220,158,32,0.21790263056755066
GOLD,G,1,221,168,33,0.2175333946943283
GOLD,G,2,233,174,50,0.21544669568538666
GOLD,F,2,230,162,42,0.21536457538604736
RUBY,A,6,130,45,39,0.1998133808374405
RUBY,A,5,124,45,38,0.1996479034423828
RUBY,A,17,197,53,86,0.19827580451965332
RUBY,B,15,205,59,81,0.19760066270828247
RUBY,A,16,201,57,74,0.19750100374221802
JADE,J,17,181,202,191,0.1993599832057953
JADE,J,18,180,202,194,0.19884933531284332
JADE,J,16,187,201,178,0.1953611969947815
JADE,K,18,171,200,179,0.19511204957962036
JADE,K,17,170,199,174,0.19389568269252777
TILE,A,4,109,44,35,0.19682177901268005
TILE,B,4,150,70,45,0.19539791345596313
TILE,B,3,136,67,39,0.1947360336780548
TILE,A,5,124,45,38,0.19457057118415833
TILE,B,5,158,65,44,0.19440415501594543
LAPIS LAZULI,I,30,48,65,124,0.19526994228363037
LAPIS LAZULI,K,30,65,82,135,0.1944250613451004
LAPIS LAZULI,J,29,67,79,135,0.19323566555976868
LAPIS LAZULI,I,29,62,71,129,0.19192852079868317
LAPIS LAZULI,J,30,59,68,123,0.19176578521728516
AMBER,C,2,150,87,44,0.2079845666885376
AMBER,B,2,128,70,41,0.20771817862987518
AMBER,C,3,164,89,46,0.2076520174741745
AMBER,D,2,188,118,47,0.2075728476047516
AMBER,E,2,217,140,41,0.20727548003196716
BRICK,A,4,109,44,35,0.21056674420833588
BRICK,B,4,150,70,45,0.2093881368637085
BRICK,B,3,136,67,39,0.20853465795516968
BRICK,A,5,124,45,38,0.2084684669971466
BRICK,B,5,158,65,44,0.20785216987133026
EMERALD,P,26,83,161,137,0.20881615579128265
EMERALD,P,25,85,160,130,0.20866605639457703
EMERALD,P,15,70,145,67,0.20831438899040222
EMERALD,P,13,70,136,71,0.2082030028104782
EMERALD,P,14,70,138,69,0.20814363658428192
SUNFLOWER,I,5,239,203,76,0.1946212202310562
SUNFLOWER,I,4,238,198,69,0.19435594975948334
SUNFLOWER,H,3,237,186,58,0.19397272169589996
SUNFLOWER,H,2,237,188,52,0.1939411163330078
SUNFLOWER,H,4,237,185,68,0.19367773830890656
BASIL,P,13,70,136,71,0.182810440659523
BASIL,P,14,70,138,69,0.1818263828754425
BASIL,P,12,67,127,70,0.1814897209405899
BASIL,O,11,78,135,69,0.18144270777702332
BASIL,O,12,78,140,69,0.18073922395706177
MALLOW,D,29,82,52,118,0.18367604911327362
MALLOW,C,30,85,50,118,0.1829196810722351
MALLOW,E,28,83,52,121,0.1820424199104309
MALLOW,F,28,74,51,119,0.1813887655735016
MALLOW,E,29,73,50,118,0.18069329857826233
LAVENDER,H,20,154,142,164,0.21631938219070435
LAVENDER,H,19,168,152,171,0.21604937314987183
LAVENDER,H,18,174,159,174,0.2160026580095291
LAVENDER,G,25,94,81,128,0.21485871076583862
LAVENDER,H,21,142,131,158,0.2145923674106598
POPPY,C,10,213,78,66,0.18308895826339722
POPPY,B,10,206,66,49,0.18164204061031342
POPPY,B,11,207,67,54,0.1816246658563614
POPPY,C,11,211,78,73,0.18162120878696442
POPPY,A,10,205,61,45,0.1815139353275299
WHEAT,H,8,230,167,96,0.2130531370639801
WHEAT,H,9,229,163,106,0.21283045411109924
WHEAT,G,6,228,159,82,0.20944008231163025
WHEAT,H,7,230,170,89,0.2091018557548523
WHEAT,G,5,232,172,88,0.20708459615707397
CARNATION,B,16,207,57,93,0.18858739733695984
CARNATION,B,17,207,55,102,0.18780019879341125
CARNATION,B,15,205,59,81,0.18771608173847198
CARNATION,A,17,197,53,86,0.1876797080039978
CARNATION,C,15,207,67,99,0.18691018223762512
CORAL,C,10,213,78,66,0.2207944393157959
CORAL,C,11,211,78,73,0.21967937052249908
