,Words,Stat,p-value
0,AMBER,1.7235695109251408,0.22328501749529095
1,AMETHYST,2.304215812923856,0.13200802321375593
2,APPLE,1.6292397403701697,0.23114182396534821
3,ASPARAGUS,9.445990483638303,0.004967220046231069
4,AUTUMN,14.49993868477196,0.0011083675256586822
5,AXOLOTL,0.5322516348633141,0.5979703954545336
6,BANANA,0.20469483184272572,0.8172918134225355
7,BARBIE,5.434581421578563,0.020873048130843563
8,BASIL,1.2663832478846324,0.3034972741301607
9,BEET,1.4778329773980448,0.26163285865387176
10,BLAS (Y EPI),114.435516015824,3.986155961976934e-07
11,BLOOD,0.5961186305740993,0.5627308093028875
12,BRICK,0.06122728195887591,0.9408158837451284
13,BRUSH,9.135625767607703,0.004594440841431124
14,CANARY,9.723665877478089,0.0036994652480666357
15,CARNATION,0.07771967252017165,0.9255017918088355
16,COCONUT,1.499626896140493,0.2529691191197796
17,COOKIE MONSTER,20.57774970657343,0.00028545546082214823
18,CORAL,1.973390621839908,0.16792487462561234
19,CRICKET,0.4524874085643769,0.6450264497369109
20,CUCUMBER,49.95714104707427,2.3328100695607645e-07
21,DANGER,0.19669242334403114,0.8275066343174777
22,DISGUST,3.755712374981783,0.04599687025383781
23,ECOLOGY,2.619587370026424,0.12167259071859271
24,EGG,2.9543002387376758,0.08503762657628677
25,EGGPLANT,5.605136440157634,0.026243182104387253
26,ELMO,3.796028227215256,0.055764640460352344
27,EMERALD,1.6529945403126063,0.22673641325583183
28,EPI (Y BLAS),1.13238649156506,0.3689457843215622
29,FEMINISM,13.957091129665768,0.0007384550412696811
30,FIRE,0.7305322307025319,0.49802377490605265
31,FLAMINGO,39.54745790880654,1.7812931215832606e-05
32,FLASH,2.1179467309648397,0.1630160325272545
33,FOX,7.353202226968958,0.00730904586217429
34,FROG,3.335941811539293,0.05995658477111521
35,GOLD,2.845524716914465,0.0843711280147107
36,GRAPE,3.2883449504688826,0.0726570042246788
37,GRASS,5.404727252331776,0.013861043794618388
38,GRINCH,0.7004729916078855,0.519153229380082
39,GRIZZLY,22.09131187631196,3.382422317810274e-05
40,HAPINESS,184.80050148926847,2.836495482938517e-10
41,HOPE,28.514688268073314,3.705792099517602e-06
42,HULK,0.3556975005932215,0.7078287355516704
43,HURRICANE,11.418061033940667,0.0009691361831134504
44,JADE,0.1776000930540726,0.8389053180391961
45,KIWI,1.337710396447366,0.30562443332286005
46,LADYBUG,0.6064393168639137,0.5600134800568016
47,LAPIS LAZULI,1.5323221900347428,0.24156741547008176
48,LAVENDER,1.0575423667828896,0.36688278803523855
49,LEMON,1.4725543742280058,0.26277601804273265
50,LIME,3.457141074577382,0.06840108852716686
51,LONELINESS,1.8009298062513093,0.2039919356400941
52,MALLOW,14.601632985863588,0.0008020887508408681
53,MINT,13.614271712233407,0.00018546178678613412
54,MOSS,0.7019247038396348,0.5148849965791593
55,MUD,15.636019873704921,0.0004548238940530469
56,PEACE,9.224752033235372,0.0027825296669696797
57,PEACH,6.059677106077228,0.011778483185667765
58,PEARL,2.8846897926033512,0.07929765219406537
59,PETER PAN,1.8230717301317558,0.2071007671433457
60,PIG,6.1617141043218275,0.009716067454939248
61,PIKACHU,3.276069048504184,0.08048769582121751
62,POND,13.094996203153736,0.0007673493408065779
63,POPPY,0.7593609947254966,0.48238094158586264
64,PUMPKIN,0.3304001055466946,0.7249708465822307
65,RAGE,138.65693039128817,2.1223345303411634e-10
66,RELAX,1.3664302958966061,0.28499907082467546
67,RUBY,2.179807203121521,0.1436388306191203
68,SADNESS,31.13423098109928,0.00016800343321632383
69,SALMON,0.8716323495421648,0.4384129450312422
70,SAND,2.03007577831688,0.16195454785980956
71,SAPPHIRE,0.14954825777348027,0.8625571788720338
72,SEA,9.434459887279484,0.002942686934427452
73,SHAME,1.0638193066546957,0.36832397083606905
74,SHRECK,1.7182892812027073,0.23331204642823233
75,SIMPSON,0.055865603586864813,0.9458620295732012
76,SKIN,1.4861417425996482,0.26834229613550176
77,SKY,11.27441546417219,0.0012099901091409127
78,SMURF,0.01907064352541055,0.9811424145908083
79,SONIC,12.417169014703076,0.00040862413044762125
80,SPRING,1.8915821717666357,0.19008672254463888
81,STITCH,13.176639736744896,0.0015750053161988076
82,SUBMARINE,3.6911616330911055,0.06301745906183609
83,SUMMER,86.48473822340327,2.6413538023462024e-09
84,SUNFLOWER,1.6948258153465876,0.221783173463025
85,SUNRISE,1.4758312956491357,0.2564445962843298
86,SUNSET,2.273013407190444,0.15355999202543436
87,THUNDERBOLT,11.83930867887787,0.0009777583780633536
88,TIGER,1.7823432915751012,0.20208183661554935
89,TILE,0.2846915080096755,0.7555709961231651
90,TOAD,22.422626936388806,4.3143578448812114e-05
91,TOMATO,1.7071783061161203,0.2351972921782366
92,TOXIC,1.1522188237059332,0.34854811820614273
93,TRACTOR,3.3765954924757606,0.07577261975914729
94,WHALE,4.001747600771993,0.03545433890241434
95,WHEAT,3.7960389349050048,0.04817649330783724
96,WINTER,8.968733713137917,0.003568460192502565
97,WITCHCRAFT,24.87759417391072,3.596740847200408e-05
98,WOOD,1.284746171827332,0.3022661917961329
99,ZUCCHINI,4.866214099176608,0.024859994058891277
