,Words,Stat,p-value
0,AMBER,0.8680080074239745,0.44665786700896903
1,AMETHYST,0.6071151007351048,0.5570048929871018
2,APPLE,5.310185204651676,0.01922357569166755
3,ASPARAGUS,13.03075074971161,0.0016397625828725726
4,AUTUMN,11.172339553984067,0.002824787389181016
5,AXOLOTL,0.07838621443978097,0.9249834626751497
6,BANANA,1.0332667500243589,0.38145293638479694
7,BARBIE,0.8728856443812087,0.44266256373440105
8,BASIL,0.9137463433037922,0.4171204120520803
9,BEET,0.9085180890055403,0.42561849715015687
10,BLAS (Y EPI),0.3359890583098164,0.7232233159793235
11,BLOOD,0.1961399594608721,0.8238439724181624
12,BRICK,0.32224721193420014,0.7288488480036439
13,BRUSH,14.917896714046678,0.0007360956955412279
14,CANARY,19.837551534811606,0.00022453768698893484
15,CARNATION,0.975016482962201,0.39441024583603634
16,COCONUT,1.9007236499452556,0.18171232578913532
17,COOKIE MONSTER,13.685549024483128,0.0013718944745970685
18,CORAL,4.3937372100393075,0.027929722577659688
19,CRICKET,0.048002829313033596,0.9532872662745312
20,CUCUMBER,6.029982811878711,0.011973748691908592
21,DANGER,2.301010498891495,0.19566735866415363
22,DISGUST,2.189086166163559,0.14442355010118213
23,ECOLOGY,12.064375862786989,0.0021597226339903353
24,EGG,0.34340193801792684,0.7151632372908034
25,EGGPLANT,3.6770150379100164,0.06804241634212149
26,ELMO,2.8873623335207887,0.09818724289457148
27,EMERALD,4.54032572418217,0.03021063207653174
28,EPI (Y BLAS),1.0416944850371115,0.3962176936924986
29,FEMINISM,26.34014389482132,4.078080691061192e-05
30,FIRE,0.7292209453109009,0.4986192652936763
31,FLAMINGO,12.71935155533867,0.0017890022967229635
32,FLASH,2.763975640038573,0.10296758616390711
33,FOX,2.744643829507186,0.10130960554778501
34,FROG,4.353772245062698,0.029737247335611894
35,GOLD,1.6482637887637595,0.22012702937812545
36,GRAPE,2.0663166939576048,0.1693775663345194
37,GRASS,0.043179241437721505,0.9578334106460041
38,GRINCH,29.464461278356872,6.426766926259653e-05
39,GRIZZLY,0.6862165984355193,0.5186032567694725
40,HAPINESS,137.0180414768222,1.8367268816987803e-09
41,HOPE,42.64696159397174,2.371877383389176e-07
42,HULK,120.4139312986537,1.1432412239109624e-08
43,HURRICANE,12.76255012436861,0.0005791001921051642
44,JADE,1.2018062533695917,0.32638877723954074
45,KIWI,2.6541740778646554,0.11894832921112386
46,LADYBUG,528.2031004011945,3.5582647939236267e-13
47,LAPIS LAZULI,2.054623997108264,0.1556660780915875
48,LAVENDER,1.6245265230007735,0.22320281117291252
49,LEMON,2.340278699663991,0.13279063091958243
50,LIME,1.771931802852832,0.21523897080035326
51,LONELINESS,0.15054636472574975,0.8617160902298076
52,MALLOW,0.8067001346950633,0.47106711892105535
53,MINT,13.149193007430839,0.00022627753606985213
54,MOSS,8.196501591749534,0.00569927337985443
55,MUD,0.6935748753558636,0.5187507615496361
56,PEACE,31.41266481568782,6.673677614532636e-06
57,PEACH,6.972850301782904,0.007224436031990078
58,PEARL,9.296678169895303,0.0013969294158014955
59,PETER PAN,4.296377212474479,0.04179598315129285
60,PIG,4.162538390928875,0.033778027142217115
61,PIKACHU,1.9910526189003648,0.1871273068146303
62,POND,0.6087556890587438,0.5588284279556928
63,POPPY,1.2442033487779482,0.3118019800601437
64,PUMPKIN,0.8898224233128746,0.4361735544523142
65,RAGE,0.3553252774970155,0.706688747388004
66,RELAX,3.004540396447474,0.0799155989793946
67,RUBY,1.5397511897481795,0.24289344426399262
68,SADNESS,0.5548819762209092,0.5947458938889798
69,SALMON,0.026694293770969203,0.9737049955726482
70,SAND,4.321399025596161,0.030381543142136258
71,SAPPHIRE,2.9370416432772837,0.08861426783592175
72,SEA,6.321816711723332,0.012085500759071222
73,SHAME,0.7513855344850574,0.487646781493569
74,SHRECK,3.9860057488630716,0.05758261247796592
75,SIMPSON,3.883615042533624,0.04373790418807599
76,SKIN,1.5762004610595677,0.2500887126291964
77,SKY,12.541814934795235,0.000756714415418136
78,SMURF,0.5115308920361723,0.6131642624944038
79,SONIC,9.184901882149628,0.0017814922023252633
80,SPRING,0.9000980726113207,0.4304207777768638
81,STITCH,2.7510968278446657,0.11169512299998319
82,SUBMARINE,15.21294512172964,0.000926194157804594
83,SUMMER,40.638606590280446,5.356374064291458e-07
84,SUNFLOWER,17.715647996115816,0.0001937814497525725
85,SUNRISE,0.3853921583398204,0.6859773349687751
86,SUNSET,6.623060197317854,0.014731520901852924
87,THUNDERBOLT,6.712468360314824,0.009033931861057387
88,TIGER,0.3709162745281409,0.6962573298779423
89,TILE,0.5646397380055616,0.5783157714320859
90,TOAD,7.958013575498395,0.004915512658116961
91,TOMATO,4.2743245022134175,0.049544414249579005
92,TOXIC,1.122541411019661,0.35735314175227906
93,TRACTOR,30.93177001170718,5.2174340183896994e-05
94,WHALE,5.393541576799228,0.013960257210671845
95,WHEAT,3.387290532417135,0.06312048498063216
96,WINTER,0.8413400324484489,0.4533118879019927
97,WITCHCRAFT,8.86218335574954,0.0037324386672337173
98,WOOD,3.2291583803760284,0.06475788227952062
99,ZUCCHINI,7.004733042996802,0.007794036527350556
