word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.14257128536701202
SALMON,E,10,215,114,90,0.14244262874126434
SALMON,F,10,220,130,98,0.14144979417324066
SALMON,G,11,225,146,123,0.14029745757579803
SALMON,G,10,227,147,113,0.1400306522846222
WHALE,L,23,101,176,189,0.12204955518245697
WHALE,O,28,80,153,163,0.12170763313770294
WHALE,P,29,82,157,165,0.1216839998960495
WHALE,M,25,86,163,179,0.12148361653089523
WHALE,K,21,130,186,197,0.12146033346652985
GRIZZLY,B,1,115,71,37,0.14169971644878387
GRIZZLY,A,1,82,48,27,0.13840839266777039
GRIZZLY,C,1,143,92,43,0.13746985793113708
GRIZZLY,A,2,90,47,30,0.13677775859832764
GRIZZLY,B,2,128,70,41,0.13620251417160034
FLAMINGO,E,12,211,111,104,0.15655453503131866
FLAMINGO,F,12,219,133,119,0.1559312492609024
FLAMINGO,E,14,217,110,120,0.1558348834514618
FLAMINGO,E,13,211,112,112,0.1554657518863678
FLAMINGO,D,12,207,96,91,0.15541605651378632
FOX,F,7,223,142,80,0.13110002875328064
FOX,E,7,212,113,63,0.13104398548603058
FOX,E,6,213,114,50,0.13090308010578156
FOX,D,4,202,115,45,0.13076041638851166
FOX,F,8,215,132,84,0.13059821724891663
CRICKET,C,2,150,87,44,0.12247240543365479
CRICKET,C,1,143,92,43,0.1220923513174057
CRICKET,P,8,77,130,68,0.12167322635650635
CRICKET,P,10,65,118,66,0.12164809554815292
CRICKET,P,7,81,133,67,0.12153947353363037
CANARY,L,1,229,216,45,0.18266727030277252
CANARY,L,2,228,217,53,0.182451069355011
CANARY,L,3,227,217,60,0.18175578117370605
CANARY,M,1,211,207,48,0.18110394477844238
CANARY,L,4,223,217,68,0.18077152967453003
PIG,H,15,218,165,158,0.12851741909980774
PIG,G,15,222,144,155,0.1283666044473648
PIG,G,14,220,142,135,0.12741680443286896
PIG,H,14,222,163,143,0.12734101712703705
PIG,G,13,221,143,129,0.12704363465309143
TIGER,D,3,191,112,45,0.12036897242069244
TIGER,D,4,202,115,45,0.12030555307865143
TIGER,D,2,188,118,47,0.120183564722538
TIGER,E,5,217,125,46,0.11998520791530609
TIGER,E,4,218,131,42,0.11992938816547394
LADYBUG,L,11,158,188,108,0.10497277975082397
LADYBUG,L,10,165,191,101,0.1048043891787529
LADYBUG,L,12,152,186,114,0.10384847223758698
LADYBUG,M,9,145,182,83,0.1032417044043541
LADYBUG,K,11,185,201,122,0.10320594161748886
FROG,M,8,158,189,81,0.14205162227153778
FROG,M,9,145,182,83,0.14179138839244843
FROG,L,10,165,191,101,0.1413443684577942
FROG,M,10,139,180,87,0.14131608605384827
FROG,N,6,147,183,68,0.1408410370349884
AXOLOTL,H,15,218,165,158,0.123343825340271
AXOLOTL,G,13,221,143,129,0.12196084856987
AXOLOTL,H,14,222,163,143,0.12193338572978973
AXOLOTL,G,14,220,142,135,0.12191395461559296
AXOLOTL,F,13,213,130,122,0.12173451483249664
TOAD,C,1,143,92,43,0.12063045799732208
TOAD,B,1,115,71,37,0.1201045960187912
TOAD,C,2,150,87,44,0.1184110939502716
TOAD,D,1,175,118,47,0.11735974252223969
TOAD,B,2,128,70,41,0.1167520135641098
LEMON,L,4,223,217,68,0.166610449552536
LEMON,K,5,230,221,85,0.16640283167362213
LEMON,K,6,227,220,95,0.16608518362045288
LEMON,K,4,235,222,79,0.16582712531089783
LEMON,L,3,227,217,60,0.16556601226329803
LIME,N,1,180,193,51,0.20139682292938232
LIME,N,3,170,189,58,0.20008531212806702
LIME,M,5,194,204,68,0.19999143481254578
LIME,M,6,182,198,73,0.1999850869178772
LIME,N,2,178,191,54,0.1999538540840149
KIWI,N,4,161,186,60,0.13607946038246155
KIWI,N,3,170,189,58,0.13590970635414124
KIWI,M,7,171,194,77,0.13561221957206726
KIWI,N,5,154,184,62,0.1356012523174286
KIWI,N,1,180,193,51,0.13494685292243958
PUMPKIN,E,4,218,131,42,0.15317413210868835
PUMPKIN,E,3,223,136,44,0.1529276818037033
PUMPKIN,E,5,217,125,46,0.15252308547496796
PUMPKIN,D,4,202,115,45,0.1511549949645996
PUMPKIN,E,6,213,114,50,0.15018635988235474
ZUCCHINI,P,17,81,153,68,0.11429567635059357
ZUCCHINI,O,14,77,150,66,0.11429371684789658
ZUCCHINI,P,16,78,152,70,0.11425061523914337
ZUCCHINI,P,15,70,145,67,0.11396969109773636
ZUCCHINI,O,15,81,153,73,0.11375214904546738
GRAPE,D,22,135,76,125,0.17440839111804962
GRAPE,D,23,128,73,124,0.17426976561546326
GRAPE,C,24,132,69,124,0.17412316799163818
GRAPE,D,21,145,82,131,0.17387449741363525
GRAPE,C,23,139,71,124,0.17384621500968933
