,Words,Stat,p-value
0,AMBER,0.8492914044134078,0.4539477456697554
1,AMETHYST,1.3158753275941515,0.29575394976510383
2,APPLE,2.720170421815632,0.10045443708676238
3,ASPARAGUS,32.956049318855314,3.96684298213934e-05
4,AUTUMN,19.510219472001992,0.0003532759080012715
5,AXOLOTL,0.22871373020221938,0.7982801214682331
6,BANANA,1.2866764787637341,0.3069188719440126
7,BARBIE,0.8707992229686597,0.44346970309619915
8,BASIL,1.1420349930122218,0.3391211053770362
9,BEET,0.6200851487357195,0.5520361395278195
10,BLAS (Y EPI),2.1942530522795516,0.1674159178615584
11,BLOOD,0.14729031585889948,0.8642001951496923
12,BRICK,0.3393237143988315,0.7169667865124523
13,BRUSH,13.926838241160128,0.0009677944119622639
14,CANARY,21.253379418854568,0.00016649922787093097
15,CARNATION,0.27864910604288073,0.7596955752721972
16,COCONUT,1.8839315271831845,0.1841967958540105
17,COOKIE MONSTER,8.397374133284229,0.0072402171815199035
18,CORAL,5.7636847303526935,0.011625984034934311
19,CRICKET,2.015369712304221,0.17013806527520758
20,CUCUMBER,55.33392219909517,1.1926230558678697e-07
21,DANGER,239.35935484414298,1.0862825335244963e-05
22,DISGUST,0.870561184655146,0.43763407505536167
23,ECOLOGY,2.079412182979286,0.17573733137413816
24,EGG,5.281140803540847,0.019544083343748575
25,EGGPLANT,2.0121910964758714,0.18953272169971513
26,ELMO,2.8916459315950256,0.09791189578218495
27,EMERALD,2.1949030743555378,0.1482027256271835
28,EPI (Y BLAS),0.824301286921776,0.4726093129074038
29,FEMINISM,25.731242926441293,4.570724012420424e-05
30,FIRE,2.692690733433748,0.10018279007480058
31,FLAMINGO,30.813475375216647,5.304173049514027e-05
32,FLASH,2.073643913347189,0.16845734677486468
33,FOX,5.261805043500421,0.021176587193441176
34,FROG,18.180395776569252,5.989996848410062e-05
35,GOLD,2.1337897433989643,0.14736537195757915
36,GRAPE,1.7003224731571518,0.22379687863652353
37,GRASS,3.315367693257227,0.05820081589710846
38,GRINCH,42.970188073370664,1.230248702843717e-05
39,GRIZZLY,0.7225451062238321,0.5016634854771556
40,HAPINESS,363.4876475572423,3.8968828164342995e-12
41,HOPE,5.007998434968887,0.01950012317192329
42,HULK,220.27099980128514,3.476434695670605e-10
43,HURRICANE,7.946030530464492,0.004434378996005961
44,JADE,1.3687087507961673,0.2826714791717644
45,KIWI,3.4220293138883404,0.07375072231848379
46,LADYBUG,0.41233858046164906,0.6704622051718492
47,LAPIS LAZULI,3.7460762295600842,0.04251531243563411
48,LAVENDER,1.5628466481962788,0.23530912744388477
49,LEMON,0.5949281449196587,0.5649637649335988
50,LIME,1.770587025575014,0.21545802179027618
51,LONELINESS,0.5590281412652437,0.5849178596041227
52,MALLOW,1.9086293778876335,0.1942837647114849
53,MINT,14.213788967037,0.00014433527021007198
54,MOSS,27.042176296469794,3.585053474841615e-05
55,MUD,0.7253751655996772,0.5042064617514921
56,PEACE,1.530492573182346,0.25053448649228205
57,PEACH,10.22467957203162,0.001579870646209236
58,PEARL,2.7996649907679703,0.08472546696832406
59,PETER PAN,5.8235320380835915,0.018840580060706436
60,PIG,1.761783806028407,0.20168172728529388
61,PIKACHU,1.9902001301979875,0.18724144004841803
62,POND,38.55714398902252,3.4235212579281082e-06
63,POPPY,1.2451506139446706,0.31154261349886225
64,PUMPKIN,2.147955417666809,0.15944673771870022
65,RAGE,0.25443196728198025,0.7786361262733499
66,RELAX,3.1465061293775896,0.07226136515722548
67,RUBY,1.5348764545970606,0.24389821035105808
68,SADNESS,9.423832785969294,0.007883767906172068
69,SALMON,0.02858547592709069,0.9718720308870882
70,SAND,1.573792336130544,0.23600457393899577
71,SAPPHIRE,2.869490560072666,0.09285022517889119
72,SEA,6.551577371801691,0.01076780800618371
73,SHAME,5.68310778591338,0.013653434512370555
74,SHRECK,7.868826517266915,0.010567641456685872
75,SIMPSON,4.8039312519162705,0.02441351185010532
76,SKIN,1.977497280888599,0.1846440602077758
77,SKY,0.7410739398857923,0.49439921238578144
78,SMURF,0.1089837165412233,0.8977012017350553
79,SONIC,18.6721290210564,4.0719217145768205e-05
80,SPRING,2.6489937171838585,0.10839523153424413
81,STITCH,20.206477295626442,0.00030710666645705764
82,SUBMARINE,18.903948550289005,0.0004004071230552242
83,SUMMER,4.996444032364856,0.020612163028791985
84,SUNFLOWER,10.395065025472126,0.0020113964470324097
85,SUNRISE,0.17140264038868736,0.8439201832813785
86,SUNSET,5.48991726059089,0.024603092995153397
87,THUNDERBOLT,0.11139986341182245,0.895365975108949
88,TIGER,2.2585957655633706,0.13885275860709378
89,TILE,0.5963335726085426,0.561351080076167
90,TOAD,6.526217000482509,0.0099414979321929
91,TOMATO,0.09445287199643954,0.9107605426118365
92,TOXIC,1.122745383751514,0.3572917454160627
93,TRACTOR,34.005950932860394,3.460952757428082e-05
94,WHALE,3.487331757267518,0.05127844792309444
95,WHEAT,1.3653872872004291,0.2872657941181648
96,WINTER,19.98863335312152,0.00010815577910061602
97,WITCHCRAFT,20.010676618842343,0.00010757256869831089
98,WOOD,3.2480186763984555,0.06387950295925604
99,ZUCCHINI,39.56898995435221,1.733838133510801e-06
