word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.18105214834213257
SALMON,F,10,220,130,98,0.18069985508918762
SALMON,E,10,215,114,90,0.18035370111465454
SALMON,G,10,227,147,113,0.18009373545646667
SALMON,G,11,225,146,123,0.17990073561668396
WHALE,L,23,101,176,189,0.16137631237506866
WHALE,K,21,130,186,197,0.16038182377815247
WHALE,K,22,119,178,193,0.1600317358970642
WHALE,L,24,96,164,187,0.15997231006622314
WHALE,M,25,86,163,179,0.15994790196418762
GRIZZLY,B,1,115,71,37,0.17017656564712524
GRIZZLY,C,1,143,92,43,0.16826312243938446
GRIZZLY,A,1,82,48,27,0.1669168472290039
GRIZZLY,C,2,150,87,44,0.16608059406280518
GRIZZLY,B,2,128,70,41,0.1660657823085785
FLAMINGO,G,14,220,142,135,0.20225010812282562
FLAMINGO,G,13,221,143,129,0.20116926729679108
FLAMINGO,F,14,217,130,129,0.20091941952705383
FLAMINGO,F,12,219,133,119,0.2008187174797058
FLAMINGO,F,13,213,130,122,0.20042631030082703
FOX,D,4,202,115,45,0.17059919238090515
FOX,E,5,217,125,46,0.1700069010257721
FOX,D,5,200,104,46,0.16998760402202606
FOX,E,4,218,131,42,0.16992199420928955
FOX,E,6,213,114,50,0.16972652077674866
CRICKET,C,1,143,92,43,0.1633976846933365
CRICKET,J,12,203,205,152,0.16314680874347687
CRICKET,K,10,194,204,116,0.16307830810546875
CRICKET,C,2,150,87,44,0.16298003494739532
CRICKET,D,1,175,118,47,0.16293126344680786
CANARY,L,1,229,216,45,0.23789598047733307
CANARY,L,2,228,217,53,0.23693090677261353
CANARY,J,1,224,203,44,0.2364700734615326
CANARY,L,3,227,217,60,0.23580360412597656
CANARY,J,2,235,211,51,0.2357703447341919
PIG,G,15,222,144,155,0.1717042624950409
PIG,F,15,218,127,144,0.16966524720191956
PIG,G,14,220,142,135,0.1689019501209259
PIG,H,15,218,165,158,0.16870561242103577
PIG,F,14,217,130,129,0.16810528934001923
TIGER,D,2,188,118,47,0.16432103514671326
TIGER,D,3,191,112,45,0.16312220692634583
TIGER,E,1,203,141,42,0.162785142660141
TIGER,E,2,217,140,41,0.16256479918956757
TIGER,D,1,175,118,47,0.16129139065742493
LADYBUG,A,10,205,61,45,0.14317162334918976
LADYBUG,A,11,205,61,45,0.14317162334918976
LADYBUG,B,9,202,63,44,0.14273953437805176
LADYBUG,A,12,195,57,41,0.1425837278366089
LADYBUG,B,10,206,66,49,0.14255806803703308
FROG,M,6,182,198,73,0.18254682421684265
FROG,N,3,170,189,58,0.18199250102043152
FROG,N,1,180,193,51,0.18194356560707092
FROG,M,7,171,194,77,0.18182562291622162
FROG,N,2,178,191,54,0.18179070949554443
AXOLOTL,G,16,206,150,162,0.1704222857952118
