word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,E,10,215,114,90,0.13874706625938416
SALMON,F,11,223,134,112,0.13761699199676514
SALMON,F,10,220,130,98,0.13695716857910156
SALMON,D,10,209,93,76,0.13695481419563293
SALMON,G,11,225,146,123,0.13599228858947754
WHALE,I,18,191,193,194,0.11625590920448303
WHALE,I,30,48,65,124,0.11543835699558258
WHALE,K,28,68,91,135,0.11538468301296234
WHALE,L,30,66,90,141,0.11521753668785095
WHALE,K,29,68,88,139,0.1151067316532135
GRIZZLY,B,1,115,71,37,0.1594236046075821
GRIZZLY,C,1,143,92,43,0.15674513578414917
GRIZZLY,A,1,82,48,27,0.1565195620059967
GRIZZLY,A,2,90,47,30,0.15106743574142456
GRIZZLY,B,2,128,70,41,0.15067411959171295
FLAMINGO,E,14,217,110,120,0.15610271692276
FLAMINGO,E,13,211,112,112,0.15608862042427063
FLAMINGO,E,12,211,111,104,0.1557508111000061
FLAMINGO,B,17,207,55,102,0.15556955337524414
FLAMINGO,B,16,207,57,93,0.15556567907333374
FOX,D,3,191,112,45,0.14122134447097778
FOX,D,4,202,115,45,0.14021243155002594
FOX,D,5,200,104,46,0.13979332149028778
FOX,D,2,188,118,47,0.1397837996482849
FOX,C,3,164,89,46,0.13892808556556702
CRICKET,I,17,192,196,189,0.12564203143119812
CRICKET,I,18,191,193,194,0.1254797875881195
CRICKET,I,15,204,200,166,0.12505997717380524
CRICKET,C,1,143,92,43,0.12344423681497574
CRICKET,I,14,209,200,158,0.12321630120277405
CANARY,L,1,229,216,45,0.20116518437862396
CANARY,L,2,228,217,53,0.20105502009391785
CANARY,L,3,227,217,60,0.20077627897262573
CANARY,K,2,234,219,67,0.20023469626903534
CANARY,L,4,223,217,68,0.2001744657754898
PIG,I,18,191,193,194,0.12088827043771744
PIG,H,15,218,165,158,0.11922943592071533
PIG,H,14,222,163,143,0.11885687708854675
PIG,H,13,224,161,135,0.1179085299372673
PIG,G,14,220,142,135,0.11657530069351196
TIGER,D,2,188,118,47,0.12241702526807785
TIGER,D,3,191,112,45,0.12140579521656036
TIGER,D,1,175,118,47,0.12085133790969849
TIGER,E,2,217,140,41,0.12068586051464081
TIGER,E,4,218,131,42,0.12054542452096939
