word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.14818626642227173
SALMON,E,10,215,114,90,0.14693666994571686
SALMON,G,11,225,146,123,0.1461828500032425
SALMON,E,11,211,117,103,0.14578713476657867
SALMON,F,12,219,133,119,0.14509257674217224
WHALE,I,18,191,193,194,0.13722297549247742
WHALE,I,19,164,176,185,0.1293124407529831
WHALE,I,20,148,161,177,0.12723654508590698
WHALE,I,21,137,147,169,0.125639408826828
WHALE,K,28,68,91,135,0.12435358017683029
GRIZZLY,B,1,115,71,37,0.17391712963581085
GRIZZLY,A,1,82,48,27,0.1726229041814804
GRIZZLY,C,1,143,92,43,0.17060983180999756
GRIZZLY,A,2,90,47,30,0.16681531071662903
GRIZZLY,B,2,128,70,41,0.1661079227924347
FLAMINGO,E,15,214,104,131,0.1760741025209427
FLAMINGO,C,16,209,65,110,0.1756943166255951
FLAMINGO,E,14,217,110,120,0.17550256848335266
FLAMINGO,D,15,206,85,112,0.17549771070480347
FLAMINGO,D,16,207,85,124,0.1752314567565918
FOX,D,3,191,112,45,0.16032101213932037
FOX,D,4,202,115,45,0.15908610820770264
FOX,C,3,164,89,46,0.15901315212249756
FOX,D,2,188,118,47,0.15894928574562073
FOX,C,2,150,87,44,0.1582193821668625
CRICKET,I,18,191,193,194,0.14502860605716705
CRICKET,I,17,192,196,189,0.14002877473831177
CRICKET,I,15,204,200,166,0.13936257362365723
CRICKET,C,1,143,92,43,0.13833606243133545
CRICKET,B,1,115,71,37,0.1383059173822403
CANARY,L,1,229,216,45,0.22106721997261047
CANARY,L,2,228,217,53,0.22095321118831635
CANARY,L,3,227,217,60,0.22052371501922607
CANARY,K,2,234,219,67,0.22007879614830017
CANARY,K,4,235,222,79,0.22001951932907104
PIG,I,18,191,193,194,0.13678179681301117
PIG,H,14,222,163,143,0.12756553292274475
PIG,H,15,218,165,158,0.12726572155952454
PIG,H,13,224,161,135,0.12621372938156128
PIG,G,14,220,142,135,0.12550082802772522
TIGER,D,2,188,118,47,0.14948557317256927
TIGER,D,3,191,112,45,0.14880752563476562
TIGER,C,1,143,92,43,0.14788447320461273
TIGER,D,1,175,118,47,0.14771668612957
TIGER,D,4,202,115,45,0.14723214507102966
LADYBUG,B,12,209,65,59,0.1675453782081604
LADYBUG,A,14,203,57,56,0.16735996305942535
LADYBUG,A,13,194,54,46,0.1669244021177292
LADYBUG,A,10,205,61,45,0.16689684987068176
LADYBUG,A,11,205,61,45,0.16689684987068176
FROG,O,5,126,166,66,0.14769800007343292
FROG,O,4,132,168,64,0.1476881504058838
FROG,N,7,130,175,68,0.14736056327819824
FROG,N,8,126,173,68,0.14723291993141174
FROG,O,3,139,168,60,0.1469467580318451
AXOLOTL,I,18,191,193,194,0.14990633726119995
AXOLOTL,I,17,192,196,189,0.14799869060516357
AXOLOTL,I,16,194,198,180,0.14246615767478943
AXOLOTL,G,14,220,142,135,0.13958235085010529
AXOLOTL,F,14,217,130,129,0.1395578384399414
TOAD,I,18,191,193,194,0.1430765986442566
TOAD,I,17,192,196,189,0.13866081833839417
TOAD,B,1,115,71,37,0.13384239375591278
TOAD,C,1,143,92,43,0.1335144340991974
TOAD,I,16,194,198,180,0.13256928324699402
LEMON,L,4,223,217,68,0.20806878805160522
LEMON,L,2,228,217,53,0.2074069380760193
LEMON,L,3,227,217,60,0.20716631412506104
LEMON,L,1,229,216,45,0.20693200826644897
LEMON,M,1,211,207,48,0.20681363344192505
LIME,N,3,170,189,58,0.23740524053573608
LIME,N,1,180,193,51,0.2373242974281311
LIME,N,4,161,186,60,0.2366403490304947
LIME,M,6,182,198,73,0.23646464943885803
LIME,N,2,178,191,54,0.23630991578102112
KIWI,N,4,161,186,60,0.2057158648967743
KIWI,N,3,170,189,58,0.2055147886276245
KIWI,N,5,154,184,62,0.20525918900966644
KIWI,M,7,171,194,77,0.20420727133750916
KIWI,N,2,178,191,54,0.20403900742530823
PUMPKIN,E,5,217,125,46,0.16306427121162415
PUMPKIN,E,4,218,131,42,0.16290557384490967
PUMPKIN,E,3,223,136,44,0.16274473071098328
PUMPKIN,E,6,213,114,50,0.16028767824172974
PUMPKIN,D,4,202,115,45,0.15864911675453186
ZUCCHINI,O,3,139,168,60,0.16008932888507843
ZUCCHINI,O,4,132,168,64,0.16004717350006104
ZUCCHINI,O,2,144,170,60,0.1598440408706665
ZUCCHINI,O,5,126,166,66,0.1596914380788803
ZUCCHINI,O,1,147,170,59,0.15957343578338623
GRAPE,A,25,131,58,113,0.17076876759529114
GRAPE,C,23,139,71,124,0.1690828800201416
GRAPE,D,22,135,76,125,0.16907139122486115
GRAPE,B,25,130,64,121,0.16906459629535675
GRAPE,B,24,137,65,122,0.16905741393566132
CUCUMBER,M,9,145,182,83,0.18307864665985107
CUCUMBER,O,4,132,168,64,0.18287533521652222
CUCUMBER,N,6,147,183,68,0.1828344464302063
CUCUMBER,O,5,126,166,66,0.18278434872627258
CUCUMBER,N,7,130,175,68,0.18278345465660095
COCONUT,I,18,191,193,194,0.1516384333372116
COCONUT,B,1,115,71,37,0.1509867161512375
COCONUT,A,1,82,48,27,0.14990773797035217
