,Words,Stat,p-value
0,AMBER,1.734976159118727,0.22135570434474472
1,AMETHYST,1.392775422963334,0.2769289675425255
2,APPLE,5.731088876948261,0.01519243650985136
3,ASPARAGUS,49.02120303013275,6.7924861895107824e-06
4,AUTUMN,26.199698778802972,0.00010570560500122728
5,AXOLOTL,1.6455629635429596,0.22588175076037342
6,BANANA,2.6714321358050555,0.10405207828011886
7,BARBIE,2.201199752679033,0.153335658545929
8,BASIL,1.738883828721646,0.20124817587181087
9,BEET,1.6606492432948754,0.22533732270229256
10,BLAS (Y EPI),0.8646634941871572,0.45343509170541196
11,BLOOD,0.9090070588926059,0.42275180602333984
12,BRICK,0.8843506912168015,0.4311465575676501
13,BRUSH,32.19002732736048,2.5278383854687725e-05
14,CANARY,12.411283024175562,0.001512857288480829
15,CARNATION,0.9551598729213673,0.4016176607905524
16,COCONUT,4.4389634003832805,0.029271594220857344
17,COOKIE MONSTER,4.734191265529937,0.03575614129813687
18,CORAL,9.253448897374748,0.0017221785519588861
19,CRICKET,0.7081816440842503,0.5093574914796377
20,CUCUMBER,12.198018706319957,0.0007157978405619714
21,DANGER,3.2678974512290364,0.12368191353607538
22,DISGUST,2.248018823203559,0.1379115312293857
23,ECOLOGY,11.840094532787425,0.0023074239502896
24,EGG,1.2358053569545768,0.32043781499988744
25,EGGPLANT,2.098349275747476,0.1786477122121608
26,ELMO,2.889012610120178,0.09808105587672244
27,EMERALD,2.174096023966766,0.15057168464909854
28,EPI (Y BLAS),0.8823370937545573,0.4505353993844683
29,FEMINISM,13.80730188664258,0.0007726015543769726
30,FIRE,0.7298278356851388,0.4983435596006549
31,FLAMINGO,17.71326956362252,0.0005169538162653753
32,FLASH,5.767191505432555,0.017573998039647876
33,FOX,2.223436792912484,0.14772952344672063
34,FROG,5.912064181042348,0.011243156991474046
35,GOLD,7.380957485982154,0.004561724324380623
36,GRAPE,2.0784739952682765,0.16785393018274342
37,GRASS,3.955787078377379,0.03662163587663658
38,GRINCH,15.176908422115144,0.0009344948394814923
39,GRIZZLY,0.68644828404973,0.5184931890157456
40,HAPINESS,29.61650274251351,1.4416167994801832e-05
41,HOPE,3.387876611731578,0.057766281754563664
42,HULK,54.89351102398651,9.151270847773674e-07
43,HURRICANE,1.1217962752333095,0.351541256241518
44,JADE,0.9660930854454213,0.4016927089034781
45,KIWI,1.4391102855856257,0.28230638713621525
46,LADYBUG,0.41244714439335695,0.6703937631800101
47,LAPIS LAZULI,3.7455505732073666,0.042531343934664845
48,LAVENDER,0.5940697638014354,0.562010437804374
49,LEMON,0.5584159549926226,0.5843469232132333
50,LIME,0.5023533092476302,0.6183384296317531
51,LONELINESS,0.761676077978513,0.48662805985271607
52,MALLOW,2.7182526426362035,0.10982661742970179
53,MINT,4.749838232238044,0.020517641041943646
54,MOSS,21.276780355194713,0.00011327885818279704
55,MUD,0.8073885465096461,0.46883957611013494
56,PEACE,0.23305882000860673,0.7951193127453061
57,PEACH,7.639686815433525,0.005153268733421701
58,PEARL,0.1049172880557306,0.9008912518867553
59,PETER PAN,9.414213519705086,0.004141835365822466
60,PIG,2.8627703031589604,0.08480958425966567
61,PIKACHU,2.7416202310019973,0.11238043447776691
62,POND,24.077328419062763,4.254414714766064e-05
63,POPPY,1.3765974268806187,0.2777716204575218
64,PUMPKIN,1.5766301189914023,0.24663288649938697
65,RAGE,3.9338777662740747,0.04231631948015091
66,RELAX,30.700072427968287,4.982853031076928e-06
67,RUBY,2.9805335578668832,0.07769324365857178
68,SADNESS,33.580111664427235,0.0001283534954912291
69,SALMON,9.061443588188927,0.0026285912212834495
70,SAND,5.944777512191633,0.011028554267148105
71,SAPPHIRE,3.5522876036789777,0.058778017223206414
72,SEA,3.3751947837931815,0.06597660423354934
73,SHAME,1.4516424322259065,0.26342781468204635
74,SHRECK,31.826024182978934,8.288499339947908e-05
75,SIMPSON,2.0214270681158757,0.16699141191462297
76,SKIN,1.5759492795934698,0.250137543486324
77,SKY,20.648836139348376,6.667273908722571e-05
78,SMURF,2.0615508120851858,0.1736340840484084
79,SONIC,10.356716357824796,0.001015540877084442
80,SPRING,4.4162536628623945,0.034392068363691686
81,STITCH,17.298738215239368,0.0005668244519242416
82,SUBMARINE,1.1926477627978027,0.3431374592784252
83,SUMMER,14.534510594131715,0.00025231022572780315
84,SUNFLOWER,14.64023185099243,0.0004685149667129629
85,SUNRISE,2.514337650997453,0.1105133104280136
86,SUNSET,5.266596933370849,0.027397911715631773
87,THUNDERBOLT,6.5134041199567125,0.0100076688893036
88,TIGER,1.2292995012762113,0.32034209970606853
89,TILE,3.0212832507436196,0.07389671150194299
90,TOAD,15.579494404844223,0.00027522430810611453
91,TOMATO,1.0138662777921947,0.4007774518712395
92,TOXIC,0.29367627292564286,0.7507253825451665
93,TRACTOR,10.163962682951698,0.003897503256107604
94,WHALE,0.5144713926038156,0.6059097800904661
95,WHEAT,6.754452764659198,0.008842662848902116
96,WINTER,20.19360748174244,0.00010287019492893901
97,WITCHCRAFT,2.8574142224809447,0.09363188410022949
98,WOOD,3.7049844454338685,0.046184304862741055
99,ZUCCHINI,12.7260608638642,0.0007086041616074512
