word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.1476443111896515
SALMON,F,10,220,130,98,0.1472298800945282
SALMON,E,10,215,114,90,0.14710406959056854
SALMON,G,10,227,147,113,0.1468694657087326
SALMON,G,11,225,146,123,0.14673660695552826
WHALE,I,18,191,193,194,0.1284090280532837
WHALE,I,19,164,176,185,0.1238718330860138
WHALE,I,20,148,161,177,0.12307851016521454
WHALE,I,21,137,147,169,0.12240810692310333
WHALE,K,28,68,91,135,0.12177002429962158
GRIZZLY,B,1,115,71,37,0.15819808840751648
GRIZZLY,C,1,143,92,43,0.15756738185882568
GRIZZLY,A,1,82,48,27,0.15522000193595886
GRIZZLY,B,2,128,70,41,0.1537732481956482
GRIZZLY,A,2,90,47,30,0.15319415926933289
FLAMINGO,E,14,217,110,120,0.16292904317378998
FLAMINGO,F,14,217,130,129,0.16243040561676025
FLAMINGO,G,14,220,142,135,0.162201926112175
FLAMINGO,E,15,214,104,131,0.16200624406337738
FLAMINGO,E,13,211,112,112,0.16175149381160736
FOX,D,3,191,112,45,0.1468236744403839
FOX,D,5,200,104,46,0.14657144248485565
FOX,D,4,202,115,45,0.14623598754405975
FOX,C,3,164,89,46,0.1460581123828888
FOX,D,6,202,97,45,0.14599743485450745
CRICKET,I,18,191,193,194,0.14422380924224854
CRICKET,I,17,192,196,189,0.14015349745750427
CRICKET,I,15,204,200,166,0.1397971361875534
CRICKET,I,14,209,200,158,0.13864725828170776
CRICKET,I,13,207,190,146,0.1386394500732422
CANARY,L,1,229,216,45,0.19999048113822937
CANARY,L,2,228,217,53,0.19951391220092773
CANARY,L,3,227,217,60,0.19892562925815582
CANARY,K,2,234,219,67,0.19876939058303833
CANARY,K,3,234,219,71,0.19843626022338867
PIG,I,18,191,193,194,0.12971435487270355
PIG,H,15,218,165,158,0.12676367163658142
PIG,G,14,220,142,135,0.12556616961956024
PIG,H,14,222,163,143,0.12555958330631256
PIG,G,15,222,144,155,0.12548190355300903
TIGER,D,2,188,118,47,0.13515450060367584
TIGER,D,1,175,118,47,0.13442212343215942
TIGER,D,3,191,112,45,0.13364751636981964
TIGER,E,2,217,140,41,0.1333954632282257
TIGER,E,4,218,131,42,0.13252267241477966
LADYBUG,A,10,205,61,45,0.15891969203948975
LADYBUG,A,11,205,61,45,0.15891969203948975
LADYBUG,B,10,206,66,49,0.15856212377548218
LADYBUG,B,9,202,63,44,0.15848544239997864
LADYBUG,B,11,207,67,54,0.1584336757659912
FROG,O,4,132,168,64,0.14255350828170776
FROG,O,3,139,168,60,0.1423499882221222
FROG,O,5,126,166,66,0.14230239391326904
FROG,N,7,130,175,68,0.14224611222743988
FROG,N,6,147,183,68,0.1422184705734253
AXOLOTL,I,18,191,193,194,0.13353845477104187
AXOLOTL,I,17,192,196,189,0.1283944994211197
AXOLOTL,H,17,192,166,175,0.12440583109855652
AXOLOTL,I,16,194,198,180,0.12358585000038147
AXOLOTL,H,16,200,164,172,0.12254679203033447
TOAD,I,18,191,193,194,0.13463643193244934
TOAD,I,17,192,196,189,0.1321541965007782
TOAD,I,13,207,190,146,0.13176989555358887
TOAD,I,15,204,200,166,0.13151538372039795
TOAD,I,14,209,200,158,0.1299329698085785
LEMON,L,2,228,217,53,0.19124701619148254
LEMON,L,1,229,216,45,0.19120341539382935
LEMON,L,3,227,217,60,0.19092419743537903
LEMON,L,4,223,217,68,0.1907491534948349
LEMON,K,2,234,219,67,0.1897439807653427
LIME,N,4,161,186,60,0.21915802359580994
LIME,N,3,170,189,58,0.21902762353420258
LIME,N,5,154,184,62,0.21842004358768463
LIME,M,7,171,194,77,0.21804313361644745
LIME,M,6,182,198,73,0.2179531753063202
KIWI,N,4,161,186,60,0.18584224581718445
KIWI,N,3,170,189,58,0.18552370369434357
KIWI,N,5,154,184,62,0.18534734845161438
KIWI,O,1,147,170,59,0.18478849530220032
KIWI,O,2,144,170,60,0.18452270328998566
PUMPKIN,E,5,217,125,46,0.15513473749160767
PUMPKIN,E,4,218,131,42,0.15482035279273987
PUMPKIN,E,3,223,136,44,0.15467259287834167
PUMPKIN,E,6,213,114,50,0.15347063541412354
PUMPKIN,D,4,202,115,45,0.1528535783290863
ZUCCHINI,O,1,147,170,59,0.14651688933372498
ZUCCHINI,O,2,144,170,60,0.14619266986846924
ZUCCHINI,O,3,139,168,60,0.14587673544883728
ZUCCHINI,N,3,170,189,58,0.1458159238100052
ZUCCHINI,N,4,161,186,60,0.14557704329490662
GRAPE,A,25,131,58,113,0.15392649173736572
GRAPE,B,23,145,64,120,0.15302275121212006
GRAPE,C,23,139,71,124,0.15297427773475647
GRAPE,D,22,135,76,125,0.1529424488544464
GRAPE,C,22,146,74,127,0.1527482569217682
CUCUMBER,N,5,154,184,62,0.1656908392906189
CUCUMBER,O,3,139,168,60,0.1655053198337555
CUCUMBER,O,2,144,170,60,0.16543427109718323
CUCUMBER,N,6,147,183,68,0.16540926694869995
CUCUMBER,N,4,161,186,60,0.16531610488891602
COCONUT,I,18,191,193,194,0.14251770079135895
COCONUT,B,1,115,71,37,0.1402430236339569
COCONUT,C,1,143,92,43,0.1397734135389328
COCONUT,I,13,207,190,146,0.13923978805541992
COCONUT,A,1,82,48,27,0.13897117972373962
EGGPLANT,F,25,102,72,124,0.1579260528087616
EGGPLANT,E,26,100,68,127,0.15777966380119324
EGGPLANT,F,24,112,82,132,0.15771426260471344
EGGPLANT,A,30,97,59,117,0.15770679712295532
EGGPLANT,F,26,92,69,127,0.15770670771598816
ASPARAGUS,O,1,147,170,59,0.16095954179763794
ASPARAGUS,O,2,144,170,60,0.16043555736541748
ASPARAGUS,P,1,112,140,60,0.16019116342067719
ASPARAGUS,O,3,139,168,60,0.15992170572280884
ASPARAGUS,P,2,115,145,62,0.1596754938364029
PEACH,H,12,227,160,127,0.1833648383617401
PEACH,G,11,225,146,123,0.18263602256774902
PEACH,H,13,224,161,135,0.18262533843517303
PEACH,G,10,227,147,113,0.18260681629180908
PEACH,H,11,230,159,119,0.1824793517589569
APPLE,N,4,161,186,60,0.12891824543476105
APPLE,N,5,154,184,62,0.1288541704416275
