,Words,Stat,p-value
0,AMBER,0.28352890038917883,0.7584619297184341
1,AMETHYST,0.9142702996047866,0.4207590893455625
2,APPLE,114.10523300867027,2.155489453592452e-09
3,ASPARAGUS,4.533360207925021,0.03968441734020245
4,AUTUMN,11.199668756265813,0.002801040251915854
5,AXOLOTL,1.6019157325311426,0.23413341380715658
6,BANANA,0.907777123317392,0.42589774143558945
7,BARBIE,25.70825195571587,4.590644893753826e-05
8,BASIL,3.4631586767537836,0.051112880410890904
9,BEET,0.6584678779917393,0.5329580350830885
10,BLAS (Y EPI),1.1523597409066424,0.35844476081536014
11,BLOOD,1.1138988646685137,0.3524408630519229
12,BRICK,0.1327577105363247,0.8765762025280286
13,BRUSH,60.09853986012337,1.1997115575423933e-06
14,CANARY,15.606379684759773,0.0006133652772004616
15,CARNATION,1.3775221567474216,0.2751205941365089
16,COCONUT,3.3594797175394295,0.06051351391362181
17,COOKIE MONSTER,13.701143375989671,0.0013661840871072028
18,CORAL,3.3935892140695576,0.05615762194334539
19,CRICKET,7.169032031370278,0.00718298576015497
20,CUCUMBER,19.117484557517592,7.485260077111366e-05
21,DANGER,1.471177624824153,0.31445010174054244
22,DISGUST,1.1859850678329469,0.33091314180794573
23,ECOLOGY,39.88602154288404,1.7151197732601098e-05
24,EGG,10.090730298361374,0.0019335790611334502
25,EGGPLANT,1.1686048123226764,0.35384535333870937
26,ELMO,8.295579820782317,0.006359530012525649
27,EMERALD,18.075282237858296,0.00013211905853027783
28,EPI (Y BLAS),12.543152002728952,0.0034179595963093057
29,FEMINISM,19.730219234398685,0.00016078538966712852
30,FIRE,2.1798380863018134,0.14755324948643045
31,FLAMINGO,10.050859726655675,0.004046163992221907
32,FLASH,2.2306725024675935,0.1500705842348382
33,FOX,5.441159251090353,0.0191926362076994
34,FROG,7.271019047351053,0.005227005299369258
35,GOLD,45.43341770819797,9.234048603534717e-08
36,GRAPE,1.636621777905071,0.23523384771236777
37,GRASS,19.420874428161415,2.551912399850753e-05
38,GRINCH,7.880402275756717,0.008814605638162831
39,GRIZZLY,2.199107997114727,0.14536873528026417
40,HAPINESS,237.91083670587386,5.76970693444423e-11
41,HOPE,2.9286540006014783,0.08074258475422413
42,HULK,6.663408119412357,0.011313679728228054
43,HURRICANE,2.680775255958633,0.10106553929538009
44,JADE,0.3632193821812324,0.7010225397208795
45,KIWI,0.6444487256320958,0.5454341933490833
46,LADYBUG,269.1520862386303,2.6399105124141897e-11
47,LAPIS LAZULI,3.930578758952295,0.03727986530920413
48,LAVENDER,0.9286312044354164,0.4123014009760345
49,LEMON,9.146992514715738,0.0028776950679001434
50,LIME,0.44905933739521336,0.6494252023091174
51,LONELINESS,0.5881732299811129,0.5694606501088729
52,MALLOW,0.747970276231361,0.49594160239642704
53,MINT,6.667616721956046,0.0060431719077594925
54,MOSS,21.054306597609074,0.00011898413500133209
55,MUD,7.108787321358244,0.00919459061992367
56,PEACE,4.451547448598827,0.03188871667090609
57,PEACH,12.523549187600386,0.0006329968273133257
58,PEARL,2.405783153130089,0.11581322184148446
59,PETER PAN,35.76656804674816,1.5353374938964492e-05
60,PIG,5.95715568613012,0.010948549258595563
61,PIKACHU,1.5777765606809817,0.25377827267090813
62,POND,9.018345292034658,0.0034949554731921184
63,POPPY,1.8165707540374596,0.1911508465895948
64,PUMPKIN,0.8150157729819936,0.46570007767066957
65,RAGE,1.5610777703779866,0.24216453496445844
66,RELAX,7.624623847624687,0.005191885509505445
67,RUBY,5.951569047943826,0.010984577303629117
68,SADNESS,15.575037437263505,0.0017435305443170845
69,SALMON,0.8723015244887018,0.43815020476688993
70,SAND,10.99564780438233,0.0008621655563813002
71,SAPPHIRE,3.199793643660375,0.0741277128175496
72,SEA,9.294103952404521,0.003116874885296328
73,SHAME,2.676831105150716,0.09935298366415879
74,SHRECK,18.830942012613647,0.0006078005346664694
75,SIMPSON,3.9198586892830507,0.04270748538706859
76,SKIN,7.251187626427271,0.00980542208727464
77,SKY,2.8256359287858936,0.09314544103977318
78,SMURF,3.2044850261264854,0.08005857180989084
79,SONIC,6.624045204846803,0.0069829865183133055
80,SPRING,4.774679225216806,0.02787786771179457
81,STITCH,11.092449366672225,0.0028956046473892494
82,SUBMARINE,15.919653989631833,0.0007799693494212612
83,SUMMER,69.10579447774302,1.3428384404434723e-08
84,SUNFLOWER,5.070346097582837,0.023560556453402826
85,SUNRISE,3.7044820921835466,0.04620046593735949
86,SUNSET,8.659289050989619,0.006572181437513591
87,THUNDERBOLT,4.029710902921165,0.04147031882888352
88,TIGER,1.9715969231751151,0.17369424016120483
89,TILE,23.65400820093622,9.178127945541625e-06
90,TOAD,18.31503467812729,0.00012360515785247994
91,TOMATO,58.346765327034106,7.0336884513411135e-06
92,TOXIC,3.8212398729761503,0.051988775946985255
93,TRACTOR,78.01436629031332,7.926541484293281e-07
94,WHALE,4.516216306688692,0.02485316677531102
95,WHEAT,27.27844998260992,1.4809420033401466e-05
96,WINTER,21.392415160024633,7.731736295057967e-05
97,WITCHCRAFT,1.6009195598923582,0.2390362350156916
98,WOOD,5.811841251873729,0.011930235882480766
99,ZUCCHINI,38.89403744810085,1.9204031973529823e-06
