word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,13,213,130,122,0.2504940330982208
SALMON,F,12,219,133,119,0.2504541277885437
SALMON,G,13,221,143,129,0.2503608167171478
SALMON,E,11,211,117,103,0.2500446140766144
SALMON,G,12,223,145,126,0.24997085332870483
WHALE,J,26,82,103,143,0.23389384150505066
WHALE,K,28,68,91,135,0.23336541652679443
WHALE,J,25,91,118,155,0.233351469039917
WHALE,L,29,73,99,146,0.23316273093223572
WHALE,J,27,77,95,143,0.2327650785446167
GRIZZLY,A,1,82,48,27,0.21911966800689697
GRIZZLY,A,2,90,47,30,0.2166508436203003
GRIZZLY,B,1,115,71,37,0.21222329139709473
GRIZZLY,A,3,99,43,32,0.211654394865036
GRIZZLY,I,18,191,193,194,0.20832589268684387
FLAMINGO,D,16,207,85,124,0.2572006583213806
FLAMINGO,E,15,214,104,131,0.257049560546875
FLAMINGO,E,16,205,110,140,0.2569549083709717
FLAMINGO,D,17,191,88,127,0.2565179765224457
FLAMINGO,C,18,191,78,125,0.2560542821884155
FOX,E,6,213,114,50,0.23274129629135132
FOX,D,5,200,104,46,0.23267781734466553
FOX,D,6,202,97,45,0.23250505328178406
FOX,D,4,202,115,45,0.23233062028884888
FOX,E,5,217,125,46,0.2321711629629135
CRICKET,I,15,204,200,166,0.21471379697322845
CRICKET,I,14,209,200,158,0.21371613442897797
CRICKET,I,13,207,190,146,0.21217915415763855
CRICKET,I,16,194,198,180,0.2118416726589203
CRICKET,J,15,195,203,165,0.21060414612293243
CANARY,J,2,235,211,51,0.25869476795196533
CANARY,L,1,229,216,45,0.2586778402328491
CANARY,J,3,239,213,61,0.258551687002182
CANARY,J,1,224,203,44,0.25840339064598083
CANARY,K,2,234,219,67,0.2582889795303345
PIG,F,17,189,129,153,0.22414091229438782
PIG,G,16,206,150,162,0.22411169111728668
PIG,F,16,202,130,150,0.22351887822151184
PIG,G,17,192,152,164,0.22327028214931488
PIG,H,16,200,164,172,0.22299200296401978
TIGER,E,4,218,131,42,0.22611795365810394
TIGER,E,2,217,140,41,0.2259633094072342
TIGER,E,3,223,136,44,0.2258017510175705
TIGER,E,1,203,141,42,0.22537317872047424
TIGER,D,1,175,118,47,0.225323885679245
LADYBUG,B,12,209,65,59,0.23311083018779755
LADYBUG,A,14,203,57,56,0.2329949289560318
LADYBUG,A,13,194,54,46,0.23242776095867157
LADYBUG,B,13,201,60,63,0.23223662376403809
LADYBUG,A,10,205,61,45,0.23204365372657776
FROG,N,11,100,157,71,0.2431502342224121
FROG,N,12,97,156,76,0.24292311072349548
FROG,N,10,106,159,69,0.24278829991817474
FROG,N,13,95,158,79,0.24273446202278137
FROG,O,9,93,145,69,0.24264919757843018
AXOLOTL,F,17,189,129,153,0.2326468825340271
AXOLOTL,F,18,178,127,153,0.2325708568096161
AXOLOTL,G,17,192,152,164,0.2321830689907074
AXOLOTL,G,18,185,148,162,0.23200315237045288
AXOLOTL,G,16,206,150,162,0.23173727095127106
TOAD,K,15,163,188,147,0.21550536155700684
TOAD,K,16,170,198,166,0.2148837298154831
TOAD,J,16,187,201,178,0.21419760584831238
TOAD,K,14,163,183,135,0.21388055384159088
TOAD,J,15,195,203,165,0.21369025111198425
LEMON,M,4,202,207,62,0.28134578466415405
LEMON,L,6,215,214,82,0.2812833786010742
LEMON,M,3,206,206,55,0.28121697902679443
LEMON,L,4,223,217,68,0.28110888600349426
LEMON,M,2,208,206,51,0.28097888827323914
LIME,N,5,154,184,62,0.3052975833415985
LIME,N,6,147,183,68,0.3052639365196228
LIME,N,4,161,186,60,0.30358269810676575
LIME,M,8,158,189,81,0.3033430278301239
LIME,N,7,130,175,68,0.30300354957580566
KIWI,N,7,130,175,68,0.2661033868789673
KIWI,N,6,147,183,68,0.2660943865776062
KIWI,O,4,132,168,64,0.26603347063064575
KIWI,N,8,126,173,68,0.2659386098384857
KIWI,O,5,126,166,66,0.265774667263031
PUMPKIN,E,5,217,125,46,0.27455976605415344
PUMPKIN,D,4,202,115,45,0.2738274931907654
PUMPKIN,E,4,218,131,42,0.2735777199268341
PUMPKIN,E,6,213,114,50,0.27325376868247986
PUMPKIN,E,3,223,136,44,0.272956520318985
ZUCCHINI,O,22,100,163,117,0.24955546855926514
ZUCCHINI,M,17,125,177,129,0.24952414631843567
ZUCCHINI,O,21,104,165,112,0.24943631887435913
ZUCCHINI,N,18,109,168,114,0.24934110045433044
ZUCCHINI,M,18,128,180,138,0.24918189644813538
GRAPE,C,28,102,62,123,0.2711954712867737
GRAPE,B,29,100,61,121,0.2711690664291382
GRAPE,A,30,97,59,117,0.2711199223995209
GRAPE,D,26,108,66,123,0.27098846435546875
GRAPE,E,25,106,67,121,0.2709672451019287
CUCUMBER,O,22,100,163,117,0.25504475831985474
CUCUMBER,N,21,111,173,130,0.25502291321754456
CUCUMBER,M,18,128,180,138,0.2549586296081543
CUCUMBER,M,17,125,177,129,0.2549387216567993
CUCUMBER,M,19,130,182,141,0.2548847794532776
COCONUT,A,1,82,48,27,0.2350917011499405
COCONUT,A,2,90,47,30,0.23344109952449799
COCONUT,B,1,115,71,37,0.23121340572834015
COCONUT,B,2,128,70,41,0.22984899580478668
COCONUT,C,2,150,87,44,0.22841840982437134
EGGPLANT,C,30,85,50,118,0.2972492575645447
EGGPLANT,D,29,82,52,118,0.2972014546394348
EGGPLANT,D,28,91,56,119,0.2969401776790619
EGGPLANT,E,28,83,52,121,0.29689669609069824
EGGPLANT,E,27,92,62,124,0.29654374718666077
ASPARAGUS,P,3,107,142,64,0.2618074417114258
ASPARAGUS,P,4,102,139,65,0.26165756583213806
ASPARAGUS,P,2,115,145,62,0.2615516185760498
ASPARAGUS,P,1,112,140,60,0.26142293214797974
ASPARAGUS,O,6,111,158,69,0.26114845275878906
PEACH,G,12,223,145,126,0.2884734272956848
PEACH,H,13,224,161,135,0.288396418094635
PEACH,G,11,225,146,123,0.2882872521877289
PEACH,H,14,222,163,143,0.28822770714759827
PEACH,G,13,221,143,129,0.28777891397476196
APPLE,D,15,206,85,112,0.22858445346355438
APPLE,E,15,214,104,131,0.2284930795431137
APPLE,C,15,207,67,99,0.228489488363266
APPLE,D,16,207,85,124,0.22817136347293854
APPLE,E,16,205,110,140,0.2281152606010437
EGG,J,7,238,220,101,0.22277767956256866
EGG,I,8,235,194,96,0.22267481684684753
EGG,I,9,231,195,106,0.22266173362731934
EGG,J,6,240,218,93,0.22265252470970154
EGG,I,11,225,195,128,0.22259604930877686
BANANA,M,1,211,207,48,0.2546865940093994
BANANA,M,2,208,206,51,0.2546180784702301
BANANA,M,3,206,206,55,0.2545095384120941
BANANA,L,4,223,217,68,0.2544505000114441
BANANA,L,3,227,217,60,0.25432485342025757
TOMATO,B,8,196,61,46,0.25974756479263306
TOMATO,B,11,207,67,54,0.2597256600856781
TOMATO,A,9,192,58,44,0.2597089409828186
TOMATO,A,12,195,57,41,0.259689062833786
TOMATO,B,10,206,66,49,0.2596011161804199
BEET,A,21,168,55,115,0.2601501941680908
BEET,A,22,159,58,117,0.2600107192993164
BEET,A,23,152,59,116,0.2600078582763672
BEET,A,20,175,49,110,0.25987720489501953
BEET,A,19,184,48,108,0.25864070653915405
PEARL,I,15,204,200,166,0.24460889399051666
PEARL,I,16,194,198,180,0.2441895753145218
PEARL,I,14,209,200,158,0.2422885298728943
PEARL,I,17,192,196,189,0.2415742725133896
PEARL,I,13,207,190,146,0.23982129991054535
AMETHYST,F,26,92,69,127,0.2777935266494751
AMETHYST,E,27,92,62,124,0.2773337960243225
AMETHYST,E,26,100,68,127,0.2771478295326233
AMETHYST,G,25,94,81,128,0.27714645862579346
AMETHYST,F,25,102,72,124,0.27700504660606384
SAPPHIRE,I,30,48,65,124,0.25213226675987244
SAPPHIRE,K,30,65,82,135,0.25083085894584656
SAPPHIRE,J,30,59,68,123,0.2503349781036377
SAPPHIRE,H,30,49,56,116,0.25024887919425964
SAPPHIRE,J,28,70,87,138,0.24986159801483154
GOLD,D,1,175,118,47,0.2649858593940735
GOLD,E,1,203,141,42,0.26435089111328125
GOLD,I,11,225,195,128,0.26384925842285156
GOLD,G,1,221,168,33,0.26271939277648926
GOLD,I,12,220,198,142,0.26246535778045654
RUBY,A,18,192,50,97,0.254453182220459
RUBY,A,17,197,53,86,0.25231051445007324
RUBY,A,19,184,48,108,0.2520914375782013
RUBY,A,20,175,49,110,0.2518939971923828
RUBY,B,16,207,57,93,0.25083810091018677
JADE,P,10,65,118,66,0.2553240656852722
JADE,O,23,98,163,127,0.2549847364425659
JADE,O,22,100,163,117,0.25457867980003357
JADE,P,11,63,120,66,0.254448264837265
JADE,P,23,88,158,113,0.2544441819190979
TILE,I,17,192,196,189,0.23077325522899628
TILE,I,16,194,198,180,0.2274131178855896
TILE,I,18,191,193,194,0.22631582617759705
TILE,J,17,181,202,191,0.22593224048614502
TILE,J,18,180,202,194,0.2257547527551651
LAPIS LAZULI,I,30,48,65,124,0.2828894555568695
LAPIS LAZULI,H,30,49,56,116,0.2796199321746826
LAPIS LAZULI,J,30,59,68,123,0.2765143811702728
LAPIS LAZULI,I,29,62,71,129,0.27602434158325195
LAPIS LAZULI,K,30,65,82,135,0.2749275267124176
AMBER,D,1,175,118,47,0.25789862871170044
AMBER,D,2,188,118,47,0.25690197944641113
AMBER,E,1,203,141,42,0.2559565007686615
AMBER,E,2,217,140,41,0.25566214323043823
AMBER,D,3,191,112,45,0.2551582455635071
BRICK,B,3,136,67,39,0.24549677968025208
BRICK,B,4,150,70,45,0.24528159201145172
BRICK,B,2,128,70,41,0.2438739389181137
BRICK,A,3,99,43,32,0.24356693029403687
BRICK,B,5,158,65,44,0.24254849553108215
EMERALD,P,24,87,159,119,0.2770513892173767
EMERALD,P,23,88,158,113,0.27525749802589417
EMERALD,P,25,85,160,130,0.2741105258464813
EMERALD,P,11,63,120,66,0.27357640862464905
EMERALD,P,12,67,127,70,0.2722727358341217
SUNFLOWER,I,5,239,203,76,0.24313616752624512
SUNFLOWER,I,4,238,198,69,0.24312999844551086
SUNFLOWER,I,3,235,197,59,0.2429259568452835
SUNFLOWER,H,2,237,188,52,0.2428903877735138
SUNFLOWER,H,1,230,186,38,0.24286890029907227
BASIL,O,9,93,145,69,0.2578928470611572
BASIL,P,6,88,138,67,0.2577032148838043
BASIL,O,8,97,147,69,0.2576446533203125
BASIL,O,10,83,138,68,0.2574956715106964
BASIL,N,12,97,156,76,0.2574951946735382
MALLOW,G,20,152,123,154,0.2519281506538391
MALLOW,G,21,142,115,151,0.2515973150730133
MALLOW,F,20,152,110,146,0.25068584084510803
MALLOW,H,21,142,131,158,0.25025278329849243
MALLOW,G,22,127,106,145,0.2502259612083435
LAVENDER,H,22,125,121,154,0.30948662757873535
LAVENDER,H,23,112,109,149,0.3088524341583252
LAVENDER,H,24,105,103,145,0.3071679472923279
LAVENDER,H,21,142,131,158,0.3057791292667389
LAVENDER,G,23,118,98,141,0.30361688137054443
POPPY,A,16,201,57,74,0.23609715700149536
POPPY,B,14,196,58,67,0.23599672317504883
POPPY,A,15,205,59,66,0.2359321117401123
POPPY,A,14,203,57,56,0.23576676845550537
POPPY,A,13,194,54,46,0.23562540113925934
WHEAT,I,13,207,190,146,0.2527172565460205
WHEAT,I,12,220,198,142,0.25052711367607117
WHEAT,I,14,209,200,158,0.24969099462032318
WHEAT,I,11,225,195,128,0.24907322227954865
WHEAT,I,15,204,200,166,0.2475971281528473
CARNATION,E,16,205,110,140,0.2302790880203247
CARNATION,E,15,214,104,131,0.23000389337539673
CARNATION,F,15,218,127,144,0.22997434437274933
CARNATION,G,15,222,144,155,0.22980786859989166
CARNATION,D,16,207,85,124,0.22970986366271973
CORAL,E,12,211,111,104,0.2659991979598999
CORAL,D,12,207,96,91,0.2656330466270447
CORAL,D,11,208,96,88,0.2655448019504547
CORAL,E,11,211,117,103,0.2654123902320862
CORAL,E,13,211,112,112,0.2652612328529358
MINT,L,19,140,190,165,0.2943947911262512
MINT,M,20,124,180,147,0.2938022315502167
MINT,M,21,117,180,153,0.2935737669467926
MINT,N,22,105,169,137,0.2927609086036682
MINT,L,20,134,188,172,0.29207101464271545
WOOD,B,1,115,71,37,0.23184677958488464
WOOD,C,1,143,92,43,0.2315170168876648
WOOD,A,1,82,48,27,0.2304786890745163
WOOD,C,2,150,87,44,0.22974029183387756
WOOD,B,2,128,70,41,0.22900190949440002
HURRICANE,L,28,74,106,150,0.2191265970468521
HURRICANE,K,27,77,109,149,0.2190718948841095
HURRICANE,J,25,91,118,155,0.21904458105564117
HURRICANE,M,30,67,101,147,0.21883457899093628
HURRICANE,K,26,85,118,157,0.2188044786453247
SKIN,H,12,227,160,127,0.2302207350730896
SKIN,G,15,222,144,155,0.2301105111837387
SKIN,H,11,230,159,119,0.23007714748382568
SKIN,H,13,224,161,135,0.22966331243515015
SKIN,H,9,229,163,106,0.22929754853248596
FIRE,B,9,202,63,44,0.22585631906986237
FIRE,A,10,205,61,45,0.22564543783664703
FIRE,A,11,205,61,45,0.22564543783664703
FIRE,A,12,195,57,41,0.22553794085979462
FIRE,C,8,205,72,45,0.2254551351070404
SAND,I,13,207,190,146,0.25398972630500793
SAND,I,14,209,200,158,0.2509697377681732
SAND,I,12,220,198,142,0.24964480102062225
SAND,I,15,204,200,166,0.24875426292419434
SAND,I,11,225,195,128,0.24536240100860596
SEA,K,21,130,186,197,0.23053695261478424
SEA,J,20,146,185,193,0.2299794852733612
SEA,K,22,119,178,193,0.22996646165847778
SEA,J,21,134,171,185,0.22979575395584106
SEA,L,22,112,177,179,0.22941607236862183
MUD,A,1,82,48,27,0.24056844413280487
MUD,A,2,90,47,30,0.2374633401632309
MUD,B,1,115,71,37,0.23667661845684052
MUD,B,2,128,70,41,0.23167535662651062
MUD,C,1,143,92,43,0.22997504472732544
GRASS,P,5,96,142,67,0.25974857807159424
GRASS,P,4,102,139,65,0.2596990466117859
GRASS,N,10,106,159,69,0.25968390703201294
GRASS,O,7,106,155,70,0.25961974263191223
GRASS,O,6,111,158,69,0.25958001613616943
POND,P,1,112,140,60,0.22302424907684326
POND,P,3,107,142,64,0.22227531671524048
POND,P,2,115,145,62,0.22223159670829773
POND,P,4,102,139,65,0.22218960523605347
POND,K,15,163,188,147,0.22063836455345154
SUNRISE,F,2,230,162,42,0.21957674622535706
SUNRISE,G,3,235,169,52,0.21953749656677246
SUNRISE,F,3,228,158,50,0.21931906044483185
SUNRISE,E,3,223,136,44,0.21926020085811615
SUNRISE,G,4,234,169,63,0.21913231909275055
MOSS,P,1,112,140,60,0.2765333652496338
MOSS,P,2,115,145,62,0.27505797147750854
MOSS,P,3,107,142,64,0.2729564905166626
MOSS,P,4,102,139,65,0.2714492082595825
MOSS,O,3,139,168,60,0.27079465985298157
SKY,J,22,123,155,177,0.24062496423721313
SKY,J,23,112,144,171,0.24045339226722717
SKY,J,24,102,130,162,0.23983189463615417
SKY,K,24,102,146,172,0.23930798470973969
SKY,K,25,95,135,166,0.2389238178730011
THUNDERBOLT,I,20,148,161,177,0.23519623279571533
THUNDERBOLT,I,19,164,176,185,0.2343222200870514
THUNDERBOLT,I,22,124,140,165,0.2330913543701172
THUNDERBOLT,I,21,137,147,169,0.23307159543037415
THUNDERBOLT,J,24,102,130,162,0.23294928669929504
BLOOD,A,6,130,45,39,0.24215376377105713
BLOOD,A,5,124,45,38,0.24172793328762054
BLOOD,A,4,109,44,35,0.23927298188209534
BLOOD,A,7,143,48,41,0.23923934996128082
BLOOD,A,3,99,43,32,0.23537912964820862
SUNSET,F,11,223,134,112,0.21527688205242157
SUNSET,E,3,223,136,44,0.2151276171207428
SUNSET,G,10,227,147,113,0.21503373980522156
SUNSET,G,11,225,146,123,0.21493905782699585
SUNSET,H,10,235,159,109,0.2148910015821457
SHAME,A,21,168,55,115,0.21442973613739014
SHAME,A,22,159,58,117,0.21442818641662598
