,Words,Stat,p-value
0,AMBER,1.7384250502416758,0.2207762446529361
1,AMETHYST,1.7736847688957882,0.2014898971354141
2,APPLE,37.79228394432934,2.276479937668441e-06
3,ASPARAGUS,10.444087480228177,0.003556630569617969
4,AUTUMN,9.01956873622118,0.0057700124518205165
5,AXOLOTL,3.07072677091414,0.07623828523896259
6,BANANA,11.291386344418072,0.001202153485880042
7,BARBIE,7.300414279015677,0.008427844059540224
8,BASIL,0.562591466760694,0.5784890896398065
9,BEET,1.1929247869918171,0.3323636383094267
10,BLAS (Y EPI),0.12720837337801455,0.8821055502620189
11,BLOOD,5.1223652790302285,0.019081957039615904
12,BRICK,0.11989638858201375,0.8877557231476757
13,BRUSH,41.011275252042275,7.951049048271486e-06
14,CANARY,0.4471493499495658,0.6505731638151107
15,CARNATION,1.54067867796786,0.2386088275507635
16,COCONUT,1.015313881284851,0.3844794043211526
17,COOKIE MONSTER,7.0724222793201355,0.01218647020274588
18,CORAL,0.8239044613193716,0.45459579343713075
19,CRICKET,10.382799300081087,0.001717308300008269
20,CUCUMBER,5.016453443051346,0.021470878452261255
21,DANGER,933.2835576683048,3.689024133946006e-07
22,DISGUST,0.7071952026217944,0.5078011141304776
23,ECOLOGY,26.237501886092886,0.00010506753537387059
24,EGG,6.136631056300273,0.012198270506794118
25,EGGPLANT,3.6772694427563506,0.06803289088845477
26,ELMO,1.9554750398939482,0.18766380991650833
27,EMERALD,4.5345090260879015,0.030317437263222446
28,EPI (Y BLAS),0.68097321321335,0.533206385507798
29,FEMINISM,7.170203527907061,0.00894031011547547
30,FIRE,0.9887412557950904,0.3950342531232779
31,FLAMINGO,6.563860111541728,0.015112484725301023
32,FLASH,2.7655813167391,0.10285446853766456
33,FOX,1.2021721500095608,0.3318569215077478
34,FROG,1.6434496944816828,0.22257818215777125
35,GOLD,45.26585417900446,9.493859354225975e-08
36,GRAPE,2.532327463798009,0.12092119000845758
37,GRASS,4.737615255346092,0.021415111942580944
38,GRINCH,23.536205984112872,0.0001651463066549841
39,GRIZZLY,8.259954471444841,0.0038132676266644516
40,HAPINESS,275.32662414096427,2.2858825943217198e-11
41,HOPE,29.770373369952885,2.7907949264882603e-06
42,HULK,22.553641856789845,8.608717465119486e-05
43,HURRICANE,9.611757831971053,0.002057073383431307
44,JADE,0.7619626343927149,0.4829572852532289
45,KIWI,2.017201497634022,0.18366664153867263
46,LADYBUG,5.316593152932915,0.02054645867190552
47,LAPIS LAZULI,3.9297674472628055,0.03730126604413753
48,LAVENDER,1.4494362936256002,0.25950905711228356
49,LEMON,6.679325035666192,0.009188266797564903
50,LIME,0.4500128127131821,0.6488530300535696
51,LONELINESS,0.570438993176931,0.5788091026817701
52,MALLOW,1.596845076207116,0.24611353952470694
53,MINT,11.717714480376568,0.0004284092188647781
54,MOSS,16.501749377981362,0.0003594262591042341
55,MUD,1.3832548903282178,0.288018465315534
56,PEACE,28.396219510546583,1.183009199889895e-05
57,PEACH,13.395419368707225,0.0004598077498975117
58,PEARL,0.39270805332825226,0.6803191959420851
59,PETER PAN,4.4242878251499205,0.03891780703930947
60,PIG,2.379347972648303,0.12272597545322339
61,PIKACHU,13.767648300492954,0.001342149024640804
62,POND,27.609803648702616,2.090363877382817e-05
63,POPPY,1.677924957523252,0.21468455708359824
64,PUMPKIN,0.8800055404715281,0.4399210816215364
65,RAGE,1.357055422540044,0.2872693280158928
66,RELAX,3.9633383469826327,0.041507458521557794
67,RUBY,5.947695810589539,0.011009633459334922
68,SADNESS,1.3097207763004999,0.3220721941922702
69,SALMON,0.24800358295551297,0.7834943677497055
70,SAND,17.64822522096707,7.108893763885238e-05
71,SAPPHIRE,3.199154290162262,0.074159480085223
72,SEA,5.3859323406930875,0.019779744105979713
73,SHAME,3.6728647727943886,0.04867436125441016
74,SHRECK,10.37439047881907,0.004607655594267568
75,SIMPSON,0.7475575005395536,0.4903648536255236
76,SKIN,7.071707216872611,0.010600500536596558
77,SKY,15.782163894259153,0.0002585362690784576
78,SMURF,3.4852363630057357,0.06723300290974477
79,SONIC,16.861154773245502,7.48775048496908e-05
80,SPRING,3.648716554881656,0.055241379761427734
81,STITCH,32.630474868409465,4.1414414661322674e-05
82,SUBMARINE,3.8055113063136337,0.059030590338950084
83,SUMMER,197.2769566024418,5.32107691242345e-12
84,SUNFLOWER,3.8067237645688548,0.049963480160092666
85,SUNRISE,1.197999367435553,0.32603376653040095
86,SUNSET,11.99398371459822,0.002204824534988159
87,THUNDERBOLT,7.0408064271367286,0.007654942203519033
88,TIGER,1.2968795795222992,0.30233931395835656
89,TILE,2.925919648415355,0.07938814870931399
90,TOAD,78.958227127135,2.3750575173231425e-08
91,TOMATO,0.12937230018491339,0.8802515992143044
92,TOXIC,29.55192349504061,2.3106219046997722e-05
93,TRACTOR,33.17207913403511,3.855857223344916e-05
94,WHALE,4.930841724039103,0.018840978230543648
95,WHEAT,27.27488222969952,1.4820214234601004e-05
96,WINTER,18.142043858746835,0.00017299681113414067
97,WITCHCRAFT,3.603442954879135,0.056870331385415085
98,WOOD,1.8280838099196872,0.1909382615498474
99,ZUCCHINI,0.9722621904344151,0.4023604333526607
