word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.3733727037906647
SALMON,E,10,215,114,90,0.37335190176963806
SALMON,F,10,220,130,98,0.3728656470775604
SALMON,E,9,212,109,77,0.3725771903991699
SALMON,G,11,225,146,123,0.3723279535770416
WHALE,M,27,75,130,160,0.37015512585639954
WHALE,O,30,75,135,167,0.37015318870544434
WHALE,N,29,75,128,163,0.3700515329837799
WHALE,N,28,77,141,173,0.3700126111507416
WHALE,O,29,75,143,168,0.36978480219841003
GRIZZLY,A,7,143,48,41,0.35982948541641235
GRIZZLY,A,6,130,45,39,0.3597821891307831
GRIZZLY,A,5,124,45,38,0.3594300448894501
GRIZZLY,A,8,165,53,45,0.3592814803123474
GRIZZLY,C,27,105,59,118,0.3583584427833557
FLAMINGO,F,15,218,127,144,0.38647210597991943
FLAMINGO,G,15,222,144,155,0.38606327772140503
FLAMINGO,E,15,214,104,131,0.3860451281070709
FLAMINGO,E,16,205,110,140,0.38536304235458374
FLAMINGO,F,14,217,130,129,0.3851022720336914
FOX,E,6,213,114,50,0.3788834512233734
FOX,E,5,217,125,46,0.37831079959869385
FOX,D,7,211,99,50,0.37806984782218933
FOX,D,6,202,97,45,0.37769073247909546
FOX,E,7,212,113,63,0.3775629997253418
CRICKET,K,15,163,188,147,0.3600319027900696
CRICKET,J,15,195,203,165,0.3588999807834625
CRICKET,K,14,163,183,135,0.35838696360588074
CRICKET,K,16,170,198,166,0.3579687476158142
CRICKET,J,16,187,201,178,0.3578517436981201
CANARY,K,6,227,220,95,0.4007181227207184
CANARY,K,5,230,221,85,0.4006405770778656
CANARY,L,4,223,217,68,0.400590717792511
CANARY,K,7,221,217,108,0.40055832266807556
CANARY,L,6,215,214,82,0.40046870708465576
PIG,G,16,206,150,162,0.36075907945632935
PIG,G,15,222,144,155,0.3605390787124634
PIG,F,16,202,130,150,0.3599289655685425
PIG,F,15,218,127,144,0.35896939039230347
PIG,H,16,200,164,172,0.35824882984161377
TIGER,E,4,218,131,42,0.37205106019973755
TIGER,E,3,223,136,44,0.3719618320465088
TIGER,E,5,217,125,46,0.3719245195388794
TIGER,D,4,202,115,45,0.3713436424732208
TIGER,E,2,217,140,41,0.3709656298160553
LADYBUG,C,9,210,75,50,0.36098992824554443
LADYBUG,C,8,205,72,45,0.36082470417022705
LADYBUG,C,7,199,74,46,0.35998910665512085
LADYBUG,B,9,202,63,44,0.35948657989501953
LADYBUG,B,10,206,66,49,0.35932594537734985
FROG,K,15,163,188,147,0.3702889680862427
FROG,P,8,77,130,68,0.3689214289188385
FROG,P,9,70,126,68,0.3688891530036926
FROG,P,10,65,118,66,0.368848979473114
FROG,K,14,163,183,135,0.3688346743583679
AXOLOTL,J,16,187,201,178,0.35194891691207886
AXOLOTL,K,15,163,188,147,0.35154640674591064
AXOLOTL,I,16,194,198,180,0.35111647844314575
AXOLOTL,K,16,170,198,166,0.3504502475261688
AXOLOTL,J,15,195,203,165,0.34901371598243713
TOAD,K,15,163,188,147,0.34474989771842957
TOAD,K,14,163,183,135,0.34302395582199097
TOAD,J,16,187,201,178,0.34275564551353455
TOAD,J,15,195,203,165,0.3419828712940216
TOAD,K,16,170,198,166,0.3417994976043701
LEMON,K,6,227,220,95,0.4120101034641266
LEMON,L,6,215,214,82,0.4117918014526367
LEMON,K,5,230,221,85,0.4117893874645233
LEMON,K,7,221,217,108,0.41176873445510864
LEMON,L,4,223,217,68,0.41151297092437744
LIME,N,5,154,184,62,0.4323088526725769
LIME,N,4,161,186,60,0.43198126554489136
LIME,N,6,147,183,68,0.43171757459640503
LIME,M,7,171,194,77,0.43137258291244507
LIME,M,8,158,189,81,0.43085014820098877
KIWI,O,1,147,170,59,0.38653987646102905
KIWI,N,4,161,186,60,0.38647228479385376
KIWI,N,3,170,189,58,0.3864421844482422
KIWI,O,2,144,170,60,0.38617682456970215
KIWI,M,7,171,194,77,0.3859698176383972
PUMPKIN,E,5,217,125,46,0.38812410831451416
PUMPKIN,E,3,223,136,44,0.3878474235534668
PUMPKIN,E,6,213,114,50,0.3875531554222107
PUMPKIN,E,4,218,131,42,0.38751474022865295
PUMPKIN,D,4,202,115,45,0.3859604597091675
ZUCCHINI,P,11,63,120,66,0.35877493023872375
ZUCCHINI,O,1,147,170,59,0.35865235328674316
ZUCCHINI,P,12,67,127,70,0.3584848642349243
ZUCCHINI,N,3,170,189,58,0.35833483934402466
ZUCCHINI,P,9,70,126,68,0.35825592279434204
GRAPE,F,22,131,95,137,0.4070482850074768
GRAPE,F,23,123,87,135,0.406671404838562
GRAPE,F,21,140,104,143,0.40658992528915405
GRAPE,F,24,112,82,132,0.40641772747039795
GRAPE,E,25,106,67,121,0.4063650965690613
CUCUMBER,K,15,163,188,147,0.3668883442878723
CUCUMBER,K,16,170,198,166,0.36683666706085205
CUCUMBER,L,15,147,185,134,0.3656477630138397
CUCUMBER,L,16,146,186,143,0.3653722107410431
CUCUMBER,P,15,70,145,67,0.36491793394088745
COCONUT,A,1,82,48,27,0.36624622344970703
COCONUT,B,1,115,71,37,0.3651629090309143
COCONUT,A,2,90,47,30,0.36339202523231506
COCONUT,B,2,128,70,41,0.362542986869812
COCONUT,C,1,143,92,43,0.362506240606308
EGGPLANT,F,23,123,87,135,0.4171499013900757
EGGPLANT,E,24,119,77,129,0.41679495573043823
EGGPLANT,F,24,112,82,132,0.4167511463165283
EGGPLANT,E,25,106,67,121,0.4167099595069885
EGGPLANT,F,25,102,72,124,0.4164665639400482
ASPARAGUS,J,15,195,203,165,0.3827595114707947
ASPARAGUS,J,14,190,196,156,0.38203877210617065
ASPARAGUS,J,13,197,200,155,0.3813587427139282
ASPARAGUS,J,12,203,205,152,0.37938278913497925
ASPARAGUS,K,14,163,183,135,0.37890979647636414
PEACH,H,14,222,163,143,0.40959852933883667
PEACH,H,13,224,161,135,0.4084841310977936
PEACH,G,12,223,145,126,0.40805068612098694
PEACH,G,11,225,146,123,0.4074554741382599
PEACH,G,13,221,143,129,0.40729930996894836
APPLE,J,15,195,203,165,0.35452234745025635
APPLE,K,13,175,195,138,0.35326823592185974
APPLE,K,15,163,188,147,0.3532230257987976
APPLE,B,15,205,59,81,0.35252463817596436
APPLE,C,13,207,75,83,0.3524574637413025
EGG,J,15,195,203,165,0.36661583185195923
EGG,J,12,203,205,152,0.36575847864151
EGG,J,13,197,200,155,0.3657446503639221
EGG,J,14,190,196,156,0.3650153875350952
EGG,I,15,204,200,166,0.3648020029067993
BANANA,K,7,221,217,108,0.40129420161247253
BANANA,K,8,214,213,110,0.4009423851966858
BANANA,K,6,227,220,95,0.4005434811115265
BANANA,J,8,226,213,114,0.3999099135398865
BANANA,K,5,230,221,85,0.39977753162384033
TOMATO,B,10,206,66,49,0.38544005155563354
TOMATO,C,9,210,75,50,0.3853859305381775
TOMATO,B,9,202,63,44,0.385257363319397
TOMATO,A,10,205,61,45,0.3851526081562042
TOMATO,A,11,205,61,45,0.3851526081562042
BEET,A,19,184,48,108,0.3816607594490051
