word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,J,19,165,194,195,0.2213555872440338
SALMON,J,20,146,185,193,0.2193438708782196
SALMON,L,25,90,147,176,0.21838414669036865
SALMON,J,21,134,171,185,0.21822325885295868
SALMON,N,28,77,141,173,0.21800941228866577
WHALE,I,18,191,193,194,0.31002479791641235
WHALE,I,17,192,196,189,0.30045419931411743
WHALE,I,19,164,176,185,0.2997925281524658
WHALE,I,20,148,161,177,0.29422760009765625
WHALE,J,22,123,155,177,0.28815603256225586
GRIZZLY,I,14,209,200,158,0.32169875502586365
GRIZZLY,I,10,228,200,119,0.32086098194122314
GRIZZLY,I,15,204,200,166,0.3204188942909241
GRIZZLY,I,12,220,198,142,0.31921109557151794
GRIZZLY,I,13,207,190,146,0.3182128071784973
FLAMINGO,I,18,191,193,194,0.20225587487220764
FLAMINGO,J,19,165,194,195,0.20012329518795013
FLAMINGO,J,20,146,185,193,0.19897998869419098
FLAMINGO,J,21,134,171,185,0.197292760014534
FLAMINGO,L,25,90,147,176,0.19668930768966675
FOX,E,3,223,136,44,0.3454785943031311
FOX,E,4,218,131,42,0.344377338886261
FOX,E,5,217,125,46,0.34290000796318054
FOX,E,2,217,140,41,0.34281569719314575
FOX,D,7,211,99,50,0.3427034616470337
CRICKET,N,8,126,173,68,0.24886426329612732
CRICKET,O,5,126,166,66,0.24874582886695862
CRICKET,N,7,130,175,68,0.24870418012142181
CRICKET,O,4,132,168,64,0.2485012710094452
CRICKET,O,6,111,158,69,0.24815824627876282
CANARY,J,3,239,213,61,0.3200233578681946
CANARY,J,2,235,211,51,0.31873828172683716
CANARY,I,2,235,196,46,0.3177454471588135
CANARY,H,1,230,186,38,0.3153737187385559
CANARY,I,1,225,191,32,0.3149369955062866
PIG,G,16,206,150,162,0.34982460737228394
PIG,G,15,222,144,155,0.3489759564399719
PIG,F,16,202,130,150,0.34673506021499634
PIG,F,15,218,127,144,0.34592264890670776
PIG,H,16,200,164,172,0.34555691480636597
TIGER,E,4,218,131,42,0.29724612832069397
TIGER,E,3,223,136,44,0.2972421646118164
TIGER,E,2,217,140,41,0.2960980534553528
TIGER,E,5,217,125,46,0.295207679271698
