word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,G,10,227,147,113,0.21444836258888245
SALMON,F,9,219,128,88,0.21349972486495972
SALMON,G,11,225,146,123,0.21344588696956635
SALMON,F,10,220,130,98,0.21337676048278809
SALMON,H,13,224,161,135,0.21255570650100708
WHALE,M,24,93,172,174,0.18889842927455902
WHALE,P,27,85,162,147,0.18846121430397034
WHALE,P,28,81,159,151,0.18845513463020325
WHALE,N,24,92,166,153,0.18838819861412048
WHALE,N,25,89,166,160,0.18836885690689087
GRIZZLY,B,2,128,70,41,0.1800203174352646
GRIZZLY,C,2,150,87,44,0.17975692451000214
GRIZZLY,B,3,136,67,39,0.17966589331626892
GRIZZLY,C,3,164,89,46,0.17939193546772003
GRIZZLY,D,2,188,118,47,0.17938223481178284
FLAMINGO,E,15,214,104,131,0.2180395871400833
FLAMINGO,F,15,218,127,144,0.21748439967632294
FLAMINGO,D,15,206,85,112,0.21725553274154663
FLAMINGO,C,16,209,65,110,0.21721968054771423
FLAMINGO,B,17,207,55,102,0.2165743112564087
FOX,F,7,223,142,80,0.18937775492668152
FOX,E,7,212,113,63,0.18894946575164795
FOX,G,7,230,158,91,0.18894824385643005
FOX,D,7,211,99,50,0.18890070915222168
FOX,E,6,213,114,50,0.1888481080532074
CRICKET,N,20,104,176,110,0.19783782958984375
CRICKET,P,4,102,139,65,0.1974629908800125
CRICKET,P,19,87,157,85,0.19739258289337158
CRICKET,O,18,94,161,93,0.19738250970840454
CRICKET,P,18,83,155,77,0.19729472696781158
CANARY,I,1,225,191,32,0.22146235406398773
CANARY,H,1,230,186,38,0.22045168280601501
CANARY,I,3,235,197,59,0.21958626806735992
CANARY,I,2,235,196,46,0.2191893756389618
CANARY,G,1,221,168,33,0.219131201505661
PIG,G,15,222,144,155,0.17755845189094543
PIG,F,15,218,127,144,0.17744602262973785
PIG,H,14,222,163,143,0.17694395780563354
PIG,H,13,224,161,135,0.17652715742588043
PIG,E,15,214,104,131,0.17648448050022125
TIGER,E,5,217,125,46,0.17504018545150757
TIGER,E,6,213,114,50,0.17436769604682922
TIGER,E,4,218,131,42,0.1742614507675171
TIGER,D,4,202,115,45,0.1741178035736084
TIGER,F,7,223,142,80,0.1740713119506836
LADYBUG,C,8,205,72,45,0.16660848259925842
LADYBUG,C,9,210,75,50,0.16641907393932343
LADYBUG,C,7,199,74,46,0.16490444540977478
LADYBUG,B,10,206,66,49,0.16433203220367432
LADYBUG,B,9,202,63,44,0.16427311301231384
FROG,P,2,115,145,62,0.20533394813537598
FROG,P,3,107,142,64,0.20530301332473755
FROG,P,1,112,140,60,0.20526497066020966
FROG,P,4,102,139,65,0.20473870635032654
FROG,N,10,106,159,69,0.20420053601264954
AXOLOTL,G,15,222,144,155,0.19372457265853882
AXOLOTL,F,15,218,127,144,0.19357363879680634
AXOLOTL,F,16,202,130,150,0.19284766912460327
AXOLOTL,G,16,206,150,162,0.1926768571138382
AXOLOTL,F,14,217,130,129,0.19147314131259918
TOAD,C,2,150,87,44,0.18826216459274292
TOAD,B,4,150,70,45,0.18814852833747864
TOAD,B,3,136,67,39,0.18801218271255493
TOAD,D,2,188,118,47,0.18732020258903503
TOAD,C,3,164,89,46,0.1872698962688446
LEMON,J,4,237,216,75,0.22190070152282715
LEMON,J,5,238,217,81,0.2216075360774994
LEMON,K,4,235,222,79,0.22122415900230408
LEMON,K,3,234,219,71,0.22102868556976318
LEMON,J,3,239,213,61,0.22092323005199432
LIME,L,4,223,217,68,0.23180189728736877
LIME,M,4,202,207,62,0.23162147402763367
LIME,M,3,206,206,55,0.23161327838897705
LIME,M,1,211,207,48,0.23154105246067047
LIME,M,2,208,206,51,0.23152974247932434
KIWI,N,10,106,159,69,0.20788869261741638
KIWI,N,9,116,167,70,0.20780709385871887
KIWI,N,8,126,173,68,0.20765763521194458
KIWI,N,11,100,157,71,0.2074078470468521
KIWI,N,7,130,175,68,0.2073889970779419
PUMPKIN,E,5,217,125,46,0.20468062162399292
PUMPKIN,E,6,213,114,50,0.20246605575084686
PUMPKIN,D,4,202,115,45,0.201456680893898
PUMPKIN,E,4,218,131,42,0.20142312347888947
PUMPKIN,E,3,223,136,44,0.2009100317955017
ZUCCHINI,L,6,215,214,82,0.19004064798355103
ZUCCHINI,K,6,227,220,95,0.1896926760673523
ZUCCHINI,K,7,221,217,108,0.18925878405570984
ZUCCHINI,P,15,70,145,67,0.1888045370578766
ZUCCHINI,P,17,81,153,68,0.18877507746219635
GRAPE,A,26,124,59,119,0.23549970984458923
GRAPE,A,25,131,58,113,0.23524603247642517
