,Words,Stat,p-value
0,AMBER,0.07617448236794205,0.9271389818071869
1,AMETHYST,11.971148029909395,0.0006629727069717983
2,APPLE,88.75949403109502,1.1153556744858406e-08
3,ASPARAGUS,6.788467455897307,0.013726609448625027
4,AUTUMN,3.572596051136792,0.06749758313734966
5,AXOLOTL,16.67861484477215,0.0001538947649206701
6,BANANA,1.8137079041599415,0.19933139500488795
7,BARBIE,3.264637024121038,0.0737797278255945
8,BASIL,16.951146113011088,4.9456982411766326e-05
9,BEET,0.9804779404158104,0.3994698163211461
10,BLAS (Y EPI),3.4201262530948724,0.07855283094698196
11,BLOOD,19.100021325051472,5.76717108332625e-05
12,BRICK,2.844595419176245,0.08597145243481064
13,BRUSH,28.80369822765226,4.242478057470134e-05
14,CANARY,328.0360158356694,1.565704232930898e-10
15,CARNATION,1.2819532352541319,0.2993346884049852
16,COCONUT,39.950007500183396,6.003582188052192e-07
17,COOKIE MONSTER,122.19670215143213,9.385788524163274e-08
18,CORAL,3.5006881772351277,0.05197294019460619
19,CRICKET,33.36984425652733,4.7128841309529435e-06
20,CUCUMBER,158.86423673983506,8.035438980869003e-11
21,DANGER,65.17980063596961,0.00026224205823410784
22,DISGUST,4.069116563434442,0.037266279951377546
23,ECOLOGY,0.8623069800385884,0.45134354837021196
24,EGG,6.8463338892864085,0.008440004545334667
25,EGGPLANT,68.93150574993699,3.491285463952387e-06
26,ELMO,1082.4265654592753,2.348121697082206e-13
27,EMERALD,1.450411103100317,0.26763408210980355
28,EPI (Y BLAS),4.9489303754318685,0.039916775230549484
29,FEMINISM,30.0730931965148,2.117420919389712e-05
30,FIRE,413.0355305617564,7.66053886991358e-14
31,FLAMINGO,8.939898244825393,0.0059367943274024615
32,FLASH,0.8146969427863188,0.465830821516778
33,FOX,141.37021086492814,1.5125589669651163e-09
34,FROG,3.0085917788307026,0.07609783339043374
35,GOLD,2.237830551562954,0.13553150809044534
36,GRAPE,16.870614689306045,0.0003260171743585394
37,GRASS,2.4207976980487613,0.11573740236434282
38,GRINCH,518.4165037161735,7.954503722373829e-11
39,GRIZZLY,66.74387470450807,3.411966487121276e-08
40,HAPINESS,1165.8893716963626,2.1094237467877974e-15
41,HOPE,10.814823945480335,0.0009332316524717221
42,HULK,803.3530198124673,1.659783421814609e-13
43,HURRICANE,1.6264219729305978,0.22945915348790447
44,JADE,21.701148655359628,2.7703454837713082e-05
45,KIWI,3.871867359667865,0.056855806016900656
46,LADYBUG,289.49963552188217,1.6616708009564718e-11
47,LAPIS LAZULI,231.38463538376695,4.5852210917018965e-14
48,LAVENDER,3.1522042719992385,0.06573480775971763
49,LEMON,1.4732001929979142,0.26263585043546867
50,LIME,4.5853352772236935,0.03562032843481733
51,LONELINESS,10.040802878026847,0.0023084422207659827
52,MALLOW,8.768512938057443,0.005283380252859904
53,MINT,24.40048462686218,4.308780705786219e-06
54,MOSS,14.384069132654142,0.0006503725470011767
55,MUD,259.01293254744536,1.3468060000576543e-10
56,PEACE,34.1353546951773,4.132183080707286e-06
57,PEACH,0.2197472027794445,0.8052604777706082
58,PEARL,0.6709273653788221,0.5223701624887396
59,PETER PAN,230.8861376059908,1.0400967864754307e-09
60,PIG,14.902695381855343,0.0001825159784384356
61,PIKACHU,0.8731224242551426,0.4472030460502924
62,POND,8.967931748655753,0.003569662952628949
63,POPPY,4.342961599349302,0.02890097269629821
64,PUMPKIN,0.8147736533694417,0.46579936062004146
65,RAGE,0.6781981794697926,0.5224289644300513
66,RELAX,27.95004206511011,8.72637383397823e-06
67,RUBY,9.072340766644414,0.002084534692527118
68,SADNESS,173.18106952984158,2.5975905137975985e-07
69,SALMON,37.89971612445085,1.3647746454070742e-06
70,SAND,44.95070628618591,1.6310097539218305e-07
71,SAPPHIRE,9.397465009561584,0.002987484169521659
72,SEA,150.5098230847678,1.0242653392111833e-09
73,SHAME,10.223743579939022,0.0013791742124089623
74,SHRECK,56.85575932030592,7.836232332691928e-06
75,SIMPSON,55.766104988231575,1.132860000252478e-07
76,SKIN,41.419617156225534,7.577837069394633e-06
77,SKY,18.978675750726158,0.00010312577243054566
78,SMURF,10.492256572661944,0.0028215722398222676
79,SONIC,84.92027098910162,6.81315892592238e-10
80,SPRING,12.75336219618463,0.0008602883512186521
81,STITCH,75.35572872291387,9.327511689694035e-07
82,SUBMARINE,261.1664120070955,2.339288429631381e-09
83,SUMMER,37.2535045252069,9.538984780954607e-07
84,SUNFLOWER,11.109342036743529,0.001536761525786412
85,SUNRISE,0.9720823647390531,0.3983587942219171
86,SUNSET,3.604661199008663,0.06624927752846266
87,THUNDERBOLT,1.4470676632892607,0.2683764902478769
88,TIGER,285.99501780665787,1.1375345110309354e-12
89,TILE,10.0944146268146,0.0011482208938834448
90,TOAD,16.306988662287193,0.00022043630656742863
91,TOMATO,0.67421409720473,0.5335271628752791
92,TOXIC,0.35457197318778544,0.7085812962265847
93,TRACTOR,2.2502196303098345,0.15598908392083988
94,WHALE,583.9107770072238,1.1102230246251565e-16
95,WHEAT,40.6048440171677,1.4863745299020792e-06
96,WINTER,26.615874060408064,2.5333860407594777e-05
97,WITCHCRAFT,26.53941630458976,2.571736317535933e-05
98,WOOD,954.6166545983401,1.1102230246251565e-16
99,ZUCCHINI,131.37536874450245,8.47763526046208e-10
