word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,I,18,191,193,194,0.22786787152290344
SALMON,I,19,164,176,185,0.22347044944763184
SALMON,H,18,174,159,174,0.22346706688404083
SALMON,I,17,192,196,189,0.2223440408706665
SALMON,I,20,148,161,177,0.22178208827972412
WHALE,A,1,82,48,27,0.13309143483638763
WHALE,A,2,90,47,30,0.13241107761859894
WHALE,A,3,99,43,32,0.13185174763202667
WHALE,E,2,217,140,41,0.1305033266544342
WHALE,E,1,203,141,42,0.13017648458480835
GRIZZLY,P,15,70,145,67,0.06543072313070297
GRIZZLY,O,9,93,145,69,0.0651589035987854
GRIZZLY,P,5,96,142,67,0.06504650413990021
GRIZZLY,I,18,191,193,194,0.06500113010406494
GRIZZLY,O,8,97,147,69,0.06499321013689041
FLAMINGO,B,18,199,54,115,0.14644746482372284
FLAMINGO,A,19,184,48,108,0.14469246566295624
FLAMINGO,B,17,207,55,102,0.14444181323051453
FLAMINGO,C,17,204,68,122,0.14376714825630188
FLAMINGO,C,16,209,65,110,0.14347544312477112
FOX,P,10,65,118,66,0.11471399664878845
FOX,P,11,63,120,66,0.11445430666208267
FOX,P,9,70,126,68,0.11415641009807587
FOX,P,8,77,130,68,0.11406286060810089
FOX,P,7,81,133,67,0.1140572801232338
CRICKET,I,18,191,193,194,0.1592561900615692
CRICKET,H,18,174,159,174,0.15845176577568054
CRICKET,I,19,164,176,185,0.15705807507038116
CRICKET,H,19,168,152,171,0.15675663948059082
CRICKET,I,20,148,161,177,0.1553572118282318
CANARY,I,18,191,193,194,0.16610273718833923
CANARY,I,19,164,176,185,0.1591198593378067
CANARY,H,18,174,159,174,0.1588761806488037
CANARY,I,17,192,196,189,0.1585465520620346
CANARY,H,19,168,152,171,0.1563170701265335
PIG,A,19,184,48,108,0.15677037835121155
PIG,B,18,199,54,115,0.15648606419563293
PIG,A,20,175,49,110,0.1558915078639984
PIG,B,19,190,61,118,0.1553669422864914
PIG,A,18,192,50,97,0.1553630530834198
TIGER,N,20,104,176,110,0.14514610171318054
TIGER,P,17,81,153,68,0.14458689093589783
TIGER,P,18,83,155,77,0.14457933604717255
TIGER,P,16,78,152,70,0.14453931152820587
