,Words,Stat,p-value
0,AMBER,16.180792740585392,0.0005291531970711416
1,AMETHYST,0.05070300491137014,0.9507130415021127
2,APPLE,40.183089772956414,1.581909521486402e-06
3,ASPARAGUS,13.345615653889604,0.0015037947639956473
4,AUTUMN,7.530153631948474,0.010117379537460836
5,AXOLOTL,0.024180132216947103,0.9761478316279655
6,BANANA,2.515654250784984,0.11657775953049954
7,BARBIE,9.024133021147843,0.004056682155038516
8,BASIL,0.17217092915639556,0.8430697508899221
9,BEET,2.1281713362574886,0.1559551775939355
10,BLAS (Y EPI),1.5895490705954727,0.2563440296527144
11,BLOOD,9.465442646104382,0.0019376847468238756
12,BRICK,2.747374453630366,0.09249666157990055
13,BRUSH,54.13618140197379,2.026239340202629e-06
14,CANARY,10.35162698918427,0.002962024517359607
15,CARNATION,1.5410222627492922,0.23853780145114512
16,COCONUT,71.72901253343456,1.0275165274187259e-08
17,COOKIE MONSTER,495.64796228072174,9.935452460752003e-11
18,CORAL,8.712753895668136,0.00225739619370513
19,CRICKET,7.780710507936865,0.005343417427774999
20,CUCUMBER,3.622586542442098,0.052049435476389405
21,DANGER,10.507955720184905,0.01619300302305693
22,DISGUST,3.4474586676615253,0.056891478824365516
23,ECOLOGY,53.82237133044586,4.437489920627868e-06
24,EGG,0.689278834733354,0.5181875932649257
25,EGGPLANT,4.710309057433618,0.03983110881700136
26,ELMO,20.611155162397633,0.0001903054920705527
27,EMERALD,4.001080168974906,0.04223173979888539
28,EPI (Y BLAS),0.49243996400980794,0.6285080395101563
29,FEMINISM,9.577026278921137,0.0032658797270054274
30,FIRE,21.73045906375233,3.708448100459005e-05
31,FLAMINGO,44.982484184427136,1.0017534238904169e-05
32,FLASH,0.9023140681512752,0.43145867221056255
33,FOX,2.5429086835309382,0.11693213349802378
34,FROG,11.21313371867192,0.0007845808287800793
35,GOLD,44.64512940744247,1.0529552385563079e-07
36,GRAPE,4.859367302419325,0.028449875207213093
37,GRASS,2.7010715473144633,0.09280972775693186
38,GRINCH,12.603370192727544,0.0018487190270989329
39,GRIZZLY,0.5408285932189774,0.5932031423338577
40,HAPINESS,60.78298111869822,2.526695179749794e-07
41,HOPE,6.522502300151191,0.007902263289733424
42,HULK,46.153129765651904,2.3185968748284935e-06
43,HURRICANE,26.469154523705544,1.201777152770589e-05
44,JADE,0.5520480366164041,0.5863525833627559
45,KIWI,0.41717154120340666,0.669864681648735
46,LADYBUG,3.9918300419972974,0.04450447825198223
47,LAPIS LAZULI,3.739169526602544,0.04272648724370354
48,LAVENDER,0.7387806039137989,0.49092596016577716
49,LEMON,3.4508808802914475,0.06048058684859814
50,LIME,1.7703638735361034,0.21549439654403146
51,LONELINESS,0.9469161101847547,0.4131329349082763
52,MALLOW,1.0937543760512256,0.3687776424456185
53,MINT,15.105663072287728,0.00010052707326202448
54,MOSS,21.232638521001924,0.00011438502567473474
55,MUD,0.6864022480367636,0.5220985696584828
56,PEACE,0.9367369037941842,0.41513790736030565
57,PEACH,6.8143073569777775,0.00784660768501666
58,PEARL,1.5862706753176476,0.22938409337337706
59,PETER PAN,2.874016533157586,0.09905098876995466
60,PIG,8.442712846437589,0.002842534806876351
61,PIKACHU,12.897259199814492,0.0017018347302599768
62,POND,5.200783730104141,0.021904816980576558
63,POPPY,8.124810252767062,0.0030587971162000516
64,PUMPKIN,1.5653854641481535,0.24884054180492066
65,RAGE,94.42025610601804,3.1696089086707957e-09
66,RELAX,6.13673860419826,0.011288353650574678
67,RUBY,0.3859046465451017,0.6856411200413859
68,SADNESS,1.6153430024304332,0.2574748462659969
69,SALMON,3.9844397783598047,0.04093887129163609
70,SAND,7.116268619695459,0.005683999966968334
71,SAPPHIRE,0.4418868135857567,0.652128055079203
72,SEA,27.650765864877734,2.0741201405827248e-05
73,SHAME,3.6279389524673835,0.05019933358068862
74,SHRECK,2.0999015799069687,0.17845870839451372
75,SIMPSON,3.3884945695484516,0.061052110834591056
76,SKIN,2.0986223441214276,0.16902582338856376
77,SKY,0.49546856964851077,0.6195762593673018
78,SMURF,0.1893126471387706,0.8301678111796311
79,SONIC,49.521384061418075,4.8122843931963644e-08
80,SPRING,4.906576725714473,0.025848015095200183
81,STITCH,3.816361404197552,0.05866824519146818
82,SUBMARINE,1.0491662383304055,0.38580906146159766
83,SUMMER,30.718242015086556,3.321963488844837e-06
84,SUNFLOWER,1.4750792412125338,0.264642306520415
85,SUNRISE,0.9363191150864968,0.4113756715949338
86,SUNSET,13.458658903985741,0.0014583081358946481
87,THUNDERBOLT,7.698201033190484,0.005556956515881395
88,TIGER,20.980753677096295,4.5063341557960435e-05
89,TILE,27.088914121952474,3.7309398883689227e-06
90,TOAD,14.016812632244886,0.0004546930467268506
91,TOMATO,31.004178008584653,9.187529181375886e-05
92,TOXIC,5.053231606072969,0.0255842023391033
93,TRACTOR,11.23838118811666,0.0027678105569377554
94,WHALE,25.066692935456025,4.6894817385956244e-06
95,WHEAT,6.0268595456303,0.012936243018221383
96,WINTER,7.560699986459397,0.006635775682147793
97,WITCHCRAFT,29.23055987476284,1.5458878337981652e-05
98,WOOD,6.094739946952286,0.010101637971178024
99,ZUCCHINI,8.016820503288907,0.004782338937464825
