word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,E,9,212,109,77,0.19977053999900818
SALMON,D,9,206,89,63,0.19949817657470703
SALMON,E,10,215,114,90,0.19925296306610107
SALMON,F,11,223,134,112,0.19816642999649048
SALMON,F,12,219,133,119,0.1975717544555664
WHALE,P,26,83,161,137,0.16705328226089478
WHALE,O,25,90,163,142,0.16684852540493011
WHALE,P,27,85,162,147,0.16642427444458008
WHALE,P,25,85,160,130,0.16622835397720337
WHALE,M,22,109,175,158,0.16583338379859924
GRIZZLY,B,5,158,65,44,0.18718968331813812
GRIZZLY,A,5,124,45,38,0.18619517982006073
GRIZZLY,B,6,171,61,45,0.18535789847373962
GRIZZLY,C,6,188,76,47,0.1853359341621399
GRIZZLY,A,4,109,44,35,0.18510913848876953
FLAMINGO,E,15,214,104,131,0.2056291550397873
FLAMINGO,F,15,218,127,144,0.20341971516609192
FLAMINGO,E,16,205,110,140,0.203227698802948
FLAMINGO,D,15,206,85,112,0.20211103558540344
FLAMINGO,D,16,207,85,124,0.20190303027629852
FOX,G,5,232,172,88,0.1867716908454895
FOX,H,6,234,177,86,0.18651121854782104
FOX,H,7,230,170,89,0.18599367141723633
FOX,F,5,230,158,69,0.18489781022071838
FOX,G,6,228,159,82,0.1848340481519699
CRICKET,L,1,229,216,45,0.16429266333580017
CRICKET,L,2,228,217,53,0.1636880487203598
CRICKET,M,1,211,207,48,0.16324880719184875
CRICKET,L,3,227,217,60,0.1630440503358841
CRICKET,M,2,208,206,51,0.1629420667886734
CANARY,J,7,238,220,101,0.2256218045949936
CANARY,J,6,240,218,93,0.22506895661354065
CANARY,L,5,226,214,80,0.22486227750778198
CANARY,J,5,238,217,81,0.22427770495414734
CANARY,K,4,235,222,79,0.2242158055305481
PIG,G,15,222,144,155,0.16715499758720398
PIG,F,15,218,127,144,0.16668277978897095
PIG,F,14,217,130,129,0.16591833531856537
PIG,E,14,217,110,120,0.16549557447433472
PIG,E,16,205,110,140,0.16462482511997223
TIGER,H,6,234,177,86,0.1773713231086731
TIGER,G,5,232,172,88,0.17693567276000977
TIGER,H,7,230,170,89,0.17586886882781982
TIGER,G,4,234,169,63,0.17582003772258759
TIGER,H,5,237,185,78,0.1756257563829422
LADYBUG,C,11,211,78,73,0.15674158930778503
LADYBUG,C,12,210,78,76,0.1566782295703888
LADYBUG,C,10,213,78,66,0.1566285938024521
LADYBUG,C,13,207,75,83,0.15518638491630554
LADYBUG,B,12,209,65,59,0.1547863632440567
FROG,N,20,104,176,110,0.1904580295085907
FROG,O,18,94,161,93,0.188712015748024
FROG,N,13,95,158,79,0.1885533332824707
FROG,N,14,91,158,86,0.18846085667610168
FROG,O,17,91,158,86,0.18846085667610168
AXOLOTL,F,14,217,130,129,0.15605902671813965
AXOLOTL,E,14,217,110,120,0.15568360686302185
AXOLOTL,E,13,211,112,112,0.15375134348869324
AXOLOTL,G,15,222,144,155,0.15369895100593567
AXOLOTL,G,14,220,142,135,0.15348127484321594
TOAD,H,24,105,103,145,0.18495279550552368
TOAD,H,23,112,109,149,0.1846541166305542
TOAD,G,23,118,98,141,0.18452900648117065
TOAD,G,24,108,89,137,0.18425889313220978
TOAD,G,25,94,81,128,0.18425531685352325
LEMON,L,1,229,216,45,0.20889753103256226
LEMON,L,2,228,217,53,0.20868811011314392
LEMON,K,2,234,219,67,0.20788294076919556
LEMON,K,4,235,222,79,0.20773878693580627
LEMON,K,3,234,219,71,0.20765526592731476
LIME,M,4,202,207,62,0.20379073917865753
LIME,M,5,194,204,68,0.20374342799186707
LIME,N,1,180,193,51,0.20313864946365356
LIME,M,2,208,206,51,0.20226046442985535
LIME,M,3,206,206,55,0.20194007456302643
KIWI,L,6,215,214,82,0.1798171103000641
KIWI,K,8,214,213,110,0.1796419769525528
KIWI,K,7,221,217,108,0.17930686473846436
KIWI,K,9,204,207,111,0.17895513772964478
KIWI,L,7,201,207,90,0.1779024302959442
PUMPKIN,F,7,223,142,80,0.18978926539421082
PUMPKIN,G,7,230,158,91,0.18966153264045715
PUMPKIN,F,6,229,154,76,0.1895759403705597
PUMPKIN,F,5,230,158,69,0.18940281867980957
PUMPKIN,G,6,228,159,82,0.18922412395477295
ZUCCHINI,K,7,221,217,108,0.1735205054283142
ZUCCHINI,J,7,238,220,101,0.17262977361679077
ZUCCHINI,O,18,94,161,93,0.1724492758512497
ZUCCHINI,N,14,91,158,86,0.17240750789642334
