word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.03631734848022461
SALMON,E,10,215,114,90,0.03499384596943855
SALMON,G,11,225,146,123,0.034461647272109985
SALMON,F,10,220,130,98,0.03426740691065788
SALMON,G,10,227,147,113,0.03393556922674179
WHALE,L,23,101,176,189,0.00014447886496782303
WHALE,M,24,93,172,174,0.00010467274114489555
WHALE,L,22,112,177,179,-0.00028911884874105453
WHALE,N,26,82,161,166,-0.0005136262625455856
WHALE,K,21,130,186,197,-0.0007224408909678459
GRIZZLY,B,1,115,71,37,0.023795802146196365
GRIZZLY,A,1,82,48,27,0.020371312275528908
GRIZZLY,C,1,143,92,43,0.020159319043159485
GRIZZLY,B,2,128,70,41,0.017964666709303856
GRIZZLY,C,2,150,87,44,0.017868652939796448
FLAMINGO,E,14,217,110,120,0.03879101946949959
FLAMINGO,F,14,217,130,129,0.037645839154720306
FLAMINGO,G,14,220,142,135,0.03718039393424988
FLAMINGO,F,15,218,127,144,0.03710971400141716
FLAMINGO,G,15,222,144,155,0.03706956282258034
FOX,E,6,213,114,50,0.0073944078758358955
FOX,D,6,202,97,45,0.007381965406239033
FOX,D,5,200,104,46,0.007365023717284203
FOX,D,7,211,99,50,0.006585502065718174
FOX,D,8,205,95,49,0.006254297681152821
CRICKET,N,5,154,184,62,0.0018666726537048817
CRICKET,N,4,161,186,60,0.0018570516258478165
CRICKET,N,3,170,189,58,0.001648701261729002
CRICKET,N,6,147,183,68,0.0015273909084498882
CRICKET,N,1,180,193,51,0.0014288979582488537
CANARY,L,4,223,217,68,0.05976737663149834
CANARY,L,3,227,217,60,0.05934874340891838
CANARY,K,5,230,221,85,0.05917109549045563
CANARY,L,2,228,217,53,0.05908052995800972
CANARY,K,6,227,220,95,0.05894961208105087
PIG,G,15,222,144,155,-0.0025304798036813736
PIG,H,15,218,165,158,-0.002919541671872139
PIG,G,16,206,150,162,-0.0039129555225372314
PIG,F,15,218,127,144,-0.004389278590679169
PIG,G,14,220,142,135,-0.0052230022847652435
TIGER,E,5,217,125,46,0.009394548833370209
TIGER,E,6,213,114,50,0.00911489687860012
TIGER,E,4,218,131,42,0.00872751697897911
TIGER,E,3,223,136,44,0.008695119991898537
TIGER,D,4,202,115,45,0.008374587632715702
LADYBUG,B,12,209,65,59,0.009912767447531223
LADYBUG,A,10,205,61,45,0.009652921929955482
LADYBUG,A,11,205,61,45,0.009652921929955482
LADYBUG,A,14,203,57,56,0.009405753575265408
LADYBUG,B,11,207,67,54,0.009375642985105515
FROG,N,5,154,184,62,0.03050726093351841
FROG,N,6,147,183,68,0.030437376350164413
FROG,O,4,132,168,64,0.03037235699594021
FROG,O,3,139,168,60,0.0303494855761528
FROG,N,4,161,186,60,0.030301034450531006
AXOLOTL,G,15,222,144,155,-0.0013114339672029018
AXOLOTL,F,15,218,127,144,-0.0022577918134629726
AXOLOTL,G,16,206,150,162,-0.002546248957514763
AXOLOTL,F,16,202,130,150,-0.002559215761721134
AXOLOTL,E,16,205,110,140,-0.002946500200778246
TOAD,O,3,139,168,60,0.00241756159812212
TOAD,O,2,144,170,60,0.0023946724832057953
TOAD,P,2,115,145,62,0.002379444893449545
TOAD,O,1,147,170,59,0.0023777801543474197
TOAD,P,1,112,140,60,0.0022647716104984283
LEMON,K,6,227,220,95,0.07515512406826019
LEMON,K,7,221,217,108,0.07458637654781342
LEMON,K,5,230,221,85,0.07430010288953781
LEMON,L,4,223,217,68,0.07360045611858368
LEMON,L,6,215,214,82,0.07318873703479767
LIME,M,5,194,204,68,0.09447091072797775
LIME,N,1,180,193,51,0.09393314272165298
LIME,M,6,182,198,73,0.09361114352941513
LIME,N,2,178,191,54,0.0933241993188858
LIME,N,3,170,189,58,0.09296894073486328
KIWI,N,3,170,189,58,0.07035937160253525
KIWI,N,4,161,186,60,0.07019899785518646
KIWI,N,2,178,191,54,0.06970342248678207
KIWI,N,5,154,184,62,0.06956280767917633
KIWI,M,6,182,198,73,0.06945951282978058
PUMPKIN,E,5,217,125,46,0.04263332486152649
PUMPKIN,E,6,213,114,50,0.042373329401016235
PUMPKIN,E,4,218,131,42,0.04130189120769501
PUMPKIN,D,5,200,104,46,0.041130296885967255
PUMPKIN,E,3,223,136,44,0.04091564938426018
ZUCCHINI,K,12,178,197,132,0.027299895882606506
ZUCCHINI,K,11,185,201,122,0.02710406295955181
ZUCCHINI,L,11,158,188,108,0.027050714939832687
ZUCCHINI,L,12,152,186,114,0.026908354833722115
ZUCCHINI,K,13,175,195,138,0.02686779946088791
GRAPE,A,25,131,58,113,0.06820201128721237
GRAPE,C,23,139,71,124,0.06772222369909286
GRAPE,B,24,137,65,122,0.06761708110570908
GRAPE,D,22,135,76,125,0.0675901472568512
GRAPE,B,25,130,64,121,0.06757763028144836
CUCUMBER,K,11,185,201,122,0.04470017924904823
CUCUMBER,K,12,178,197,132,0.04457581043243408
CUCUMBER,L,11,158,188,108,0.044240910559892654
CUCUMBER,L,10,165,191,101,0.044046469032764435
CUCUMBER,K,13,175,195,138,0.04393942654132843
COCONUT,I,15,204,200,166,0.022347696125507355
COCONUT,I,16,194,198,180,0.02086588926613331
COCONUT,I,14,209,200,158,0.02011009119451046
COCONUT,J,15,195,203,165,0.019207291305065155
COCONUT,J,13,197,200,155,0.018774859607219696
EGGPLANT,D,25,109,64,118,0.06214161962270737
EGGPLANT,E,25,106,67,121,0.06191042438149452
EGGPLANT,B,27,111,59,115,0.06178249046206474
EGGPLANT,F,25,102,72,124,0.0615055076777935
EGGPLANT,D,24,121,71,123,0.061452772468328476
ASPARAGUS,K,11,185,201,122,0.04324176907539368
ASPARAGUS,K,10,194,204,116,0.0432039275765419
ASPARAGUS,K,12,178,197,132,0.04300696402788162
ASPARAGUS,L,9,174,194,96,0.04269041866064072
ASPARAGUS,L,8,185,199,94,0.04259573668241501
PEACH,G,11,225,146,123,0.05393320322036743
PEACH,H,12,227,160,127,0.05314747244119644
PEACH,G,10,227,147,113,0.05288498103618622
PEACH,F,11,223,134,112,0.052796926349401474
PEACH,G,12,223,145,126,0.05279507860541344
APPLE,N,1,180,193,51,0.021609365940093994
APPLE,N,3,170,189,58,0.021472398191690445
APPLE,N,4,161,186,60,0.02141869068145752
APPLE,N,2,178,191,54,0.02117929980158806
APPLE,N,5,154,184,62,0.021173682063817978
EGG,I,16,194,198,180,0.027516745030879974
EGG,I,17,192,196,189,0.02708577737212181
EGG,K,7,221,217,108,0.025812814012169838
EGG,J,10,216,207,129,0.025568213313817978
EGG,I,15,204,200,166,0.025405988097190857
BANANA,J,7,238,220,101,0.038240596652030945
BANANA,K,4,235,222,79,0.03773557394742966
BANANA,J,6,240,218,93,0.03766464814543724
BANANA,K,5,230,221,85,0.037241142243146896
BANANA,J,5,238,217,81,0.03717483580112457
TOMATO,B,10,206,66,49,0.039789579808712006
TOMATO,B,9,202,63,44,0.03971007093787193
TOMATO,B,11,207,67,54,0.039415884763002396
TOMATO,C,10,213,78,66,0.039355721324682236
TOMATO,B,8,196,61,46,0.039336733520030975
BEET,A,20,175,49,110,0.059026774019002914
BEET,A,21,168,55,115,0.05887208133935928
