,Words,Stat,p-value
0,AMBER,1.7335454969520498,0.2215966019869018
1,AMETHYST,0.8123716662031345,0.46129362450951494
2,APPLE,8.672132066531992,0.0035464161904317226
3,ASPARAGUS,17.9114430019673,0.0004949801789871922
4,AUTUMN,0.7722499088639005,0.4876681516914918
5,AXOLOTL,0.3076697033018404,0.739688268755408
6,BANANA,2.254072699813992,0.14169545861612254
7,BARBIE,0.8805838189717983,0.43969928928759094
8,BASIL,0.9730785783812509,0.395107349327939
9,BEET,0.944198289848509,0.41241623176593445
10,BLAS (Y EPI),1.79251912888583,0.2211800041914984
11,BLOOD,0.01552930564421252,0.9846054734018267
12,BRICK,0.06373078782997342,0.938480635190221
13,BRUSH,31.75503369453159,2.6944957898344946e-05
14,CANARY,3.228174462373102,0.07887075357358153
15,CARNATION,0.20862067066148726,0.8134471331305477
16,COCONUT,61.59257603757378,3.04941544237991e-08
17,COOKIE MONSTER,13.277299480128748,0.0015321097694379615
18,CORAL,3.507866136436551,0.051705121540348564
19,CRICKET,5.9526431099908015,0.013464104832990542
20,CUCUMBER,2.7593660204206523,0.09540157470533206
21,DANGER,1.295864066253715,0.3520249073928957
22,DISGUST,1.7522783927507721,0.20505538231250775
23,ECOLOGY,8.371765619633294,0.0073098126021868826
24,EGG,5.1500822705738,0.021068409433554813
25,EGGPLANT,2.605530314162509,0.1280183063384568
26,ELMO,2.5660419104276824,0.12172006733602014
27,EMERALD,10.498320188055677,0.00163950130436874
28,EPI (Y BLAS),1.900258451613505,0.2112301087878452
29,FEMINISM,19.51508316647244,0.00016909297797862433
30,FIRE,0.9842047447548783,0.39662119726617784
31,FLAMINGO,3.6566142097060568,0.06428500850275409
32,FLASH,2.3699054712940613,0.13570135475376355
33,FOX,1.7656556769579517,0.20971732229259932
34,FROG,3.140903671222762,0.06905163357044508
35,GOLD,1.8520804400087545,0.18559468998554218
36,GRAPE,1.2249417166256646,0.32802082327805704
37,GRASS,1.438264389959905,0.26203801028650897
38,GRINCH,5.314455064327221,0.026768163779687715
39,GRIZZLY,0.6995632025749986,0.5123055869479658
40,HAPINESS,8.050966200786926,0.00531055499470634
41,HOPE,8.29820596304507,0.003057216556535791
42,HULK,20.994268852193972,0.00012058077989407501
43,HURRICANE,13.907659932702254,0.00038343389049178
44,JADE,0.46958945674877406,0.63360853732802
45,KIWI,2.6680604446148184,0.11787518399016195
46,LADYBUG,0.19355466983378808,0.8263566409756976
47,LAPIS LAZULI,4.15879932740416,0.031765468682542264
48,LAVENDER,1.0654574916459263,0.364280004515275
49,LEMON,2.352589251697814,0.1315719315983035
50,LIME,1.769011654002357,0.2157149695134144
51,LONELINESS,3.905088879478938,0.046972011160539284
52,MALLOW,0.8463207381293075,0.455117670112796
53,MINT,10.624205654844399,0.0007181707184101827
54,MOSS,8.249310384600934,0.005573710696883394
55,MUD,8.293715330039568,0.0054706222938303295
56,PEACE,35.4621135912029,3.3088343499576567e-06
57,PEACH,9.903820357434745,0.001811861665845682
58,PEARL,0.9041374550860048,0.42081074948513497
59,PETER PAN,0.4443139411572881,0.652281757861942
60,PIG,2.8661287497578596,0.08459681515801676
61,PIKACHU,2.7398363852033176,0.11250999909898918
62,POND,12.390347453217815,0.0009735923861493578
63,POPPY,0.04135013865681174,0.9595839845827927
64,PUMPKIN,0.7966616827171814,0.4732968202343619
65,RAGE,1.903998020424411,0.1832801821065787
66,RELAX,34.9734957794616,2.2494400463424213e-06
67,RUBY,2.1818722779810233,0.14340296514549733
68,SADNESS,6.242992216810969,0.023255870180869165
69,SALMON,0.23546238301899292,0.7930715789686406
70,SAND,10.913959889337669,0.000893492230802817
71,SAPPHIRE,2.8645497069764185,0.09316911564435382
72,SEA,7.990949227642459,0.00545515873103064
73,SHAME,0.23726677293006623,0.7915071555455611
74,SHRECK,2.0837571435891222,0.18043641940539001
75,SIMPSON,3.8287373039955543,0.04535218110437711
76,SKIN,2.3136483029074753,0.14497681855537103
77,SKY,7.504875331437403,0.0060966080777177245
78,SMURF,0.5143392305219959,0.6115912043064298
79,SONIC,9.31187679025766,0.0016733503036479025
80,SPRING,2.841417984999816,0.09467898306055489
81,STITCH,2.2528381725978477,0.15570769809070217
82,SUBMARINE,26.757137586945383,9.674828351702303e-05
83,SUMMER,8.682518807502618,0.0027965778325670376
84,SUNFLOWER,0.8108768079134053,0.4657311539495417
85,SUNRISE,12.194663873081812,0.0005191162990834108
86,SUNSET,1.1592362934738194,0.352545920086221
87,THUNDERBOLT,23.124837675680926,3.657743708751493e-05
88,TIGER,1.8268374898435233,0.19496264250137685
89,TILE,49.45297172213886,4.8632122773284436e-08
90,TOAD,3.8530928650722984,0.04643138586137019
91,TOMATO,1.0299902001444112,0.39554571529783056
92,TOXIC,1.2167181953550796,0.3302699196343859
93,TRACTOR,10.530103378976792,0.0034592208360717525
94,WHALE,8.441210144389546,0.0023811282404602174
95,WHEAT,10.432791774608456,0.001683130076686079
96,WINTER,0.3240291604128607,0.7289053489729744
97,WITCHCRAFT,3.1976084287343456,0.07423635352851299
98,WOOD,1.9616024463344202,0.17118908243991782
99,ZUCCHINI,14.356068165086445,0.00040647813698713176
