word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.038583576679229736
SALMON,G,11,225,146,123,0.03684443607926369
SALMON,E,10,215,114,90,0.036711253225803375
SALMON,F,10,220,130,98,0.03591711074113846
SALMON,F,12,219,133,119,0.03589208424091339
WHALE,M,24,93,172,174,0.002670757006853819
WHALE,L,23,101,176,189,0.0023273341357707977
WHALE,L,22,112,177,179,0.002294562291353941
WHALE,N,26,82,161,166,0.0022665979340672493
WHALE,P,29,82,157,165,0.0017955894581973553
GRIZZLY,B,1,115,71,37,0.02115830034017563
GRIZZLY,A,1,82,48,27,0.019376426935195923
GRIZZLY,C,1,143,92,43,0.016839927062392235
GRIZZLY,A,2,90,47,30,0.016655365005135536
GRIZZLY,B,2,128,70,41,0.016292013227939606
FLAMINGO,E,14,217,110,120,0.039289847016334534
FLAMINGO,F,14,217,130,129,0.03834588825702667
FLAMINGO,G,14,220,142,135,0.037714824080467224
FLAMINGO,E,13,211,112,112,0.0368998683989048
FLAMINGO,G,15,222,144,155,0.036756083369255066
FOX,D,6,202,97,45,0.009691574610769749
FOX,D,5,200,104,46,0.009434662759304047
FOX,E,6,213,114,50,0.009383064694702625
FOX,D,7,211,99,50,0.00906083732843399
FOX,D,8,205,95,49,0.008848416619002819
CRICKET,N,4,161,186,60,0.003630840452387929
CRICKET,N,5,154,184,62,0.003574222093448043
CRICKET,N,3,170,189,58,0.0034980017226189375
CRICKET,N,6,147,183,68,0.0032178033143281937
CRICKET,M,7,171,194,77,0.0032002709340304136
CANARY,K,1,222,209,60,0.058593541383743286
CANARY,L,4,223,217,68,0.05858590453863144
CANARY,L,3,227,217,60,0.05858496576547623
CANARY,K,5,230,221,85,0.05849871039390564
CANARY,L,5,226,214,80,0.05846288800239563
PIG,G,15,222,144,155,-0.0012707263231277466
PIG,H,15,218,165,158,-0.0014624428004026413
PIG,G,16,206,150,162,-0.0023052524775266647
PIG,G,14,220,142,135,-0.002897549420595169
PIG,F,15,218,127,144,-0.0031422721222043037
TIGER,E,3,223,136,44,0.009573636576533318
TIGER,E,5,217,125,46,0.009419558569788933
TIGER,E,4,218,131,42,0.009373984299600124
TIGER,E,6,213,114,50,0.00832001306116581
TIGER,D,4,202,115,45,0.008112825453281403
LADYBUG,B,12,209,65,59,0.013032381422817707
LADYBUG,A,10,205,61,45,0.01295039989054203
LADYBUG,A,11,205,61,45,0.01295039989054203
LADYBUG,B,11,207,67,54,0.012498801574110985
LADYBUG,A,14,203,57,56,0.012377319857478142
FROG,N,5,154,184,62,0.02836327813565731
FROG,N,4,161,186,60,0.028315695002675056
FROG,O,3,139,168,60,0.028265396133065224
FROG,O,2,144,170,60,0.028252597898244858
FROG,O,1,147,170,59,0.02814086154103279
AXOLOTL,G,15,222,144,155,-0.0015472052618861198
AXOLOTL,F,15,218,127,144,-0.0024736588820815086
AXOLOTL,G,16,206,150,162,-0.0030288822017610073
AXOLOTL,F,16,202,130,150,-0.003183213993906975
AXOLOTL,E,16,205,110,140,-0.0036755637265741825
TOAD,J,13,197,200,155,0.0030967332422733307
TOAD,J,14,190,196,156,0.003096158616244793
TOAD,J,15,195,203,165,0.002635892014950514
TOAD,J,12,203,205,152,0.002010551281273365
TOAD,P,1,112,140,60,0.0017198543064296246
LEMON,K,6,227,220,95,0.07592588663101196
LEMON,K,7,221,217,108,0.07534453272819519
LEMON,K,5,230,221,85,0.07506732642650604
LEMON,L,4,223,217,68,0.07412166893482208
LEMON,L,6,215,214,82,0.07352088391780853
LIME,M,5,194,204,68,0.0965462327003479
LIME,N,1,180,193,51,0.09615615010261536
LIME,M,6,182,198,73,0.09583607316017151
LIME,N,2,178,191,54,0.0956590473651886
LIME,N,3,170,189,58,0.09534657001495361
KIWI,N,3,170,189,58,0.06937775015830994
KIWI,O,1,147,170,59,0.06931744515895844
KIWI,N,4,161,186,60,0.0692928209900856
KIWI,O,2,144,170,60,0.06906607747077942
KIWI,N,2,178,191,54,0.0688144639134407
PUMPKIN,E,5,217,125,46,0.044976845383644104
PUMPKIN,E,4,218,131,42,0.0442705862224102
PUMPKIN,E,3,223,136,44,0.04399491101503372
PUMPKIN,E,6,213,114,50,0.04354181885719299
PUMPKIN,D,4,202,115,45,0.04322877526283264
ZUCCHINI,K,11,185,201,122,0.026743566617369652
ZUCCHINI,K,12,178,197,132,0.026587340980768204
ZUCCHINI,K,10,194,204,116,0.026541780680418015
ZUCCHINI,L,11,158,188,108,0.026180129498243332
ZUCCHINI,L,10,165,191,101,0.02607487514615059
GRAPE,A,25,131,58,113,0.06833620369434357
GRAPE,C,23,139,71,124,0.06777315586805344
GRAPE,D,22,135,76,125,0.06772753596305847
GRAPE,B,25,130,64,121,0.06766834110021591
GRAPE,B,24,137,65,122,0.06765708327293396
CUCUMBER,K,11,185,201,122,0.0472213476896286
CUCUMBER,K,12,178,197,132,0.04680199548602104
CUCUMBER,L,10,165,191,101,0.04674544930458069
CUCUMBER,L,9,174,194,96,0.046564117074012756
CUCUMBER,L,11,158,188,108,0.046416521072387695
COCONUT,I,15,204,200,166,0.02166627161204815
COCONUT,I,14,209,200,158,0.019834235310554504
COCONUT,I,16,194,198,180,0.01961566135287285
COCONUT,J,15,195,203,165,0.018931811675429344
COCONUT,J,12,203,205,152,0.018777821213006973
EGGPLANT,E,25,106,67,121,0.06219474971294403
EGGPLANT,D,25,109,64,118,0.06218276172876358
