word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.2739894390106201
SALMON,F,12,219,133,119,0.2724454402923584
SALMON,G,11,225,146,123,0.27243900299072266
SALMON,E,11,211,117,103,0.2719716727733612
SALMON,G,12,223,145,126,0.2718242406845093
WHALE,I,20,148,161,177,0.25966930389404297
WHALE,I,19,164,176,185,0.25944918394088745
WHALE,O,29,75,143,168,0.25940874218940735
WHALE,N,27,77,147,166,0.2593938112258911
WHALE,P,30,79,151,171,0.2593245208263397
GRIZZLY,P,27,85,162,147,0.26658526062965393
GRIZZLY,P,28,81,159,151,0.26649904251098633
GRIZZLY,O,26,89,163,153,0.2664928734302521
GRIZZLY,N,24,92,166,153,0.2664245069026947
GRIZZLY,O,25,90,163,142,0.26640909910202026
FLAMINGO,F,14,217,130,129,0.28471872210502625
FLAMINGO,G,14,220,142,135,0.2845267653465271
FLAMINGO,G,15,222,144,155,0.28322499990463257
FLAMINGO,F,13,213,130,122,0.2830171585083008
FLAMINGO,E,14,217,110,120,0.2825345993041992
FOX,D,7,211,99,50,0.27093061804771423
FOX,E,6,213,114,50,0.27039507031440735
FOX,E,5,217,125,46,0.27024102210998535
FOX,D,8,205,95,49,0.27001309394836426
FOX,E,3,223,136,44,0.2697829604148865
CRICKET,K,8,214,213,110,0.27062538266181946
CRICKET,K,9,204,207,111,0.2698354721069336
CRICKET,L,7,201,207,90,0.2695385217666626
CRICKET,K,7,221,217,108,0.26944759488105774
CRICKET,K,10,194,204,116,0.26879021525382996
CANARY,J,3,239,213,61,0.2939552962779999
CANARY,J,4,237,216,75,0.2936905026435852
CANARY,J,5,238,217,81,0.2936106324195862
CANARY,J,2,235,211,51,0.2935110628604889
CANARY,J,6,240,218,93,0.293323814868927
PIG,G,14,220,142,135,0.265205442905426
PIG,F,14,217,130,129,0.2647092938423157
PIG,F,13,213,130,122,0.264306902885437
PIG,G,13,221,143,129,0.26403874158859253
PIG,F,12,219,133,119,0.26377931237220764
TIGER,E,2,217,140,41,0.2689136862754822
TIGER,E,3,223,136,44,0.26844194531440735
TIGER,E,4,218,131,42,0.2681058645248413
TIGER,F,3,228,158,50,0.26719844341278076
TIGER,E,5,217,125,46,0.26676005125045776
LADYBUG,A,10,205,61,45,0.2595968246459961
LADYBUG,A,11,205,61,45,0.2595968246459961
LADYBUG,A,12,195,57,41,0.25922369956970215
LADYBUG,B,12,209,65,59,0.2591174244880676
