word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,D,10,209,93,76,0.28256574273109436
SALMON,E,10,215,114,90,0.28212809562683105
SALMON,E,9,212,109,77,0.2804532051086426
SALMON,F,10,220,130,98,0.2798200249671936
SALMON,D,11,208,96,88,0.2795705795288086
WHALE,J,20,146,185,193,0.2427709698677063
WHALE,J,19,165,194,195,0.24251659214496613
WHALE,O,29,75,143,168,0.2421698272228241
WHALE,K,21,130,186,197,0.2420063316822052
WHALE,M,26,81,147,175,0.24173179268836975
GRIZZLY,A,3,99,43,32,0.25169336795806885
GRIZZLY,A,4,109,44,35,0.2515580952167511
GRIZZLY,A,1,82,48,27,0.25116753578186035
GRIZZLY,A,2,90,47,30,0.25107452273368835
GRIZZLY,B,1,115,71,37,0.2510647773742676
FLAMINGO,C,15,207,67,99,0.28443214297294617
FLAMINGO,C,16,209,65,110,0.2840268015861511
FLAMINGO,B,16,207,57,93,0.2830594480037689
FLAMINGO,E,14,217,110,120,0.28229981660842896
FLAMINGO,B,17,207,55,102,0.28212210536003113
FOX,D,7,211,99,50,0.2681422233581543
FOX,E,7,212,113,63,0.26786381006240845
FOX,E,8,211,105,66,0.26783567667007446
FOX,D,8,205,95,49,0.2675022780895233
FOX,E,6,213,114,50,0.26722681522369385
CRICKET,P,4,102,139,65,0.26142802834510803
CRICKET,P,8,77,130,68,0.26141947507858276
CRICKET,P,9,70,126,68,0.2613893747329712
CRICKET,P,10,65,118,66,0.2613585293292999
CRICKET,P,1,112,140,60,0.2613542675971985
CANARY,K,4,235,222,79,0.30754029750823975
CANARY,K,3,234,219,71,0.3074420690536499
CANARY,K,2,234,219,67,0.3074169158935547
CANARY,J,4,237,216,75,0.30703049898147583
CANARY,K,5,230,221,85,0.3069305419921875
PIG,G,14,220,142,135,0.273465096950531
PIG,H,15,218,165,158,0.27324962615966797
PIG,F,14,217,130,129,0.2731441259384155
PIG,F,13,213,130,122,0.2723996937274933
PIG,G,13,221,143,129,0.2722354531288147
TIGER,D,1,175,118,47,0.25975173711776733
TIGER,D,2,188,118,47,0.25971049070358276
TIGER,E,1,203,141,42,0.2595837414264679
TIGER,E,4,218,131,42,0.2593051493167877
TIGER,E,2,217,140,41,0.2591935098171234
LADYBUG,A,15,205,59,66,0.26259684562683105
LADYBUG,A,16,201,57,74,0.26231151819229126
LADYBUG,B,14,196,58,67,0.26227983832359314
LADYBUG,B,13,201,60,63,0.26163578033447266
LADYBUG,C,13,207,75,83,0.26133015751838684
FROG,P,1,112,140,60,0.2674945294857025
FROG,P,2,115,145,62,0.2673647701740265
FROG,P,3,107,142,64,0.2671237587928772
FROG,O,14,77,150,66,0.26689577102661133
FROG,P,15,70,145,67,0.2668698728084564
