word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,G,10,227,147,113,0.3124513030052185
SALMON,H,10,235,159,109,0.3106987178325653
SALMON,H,11,230,159,119,0.31050723791122437
SALMON,H,12,227,160,127,0.30939367413520813
SALMON,G,11,225,146,123,0.30918651819229126
WHALE,L,27,77,112,147,0.2779432535171509
WHALE,L,24,96,164,187,0.2779267430305481
WHALE,L,23,101,176,189,0.27775734663009644
WHALE,M,28,81,125,163,0.2777274549007416
WHALE,M,25,86,163,179,0.2777221202850342
GRIZZLY,B,1,115,71,37,0.27699172496795654
GRIZZLY,C,1,143,92,43,0.2759661078453064
GRIZZLY,A,1,82,48,27,0.2748621702194214
GRIZZLY,C,2,150,87,44,0.2712272107601166
GRIZZLY,B,2,128,70,41,0.2702709436416626
FLAMINGO,G,14,220,142,135,0.3015002906322479
FLAMINGO,G,13,221,143,129,0.30065271258354187
FLAMINGO,F,14,217,130,129,0.30014675855636597
FLAMINGO,G,15,222,144,155,0.2997436821460724
FLAMINGO,G,12,223,145,126,0.2990944981575012
FOX,E,5,217,125,46,0.289745569229126
FOX,E,6,213,114,50,0.2896084785461426
FOX,F,7,223,142,80,0.2893224060535431
FOX,E,3,223,136,44,0.2883281707763672
FOX,E,4,218,131,42,0.2875666916370392
CRICKET,P,2,115,145,62,0.2605438232421875
CRICKET,P,1,112,140,60,0.26037901639938354
CRICKET,O,3,139,168,60,0.260356605052948
CRICKET,O,2,144,170,60,0.26017460227012634
CRICKET,O,1,147,170,59,0.2600540518760681
CANARY,K,4,235,222,79,0.3300197720527649
CANARY,K,2,234,219,67,0.33001503348350525
CANARY,K,3,234,219,71,0.32990625500679016
CANARY,J,5,238,217,81,0.32970118522644043
CANARY,J,4,237,216,75,0.32968494296073914
PIG,H,14,222,163,143,0.26895901560783386
PIG,G,13,221,143,129,0.2685142755508423
PIG,G,12,223,145,126,0.26824265718460083
PIG,G,14,220,142,135,0.2681880593299866
PIG,H,15,218,165,158,0.26803433895111084
TIGER,D,2,188,118,47,0.2789888381958008
TIGER,D,3,191,112,45,0.278000146150589
TIGER,E,4,218,131,42,0.2772609293460846
TIGER,D,1,175,118,47,0.27719175815582275
TIGER,E,3,223,136,44,0.2769817113876343
LADYBUG,B,16,207,57,93,0.2556309700012207
LADYBUG,A,17,197,53,86,0.25501561164855957
LADYBUG,B,15,205,59,81,0.2540321946144104
LADYBUG,C,15,207,67,99,0.2534118890762329
LADYBUG,B,17,207,55,102,0.25335240364074707
FROG,O,5,126,166,66,0.3004611134529114
FROG,O,4,132,168,64,0.3003789782524109
FROG,P,2,115,145,62,0.30026912689208984
FROG,O,6,111,158,69,0.3001108169555664
FROG,O,3,139,168,60,0.3000745475292206
AXOLOTL,F,15,218,127,144,0.2674332857131958
AXOLOTL,G,15,222,144,155,0.26730024814605713
AXOLOTL,E,15,214,104,131,0.2665274143218994
AXOLOTL,E,16,205,110,140,0.2653149962425232
AXOLOTL,E,14,217,110,120,0.26476430892944336
TOAD,C,3,164,89,46,0.2449081391096115
TOAD,C,2,150,87,44,0.2447291612625122
TOAD,B,2,128,70,41,0.24461781978607178
TOAD,H,12,227,160,127,0.24459871649742126
TOAD,G,9,225,149,105,0.24444904923439026
LEMON,K,4,235,222,79,0.34156978130340576
LEMON,K,3,234,219,71,0.34036916494369507
LEMON,K,2,234,219,67,0.34027260541915894
LEMON,K,5,230,221,85,0.34001779556274414
LEMON,L,2,228,217,53,0.33948928117752075
LIME,N,1,180,193,51,0.3871028423309326
LIME,M,5,194,204,68,0.38634374737739563
LIME,N,2,178,191,54,0.38574087619781494
LIME,M,6,182,198,73,0.3852924108505249
LIME,N,3,170,189,58,0.3852880001068115
KIWI,O,1,147,170,59,0.29898181557655334
KIWI,O,2,144,170,60,0.2984393239021301
KIWI,O,3,139,168,60,0.2979798913002014
KIWI,N,3,170,189,58,0.2978038787841797
KIWI,N,2,178,191,54,0.29761558771133423
