word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.2975778579711914
SALMON,E,10,215,114,90,0.2972574532032013
SALMON,F,10,220,130,98,0.2955187261104584
SALMON,G,11,225,146,123,0.2949986159801483
SALMON,G,12,223,145,126,0.29409199953079224
WHALE,M,24,93,172,174,0.2724728584289551
WHALE,N,26,82,161,166,0.2715469300746918
WHALE,L,22,112,177,179,0.27130207419395447
WHALE,K,20,144,191,190,0.2709396183490753
WHALE,P,29,82,157,165,0.2699717879295349
GRIZZLY,A,3,99,43,32,0.2804809808731079
GRIZZLY,A,1,82,48,27,0.27984192967414856
GRIZZLY,A,4,109,44,35,0.2797382175922394
GRIZZLY,A,2,90,47,30,0.27928343415260315
GRIZZLY,A,5,124,45,38,0.2771386206150055
FLAMINGO,B,16,207,57,93,0.3131876289844513
FLAMINGO,C,15,207,67,99,0.31220781803131104
FLAMINGO,B,17,207,55,102,0.3106761574745178
FLAMINGO,A,17,197,53,86,0.31027349829673767
FLAMINGO,D,15,206,85,112,0.30952849984169006
FOX,C,9,210,75,50,0.26929551362991333
FOX,C,8,205,72,45,0.26879042387008667
FOX,C,7,199,74,46,0.2677333354949951
FOX,D,9,206,89,63,0.2677237093448639
FOX,D,10,209,93,76,0.2671035826206207
CRICKET,P,10,65,118,66,0.26578155159950256
CRICKET,P,11,63,120,66,0.26546889543533325
CRICKET,P,9,70,126,68,0.26487401127815247
CRICKET,P,12,67,127,70,0.2648221254348755
CRICKET,P,8,77,130,68,0.2641991078853607
CANARY,L,2,228,217,53,0.2914677858352661
CANARY,L,1,229,216,45,0.2912542521953583
CANARY,L,3,227,217,60,0.2904185652732849
CANARY,J,1,224,203,44,0.2886546850204468
CANARY,J,2,235,211,51,0.28807613253593445
PIG,F,15,218,127,144,0.26719778776168823
PIG,E,16,205,110,140,0.26685643196105957
PIG,E,15,214,104,131,0.2664954960346222
PIG,E,17,190,111,143,0.26641029119491577
PIG,F,16,202,130,150,0.2661718726158142
TIGER,E,3,223,136,44,0.2665852904319763
TIGER,E,4,218,131,42,0.2663070261478424
TIGER,E,5,217,125,46,0.2659060060977936
TIGER,E,2,217,140,41,0.2629106938838959
TIGER,E,6,213,114,50,0.26244670152664185
LADYBUG,B,15,205,59,81,0.26936471462249756
LADYBUG,A,16,201,57,74,0.26847943663597107
LADYBUG,C,14,200,66,84,0.2675323486328125
LADYBUG,A,17,197,53,86,0.26731616258621216
LADYBUG,A,15,205,59,66,0.26725220680236816
FROG,L,12,152,186,114,0.28004196286201477
FROG,L,11,158,188,108,0.279840886592865
FROG,L,10,165,191,101,0.2793255150318146
FROG,M,11,128,174,91,0.2792399227619171
FROG,M,12,124,172,97,0.27923959493637085
AXOLOTL,E,14,217,110,120,0.26354146003723145
AXOLOTL,E,13,211,112,112,0.26259857416152954
AXOLOTL,E,12,211,111,104,0.26233208179473877
AXOLOTL,F,14,217,130,129,0.2621539831161499
AXOLOTL,F,12,219,133,119,0.2607797384262085
TOAD,J,13,197,200,155,0.26171115040779114
TOAD,J,12,203,205,152,0.26166218519210815
TOAD,J,14,190,196,156,0.26080629229545593
TOAD,K,13,175,195,138,0.26043254137039185
TOAD,K,12,178,197,132,0.2600862979888916
LEMON,L,3,227,217,60,0.3013519048690796
LEMON,L,2,228,217,53,0.30115625262260437
LEMON,L,4,223,217,68,0.30085641145706177
LEMON,L,1,229,216,45,0.29957810044288635
LEMON,K,1,222,209,60,0.29883208870887756
LIME,M,4,202,207,62,0.3267591595649719
LIME,L,8,185,199,94,0.32656043767929077
LIME,M,5,194,204,68,0.32620757818222046
LIME,M,3,206,206,55,0.3259006142616272
LIME,M,6,182,198,73,0.32571160793304443
KIWI,O,1,147,170,59,0.29084011912345886
KIWI,L,9,174,194,96,0.29064637422561646
KIWI,O,2,144,170,60,0.28991997241973877
KIWI,L,10,165,191,101,0.28982844948768616
KIWI,K,11,185,201,122,0.28961488604545593
PUMPKIN,E,7,212,113,63,0.30721014738082886
PUMPKIN,D,7,211,99,50,0.30644160509109497
PUMPKIN,E,8,211,105,66,0.30636143684387207
PUMPKIN,E,6,213,114,50,0.3063468933105469
PUMPKIN,F,7,223,142,80,0.3054804801940918
ZUCCHINI,P,1,112,140,60,0.27013832330703735
ZUCCHINI,P,2,115,145,62,0.2699618637561798
ZUCCHINI,P,3,107,142,64,0.2695581316947937
ZUCCHINI,P,4,102,139,65,0.26930931210517883
ZUCCHINI,L,13,145,178,120,0.26810261607170105
GRAPE,B,27,111,59,115,0.3370717167854309
GRAPE,D,25,109,64,118,0.3364069163799286
GRAPE,A,30,97,59,117,0.33603179454803467
GRAPE,C,27,105,59,118,0.33599644899368286
GRAPE,A,25,131,58,113,0.33569371700286865
CUCUMBER,L,16,146,186,143,0.29383543133735657
CUCUMBER,M,19,130,182,141,0.2937149405479431
CUCUMBER,M,18,128,180,138,0.29370638728141785
CUCUMBER,L,15,147,185,134,0.29366111755371094
CUCUMBER,M,17,125,177,129,0.29344984889030457
COCONUT,A,1,82,48,27,0.28028351068496704
COCONUT,B,2,128,70,41,0.27837011218070984
COCONUT,A,2,90,47,30,0.2783101499080658
COCONUT,B,1,115,71,37,0.2782888412475586
COCONUT,C,2,150,87,44,0.27604904770851135
EGGPLANT,D,30,68,48,110,0.3192940950393677
EGGPLANT,G,25,94,81,128,0.31761935353279114
EGGPLANT,A,30,97,59,117,0.31677067279815674
EGGPLANT,B,27,111,59,115,0.31630071997642517
EGGPLANT,F,25,102,72,124,0.31607306003570557
ASPARAGUS,L,15,147,185,134,0.27288374304771423
ASPARAGUS,L,13,145,178,120,0.27265435457229614
ASPARAGUS,L,14,141,180,124,0.2726541757583618
ASPARAGUS,K,15,163,188,147,0.272627592086792
ASPARAGUS,L,16,146,186,143,0.27262064814567566
PEACH,F,11,223,134,112,0.33109933137893677
PEACH,G,11,225,146,123,0.32963478565216064
PEACH,G,12,223,145,126,0.32858458161354065
PEACH,E,10,215,114,90,0.32852691411972046
PEACH,G,10,227,147,113,0.3283134698867798
APPLE,A,17,197,53,86,0.26686108112335205
APPLE,B,16,207,57,93,0.2665194571018219
APPLE,A,18,192,50,97,0.2659774422645569
APPLE,C,15,207,67,99,0.26548364758491516
APPLE,G,15,222,144,155,0.265317440032959
EGG,M,1,211,207,48,0.268035352230072
EGG,M,2,208,206,51,0.26745152473449707
EGG,L,1,229,216,45,0.26677367091178894
EGG,M,3,206,206,55,0.26675209403038025
EGG,L,2,228,217,53,0.2660658359527588
BANANA,L,2,228,217,53,0.27510982751846313
BANANA,L,1,229,216,45,0.2748183608055115
BANANA,L,3,227,217,60,0.27465102076530457
BANANA,K,1,222,209,60,0.2737145721912384
BANANA,L,4,223,217,68,0.27330976724624634
