word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,E,10,215,114,90,0.21325121819972992
SALMON,D,10,209,93,76,0.21243169903755188
SALMON,E,9,212,109,77,0.21092914044857025
SALMON,F,11,223,134,112,0.21067893505096436
SALMON,F,10,220,130,98,0.210382878780365
WHALE,H,27,76,80,134,0.1716892570257187
WHALE,J,30,59,68,123,0.17152245342731476
WHALE,H,28,68,72,131,0.1714945137500763
WHALE,K,28,68,91,135,0.1713923215866089
WHALE,H,30,49,56,116,0.17129823565483093
GRIZZLY,C,1,143,92,43,0.16888968646526337
GRIZZLY,B,1,115,71,37,0.16837023198604584
GRIZZLY,A,1,82,48,27,0.16255879402160645
GRIZZLY,D,1,175,118,47,0.16144242882728577
GRIZZLY,C,2,150,87,44,0.1600034385919571
FLAMINGO,E,14,217,110,120,0.21381424367427826
FLAMINGO,F,14,217,130,129,0.2118404060602188
FLAMINGO,F,15,218,127,144,0.21101778745651245
FLAMINGO,E,13,211,112,112,0.21093177795410156
FLAMINGO,G,15,222,144,155,0.21092745661735535
FOX,F,7,223,142,80,0.18615840375423431
FOX,E,7,212,113,63,0.18568909168243408
FOX,F,8,215,132,84,0.18563491106033325
FOX,F,9,219,128,88,0.18524959683418274
FOX,E,6,213,114,50,0.18480843305587769
CRICKET,O,14,77,150,66,0.19168636202812195
CRICKET,P,17,81,153,68,0.19166842103004456
CRICKET,P,16,78,152,70,0.19127602875232697
CRICKET,P,15,70,145,67,0.1904468983411789
CRICKET,O,15,81,153,73,0.1901341825723648
CANARY,L,1,229,216,45,0.24518024921417236
CANARY,L,2,228,217,53,0.2441420704126358
CANARY,J,2,235,211,51,0.24398173391819
CANARY,J,1,224,203,44,0.24351418018341064
CANARY,L,3,227,217,60,0.2431252896785736
PIG,H,15,218,165,158,0.18927457928657532
PIG,H,14,222,163,143,0.18883974850177765
PIG,G,14,220,142,135,0.18853983283042908
PIG,G,15,222,144,155,0.18824607133865356
PIG,F,14,217,130,129,0.18800967931747437
TIGER,D,1,175,118,47,0.17469313740730286
TIGER,H,8,230,167,96,0.17428462207317352
TIGER,G,6,228,159,82,0.17403113842010498
TIGER,H,7,230,170,89,0.1737753301858902
TIGER,G,5,232,172,88,0.17362144589424133
LADYBUG,F,10,220,130,98,0.164961576461792
LADYBUG,F,9,219,128,88,0.16462953388690948
LADYBUG,E,10,215,114,90,0.16460075974464417
LADYBUG,G,10,227,147,113,0.1644073873758316
LADYBUG,E,9,212,109,77,0.16416576504707336
FROG,N,8,126,173,68,0.18608449399471283
FROG,N,7,130,175,68,0.18602080643177032
FROG,N,9,116,167,70,0.18541808426380157
FROG,N,6,147,183,68,0.18512476980686188
FROG,N,10,106,159,69,0.18421536684036255
AXOLOTL,G,15,222,144,155,0.1369190812110901
AXOLOTL,F,15,218,127,144,0.13546106219291687
AXOLOTL,E,14,217,110,120,0.13416644930839539
AXOLOTL,G,16,206,150,162,0.1335723102092743
AXOLOTL,F,14,217,130,129,0.13275356590747833
TOAD,H,9,229,163,106,0.149237722158432
TOAD,C,1,143,92,43,0.148941770195961
TOAD,I,13,207,190,146,0.14860929548740387
TOAD,I,12,220,198,142,0.14699210226535797
TOAD,H,8,230,167,96,0.14688009023666382
LEMON,L,2,228,217,53,0.2301691770553589
LEMON,L,1,229,216,45,0.23007605969905853
LEMON,L,3,227,217,60,0.22976310551166534
LEMON,L,4,223,217,68,0.2296675741672516
LEMON,K,2,234,219,67,0.229071244597435
LIME,M,4,202,207,62,0.2525414526462555
LIME,M,5,194,204,68,0.2523755729198456
LIME,N,1,180,193,51,0.2517556846141815
LIME,N,3,170,189,58,0.25049394369125366
LIME,N,4,161,186,60,0.2501465082168579
KIWI,N,4,161,186,60,0.1911776214838028
KIWI,N,3,170,189,58,0.19108828902244568
KIWI,N,5,154,184,62,0.19099090993404388
KIWI,O,1,147,170,59,0.19074852764606476
KIWI,N,2,178,191,54,0.19069822132587433
PUMPKIN,E,3,223,136,44,0.20735996961593628
PUMPKIN,E,4,218,131,42,0.20568887889385223
PUMPKIN,E,5,217,125,46,0.2056712508201599
PUMPKIN,E,6,213,114,50,0.20393404364585876
PUMPKIN,D,7,211,99,50,0.20284360647201538
ZUCCHINI,N,5,154,184,62,0.19736073911190033
ZUCCHINI,N,4,161,186,60,0.19720324873924255
ZUCCHINI,N,6,147,183,68,0.19682297110557556
ZUCCHINI,N,3,170,189,58,0.19643893837928772
ZUCCHINI,M,7,171,194,77,0.1962292641401291
GRAPE,E,24,119,77,129,0.2285829335451126
GRAPE,E,23,128,81,133,0.22854205965995789
GRAPE,D,24,121,71,123,0.22851267457008362
GRAPE,F,24,112,82,132,0.22850513458251953
GRAPE,F,23,123,87,135,0.2284756898880005
CUCUMBER,N,5,154,184,62,0.1930934637784958
CUCUMBER,N,6,147,183,68,0.1929093599319458
