word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,E,10,215,114,90,0.1372688114643097
SALMON,F,11,223,134,112,0.13654710352420807
SALMON,F,10,220,130,98,0.1356893926858902
SALMON,G,10,227,147,113,0.13465221226215363
SALMON,E,9,212,109,77,0.1346283107995987
WHALE,H,30,49,56,116,0.13377797603607178
WHALE,I,30,48,65,124,0.1336853951215744
WHALE,J,30,59,68,123,0.13318365812301636
WHALE,K,30,65,82,135,0.13240185379981995
WHALE,I,29,62,71,129,0.13235250115394592
GRIZZLY,C,1,143,92,43,0.12715376913547516
GRIZZLY,B,1,115,71,37,0.12643761932849884
GRIZZLY,D,1,175,118,47,0.12454259395599365
GRIZZLY,A,1,82,48,27,0.12412544339895248
GRIZZLY,C,2,150,87,44,0.12033303827047348
FLAMINGO,F,12,219,133,119,0.17191705107688904
FLAMINGO,G,13,221,143,129,0.17151734232902527
FLAMINGO,G,12,223,145,126,0.17073190212249756
FLAMINGO,G,14,220,142,135,0.17069175839424133
FLAMINGO,F,13,213,130,122,0.17063257098197937
FOX,F,9,219,128,88,0.14027714729309082
FOX,F,7,223,142,80,0.14016351103782654
FOX,H,10,235,159,109,0.13964654505252838
FOX,G,8,224,149,97,0.13964049518108368
FOX,F,8,215,132,84,0.13926273584365845
CRICKET,I,15,204,200,166,0.13172411918640137
CRICKET,I,14,209,200,158,0.1304769217967987
CRICKET,J,12,203,205,152,0.12974700331687927
CRICKET,J,13,197,200,155,0.12934863567352295
CRICKET,J,11,210,207,142,0.12894900143146515
CANARY,K,4,235,222,79,0.1744738221168518
CANARY,K,5,230,221,85,0.17439153790473938
CANARY,K,3,234,219,71,0.1739654541015625
CANARY,K,2,234,219,67,0.17388837039470673
CANARY,K,6,227,220,95,0.1738416999578476
PIG,H,14,222,163,143,0.12368740141391754
PIG,G,14,220,142,135,0.12357240170240402
PIG,G,13,221,143,129,0.12342523038387299
PIG,F,12,219,133,119,0.12324045598506927
PIG,F,14,217,130,129,0.12281446158885956
TIGER,D,1,175,118,47,0.13699275255203247
TIGER,D,2,188,118,47,0.13515381515026093
TIGER,E,1,203,141,42,0.1332893967628479
TIGER,E,2,217,140,41,0.1329532265663147
TIGER,D,3,191,112,45,0.13239625096321106
LADYBUG,C,12,210,78,76,0.1505783200263977
LADYBUG,C,11,211,78,73,0.1505633294582367
LADYBUG,D,12,207,96,91,0.15014030039310455
LADYBUG,D,11,208,96,88,0.15006409585475922
LADYBUG,B,12,209,65,59,0.14965736865997314
FROG,N,5,154,184,62,0.1305597424507141
FROG,N,4,161,186,60,0.1304779350757599
FROG,M,7,171,194,77,0.13001200556755066
FROG,N,6,147,183,68,0.12995675206184387
FROG,M,8,158,189,81,0.12941062450408936
AXOLOTL,I,16,194,198,180,0.12181912362575531
AXOLOTL,I,17,192,196,189,0.12110534310340881
AXOLOTL,G,15,222,144,155,0.1199946478009224
AXOLOTL,F,15,218,127,144,0.11951766908168793
AXOLOTL,I,15,204,200,166,0.11886744201183319
TOAD,D,1,175,118,47,0.12187079340219498
TOAD,C,1,143,92,43,0.12140871584415436
TOAD,I,13,207,190,146,0.12123146653175354
TOAD,I,15,204,200,166,0.12055175006389618
TOAD,I,14,209,200,158,0.11939379572868347
LEMON,L,6,215,214,82,0.19355341792106628
LEMON,M,3,206,206,55,0.1933622658252716
LEMON,M,4,202,207,62,0.19323697686195374
LEMON,M,2,208,206,51,0.1931176632642746
LEMON,L,4,223,217,68,0.19309017062187195
LIME,M,6,182,198,73,0.2069709300994873
LIME,N,3,170,189,58,0.20631542801856995
LIME,N,1,180,193,51,0.20578938722610474
LIME,N,4,161,186,60,0.20518450438976288
LIME,N,2,178,191,54,0.2051159143447876
KIWI,N,3,170,189,58,0.1524810492992401
KIWI,M,6,182,198,73,0.1522071212530136
KIWI,N,4,161,186,60,0.15211805701255798
KIWI,M,7,171,194,77,0.15200334787368774
KIWI,L,8,185,199,94,0.15109795331954956
PUMPKIN,E,3,223,136,44,0.1611482799053192
PUMPKIN,D,7,211,99,50,0.16018223762512207
PUMPKIN,E,4,218,131,42,0.15943169593811035
PUMPKIN,E,5,217,125,46,0.15929730236530304
PUMPKIN,G,3,235,169,52,0.1591467410326004
ZUCCHINI,M,5,194,204,68,0.14108611643314362
ZUCCHINI,M,6,182,198,73,0.14085951447486877
ZUCCHINI,N,1,180,193,51,0.1407788246870041
ZUCCHINI,N,2,178,191,54,0.14050652086734772
ZUCCHINI,L,7,201,207,90,0.14001521468162537
GRAPE,A,25,131,58,113,0.14113163948059082
GRAPE,D,20,157,87,130,0.14080050587654114
GRAPE,B,23,145,64,120,0.14076808094978333
GRAPE,B,22,152,65,121,0.14043179154396057
GRAPE,A,23,152,59,116,0.14040228724479675
CUCUMBER,N,5,154,184,62,0.15577135980129242
CUCUMBER,N,6,147,183,68,0.15560400485992432
CUCUMBER,N,4,161,186,60,0.15543237328529358
CUCUMBER,M,7,171,194,77,0.1552143096923828
CUCUMBER,M,8,158,189,81,0.15493091940879822
COCONUT,A,1,82,48,27,0.1278124749660492
COCONUT,I,15,204,200,166,0.12433968484401703
COCONUT,I,14,209,200,158,0.12388814240694046
COCONUT,J,12,203,205,152,0.12354882061481476
COCONUT,J,11,210,207,142,0.1234135851264
EGGPLANT,D,30,68,48,110,0.15129950642585754
EGGPLANT,E,29,73,50,118,0.15104162693023682
EGGPLANT,F,28,74,51,119,0.1509789526462555
EGGPLANT,E,28,83,52,121,0.150437593460083
EGGPLANT,D,29,82,52,118,0.1504060924053192
ASPARAGUS,M,6,182,198,73,0.1603745073080063
ASPARAGUS,M,7,171,194,77,0.160291850566864
ASPARAGUS,N,3,170,189,58,0.1599767804145813
ASPARAGUS,L,8,185,199,94,0.15991206467151642
ASPARAGUS,N,4,161,186,60,0.15960317850112915
PEACH,G,12,223,145,126,0.16851527988910675
PEACH,G,11,225,146,123,0.1684442162513733
PEACH,F,11,223,134,112,0.16805556416511536
PEACH,F,12,219,133,119,0.16797201335430145
PEACH,G,13,221,143,129,0.1668366640806198
APPLE,E,12,211,111,104,0.12082450091838837
APPLE,D,12,207,96,91,0.12056618183851242
APPLE,E,13,211,112,112,0.12055683135986328
APPLE,C,12,210,78,76,0.1204310730099678
APPLE,M,5,194,204,68,0.12026093900203705
EGG,J,7,238,220,101,0.15015444159507751
EGG,J,6,240,218,93,0.14993011951446533
EGG,K,6,227,220,95,0.14988479018211365
EGG,K,5,230,221,85,0.1497129201889038
EGG,J,5,238,217,81,0.14956563711166382
BANANA,K,5,230,221,85,0.16717040538787842
BANANA,K,6,227,220,95,0.166806161403656
BANANA,K,4,235,222,79,0.16670361161231995
BANANA,K,3,234,219,71,0.16543570160865784
BANANA,J,7,238,220,101,0.16526277363300323
TOMATO,B,12,209,65,59,0.18874365091323853
TOMATO,C,10,213,78,66,0.18845076858997345
TOMATO,C,11,211,78,73,0.18785837292671204
TOMATO,B,11,207,67,54,0.18751567602157593
TOMATO,C,12,210,78,76,0.18632104992866516
BEET,A,18,192,50,97,0.18731147050857544
BEET,A,20,175,49,110,0.186427503824234
BEET,A,19,184,48,108,0.18625691533088684
BEET,A,17,197,53,86,0.18463513255119324
BEET,B,20,179,66,121,0.18456874787807465
PEARL,I,15,204,200,166,0.14192038774490356
PEARL,I,17,192,196,189,0.14165204763412476
PEARL,I,16,194,198,180,0.1407058984041214
PEARL,I,14,209,200,158,0.13961833715438843
PEARL,I,18,191,193,194,0.13852371275424957
AMETHYST,D,25,109,64,118,0.16588225960731506
AMETHYST,E,25,106,67,121,0.16575637459754944
AMETHYST,E,24,119,77,129,0.16574178636074066
AMETHYST,D,26,108,66,123,0.1655615270137787
AMETHYST,B,27,111,59,115,0.16553805768489838
SAPPHIRE,H,30,49,56,116,0.17551013827323914
SAPPHIRE,J,30,59,68,123,0.17541266977787018
SAPPHIRE,I,29,62,71,129,0.1754021942615509
SAPPHIRE,H,29,59,64,124,0.17530588805675507
SAPPHIRE,J,29,67,79,135,0.17496556043624878
GOLD,F,1,220,158,32,0.21266409754753113
GOLD,G,1,221,168,33,0.21221862733364105
GOLD,E,1,203,141,42,0.21098539233207703
GOLD,I,9,231,195,106,0.20776090025901794
GOLD,I,8,235,194,96,0.20668017864227295
RUBY,A,17,197,53,86,0.1782999336719513
RUBY,A,18,192,50,97,0.1765803098678589
RUBY,B,16,207,57,93,0.17638418078422546
RUBY,C,15,207,67,99,0.1757955551147461
RUBY,D,15,206,85,112,0.1731404960155487
JADE,P,8,77,130,68,0.1785293072462082
JADE,P,7,81,133,67,0.17851564288139343
JADE,P,9,70,126,68,0.1784515380859375
JADE,O,11,78,135,69,0.1784360259771347
JADE,O,10,83,138,68,0.17842163145542145
TILE,I,17,192,196,189,0.15801768004894257
TILE,F,8,215,132,84,0.1563890427350998
TILE,F,9,219,128,88,0.15427042543888092
TILE,G,9,225,149,105,0.154115229845047
TILE,I,18,191,193,194,0.154031902551651
LAPIS LAZULI,H,30,49,56,116,0.199315145611763
LAPIS LAZULI,H,29,59,64,124,0.19910670816898346
LAPIS LAZULI,G,29,57,53,119,0.19893625378608704
LAPIS LAZULI,I,30,48,65,124,0.19821329414844513
LAPIS LAZULI,H,28,68,72,131,0.19819676876068115
AMBER,E,2,217,140,41,0.19815608859062195
AMBER,E,1,203,141,42,0.19767563045024872
AMBER,D,2,188,118,47,0.1943560540676117
AMBER,D,1,175,118,47,0.1942141056060791
AMBER,F,3,228,158,50,0.19391989707946777
BRICK,F,8,215,132,84,0.16752541065216064
BRICK,F,10,220,130,98,0.16586360335350037
BRICK,F,9,219,128,88,0.16565769910812378
BRICK,G,9,225,149,105,0.16542796790599823
BRICK,B,5,158,65,44,0.16413851082324982
EMERALD,P,11,63,120,66,0.18554216623306274
EMERALD,P,12,67,127,70,0.18525558710098267
EMERALD,P,13,70,136,71,0.18509934842586517
EMERALD,P,14,70,138,69,0.18489040434360504
EMERALD,P,15,70,145,67,0.18423862755298615
SUNFLOWER,K,4,235,222,79,0.14031538367271423
SUNFLOWER,K,2,234,219,67,0.14024116098880768
SUNFLOWER,K,3,234,219,71,0.14014698565006256
SUNFLOWER,J,2,235,211,51,0.13982036709785461
SUNFLOWER,J,3,239,213,61,0.1398133933544159
BASIL,K,12,178,197,132,0.19156473875045776
BASIL,K,13,175,195,138,0.191300630569458
BASIL,L,11,158,188,108,0.19081276655197144
BASIL,L,10,165,191,101,0.19049358367919922
BASIL,K,11,185,201,122,0.19046659767627716
MALLOW,C,17,204,68,122,0.13458728790283203
MALLOW,D,16,207,85,124,0.13446474075317383
MALLOW,C,16,209,65,110,0.13409706950187683
MALLOW,C,18,191,78,125,0.13389678299427032
MALLOW,B,18,199,54,115,0.13378313183784485
LAVENDER,H,22,125,121,154,0.17204391956329346
LAVENDER,H,23,112,109,149,0.1713782250881195
LAVENDER,H,21,142,131,158,0.17113929986953735
LAVENDER,H,20,154,142,164,0.169856995344162
LAVENDER,H,24,105,103,145,0.16984552145004272
POPPY,C,11,211,78,73,0.12612421810626984
POPPY,B,12,209,65,59,0.126104936003685
POPPY,C,12,210,78,76,0.12558385729789734
POPPY,C,10,213,78,66,0.12544700503349304
POPPY,A,14,203,57,56,0.125057190656662
