word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.3480311632156372
SALMON,G,11,225,146,123,0.3480088710784912
SALMON,G,12,223,145,126,0.34769028425216675
SALMON,F,12,219,133,119,0.34715819358825684
SALMON,G,13,221,143,129,0.3471127152442932
WHALE,J,24,102,130,162,0.3074195683002472
WHALE,L,27,77,112,147,0.30717718601226807
WHALE,K,24,102,146,172,0.30715513229370117
WHALE,K,25,95,135,166,0.3071393370628357
WHALE,J,23,112,144,171,0.3071383237838745
GRIZZLY,A,2,90,47,30,0.3010527491569519
GRIZZLY,A,1,82,48,27,0.3007656931877136
GRIZZLY,B,1,115,71,37,0.3002849221229553
GRIZZLY,B,2,128,70,41,0.29988306760787964
GRIZZLY,A,3,99,43,32,0.29978108406066895
FLAMINGO,E,14,217,110,120,0.33550727367401123
FLAMINGO,F,15,218,127,144,0.33547353744506836
FLAMINGO,E,15,214,104,131,0.335401326417923
FLAMINGO,G,15,222,144,155,0.3350479304790497
FLAMINGO,D,15,206,85,112,0.33416953682899475
FOX,H,10,235,159,109,0.30686143040657043
FOX,G,9,225,149,105,0.3061346113681793
FOX,G,8,224,149,97,0.3060733377933502
FOX,H,11,230,159,119,0.3060329854488373
FOX,H,9,229,163,106,0.30580368638038635
CRICKET,O,4,132,168,64,0.2999471426010132
CRICKET,O,5,126,166,66,0.29993683099746704
CRICKET,N,7,130,175,68,0.29987773299217224
CRICKET,N,8,126,173,68,0.2998574376106262
CRICKET,N,6,147,183,68,0.2998170852661133
CANARY,J,4,237,216,75,0.3400689363479614
CANARY,J,5,238,217,81,0.34001708030700684
CANARY,J,2,235,211,51,0.3399049937725067
CANARY,J,3,239,213,61,0.33976709842681885
CANARY,K,3,234,219,71,0.3397504985332489
PIG,H,15,218,165,158,0.30607062578201294
PIG,G,15,222,144,155,0.30548155307769775
PIG,G,14,220,142,135,0.30436015129089355
PIG,G,16,206,150,162,0.3040590286254883
PIG,F,15,218,127,144,0.30391716957092285
TIGER,E,5,217,125,46,0.3137311041355133
TIGER,D,4,202,115,45,0.3137190043926239
TIGER,E,6,213,114,50,0.3135574758052826
TIGER,D,3,191,112,45,0.3135528266429901
TIGER,E,4,218,131,42,0.3135472536087036
LADYBUG,A,14,203,57,56,0.3035964071750641
LADYBUG,A,13,194,54,46,0.303194135427475
LADYBUG,A,10,205,61,45,0.303142786026001
LADYBUG,A,11,205,61,45,0.303142786026001
LADYBUG,A,15,205,59,66,0.3030261993408203
FROG,K,13,175,195,138,0.3106306791305542
FROG,P,1,112,140,60,0.3106001019477844
FROG,L,13,145,178,120,0.3105829358100891
FROG,P,2,115,145,62,0.3105398714542389
FROG,K,14,163,183,135,0.3104857802391052
AXOLOTL,H,15,218,165,158,0.29737651348114014
AXOLOTL,H,16,200,164,172,0.29551246762275696
AXOLOTL,H,14,222,163,143,0.2952256500720978
AXOLOTL,K,18,171,200,179,0.29509657621383667
AXOLOTL,K,17,170,199,174,0.2948220372200012
TOAD,C,1,143,92,43,0.29857489466667175
TOAD,D,1,175,118,47,0.2984965145587921
TOAD,I,13,207,190,146,0.29844897985458374
TOAD,I,14,209,200,158,0.29783856868743896
TOAD,I,15,204,200,166,0.29750052094459534
LEMON,J,7,238,220,101,0.35455554723739624
LEMON,K,4,235,222,79,0.354233056306839
LEMON,K,5,230,221,85,0.35417449474334717
LEMON,K,6,227,220,95,0.3540792465209961
LEMON,J,6,240,218,93,0.35368072986602783
LIME,M,7,171,194,77,0.3629077672958374
LIME,M,8,158,189,81,0.36258456110954285
LIME,M,6,182,198,73,0.3625217080116272
LIME,N,5,154,184,62,0.3622192442417145
LIME,N,4,161,186,60,0.3620206117630005
KIWI,O,1,147,170,59,0.34650346636772156
KIWI,L,9,174,194,96,0.346424400806427
KIWI,O,2,144,170,60,0.34623920917510986
KIWI,M,7,171,194,77,0.346015065908432
KIWI,L,8,185,199,94,0.34594595432281494
PUMPKIN,E,6,213,114,50,0.33905303478240967
PUMPKIN,E,5,217,125,46,0.3387700319290161
PUMPKIN,F,7,223,142,80,0.3384440243244171
PUMPKIN,D,4,202,115,45,0.33810490369796753
PUMPKIN,D,5,200,104,46,0.33783698081970215
ZUCCHINI,K,11,185,201,122,0.31443357467651367
ZUCCHINI,L,9,174,194,96,0.31437796354293823
ZUCCHINI,L,10,165,191,101,0.3141613006591797
ZUCCHINI,L,8,185,199,94,0.31412404775619507
ZUCCHINI,K,10,194,204,116,0.31408727169036865
GRAPE,D,24,121,71,123,0.36151495575904846
GRAPE,D,23,128,73,124,0.3613329231739044
GRAPE,D,25,109,64,118,0.36128127574920654
GRAPE,E,24,119,77,129,0.3612714409828186
GRAPE,E,25,106,67,121,0.3611166477203369
CUCUMBER,L,11,158,188,108,0.31292933225631714
CUCUMBER,L,10,165,191,101,0.3128630518913269
CUCUMBER,L,12,152,186,114,0.31264403462409973
CUCUMBER,M,10,139,180,87,0.3124814033508301
CUCUMBER,M,9,145,182,83,0.3123832046985626
COCONUT,A,1,82,48,27,0.32022133469581604
COCONUT,B,1,115,71,37,0.31903642416000366
COCONUT,A,2,90,47,30,0.3185434937477112
COCONUT,B,2,128,70,41,0.3176434338092804
COCONUT,C,2,150,87,44,0.31639841198921204
EGGPLANT,D,25,109,64,118,0.3537375330924988
EGGPLANT,B,27,111,59,115,0.35361534357070923
EGGPLANT,E,25,106,67,121,0.35334593057632446
EGGPLANT,F,25,102,72,124,0.3530910611152649
EGGPLANT,A,30,97,59,117,0.3529422879219055
ASPARAGUS,K,13,175,195,138,0.31160491704940796
ASPARAGUS,K,14,163,183,135,0.31149935722351074
ASPARAGUS,K,12,178,197,132,0.31132325530052185
ASPARAGUS,J,15,195,203,165,0.3112793564796448
ASPARAGUS,J,14,190,196,156,0.3105662167072296
PEACH,G,11,225,146,123,0.3699902892112732
PEACH,G,12,223,145,126,0.3695438504219055
PEACH,H,12,227,160,127,0.3695083260536194
PEACH,G,10,227,147,113,0.36918288469314575
PEACH,H,13,224,161,135,0.3690910339355469
APPLE,C,13,207,75,83,0.31996095180511475
APPLE,C,12,210,78,76,0.31958797574043274
APPLE,B,15,205,59,81,0.319477379322052
APPLE,C,11,211,78,73,0.31936585903167725
APPLE,C,14,200,66,84,0.3193134367465973
EGG,J,7,238,220,101,0.3131215274333954
EGG,J,6,240,218,93,0.3127122223377228
EGG,J,8,226,213,114,0.312328577041626
EGG,K,18,171,200,179,0.3117835223674774
EGG,J,5,238,217,81,0.31157490611076355
BANANA,J,3,239,213,61,0.31836602091789246
BANANA,J,6,240,218,93,0.31830471754074097
BANANA,J,5,238,217,81,0.3182808458805084
BANANA,J,4,237,216,75,0.3182162046432495
BANANA,J,2,235,211,51,0.31789302825927734
TOMATO,C,11,211,78,73,0.3527032732963562
TOMATO,C,12,210,78,76,0.35259920358657837
TOMATO,C,10,213,78,66,0.3522183895111084
TOMATO,D,10,209,93,76,0.35205018520355225
TOMATO,B,12,209,65,59,0.35177409648895264
BEET,A,23,152,59,116,0.3308277428150177
BEET,B,21,163,68,122,0.3306390643119812
BEET,A,22,159,58,117,0.3305108845233917
BEET,A,21,168,55,115,0.33031535148620605
BEET,B,22,152,65,121,0.33002305030822754
PEARL,I,14,209,200,158,0.33062756061553955
PEARL,I,15,204,200,166,0.3305027484893799
PEARL,H,16,200,164,172,0.3303948938846588
PEARL,H,17,192,166,175,0.3302742838859558
PEARL,H,15,218,165,158,0.3301815986633301
AMETHYST,F,24,112,82,132,0.3560028374195099
AMETHYST,F,25,102,72,124,0.3558974862098694
AMETHYST,G,24,108,89,137,0.35588976740837097
AMETHYST,F,23,123,87,135,0.35586410760879517
AMETHYST,F,22,131,95,137,0.355819970369339
SAPPHIRE,I,30,48,65,124,0.3517012596130371
SAPPHIRE,H,30,49,56,116,0.35060781240463257
SAPPHIRE,J,30,59,68,123,0.3504759967327118
SAPPHIRE,I,29,62,71,129,0.3500046133995056
SAPPHIRE,J,29,67,79,135,0.34962862730026245
GOLD,I,11,225,195,128,0.350271612405777
GOLD,I,12,220,198,142,0.34922361373901367
GOLD,I,10,228,200,119,0.3468654155731201
GOLD,I,13,207,190,146,0.3460049629211426
GOLD,I,9,231,195,106,0.34509843587875366
RUBY,A,16,201,57,74,0.3393166959285736
RUBY,B,15,205,59,81,0.3390480875968933
RUBY,C,14,200,66,84,0.33891233801841736
RUBY,A,17,197,53,86,0.33769068121910095
RUBY,B,14,196,58,67,0.3375425934791565
JADE,P,26,83,161,137,0.34490641951560974
JADE,P,25,85,160,130,0.3448055684566498
JADE,O,25,90,163,142,0.3447422385215759
JADE,N,23,99,168,142,0.3446359932422638
JADE,O,24,93,164,133,0.34455955028533936
TILE,J,19,165,194,195,0.3209511637687683
TILE,J,20,146,185,193,0.3209298253059387
TILE,J,21,134,171,185,0.32070595026016235
TILE,J,22,123,155,177,0.3204219341278076
TILE,K,21,130,186,197,0.32020729780197144
LAPIS LAZULI,I,30,48,65,124,0.34007927775382996
LAPIS LAZULI,H,30,49,56,116,0.3382912874221802
LAPIS LAZULI,J,30,59,68,123,0.33691155910491943
LAPIS LAZULI,I,29,62,71,129,0.33640214800834656
LAPIS LAZULI,K,30,65,82,135,0.3361509144306183
AMBER,D,2,188,118,47,0.3377777934074402
AMBER,E,1,203,141,42,0.33704182505607605
AMBER,D,1,175,118,47,0.3369552791118622
AMBER,D,3,191,112,45,0.3368417024612427
AMBER,E,2,217,140,41,0.33614179491996765
BRICK,A,5,124,45,38,0.34604576230049133
BRICK,B,5,158,65,44,0.34585040807724
BRICK,A,6,130,45,39,0.34562093019485474
BRICK,B,4,150,70,45,0.3455190658569336
BRICK,A,4,109,44,35,0.34550026059150696
EMERALD,P,26,83,161,137,0.3531401753425598
EMERALD,P,25,85,160,130,0.3525785505771637
EMERALD,O,25,90,163,142,0.3516756296157837
EMERALD,P,27,85,162,147,0.35141313076019287
EMERALD,P,11,63,120,66,0.35133054852485657
SUNFLOWER,I,7,237,198,90,0.3333636522293091
SUNFLOWER,I,8,235,194,96,0.3333219885826111
SUNFLOWER,I,6,234,202,91,0.3327341377735138
SUNFLOWER,I,9,231,195,106,0.3324941098690033
SUNFLOWER,I,5,239,203,76,0.332364022731781
BASIL,P,4,102,139,65,0.32714006304740906
BASIL,P,1,112,140,60,0.3269907534122467
BASIL,P,3,107,142,64,0.32691845297813416
BASIL,L,13,145,178,120,0.3266614079475403
BASIL,K,14,163,183,135,0.32663416862487793
MALLOW,G,16,206,150,162,0.337443470954895
MALLOW,F,16,202,130,150,0.33702898025512695
MALLOW,F,17,189,129,153,0.3367495834827423
MALLOW,G,17,192,152,164,0.33663851022720337
MALLOW,H,16,200,164,172,0.3363221287727356
LAVENDER,H,19,168,152,171,0.3631243109703064
LAVENDER,H,20,154,142,164,0.3627525866031647
LAVENDER,H,21,142,131,158,0.3626086711883545
LAVENDER,H,22,125,121,154,0.362293004989624
LAVENDER,H,18,174,159,174,0.3621445894241333
POPPY,B,14,196,58,67,0.3305412232875824
POPPY,B,13,201,60,63,0.33031609654426575
POPPY,A,15,205,59,66,0.3300890028476715
POPPY,A,14,203,57,56,0.32983532547950745
POPPY,A,16,201,57,74,0.3296997845172882
WHEAT,I,11,225,195,128,0.35228636860847473
WHEAT,I,12,220,198,142,0.35163867473602295
WHEAT,I,13,207,190,146,0.3495011627674103
WHEAT,H,7,230,170,89,0.34743350744247437
WHEAT,H,8,230,167,96,0.34706568717956543
CARNATION,F,15,218,127,144,0.34921371936798096
CARNATION,G,15,222,144,155,0.34902673959732056
CARNATION,E,14,217,110,120,0.34799379110336304
CARNATION,E,15,214,104,131,0.347988098859787
CARNATION,D,15,206,85,112,0.34708860516548157
CORAL,D,12,207,96,91,0.3686662018299103
CORAL,E,12,211,111,104,0.3684651851654053
CORAL,D,11,208,96,88,0.3684450387954712
CORAL,E,13,211,112,112,0.36699336767196655
CORAL,D,13,203,89,93,0.366872102022171
MINT,K,19,156,197,185,0.36632055044174194
MINT,L,20,134,188,172,0.36555641889572144
MINT,L,19,140,190,165,0.3649601340293884
MINT,K,18,171,200,179,0.36383891105651855
MINT,M,21,117,180,153,0.3625686466693878
WOOD,A,2,90,47,30,0.31985700130462646
WOOD,B,2,128,70,41,0.3195604681968689
WOOD,B,3,136,67,39,0.31951963901519775
WOOD,A,3,99,43,32,0.3192313611507416
WOOD,B,1,115,71,37,0.3192059099674225
HURRICANE,K,20,144,191,190,0.2988865375518799
HURRICANE,L,22,112,177,179,0.2986721098423004
HURRICANE,J,20,146,185,193,0.29862266778945923
HURRICANE,O,28,80,153,163,0.29861822724342346
HURRICANE,J,19,165,194,195,0.2985975742340088
SKIN,H,13,224,161,135,0.3202308118343353
SKIN,H,14,222,163,143,0.31981173157691956
SKIN,H,12,227,160,127,0.3190285563468933
SKIN,H,15,218,165,158,0.3161899745464325
SKIN,H,11,230,159,119,0.3158673346042633
FIRE,A,10,205,61,45,0.31965312361717224
FIRE,A,11,205,61,45,0.31965312361717224
FIRE,B,12,209,65,59,0.31960201263427734
FIRE,B,11,207,67,54,0.3195492625236511
FIRE,B,10,206,66,49,0.3194345235824585
SAND,I,13,207,190,146,0.3512119650840759
SAND,I,12,220,198,142,0.34837085008621216
SAND,I,14,209,200,158,0.34484604001045227
SAND,I,11,225,195,128,0.3447727560997009
SAND,I,15,204,200,166,0.3394727408885956
SEA,K,20,144,191,190,0.3263213336467743
SEA,J,19,165,194,195,0.3257851302623749
SEA,L,22,112,177,179,0.32563960552215576
SEA,J,20,146,185,193,0.3251921832561493
SEA,K,21,130,186,197,0.32511284947395325
MUD,A,1,82,48,27,0.3272603750228882
MUD,A,2,90,47,30,0.3265983760356903
MUD,B,1,115,71,37,0.32517552375793457
MUD,B,2,128,70,41,0.3249823749065399
MUD,A,3,99,43,32,0.323753297328949
GRASS,P,3,107,142,64,0.33817213773727417
GRASS,P,2,115,145,62,0.338141530752182
GRASS,P,1,112,140,60,0.33812230825424194
GRASS,P,4,102,139,65,0.3380160927772522
GRASS,P,5,96,142,67,0.33725231885910034
POND,J,18,180,202,194,0.3136698305606842
POND,J,17,181,202,191,0.3135078251361847
POND,K,19,156,197,185,0.3134213089942932
POND,K,20,144,191,190,0.3129895031452179
POND,K,18,171,200,179,0.31278714537620544
SUNRISE,F,11,223,134,112,0.320970356464386
SUNRISE,G,11,225,146,123,0.3207193911075592
SUNRISE,F,12,219,133,119,0.3206673264503479
SUNRISE,G,12,223,145,126,0.3205087184906006
SUNRISE,G,10,227,147,113,0.32039982080459595
MOSS,P,1,112,140,60,0.3417026400566101
MOSS,P,2,115,145,62,0.3407468795776367
