word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,P,10,65,118,66,0.23653064668178558
SALMON,G,10,227,147,113,0.23550215363502502
SALMON,C,10,213,78,66,0.23530684411525726
SALMON,P,11,63,120,66,0.23509298264980316
SALMON,H,10,235,159,109,0.23500384390354156
WHALE,G,30,51,47,105,0.2255597859621048
WHALE,F,30,51,44,98,0.22506707906723022
WHALE,H,30,49,56,116,0.2233475148677826
WHALE,G,29,57,53,119,0.22268930077552795
WHALE,E,30,56,47,109,0.22161193192005157
GRIZZLY,I,18,191,193,194,0.20623958110809326
GRIZZLY,A,2,90,47,30,0.20417678356170654
GRIZZLY,A,1,82,48,27,0.20362822711467743
GRIZZLY,A,3,99,43,32,0.20295900106430054
GRIZZLY,C,1,143,92,43,0.20238664746284485
FLAMINGO,B,17,207,55,102,0.25742167234420776
FLAMINGO,B,16,207,57,93,0.2569725811481476
FLAMINGO,C,16,209,65,110,0.25682753324508667
FLAMINGO,C,15,207,67,99,0.25613224506378174
FLAMINGO,E,14,217,110,120,0.25502169132232666
FOX,I,18,191,193,194,0.2098989486694336
FOX,G,15,222,144,155,0.18636678159236908
FOX,I,19,164,176,185,0.18549031019210815
FOX,I,21,137,147,169,0.18548652529716492
FOX,I,20,148,161,177,0.18538731336593628
CRICKET,N,29,75,128,163,0.213331937789917
CRICKET,O,30,75,135,167,0.21316799521446228
CRICKET,M,27,75,130,160,0.21282356977462769
CRICKET,N,30,69,114,155,0.21268123388290405
CRICKET,N,28,77,141,173,0.21254116296768188
CANARY,J,3,239,213,61,0.3031270503997803
CANARY,J,2,235,211,51,0.30249273777008057
CANARY,I,2,235,196,46,0.30205291509628296
CANARY,I,3,235,197,59,0.3013186454772949
CANARY,J,4,237,216,75,0.300792396068573
PIG,H,14,222,163,143,0.2415645271539688
PIG,H,13,224,161,135,0.24151825904846191
PIG,H,12,227,160,127,0.24112224578857422
PIG,G,15,222,144,155,0.24103191494941711
PIG,H,15,218,165,158,0.24097588658332825
TIGER,I,18,191,193,194,0.22967857122421265
TIGER,E,3,223,136,44,0.2254258692264557
TIGER,E,2,217,140,41,0.22507405281066895
TIGER,E,4,218,131,42,0.22484257817268372
TIGER,E,5,217,125,46,0.22398126125335693
LADYBUG,A,14,203,57,56,0.21304593980312347
LADYBUG,B,12,209,65,59,0.21258912980556488
LADYBUG,A,10,205,61,45,0.21148967742919922
LADYBUG,A,11,205,61,45,0.21148967742919922
LADYBUG,A,15,205,59,66,0.21117135882377625
FROG,P,11,63,120,66,0.25926119089126587
FROG,P,10,65,118,66,0.2591894865036011
FROG,P,9,70,126,68,0.2580440640449524
FROG,P,12,67,127,70,0.2577688992023468
FROG,P,15,70,145,67,0.2562617063522339
AXOLOTL,F,18,178,127,153,0.19348858296871185
AXOLOTL,G,18,185,148,162,0.1930970847606659
AXOLOTL,G,17,192,152,164,0.19199413061141968
AXOLOTL,F,19,166,119,148,0.19194075465202332
AXOLOTL,F,17,189,129,153,0.19149602949619293
TOAD,P,10,65,118,66,0.19431999325752258
TOAD,P,11,63,120,66,0.1886049509048462
TOAD,P,9,70,126,68,0.18347157537937164
TOAD,P,12,67,127,70,0.18185457587242126
TOAD,A,14,203,57,56,0.1805792897939682
LEMON,K,4,235,222,79,0.28743886947631836
LEMON,K,2,234,219,67,0.28721171617507935
LEMON,K,3,234,219,71,0.28703629970550537
LEMON,L,2,228,217,53,0.2865804433822632
LEMON,L,3,227,217,60,0.28638601303100586
LIME,N,1,180,193,51,0.292633056640625
LIME,M,5,194,204,68,0.29247626662254333
LIME,M,4,202,207,62,0.2917906641960144
LIME,N,2,178,191,54,0.2914468050003052
LIME,N,3,170,189,58,0.2913023829460144
KIWI,P,10,65,118,66,0.2549301087856293
KIWI,P,11,63,120,66,0.2510600686073303
KIWI,P,9,70,126,68,0.24724635481834412
KIWI,N,5,154,184,62,0.24665284156799316
KIWI,N,6,147,183,68,0.24635939300060272
