word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,E,10,215,114,90,0.06252999603748322
SALMON,E,9,212,109,77,0.0622730478644371
SALMON,D,10,209,93,76,0.062168095260858536
SALMON,F,10,220,130,98,0.061822764575481415
SALMON,E,8,211,105,66,0.06169437617063522
WHALE,O,28,80,153,163,0.05054030567407608
WHALE,N,27,77,147,166,0.05025296285748482
WHALE,P,29,82,157,165,0.05019887536764145
WHALE,P,30,79,151,171,0.049842722713947296
WHALE,N,26,82,161,166,0.04965781792998314
GRIZZLY,B,1,115,71,37,0.05587811768054962
GRIZZLY,A,1,82,48,27,0.05508947744965553
GRIZZLY,A,2,90,47,30,0.05410483852028847
GRIZZLY,B,2,128,70,41,0.05302167311310768
GRIZZLY,C,1,143,92,43,0.05295644327998161
FLAMINGO,E,14,217,110,120,0.07858143746852875
FLAMINGO,E,15,214,104,131,0.0782628208398819
FLAMINGO,F,15,218,127,144,0.07806803286075592
FLAMINGO,D,14,207,88,104,0.07741385698318481
FLAMINGO,D,15,206,85,112,0.07738130539655685
FOX,D,6,202,97,45,0.052373021841049194
FOX,D,5,200,104,46,0.05222416669130325
FOX,E,6,213,114,50,0.05172052979469299
FOX,D,8,205,95,49,0.05164024233818054
FOX,D,7,211,99,50,0.05153026804327965
CRICKET,O,6,111,158,69,0.06234729662537575
CRICKET,N,10,106,159,69,0.06227432191371918
CRICKET,O,7,106,155,70,0.06220414489507675
CRICKET,O,5,126,166,66,0.06217873468995094
CRICKET,N,9,116,167,70,0.06213131919503212
CANARY,K,1,222,209,60,0.08914963155984879
CANARY,L,5,226,214,80,0.08891375362873077
CANARY,L,3,227,217,60,0.08834368735551834
CANARY,J,1,224,203,44,0.0883355587720871
CANARY,K,5,230,221,85,0.08815522491931915
PIG,G,15,222,144,155,0.04800298810005188
PIG,F,15,218,127,144,0.047341153025627136
PIG,G,14,220,142,135,0.04733256250619888
PIG,F,14,217,130,129,0.047326549887657166
PIG,H,15,218,165,158,0.047239430248737335
