,Words,Stat,p-value
0,AMBER,0.5558550427379859,0.5888839279272995
1,AMETHYST,0.8792595088827804,0.4342160812746383
2,APPLE,10.115252381091588,0.0019142697071021786
3,ASPARAGUS,14.941705124378064,0.0009909199479052333
4,AUTUMN,71.21271283982968,1.2153823277794018e-06
5,AXOLOTL,5.556387772409051,0.01564179806659305
6,BANANA,1.2255030937955929,0.3232577827638127
7,BARBIE,2.418589821965317,0.13106037389252756
8,BASIL,1.5286197875925442,0.2411164470796212
9,BEET,0.7719548395986096,0.48081100719424874
10,BLAS (Y EPI),0.7279377314778477,0.5092950840531691
11,BLOOD,0.8444982822720692,0.44805804597194
12,BRICK,0.7084795406281479,0.506364772708567
13,BRUSH,37.366343823866536,1.2455304674974244e-05
14,CANARY,6.132392312736401,0.01624856710024547
15,CARNATION,3.255716698521052,0.05969911078856738
16,COCONUT,15.847399418296755,0.00016039531917577676
17,COOKIE MONSTER,7.7199527128279035,0.009384746320437842
18,CORAL,7.784883609974418,0.00366368037407494
19,CRICKET,2.098320454141201,0.15957236291097254
20,CUCUMBER,10.965601758654163,0.0011620732056254468
21,DANGER,822.6700427066785,5.052326281784758e-07
22,DISGUST,14.040930162939045,0.0003012177415406825
23,ECOLOGY,0.9477937273991571,0.4198271579032501
24,EGG,5.1962403206175285,0.020516556323830426
25,EGGPLANT,166.787713415755,7.721263228788189e-08
26,ELMO,3.968491637423311,0.05040230435843429
27,EMERALD,13.677995775133148,0.0005094800518128384
28,EPI (Y BLAS),0.6787356029813965,0.5342271435467028
29,FEMINISM,26.422833573682524,4.016073938706288e-05
30,FIRE,1.19093076849657,0.3311023762979235
31,FLAMINGO,17.418777204826366,0.0005518110799439535
32,FLASH,3.4959588402423267,0.06363185165386431
33,FOX,1.78064668923426,0.20726175004023795
34,FROG,2.1514622692199588,0.14692049588677858
35,GOLD,5.224522634328546,0.01624962260078988
36,GRAPE,3.938107975938574,0.048426740260700374
37,GRASS,5.8688806702968765,0.010357930286216788
38,GRINCH,7.746219181640379,0.009288447065205818
39,GRIZZLY,1.009642052832212,0.38781516020770634
40,HAPINESS,406.85150507597155,1.8960388814548423e-12
41,HOPE,7.55233726442889,0.004497648631285434
42,HULK,20.429939713073193,0.00013687699662423558
43,HURRICANE,2.6876083626894385,0.10055824059007501
44,JADE,2.698060577628561,0.09778662876743982
45,KIWI,0.6902651296837422,0.5238265548100041
46,LADYBUG,1.4523865936802838,0.2695896214886844
47,LAPIS LAZULI,9.182658680345153,0.0016207155313598953
48,LAVENDER,1.559460765780559,0.23599440332201227
49,LEMON,1.8242267965792656,0.1976740447132197
50,LIME,1.5052591696070552,0.26433924926872854
51,LONELINESS,24.570432570395518,3.834240678490808e-05
52,MALLOW,53.11103706770595,2.228989690822303e-06
53,MINT,15.779563255258308,7.713374988316257e-05
54,MOSS,12.338674574108019,0.0012265911843439836
55,MUD,0.6935515114079992,0.5187616258910761
56,PEACE,1.4036298410138472,0.2782389195064576
57,PEACH,5.237429763291604,0.018829810903196464
58,PEARL,1.3784783331813808,0.27488948733549834
59,PETER PAN,62.439794333911074,9.892624828200525e-07
60,PIG,0.8877230391671126,0.42983184450991785
61,PIKACHU,0.8597626200756081,0.4523242861878096
62,POND,17.259777849256754,0.0002192609926383593
63,POPPY,1.3090991285444928,0.29457517475389894
64,PUMPKIN,46.7328123350054,2.169810969343544e-06
65,RAGE,3.761769105492116,0.04741435348674039
66,RELAX,2.4161957924256146,0.12313209718632323
67,RUBY,0.3793276475701233,0.6899699453115321
68,SADNESS,19.943886847372504,0.0007788635134702293
69,SALMON,2.3055142324199887,0.13394659174951717
70,SAND,2.3327090713640493,0.12729041175856703
71,SAPPHIRE,4.491391009447729,0.03289232270661191
72,SEA,8.320168966913833,0.004714018796234898
73,SHAME,1.6571192978839673,0.22178855145087994
74,SHRECK,35.17173271681445,5.575592820394881e-05
75,SIMPSON,27.26756279794209,1.009607614199659e-05
76,SKIN,1.2288517141080235,0.32985230613536975
77,SKY,10.53725106619822,0.0016141936848930172
78,SMURF,0.5159633862369298,0.6106836291592788
79,SONIC,23.011577594970063,1.0975362841114666e-05
80,SPRING,9.632760871523292,0.002715377974126687
81,STITCH,30.400092997489754,5.621186660775823e-05
82,SUBMARINE,3.91717135082051,0.055426117924060825
83,SUMMER,2.215916016603646,0.14141692313604737
84,SUNFLOWER,11.235124263834104,0.0014672843509634381
85,SUNRISE,4.091648067593747,0.035429005828975235
86,SUNSET,6.625975465755533,0.014713060169050274
87,THUNDERBOLT,246.410801840754,1.2271850202694168e-11
88,TIGER,1.0549836592634616,0.37266241401889233
89,TILE,60.25945937400747,1.0565029406883752e-08
90,TOAD,26.697419899891823,1.6692052137057267e-05
91,TOMATO,0.09618778217992684,0.9092145441131192
92,TOXIC,1.1802647257175798,0.34045895697471085
93,TRACTOR,4.001250456363369,0.05288539981041551
94,WHALE,4.07046550603488,0.033785019063406696
95,WHEAT,4.645295141242459,0.028355204314628124
96,WINTER,7.409219977925269,0.007119816102426846
97,WITCHCRAFT,20.98749488969705,8.502727633208362e-05
98,WOOD,3.5897896949135637,0.050061231082143776
99,ZUCCHINI,22.718450792709994,4.02256543193813e-05
