,Words,Stat,p-value
0,AMBER,1.0370132100413636,0.3867303872147452
1,AMETHYST,0.15185329171012743,0.8603379000885678
2,APPLE,23.949946674021625,3.0273800492253145e-05
3,ASPARAGUS,21.504574856093306,0.00023891631621986154
4,AUTUMN,0.6938682801458952,0.5221712314529761
5,AXOLOTL,0.008532054385528242,0.9915090484928727
6,BANANA,0.20501027020671633,0.8170413766744777
7,BARBIE,0.8754585077664389,0.44166960128323896
8,BASIL,2.5287134121295876,0.10493859594015031
9,BEET,0.7748957918854025,0.47953934124577346
10,BLAS (Y EPI),2.0830165083823795,0.1805277889855439
11,BLOOD,0.8926150282608436,0.4290263465757319
12,BRICK,0.04744400413649888,0.9537896858408168
13,BRUSH,33.1168976929096,2.2116642273473097e-05
14,CANARY,7.631803592316267,0.00834085766983017
15,CARNATION,1.01299774189574,0.381017127236737
16,COCONUT,1.013929999628591,0.38495188191058793
17,COOKIE MONSTER,12.12694628666727,0.002120558916551052
18,CORAL,5.293626874935577,0.015556096060628133
19,CRICKET,3.734213638460082,0.05015273687493793
20,CUCUMBER,10.783592349260898,0.0012516935164800236
21,DANGER,555.7724564649099,1.3419443859463698e-06
22,DISGUST,2.3628258560150646,0.12615204516507228
23,ECOLOGY,4.762277585028956,0.03524473581549192
24,EGG,1.756145392777867,0.2086870645713852
25,EGGPLANT,0.11042487272715004,0.8966481133488086
26,ELMO,4.001838061655232,0.04943708524105794
27,EMERALD,13.691146470941725,0.0005072176933729189
28,EPI (Y BLAS),0.8044409656578316,0.48047248237054696
29,FEMINISM,20.35204342912257,0.00013932264696547847
30,FIRE,0.7287570886707323,0.4988301084061315
31,FLAMINGO,29.81111589773816,6.1130830485423e-05
32,FLASH,2.7657075133342164,0.10284558431476865
33,FOX,0.5041273128272067,0.6153689979974092
34,FROG,3.3494010640848226,0.0593801753055655
35,GOLD,32.049959203077904,1.1704908320364638e-06
36,GRAPE,6.025332081492394,0.015428547160548423
37,GRASS,0.0002876230039402078,0.9997124227083029
38,GRINCH,21.21232563514868,0.00025253539041969475
39,GRIZZLY,0.6896292864666993,0.5169846523043948
40,HAPINESS,145.57299458762918,1.260660575930217e-09
41,HOPE,15.074383828873948,0.00017152123351948934
42,HULK,135.55255138943988,5.799643432169432e-09
43,HURRICANE,1.3438077672051403,0.29051246438337563
44,JADE,1.001020137249142,0.3893911075741947
45,KIWI,0.043425945723492204,0.957683004003501
46,LADYBUG,0.7407028245096413,0.4958634711358717
47,LAPIS LAZULI,4.523555166376208,0.024729881826084155
48,LAVENDER,1.2581864366709699,0.30679842170932814
49,LEMON,6.538431215490109,0.009878883879387623
50,LIME,1.5749285987049475,0.25033608460528245
51,LONELINESS,0.22482679906437725,0.8016958699623187
52,MALLOW,1.2270185275113263,0.330346995478062
53,MINT,10.714940272948454,0.0006873265902818115
54,MOSS,12.352191366822437,0.0012211806869200093
55,MUD,596.3180338133433,9.771072839726003e-13
56,PEACE,32.2948872435131,5.6929051985843415e-06
57,PEACH,10.964780643381697,0.0011624608357272415
58,PEARL,2.3293745513261888,0.12319399495572791
59,PETER PAN,5.713019410768902,0.019884772904378734
60,PIG,1.7760428902581225,0.1993153049166385
61,PIKACHU,11.85506515604459,0.0022971948987271507
62,POND,4.506883998230749,0.032592545964836184
63,POPPY,1.2451179477306653,0.3115515537011897
64,PUMPKIN,0.8264877571567387,0.46102407823541425
65,RAGE,18.740982971520115,8.329304320076059e-05
66,RELAX,0.053423034178194356,0.9481584352798796
67,RUBY,2.1787668299933136,0.14375782254110292
68,SADNESS,8.040556311939548,0.012180181296807757
69,SALMON,1.150308011439115,0.34294358855434526
70,SAND,4.420941019494597,0.028448583307407183
71,SAPPHIRE,3.202637163391009,0.07398661821110075
72,SEA,8.544007759116976,0.004276355005167765
73,SHAME,3.2912913479014363,0.06349959964552976
74,SHRECK,3.760748143591074,0.06499337585333298
75,SIMPSON,3.422813628928966,0.0596280420213916
76,SKIN,1.9765517790887035,0.18477252455675264
77,SKY,22.75566968812181,3.9874768691605667e-05
78,SMURF,1.1883207439053924,0.340997179557174
79,SONIC,9.214758495771298,0.0017553827573176806
80,SPRING,0.7690824891024307,0.4834142364782913
81,STITCH,20.242822189680837,0.00030490214594658394
82,SUBMARINE,4.858637728527838,0.03355563651855353
83,SUMMER,1.51202222624544,0.2503439179040219
84,SUNFLOWER,11.477503820736455,0.001343370431541313
85,SUNRISE,0.03712602953388053,0.9636325917523095
86,SUNSET,7.362072838026841,0.010824143242856299
87,THUNDERBOLT,11.308609282318248,0.001194259716991053
88,TIGER,0.3700048890487538,0.6968622828351874
89,TILE,4.398473235467675,0.02784099597203238
90,TOAD,322.38812105194404,1.9576562593215385e-12
91,TOMATO,0.4796271417551757,0.6339727595628798
92,TOXIC,0.15163603141575316,0.8609218101704874
93,TRACTOR,355.31829247891847,5.145391890337692e-10
94,WHALE,3.3866863311113233,0.05521185035788079
95,WHEAT,1.6946735198896006,0.21923673525216458
96,WINTER,18.79002559386181,0.0001461391478505547
97,WITCHCRAFT,11.806860703276715,0.0011938413514893664
98,WOOD,2.339341352318225,0.12662990339520608
99,ZUCCHINI,25.946479753705614,1.954443647567139e-05
