word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.3092454671859741
SALMON,G,11,225,146,123,0.3088817000389099
SALMON,G,12,223,145,126,0.30718982219696045
SALMON,G,10,227,147,113,0.30432218313217163
SALMON,G,13,221,143,129,0.3040357828140259
WHALE,K,21,130,186,197,0.2762310206890106
WHALE,K,22,119,178,193,0.2743758261203766
WHALE,L,23,101,176,189,0.2741984724998474
WHALE,M,25,86,163,179,0.2727510333061218
WHALE,J,20,146,185,193,0.27222901582717896
GRIZZLY,A,1,82,48,27,0.28603947162628174
GRIZZLY,B,1,115,71,37,0.2850422263145447
GRIZZLY,C,1,143,92,43,0.27780136466026306
GRIZZLY,A,2,90,47,30,0.2722151279449463
GRIZZLY,B,2,128,70,41,0.2696928381919861
FLAMINGO,H,15,218,165,158,0.25816115736961365
FLAMINGO,G,14,220,142,135,0.25614529848098755
FLAMINGO,G,13,221,143,129,0.25595176219940186
FLAMINGO,G,12,223,145,126,0.25470584630966187
FLAMINGO,G,15,222,144,155,0.2546055018901825
FOX,D,7,211,99,50,0.30044764280319214
FOX,D,8,205,95,49,0.29800236225128174
FOX,H,10,235,159,109,0.29756873846054077
FOX,D,6,202,97,45,0.2975396513938904
FOX,E,6,213,114,50,0.29683345556259155
CRICKET,N,8,126,173,68,0.3120971620082855
CRICKET,N,7,130,175,68,0.3120940327644348
CRICKET,O,5,126,166,66,0.3120296001434326
CRICKET,O,4,132,168,64,0.312015175819397
CRICKET,N,6,147,183,68,0.31150007247924805
CANARY,K,2,234,219,67,0.39981094002723694
CANARY,K,3,234,219,71,0.3994995951652527
CANARY,K,4,235,222,79,0.3993321359157562
CANARY,L,1,229,216,45,0.39923426508903503
CANARY,J,2,235,211,51,0.3991798758506775
PIG,H,15,218,165,158,0.3148829936981201
PIG,G,15,222,144,155,0.31482258439064026
PIG,F,14,217,130,129,0.3110465407371521
PIG,G,14,220,142,135,0.3107987642288208
PIG,F,15,218,127,144,0.30828869342803955
TIGER,D,3,191,112,45,0.2832027077674866
TIGER,D,4,202,115,45,0.28259485960006714
TIGER,D,2,188,118,47,0.28165483474731445
TIGER,E,5,217,125,46,0.2803824841976166
TIGER,E,4,218,131,42,0.27914199233055115
LADYBUG,A,13,194,54,46,0.24020084738731384
LADYBUG,A,14,203,57,56,0.240148663520813
LADYBUG,B,12,209,65,59,0.23802363872528076
LADYBUG,A,10,205,61,45,0.23680658638477325
LADYBUG,A,11,205,61,45,0.23680658638477325
FROG,L,10,165,191,101,0.28934797644615173
FROG,L,11,158,188,108,0.28833073377609253
FROG,M,9,145,182,83,0.2877090573310852
FROG,M,8,158,189,81,0.2872677445411682
FROG,M,10,139,180,87,0.28700172901153564
AXOLOTL,H,15,218,165,158,0.20163008570671082
AXOLOTL,F,13,213,130,122,0.19827404618263245
AXOLOTL,H,16,200,164,172,0.1980237364768982
AXOLOTL,G,14,220,142,135,0.19789300858974457
AXOLOTL,G,13,221,143,129,0.19707569479942322
TOAD,I,23,115,126,158,0.22380061447620392
TOAD,I,24,103,115,151,0.22337712347507477
TOAD,I,25,88,101,141,0.21967610716819763
TOAD,I,21,137,147,169,0.2184344232082367
TOAD,H,22,125,121,154,0.21828824281692505
LEMON,K,4,235,222,79,0.3729836940765381
LEMON,J,7,238,220,101,0.37221264839172363
LEMON,J,6,240,218,93,0.37201327085494995
LEMON,J,5,238,217,81,0.3716123104095459
LEMON,K,3,234,219,71,0.37064987421035767
LIME,M,6,182,198,73,0.4632778763771057
LIME,M,5,194,204,68,0.4631320536136627
LIME,N,1,180,193,51,0.46194249391555786
LIME,N,3,170,189,58,0.4617037773132324
LIME,N,4,161,186,60,0.46042120456695557
KIWI,K,9,204,207,111,0.3158648610115051
KIWI,L,7,201,207,90,0.31425344944000244
KIWI,N,2,178,191,54,0.3137202858924866
KIWI,N,1,180,193,51,0.313112735748291
KIWI,K,10,194,204,116,0.3130824565887451
PUMPKIN,E,3,223,136,44,0.3191593289375305
PUMPKIN,E,5,217,125,46,0.31800729036331177
PUMPKIN,E,4,218,131,42,0.3157622516155243
PUMPKIN,E,6,213,114,50,0.3142012357711792
PUMPKIN,F,6,229,154,76,0.31202512979507446
ZUCCHINI,L,7,201,207,90,0.3047109842300415
ZUCCHINI,M,5,194,204,68,0.303950697183609
ZUCCHINI,K,9,204,207,111,0.3031657934188843
ZUCCHINI,K,8,214,213,110,0.3017927408218384
ZUCCHINI,M,4,202,207,62,0.3016177713871002
GRAPE,G,25,94,81,128,0.3399316072463989
GRAPE,F,25,102,72,124,0.3392540514469147
GRAPE,G,24,108,89,137,0.33842653036117554
GRAPE,D,25,109,64,118,0.3383764624595642
GRAPE,E,25,106,67,121,0.33836665749549866
CUCUMBER,K,11,185,201,122,0.3572641909122467
CUCUMBER,L,10,165,191,101,0.3558834195137024
CUCUMBER,L,11,158,188,108,0.3547784090042114
CUCUMBER,L,9,174,194,96,0.3538394868373871
CUCUMBER,M,8,158,189,81,0.3531632721424103
COCONUT,A,1,82,48,27,0.2560477554798126
COCONUT,B,1,115,71,37,0.24899083375930786
COCONUT,A,2,90,47,30,0.24503523111343384
COCONUT,C,1,143,92,43,0.24147620797157288
COCONUT,B,2,128,70,41,0.24111858010292053
EGGPLANT,A,30,97,59,117,0.39890581369400024
EGGPLANT,D,29,82,52,118,0.3981822729110718
EGGPLANT,D,28,91,56,119,0.39814651012420654
EGGPLANT,F,25,102,72,124,0.39810964465141296
EGGPLANT,B,30,94,58,120,0.39767229557037354
ASPARAGUS,K,11,185,201,122,0.2950630784034729
ASPARAGUS,L,10,165,191,101,0.29415062069892883
ASPARAGUS,K,12,178,197,132,0.2934984564781189
ASPARAGUS,L,11,158,188,108,0.2933386564254761
ASPARAGUS,P,1,112,140,60,0.29265838861465454
PEACH,G,11,225,146,123,0.446006178855896
PEACH,G,12,223,145,126,0.44329679012298584
PEACH,H,13,224,161,135,0.4410499334335327
PEACH,G,10,227,147,113,0.4400581121444702
PEACH,H,14,222,163,143,0.43972155451774597
APPLE,C,13,207,75,83,0.2952752411365509
APPLE,A,16,201,57,74,0.29426419734954834
APPLE,B,15,205,59,81,0.2941422164440155
APPLE,A,15,205,59,66,0.2939799427986145
APPLE,C,14,200,66,84,0.29293328523635864
EGG,H,10,235,159,109,0.3003891110420227
EGG,H,11,230,159,119,0.29847943782806396
EGG,H,12,227,160,127,0.2957051992416382
EGG,G,9,225,149,105,0.2956324815750122
EGG,G,10,227,147,113,0.29494357109069824
BANANA,J,3,239,213,61,0.309083491563797
BANANA,J,5,238,217,81,0.3088545799255371
BANANA,J,6,240,218,93,0.30857664346694946
BANANA,J,4,237,216,75,0.30853667855262756
BANANA,J,2,235,211,51,0.30698686838150024
TOMATO,A,10,205,61,45,0.33534687757492065
TOMATO,A,11,205,61,45,0.33534687757492065
TOMATO,B,9,202,63,44,0.33417248725891113
TOMATO,B,10,206,66,49,0.33407747745513916
TOMATO,A,12,195,57,41,0.3327977657318115
BEET,A,18,192,50,97,0.3770841658115387
BEET,A,17,197,53,86,0.37641310691833496
BEET,D,17,191,88,127,0.37427079677581787
BEET,C,15,207,67,99,0.3728710412979126
BEET,A,20,175,49,110,0.37276312708854675
PEARL,H,17,192,166,175,0.285800576210022
PEARL,H,18,174,159,174,0.2845454216003418
PEARL,H,16,200,164,172,0.27980712056159973
PEARL,H,19,168,152,171,0.27677756547927856
PEARL,H,14,222,163,143,0.27591997385025024
AMETHYST,G,22,127,106,145,0.4051712453365326
AMETHYST,G,23,118,98,141,0.4044099450111389
AMETHYST,H,21,142,131,158,0.40336114168167114
AMETHYST,G,24,108,89,137,0.40212899446487427
AMETHYST,G,21,142,115,151,0.4020248055458069
SAPPHIRE,H,30,49,56,116,0.3986250162124634
SAPPHIRE,I,30,48,65,124,0.39417678117752075
SAPPHIRE,J,30,59,68,123,0.3907308280467987
SAPPHIRE,H,29,59,64,124,0.3902739882469177
SAPPHIRE,I,29,62,71,129,0.3889918327331543
GOLD,I,11,225,195,128,0.3953443765640259
GOLD,I,9,231,195,106,0.3903428018093109
GOLD,I,10,228,200,119,0.3901185393333435
GOLD,I,8,235,194,96,0.3845435678958893
GOLD,I,12,220,198,142,0.3834376335144043
RUBY,B,15,205,59,81,0.42132866382598877
RUBY,A,17,197,53,86,0.42053377628326416
RUBY,C,14,200,66,84,0.4178166091442108
RUBY,A,16,201,57,74,0.41746246814727783
RUBY,B,16,207,57,93,0.41582924127578735
JADE,P,24,87,159,119,0.40838080644607544
JADE,P,23,88,158,113,0.40768492221832275
JADE,P,25,85,160,130,0.4068617522716522
JADE,P,22,90,158,106,0.4057776629924774
JADE,O,24,93,164,133,0.4055635631084442
TILE,G,8,224,149,97,0.3330770432949066
TILE,F,8,215,132,84,0.33285653591156006
TILE,G,9,225,149,105,0.3323485255241394
