,Words,Stat,p-value
0,AMBER,0.4149323435971499,0.6703027395289867
1,AMETHYST,0.587273576812038,0.5673845472126631
2,APPLE,103.23262240718778,4.164043998500233e-09
3,ASPARAGUS,10.388204939817152,0.0036216811581245567
4,AUTUMN,0.04849988986933342,0.9528801194353808
5,AXOLOTL,7.301693108701354,0.006104133301158776
6,BANANA,0.37097918015613224,0.6966425363541751
7,BARBIE,2.179049837058029,0.15584410367684165
8,BASIL,1.3308579541983019,0.2866632683925133
9,BEET,1.996303283495841,0.17267826024597166
10,BLAS (Y EPI),0.9741396579060455,0.4140329292308179
11,BLOOD,1.6606670716308973,0.2211377931025056
12,BRICK,1.8472198248860576,0.18795748496760034
13,BRUSH,6.815589101911925,0.011871107660532787
14,CANARY,0.9326063944754014,0.4225386229134428
15,CARNATION,1.2518257249781755,0.3074468379059604
16,COCONUT,7.270376336321136,0.005674426478760375
17,COOKIE MONSTER,8.561248071770287,0.00681320912498895
18,CORAL,5.181606475762579,0.01669758699842061
19,CRICKET,3.8138056061046597,0.04762515174593618
20,CUCUMBER,14.465419141348487,0.0003161646163956089
21,DANGER,8.362821538549017,0.025409341482575676
22,DISGUST,16.008046587379148,0.0001520075973802104
23,ECOLOGY,12.063966731945042,0.002159981557230739
24,EGG,0.7445072236114837,0.49286701694310264
25,EGGPLANT,1.0029978835259592,0.40435168383866615
26,ELMO,4.005810100083503,0.049323575913643114
27,EMERALD,2.1738731734090058,0.15059729019225154
28,EPI (Y BLAS),18.967334615377723,0.0009200206478779949
29,FEMINISM,12.155716323243825,0.0013026482841566045
30,FIRE,1.3628382987743286,0.28586651184560785
31,FLAMINGO,2.0630408338565758,0.17778349366204005
32,FLASH,3.0791447760182535,0.0832986290676454
33,FOX,1.7787362449382538,0.20757283460521547
34,FROG,5.415762383777132,0.015144374165756869
35,GOLD,7.1859980519401,0.005080743039630797
36,GRAPE,3.9391199329325284,0.048397164217761524
37,GRASS,3.7276168640101885,0.04308231009540975
38,GRINCH,10.168749424638278,0.003891357538392759
39,GRIZZLY,1.3181406662908886,0.2969147737829191
40,HAPINESS,29.03283833062061,1.602663952171568e-05
41,HOPE,8.179696911874935,0.0032468449739181393
42,HULK,33.333585143498674,1.2598716541134536e-05
43,HURRICANE,2.6774626054222828,0.10131251823032117
44,JADE,2.098088883776662,0.1551695081438731
45,KIWI,10.935932366871311,0.00304062339098643
46,LADYBUG,5.74261178544841,0.01632132113542617
47,LAPIS LAZULI,4.523835414328423,0.024725187379482816
48,LAVENDER,1.1861017772225613,0.32703244502830964
49,LEMON,9.023762105941831,0.0030362313454229684
50,LIME,14.772085719286418,0.0007656907588280415
51,LONELINESS,1.0121699590750624,0.3903567425683562
52,MALLOW,5.992094546669155,0.017369977082606458
53,MINT,15.994824126225328,7.097921065912782e-05
54,MOSS,8.170554654169912,0.005762174493144867
55,MUD,1.6651765049968554,0.23002473752990182
56,PEACE,1.0267321280856696,0.3836320583075903
57,PEACH,9.926083945354037,0.0017945723083336862
58,PEARL,3.544434333357698,0.04812727588144061
59,PETER PAN,4.039927481432914,0.048361179953561706
60,PIG,1.5687347751285428,0.2370141144424438
61,PIKACHU,5.50202986700942,0.0244615389531897
62,POND,10.634655284272307,0.0018354683585058984
63,POPPY,1.1208459843005325,0.3477212573330595
64,PUMPKIN,2.546079652586385,0.1197583722875345
65,RAGE,5.139135535388446,0.019956261806637565
66,RELAX,2.966584667415919,0.08211491419552963
67,RUBY,7.7094136640275615,0.004140366357355374
68,SADNESS,32.98723447905489,0.00013678312554621375
69,SALMON,0.7504023277660461,0.4890981508669594
70,SAND,10.986640717279158,0.0008655587594543768
71,SAPPHIRE,3.199761126660188,0.07412932809598494
72,SEA,3.6351162563984114,0.055724995571242775
73,SHAME,2.7519501747673547,0.0939338127524072
74,SHRECK,132.3903009904649,2.1172846997874473e-07
75,SIMPSON,15.737536353324623,0.00020726876463883492
76,SKIN,0.13272576632792246,0.8770865463652855
77,SKY,11.829260163068442,0.0009814167985044975
78,SMURF,0.03701806392887958,0.9637782480235184
79,SONIC,20.645476093252515,2.1905679089773145e-05
80,SPRING,3.5808634581620606,0.05770342047290966
81,STITCH,16.23175482687984,0.0007243034752120181
82,SUBMARINE,3.7107029208168503,0.06231376755618545
83,SUMMER,0.6306643235582869,0.5449618369087803
84,SUNFLOWER,9.606921891514935,0.002743817527670722
85,SUNRISE,0.48775895222513366,0.6223344319494273
86,SUNSET,9.754511664730149,0.0044691591584462564
87,THUNDERBOLT,11.509530579688834,0.0011064159983190658
88,TIGER,0.4235225414305276,0.6623266683514066
89,TILE,34.67648514243418,6.698128161009009e-07
90,TOAD,16.68117565865152,0.00019718027378290426
91,TOMATO,0.05895250583450362,0.9431125123337831
92,TOXIC,1.4717449259544486,0.26814844225971846
93,TRACTOR,235.80157753496133,3.859698560759739e-09
94,WHALE,2.8340373202464217,0.08372869022521368
95,WHEAT,6.252020865292719,0.011473911692131855
96,WINTER,9.27831263508789,0.0031372071602050466
97,WITCHCRAFT,1.94401998573283,0.1825436275252994
98,WOOD,1.7017502222932557,0.21199520421216445
99,ZUCCHINI,42.112112155886244,1.194994743713984e-06
