word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,G,10,227,147,113,0.34794798493385315
SALMON,F,10,220,130,98,0.3477395474910736
SALMON,F,9,219,128,88,0.34752708673477173
SALMON,E,8,211,105,66,0.34545695781707764
SALMON,E,9,212,109,77,0.3451973795890808
WHALE,I,23,115,126,158,0.2896661162376404
WHALE,L,23,101,176,189,0.2885950207710266
WHALE,I,21,137,147,169,0.28773829340934753
WHALE,M,25,86,163,179,0.28714847564697266
WHALE,K,21,130,186,197,0.2869250178337097
GRIZZLY,A,1,82,48,27,0.3042791187763214
GRIZZLY,A,2,90,47,30,0.29749786853790283
GRIZZLY,A,3,99,43,32,0.29195350408554077
GRIZZLY,A,4,109,44,35,0.28657710552215576
GRIZZLY,B,1,115,71,37,0.28452518582344055
FLAMINGO,C,17,204,68,122,0.30044615268707275
FLAMINGO,D,16,207,85,124,0.30037033557891846
FLAMINGO,C,16,209,65,110,0.29965484142303467
FLAMINGO,E,15,214,104,131,0.2993866801261902
FLAMINGO,B,18,199,54,115,0.2980614900588989
FOX,D,7,211,99,50,0.2761736512184143
FOX,D,6,202,97,45,0.2755586802959442
FOX,E,6,213,114,50,0.2754877805709839
FOX,D,8,205,95,49,0.2750193476676941
FOX,E,5,217,125,46,0.2736644744873047
CRICKET,P,17,81,153,68,0.2610872983932495
CRICKET,O,14,77,150,66,0.26107484102249146
CRICKET,P,16,78,152,70,0.26074761152267456
CRICKET,N,8,126,173,68,0.2606116533279419
CRICKET,N,7,130,175,68,0.2605343759059906
CANARY,I,4,238,198,69,0.3308243751525879
CANARY,I,5,239,203,76,0.33072036504745483
CANARY,I,3,235,197,59,0.3304471969604492
CANARY,I,2,235,196,46,0.33037641644477844
CANARY,H,2,237,188,52,0.33032017946243286
PIG,G,15,222,144,155,0.2861810326576233
PIG,F,15,218,127,144,0.28510236740112305
PIG,E,16,205,110,140,0.28500494360923767
PIG,F,16,202,130,150,0.2848237156867981
PIG,G,16,206,150,162,0.28437525033950806
TIGER,E,5,217,125,46,0.25425034761428833
TIGER,D,7,211,99,50,0.2541593313217163
TIGER,E,6,213,114,50,0.25350210070610046
TIGER,E,3,223,136,44,0.2534908652305603
TIGER,E,4,218,131,42,0.25262337923049927
LADYBUG,A,15,205,59,66,0.26641109585762024
LADYBUG,B,15,205,59,81,0.2661226987838745
LADYBUG,B,16,207,57,93,0.26571792364120483
LADYBUG,A,14,203,57,56,0.26565316319465637
LADYBUG,A,16,201,57,74,0.2656366229057312
FROG,N,7,130,175,68,0.3119913935661316
FROG,N,8,126,173,68,0.31181609630584717
FROG,N,6,147,183,68,0.3108484148979187
FROG,O,5,126,166,66,0.3107745945453644
FROG,O,4,132,168,64,0.31055158376693726
AXOLOTL,B,18,199,54,115,0.28757715225219727
AXOLOTL,A,19,184,48,108,0.2874963879585266
AXOLOTL,B,17,207,55,102,0.286856085062027
AXOLOTL,A,20,175,49,110,0.2868211567401886
AXOLOTL,A,18,192,50,97,0.2861570715904236
TOAD,M,14,116,169,105,0.25649845600128174
TOAD,N,15,99,162,95,0.25646859407424927
TOAD,N,16,103,164,100,0.2564683258533478
TOAD,O,20,103,164,102,0.2563968300819397
TOAD,N,17,106,167,105,0.25632143020629883
LEMON,I,4,238,198,69,0.3714698553085327
