,Words,Stat,p-value
0,AMBER,2.0232915194078633,0.17854652168243068
1,AMETHYST,0.7509476938306417,0.4878420051303384
2,APPLE,21.77426931027013,5.042618954032019e-05
3,ASPARAGUS,34.95308910646898,3.069716031511849e-05
4,AUTUMN,1.2771303940042154,0.32065961754702343
5,AXOLOTL,1.9095838417383515,0.18246574863757226
6,BANANA,17.486804000246373,0.00015601327189274095
7,BARBIE,0.6361345451115815,0.5462813911655022
8,BASIL,1.7343317203152842,0.20203024375763778
9,BEET,0.893432914273744,0.43134505553650304
10,BLAS (Y EPI),1.4779415233172526,0.27859532927723696
11,BLOOD,5.121413176208211,0.019093036699757704
12,BRICK,0.06385887359125739,0.938361332225739
13,BRUSH,19.33285365220762,0.00025081201202736825
14,CANARY,0.09459427439008443,0.9104739222876596
15,CARNATION,1.5410091799208234,0.23854050551715056
16,COCONUT,2.1618532275208286,0.14754909590931597
17,COOKIE MONSTER,7.169504716696363,0.01170807524522599
18,CORAL,9.77185552639584,0.0013384980939300517
19,CRICKET,3.36690609762823,0.06399442287453438
20,CUCUMBER,8.982320346884634,0.002724719782352336
21,DANGER,556.2046430528152,1.3393507349857003e-06
22,DISGUST,5.401990634155566,0.016120014018779272
23,ECOLOGY,18.19766592127756,0.00046518807504969395
24,EGG,0.24703144352915857,0.7844499877853722
25,EGGPLANT,0.7889263570674118,0.48339535422256286
26,ELMO,3.796883057431431,0.05573644532102684
27,EMERALD,16.435345263554286,0.00021212252434998913
28,EPI (Y BLAS),0.6012722693484521,0.5711211400022578
29,FEMINISM,25.737132172128835,4.56563742197158e-05
30,FIRE,6.474576181369594,0.009395494309159091
31,FLAMINGO,30.798829076384063,5.315032356789651e-05
32,FLASH,2.3636321024621423,0.13631321997926937
33,FOX,5.408632351662669,0.019535950574356087
34,FROG,7.270479294927008,0.005228526117618815
35,GOLD,2.620702126935271,0.1002515886135702
36,GRAPE,8.074490185450305,0.006002213883929519
37,GRASS,5.267815699523912,0.015131073621737712
38,GRINCH,11.732492150982507,0.002382576598807473
39,GRIZZLY,0.6618312341670249,0.5303375734987772
40,HAPINESS,19.364499148608093,0.00012628749358634117
41,HOPE,42.366503470503886,2.4853630731236365e-07
42,HULK,61.0261858888927,5.145652601790118e-07
43,HURRICANE,13.560985716233398,0.00043338040742813
44,JADE,1.7213905427866596,0.21032590721826638
45,KIWI,2.5613827462437353,0.12642818748516282
46,LADYBUG,3.437148410655339,0.06334834510800436
47,LAPIS LAZULI,12.583863237694441,0.0003308729665058019
48,LAVENDER,1.3225320520898864,0.289901113604364
49,LEMON,9.153738660547463,0.002869293092394476
50,LIME,0.451043607142833,0.6482351293332691
51,LONELINESS,6.266152073122511,0.012432163990990341
52,MALLOW,25.51583771337069,7.383894048218487e-05
53,MINT,21.165192177518886,1.156916212796677e-05
54,MOSS,12.565050308188747,0.0011395430053724454
55,MUD,0.6919989211604624,0.5194841826833627
56,PEACE,26.58169018320195,1.7098909977142362e-05
57,PEACH,5.233778132002908,0.018870346973732022
58,PEARL,4.634441362184663,0.0221941497271112
59,PETER PAN,76.29134000805745,3.565369240954297e-07
60,PIG,4.985116055045091,0.019783176108332357
61,PIKACHU,18.182458914993692,0.00046671582603585726
62,POND,4.636877476379644,0.030197740366038506
63,POPPY,1.3052381070136478,0.29556997020042086
64,PUMPKIN,2.143586681718772,0.15996065053061137
65,RAGE,40.04165799262417,9.658330208939248e-07
66,RELAX,0.8096462544806089,0.4635434566650919
67,RUBY,2.177273733670053,0.1439287869118282
68,SADNESS,4.0310338908641326,0.0615395237287758
69,SALMON,6.026246193914941,0.011998579036597401
70,SAND,3.3424804212324646,0.05967578322692024
71,SAPPHIRE,4.490403930347581,0.03291152943818232
72,SEA,1.9129479715193205,0.186970675900761
73,SHAME,14.164692716423335,0.00028802234221736445
74,SHRECK,43.20039153826461,2.432806483754213e-05
75,SIMPSON,7.073556781002748,0.006858320792444195
76,SKIN,2.1660493625759316,0.16100928800204228
77,SKY,31.10593453264695,7.0589151430766606e-06
78,SMURF,1.1908764586909337,0.340281415955222
79,SONIC,18.65586983922323,4.09351778823952e-05
80,SPRING,18.941095087623804,0.00014058989629461838
81,STITCH,17.108039141880173,0.0005916963599795766
82,SUBMARINE,1.2033663207201057,0.34018321593089174
83,SUMMER,3.8532737398124253,0.04305398775234259
84,SUNFLOWER,20.407177255365067,9.767735929189225e-05
85,SUNRISE,1.7829538971545604,0.19817953942841204
86,SUNSET,3.5933236414086704,0.06668746046036556
87,THUNDERBOLT,5.962799018700519,0.013390437508979836
88,TIGER,0.6241716973678963,0.5490555374208836
89,TILE,2.9231211116342575,0.07955600863309387
90,TOAD,35.577309904753754,3.2466744980252926e-06
91,TOMATO,0.4815113072041516,0.6328944249139347
92,TOXIC,1.4864329668597192,0.2650073141658482
93,TRACTOR,3.729021888477831,0.061662639237172745
94,WHALE,2.1754511852042646,0.14101793877437785
95,WHEAT,13.709546200208559,0.0005040715689864639
96,WINTER,10.612544154829294,0.001850938704295979
97,WITCHCRAFT,12.685577419987672,0.0008802380419965505
98,WOOD,3.576518257582981,0.05053078664467203
99,ZUCCHINI,17.226678267786824,0.00016812379202202354
