word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,D,7,211,99,50,0.2886994481086731
SALMON,E,8,211,105,66,0.28640812635421753
SALMON,E,7,212,113,63,0.28561586141586304
SALMON,D,8,205,95,49,0.28353241086006165
SALMON,F,9,219,128,88,0.28152477741241455
WHALE,J,21,134,171,185,0.24917611479759216
WHALE,J,22,123,155,177,0.24872072041034698
WHALE,K,23,111,164,184,0.24556827545166016
WHALE,K,24,102,146,172,0.2443438619375229
WHALE,L,24,96,164,187,0.24258866906166077
GRIZZLY,B,1,115,71,37,0.27503836154937744
GRIZZLY,C,1,143,92,43,0.2746872901916504
GRIZZLY,A,1,82,48,27,0.2735029458999634
GRIZZLY,A,2,90,47,30,0.2610267698764801
GRIZZLY,C,2,150,87,44,0.25857725739479065
FLAMINGO,G,14,220,142,135,0.3012204170227051
FLAMINGO,F,14,217,130,129,0.30052125453948975
FLAMINGO,F,12,219,133,119,0.29960349202156067
FLAMINGO,G,13,221,143,129,0.2986844778060913
FLAMINGO,F,13,213,130,122,0.29783326387405396
FOX,D,4,202,115,45,0.3322305679321289
FOX,D,3,191,112,45,0.3322034478187561
FOX,E,5,217,125,46,0.3286699056625366
FOX,D,5,200,104,46,0.32636287808418274
FOX,D,2,188,118,47,0.3262537121772766
CRICKET,N,8,126,173,68,0.27121567726135254
CRICKET,N,7,130,175,68,0.270864337682724
CRICKET,N,9,116,167,70,0.2704858183860779
CRICKET,N,10,106,159,69,0.2689597010612488
CRICKET,O,5,126,166,66,0.2686503827571869
CANARY,J,7,238,220,101,0.39158838987350464
CANARY,J,6,240,218,93,0.39131999015808105
CANARY,I,6,234,202,91,0.39040201902389526
CANARY,I,1,225,191,32,0.39037424325942993
CANARY,I,5,239,203,76,0.3900778293609619
PIG,H,15,218,165,158,0.28974759578704834
PIG,H,14,222,163,143,0.28855735063552856
PIG,G,16,206,150,162,0.28804460167884827
PIG,H,16,200,164,172,0.28751736879348755
PIG,G,17,192,152,164,0.28674787282943726
TIGER,E,4,218,131,42,0.2795272469520569
TIGER,D,3,191,112,45,0.2780117988586426
TIGER,E,3,223,136,44,0.27727383375167847
TIGER,D,4,202,115,45,0.27706924080848694
TIGER,E,5,217,125,46,0.27683454751968384
LADYBUG,C,10,213,78,66,0.22270236909389496
LADYBUG,C,11,211,78,73,0.22249966859817505
LADYBUG,C,12,210,78,76,0.22145605087280273
LADYBUG,B,12,209,65,59,0.22011339664459229
LADYBUG,B,11,207,67,54,0.21949857473373413
FROG,K,14,163,183,135,0.2386186271905899
FROG,K,13,175,195,138,0.23371803760528564
FROG,K,12,178,197,132,0.2310819774866104
FROG,J,14,190,196,156,0.23076802492141724
FROG,K,15,163,188,147,0.22949883341789246
AXOLOTL,H,19,168,152,171,0.24375633895397186
AXOLOTL,G,19,167,138,159,0.24268895387649536
AXOLOTL,H,18,174,159,174,0.24168840050697327
AXOLOTL,H,20,154,142,164,0.2392495572566986
AXOLOTL,H,21,142,131,158,0.2360968440771103
TOAD,I,11,225,195,128,0.19282805919647217
TOAD,H,14,222,163,143,0.1924816071987152
TOAD,I,12,220,198,142,0.19238585233688354
TOAD,H,13,224,161,135,0.18961727619171143
TOAD,H,15,218,165,158,0.18941843509674072
LEMON,J,7,238,220,101,0.3861975073814392
LEMON,K,5,230,221,85,0.3859415650367737
LEMON,K,6,227,220,95,0.3856505751609802
LEMON,K,4,235,222,79,0.3851265609264374
