word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.3696509897708893
SALMON,G,11,225,146,123,0.3681582808494568
SALMON,F,10,220,130,98,0.3666200041770935
SALMON,G,12,223,145,126,0.3663122057914734
SALMON,E,10,215,114,90,0.36548489332199097
WHALE,K,20,144,191,190,0.3041634261608124
WHALE,J,20,146,185,193,0.30306610465049744
WHALE,K,21,130,186,197,0.3021622598171234
WHALE,L,22,112,177,179,0.30183398723602295
WHALE,K,22,119,178,193,0.3011859059333801
GRIZZLY,A,1,82,48,27,0.3224339485168457
GRIZZLY,A,2,90,47,30,0.31849274039268494
GRIZZLY,A,3,99,43,32,0.3143429756164551
GRIZZLY,A,4,109,44,35,0.3102096617221832
GRIZZLY,B,1,115,71,37,0.30991435050964355
FLAMINGO,E,14,217,110,120,0.3665101230144501
FLAMINGO,F,14,217,130,129,0.36193573474884033
FLAMINGO,E,13,211,112,112,0.3617367744445801
FLAMINGO,F,15,218,127,144,0.3596384525299072
FLAMINGO,D,14,207,88,104,0.35908693075180054
FOX,D,6,202,97,45,0.289661705493927
FOX,E,6,213,114,50,0.28925764560699463
FOX,D,7,211,99,50,0.2892395555973053
FOX,D,5,200,104,46,0.28825902938842773
FOX,D,8,205,95,49,0.288258820772171
CRICKET,M,9,145,182,83,0.28699275851249695
CRICKET,N,7,130,175,68,0.286815345287323
CRICKET,O,5,126,166,66,0.2867118716239929
CRICKET,N,6,147,183,68,0.2867003083229065
CRICKET,M,8,158,189,81,0.28669899702072144
CANARY,L,1,229,216,45,0.3018954396247864
CANARY,K,2,234,219,67,0.3015817105770111
CANARY,L,2,228,217,53,0.30157947540283203
CANARY,K,3,234,219,71,0.3012906312942505
CANARY,L,3,227,217,60,0.30114468932151794
PIG,G,15,222,144,155,0.2998769283294678
PIG,F,15,218,127,144,0.2989892363548279
PIG,E,15,214,104,131,0.2975326180458069
PIG,E,14,217,110,120,0.29542845487594604
PIG,F,14,217,130,129,0.2937091886997223
TIGER,D,4,202,115,45,0.28026825189590454
TIGER,E,5,217,125,46,0.27948933839797974
TIGER,D,3,191,112,45,0.2793980836868286
TIGER,E,6,213,114,50,0.27848386764526367
TIGER,D,5,200,104,46,0.27818959951400757
