word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,E,10,215,114,90,0.37016749382019043
SALMON,E,9,212,109,77,0.36753571033477783
SALMON,D,10,209,93,76,0.3674928545951843
SALMON,F,11,223,134,112,0.36681997776031494
SALMON,D,9,206,89,63,0.36641114950180054
WHALE,L,21,122,182,175,0.28002169728279114
WHALE,M,24,93,172,174,0.2799578607082367
WHALE,L,22,112,177,179,0.2798500657081604
WHALE,N,26,82,161,166,0.2797658145427704
WHALE,P,29,82,157,165,0.2795009911060333
GRIZZLY,A,6,130,45,39,0.2932127118110657
GRIZZLY,A,7,143,48,41,0.29294049739837646
GRIZZLY,A,5,124,45,38,0.292850136756897
GRIZZLY,A,4,109,44,35,0.2921904921531677
GRIZZLY,A,3,99,43,32,0.29180991649627686
FLAMINGO,E,14,217,110,120,0.3697965145111084
FLAMINGO,D,14,207,88,104,0.36952662467956543
FLAMINGO,D,15,206,85,112,0.3667728304862976
FLAMINGO,E,15,214,104,131,0.36646559834480286
FLAMINGO,D,13,203,89,93,0.36508363485336304
FOX,B,9,202,63,44,0.312017560005188
FOX,C,8,205,72,45,0.31158751249313354
FOX,A,12,195,57,41,0.3112300932407379
FOX,A,10,205,61,45,0.31031423807144165
FOX,A,11,205,61,45,0.31031423807144165
CRICKET,K,8,214,213,110,0.3000427484512329
CRICKET,K,7,221,217,108,0.2994900047779083
CRICKET,K,9,204,207,111,0.2983388602733612
CRICKET,L,7,201,207,90,0.29780569672584534
CRICKET,L,6,215,214,82,0.29715222120285034
CANARY,I,1,225,191,32,0.38796117901802063
CANARY,I,2,235,196,46,0.3873053193092346
CANARY,H,1,230,186,38,0.3867188096046448
CANARY,J,3,239,213,61,0.385855495929718
CANARY,J,2,235,211,51,0.38585442304611206
PIG,E,14,217,110,120,0.34557461738586426
PIG,D,14,207,88,104,0.3447977900505066
PIG,E,15,214,104,131,0.3442728817462921
PIG,D,15,206,85,112,0.34324920177459717
PIG,F,15,218,127,144,0.3422829508781433
TIGER,E,2,217,140,41,0.3329217731952667
TIGER,E,3,223,136,44,0.3321878910064697
TIGER,E,4,218,131,42,0.3316457271575928
TIGER,F,2,230,162,42,0.32945236563682556
TIGER,F,3,228,158,50,0.3285262882709503
LADYBUG,B,13,201,60,63,0.35015520453453064
LADYBUG,A,14,203,57,56,0.34965941309928894
LADYBUG,B,14,196,58,67,0.34938615560531616
LADYBUG,A,15,205,59,66,0.3489551544189453
LADYBUG,A,13,194,54,46,0.3474646806716919
FROG,N,1,180,193,51,0.3245902955532074
FROG,N,2,178,191,54,0.3241172730922699
FROG,N,3,170,189,58,0.324074923992157
FROG,N,4,161,186,60,0.3237971067428589
FROG,N,5,154,184,62,0.3233034610748291
AXOLOTL,C,11,211,78,73,0.29722943902015686
