word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,9,219,128,88,0.3861367106437683
SALMON,F,10,220,130,98,0.38568490743637085
SALMON,G,10,227,147,113,0.3853321075439453
SALMON,G,9,225,149,105,0.3801002502441406
SALMON,E,8,211,105,66,0.3799530267715454
WHALE,I,22,124,140,165,0.3401196599006653
WHALE,J,24,102,130,162,0.3304446339607239
WHALE,I,21,137,147,169,0.3295908570289612
WHALE,I,20,148,161,177,0.3239400088787079
WHALE,J,23,112,144,171,0.3207521438598633
GRIZZLY,A,1,82,48,27,0.25629550218582153
GRIZZLY,B,1,115,71,37,0.2548123002052307
GRIZZLY,H,21,142,131,158,0.24995477497577667
GRIZZLY,H,20,154,142,164,0.24689152836799622
GRIZZLY,I,21,137,147,169,0.2428479790687561
FLAMINGO,G,15,222,144,155,0.3937215209007263
FLAMINGO,F,15,218,127,144,0.3904067873954773
FLAMINGO,G,16,206,150,162,0.38632506132125854
FLAMINGO,F,16,202,130,150,0.3848574161529541
FLAMINGO,E,16,205,110,140,0.3841700255870819
FOX,F,1,220,158,32,0.25465357303619385
FOX,F,2,230,162,42,0.25385618209838867
FOX,E,2,217,140,41,0.25307992100715637
FOX,E,4,218,131,42,0.2515290379524231
FOX,E,3,223,136,44,0.25150156021118164
CRICKET,P,1,112,140,60,0.3884701132774353
CRICKET,P,2,115,145,62,0.3854580223560333
CRICKET,P,3,107,142,64,0.38081425428390503
CRICKET,O,3,139,168,60,0.3799505829811096
CRICKET,O,4,132,168,64,0.379902720451355
CANARY,I,1,225,191,32,0.39049601554870605
CANARY,H,1,230,186,38,0.3872796595096588
CANARY,I,2,235,196,46,0.3872639834880829
CANARY,J,2,235,211,51,0.385760635137558
CANARY,J,1,224,203,44,0.3855662941932678
PIG,G,15,222,144,155,0.2516250014305115
PIG,G,16,206,150,162,0.25139546394348145
PIG,F,16,202,130,150,0.2503148913383484
PIG,E,16,205,110,140,0.24849456548690796
PIG,E,17,190,111,143,0.24832025170326233
TIGER,D,2,188,118,47,0.257686048746109
TIGER,D,3,191,112,45,0.25745296478271484
TIGER,E,4,218,131,42,0.25703808665275574
TIGER,E,2,217,140,41,0.2565346658229828
TIGER,D,4,202,115,45,0.25521349906921387
LADYBUG,A,14,203,57,56,0.21440786123275757
LADYBUG,A,10,205,61,45,0.21438130736351013
LADYBUG,A,11,205,61,45,0.21438130736351013
LADYBUG,A,13,194,54,46,0.2132652997970581
LADYBUG,A,15,205,59,66,0.21180826425552368
FROG,P,1,112,140,60,0.3234160840511322
FROG,P,2,115,145,62,0.3222558796405792
FROG,P,3,107,142,64,0.3207814693450928
FROG,P,4,102,139,65,0.3190274238586426
FROG,O,5,126,166,66,0.3168737292289734
AXOLOTL,B,18,199,54,115,0.2354986071586609
AXOLOTL,A,19,184,48,108,0.23452533781528473
AXOLOTL,B,17,207,55,102,0.23409557342529297
AXOLOTL,C,17,204,68,122,0.23408232629299164
AXOLOTL,C,16,209,65,110,0.23378857970237732
TOAD,P,4,102,139,65,0.23690317571163177
TOAD,P,1,112,140,60,0.23662865161895752
TOAD,B,1,115,71,37,0.2348494529724121
TOAD,P,3,107,142,64,0.2336498200893402
TOAD,C,1,143,92,43,0.2310534566640854
LEMON,K,6,227,220,95,0.5343098640441895
LEMON,K,7,221,217,108,0.5340745449066162
LEMON,K,5,230,221,85,0.5331161618232727
LEMON,K,4,235,222,79,0.5313588380813599
LEMON,K,8,214,213,110,0.5312234163284302
LIME,N,5,154,184,62,0.5068584084510803
LIME,N,4,161,186,60,0.5064788460731506
LIME,N,6,147,183,68,0.5049813985824585
LIME,M,7,171,194,77,0.5047972798347473
LIME,O,2,144,170,60,0.5045977830886841
KIWI,O,2,144,170,60,0.4610965847969055
KIWI,O,3,139,168,60,0.46104955673217773
KIWI,O,1,147,170,59,0.4609431028366089
KIWI,P,2,115,145,62,0.46036165952682495
