,Words,Stat,p-value
0,AMBER,1.7191668145974919,0.22403499783004954
1,AMETHYST,0.604102301911926,0.5585671261866119
2,APPLE,2.015629896001489,0.17010369793391678
3,ASPARAGUS,55.10039861834703,3.985320555788263e-06
4,AUTUMN,4.146635994756772,0.04881384769988251
5,AXOLOTL,14.300279022562828,0.00033457546020798645
6,BANANA,4.032067888138017,0.04140833805449995
7,BARBIE,8.712908522693656,0.004599560055704943
8,BASIL,4.157942796043669,0.030902845265840084
9,BEET,2.7838733902811064,0.09596447948804432
10,BLAS (Y EPI),21.149483583772998,0.0003968281722213085
11,BLOOD,0.14677584860952234,0.864636884201639
12,BRICK,0.06450041685012262,0.9377640343800802
13,BRUSH,129.51451990613313,2.2641342356521932e-08
14,CANARY,29.60439920794751,3.736855428726482e-05
15,CARNATION,2.077344074082611,0.15145569497288136
16,COCONUT,67.14061122009036,1.6509051015134446e-08
17,COOKIE MONSTER,122.38428412547637,9.316885707377764e-08
18,CORAL,6.15403453667841,0.00919238341991413
19,CRICKET,2.2729180786428644,0.139691930382561
20,CUCUMBER,6.625673624328767,0.00866743749560761
21,DANGER,951.6589616510173,3.5139711174192456e-07
22,DISGUST,16.265652085781326,0.00013956745647347724
23,ECOLOGY,0.5576156357306224,0.5893964057939136
24,EGG,8.048961740929212,0.004711297330679098
25,EGGPLANT,0.004251313685155892,0.9957597087658232
26,ELMO,3.972356292684495,0.05028930729746661
27,EMERALD,4.363356733528622,0.03366199058822694
28,EPI (Y BLAS),26.751563040611558,0.0002862669331549217
29,FEMINISM,235.0141379242972,2.3804136439764534e-10
30,FIRE,2.184060328389834,0.14707143445176662
31,FLAMINGO,15.460891963283052,0.0008714193725208874
32,FLASH,2.3691117560241546,0.13577859146493076
33,FOX,1.4867306925256394,0.2621428728705747
34,FROG,2.204227312978552,0.14087717107323572
35,GOLD,23.55746473837838,9.425998692358384e-06
36,GRAPE,15.125512370981605,0.000524884800110148
37,GRASS,3.3015110918202515,0.058802054494977996
38,GRINCH,0.2562020481477553,0.7789144595305082
39,GRIZZLY,50.91790843848006,2.0599868488790918e-07
40,HAPINESS,43.32202829851838,1.7811385021326842e-06
41,HOPE,2.2568027855352164,0.1351305717767044
42,HULK,16.306133251712534,0.00037875794260222584
43,HURRICANE,1.3817970931755885,0.2813216267263807
44,JADE,0.24221530544734748,0.7877134393931539
45,KIWI,0.6520583503755831,0.541772351800016
46,LADYBUG,0.740740422620841,0.49584673511068267
47,LAPIS LAZULI,3.521635878903436,0.050009389493570366
48,LAVENDER,0.7970832178135084,0.4651458340303831
49,LEMON,2.35193096093894,0.13163677554934683
50,LIME,0.7932257016701817,0.4766412228456508
51,LONELINESS,24.76630505336387,3.6807741724431686e-05
52,MALLOW,63.241958366763534,9.274154780802846e-07
53,MINT,9.848986088569736,0.0010534567894648905
54,MOSS,8.17061972498028,0.005762015737183601
55,MUD,0.38275662161940144,0.6900138266293063
56,PEACE,29.15030689539128,1.0207099778614115e-05
57,PEACH,3.4782402768570297,0.057406885664976315
58,PEARL,0.763328454802157,0.4792190407425958
59,PETER PAN,216.1368471258173,1.482395206586773e-09
60,PIG,1.771108777563923,0.20013063558901245
61,PIKACHU,0.40077880192938053,0.6800926319845761
62,POND,17.121562743601952,0.00022773550729193737
63,POPPY,1.4040803184025428,0.27123724139365746
64,PUMPKIN,1.5689582544547909,0.24813660880661648
65,RAGE,2522.2276893366243,1.1102230246251565e-16
66,RELAX,11.18878889448148,0.0010619419764213989
67,RUBY,1.2813170675470518,0.30316810109567016
68,SADNESS,4.315702094527314,0.05353579730861935
69,SALMON,2.9503520731128723,0.08307637913383459
70,SAND,1.7834780100388583,0.19809370143637361
71,SAPPHIRE,2.739547582000468,0.10167337194289194
72,SEA,4.164713495372083,0.04001907677215
73,SHAME,2.535967238584833,0.11049041473564203
74,SHRECK,0.24378744285738785,0.7886654522006784
75,SIMPSON,59.71328815667184,7.195250351088589e-08
76,SKIN,0.5972626580249424,0.5672216780897732
77,SKY,43.368060919458145,1.0013817191012464e-06
78,SMURF,3.458332290783966,0.06835107825791042
79,SONIC,8.527214576088602,0.0024817981314165793
80,SPRING,5.319572417806813,0.020512818620150308
81,STITCH,502.10146571256536,9.31913435309184e-11
82,SUBMARINE,4.2126096380936895,0.04709086573890309
83,SUMMER,23.60956121081896,1.6833412205485843e-05
84,SUNFLOWER,16.566268507273943,0.00026581781714396513
85,SUNRISE,0.8071481585372631,0.46250830506005436
86,SUNSET,0.49267454107489145,0.62507292749473
87,THUNDERBOLT,8.99279365076157,0.0030776267205795405
88,TIGER,2.8947616347061635,0.08646701449798544
89,TILE,8.871895179356232,0.0020827977872375225
90,TOAD,3.858849882874767,0.04625934455041236
91,TOMATO,0.4877504575910877,0.6293396363685391
92,TOXIC,1.7399558552797114,0.2170084275780726
93,TRACTOR,7.790157117680956,0.009129996776098492
94,WHALE,0.547154280137822,0.5874421087173174
95,WHEAT,6.744418883716891,0.00888794999271858
96,WINTER,13.739866228120349,0.0006217090260944858
97,WITCHCRAFT,3.58049061167111,0.05771729465783504
98,WOOD,8.751167969722712,0.0024383923453937806
99,ZUCCHINI,14.07697967506808,0.00044568461547900284
