word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,8,215,132,84,0.5089395046234131
SALMON,C,3,164,89,46,0.5075759291648865
SALMON,F,9,219,128,88,0.5070176720619202
SALMON,G,9,225,149,105,0.506048321723938
SALMON,F,10,220,130,98,0.5057964324951172
WHALE,N,28,77,141,173,0.33037930727005005
WHALE,M,26,81,147,175,0.32954612374305725
WHALE,O,30,75,135,167,0.3286880552768707
WHALE,L,25,90,147,176,0.3278047442436218
WHALE,L,24,96,164,187,0.32744407653808594
GRIZZLY,D,7,211,99,50,0.2763265371322632
GRIZZLY,D,8,205,95,49,0.2755076289176941
GRIZZLY,D,6,202,97,45,0.2745577096939087
GRIZZLY,C,7,199,74,46,0.27425700426101685
GRIZZLY,C,8,205,72,45,0.27401405572891235
FLAMINGO,G,15,222,144,155,0.48807889223098755
FLAMINGO,F,15,218,127,144,0.4786730408668518
FLAMINGO,F,14,217,130,129,0.4774358868598938
FLAMINGO,G,16,206,150,162,0.4731862545013428
FLAMINGO,G,14,220,142,135,0.47294145822525024
FOX,C,7,199,74,46,0.3346831202507019
FOX,D,7,211,99,50,0.3346230387687683
FOX,D,6,202,97,45,0.3344533145427704
FOX,C,8,205,72,45,0.3344417214393616
FOX,D,8,205,95,49,0.3341599702835083
CRICKET,M,1,211,207,48,0.30306699872016907
CRICKET,M,2,208,206,51,0.3029140830039978
CRICKET,M,3,206,206,55,0.30255967378616333
CRICKET,M,4,202,207,62,0.3016453981399536
CRICKET,L,1,229,216,45,0.3016012907028198
CANARY,H,4,237,185,68,0.261074036359787
CANARY,H,3,237,186,58,0.26096636056900024
CANARY,H,5,237,185,78,0.2608757019042969
CANARY,H,2,237,188,52,0.26064160466194153
CANARY,G,3,235,169,52,0.26055803894996643
PIG,F,16,202,130,150,0.40171653032302856
PIG,F,17,189,129,153,0.400840163230896
PIG,G,16,206,150,162,0.3993447422981262
PIG,E,17,190,111,143,0.3974913954734802
PIG,G,15,222,144,155,0.3968556821346283
TIGER,C,1,143,92,43,0.32582950592041016
TIGER,B,1,115,71,37,0.3233083486557007
TIGER,C,2,150,87,44,0.3226146697998047
TIGER,D,1,175,118,47,0.3188532590866089
TIGER,D,2,188,118,47,0.31663328409194946
LADYBUG,A,13,194,54,46,0.4851173162460327
LADYBUG,B,12,209,65,59,0.48498404026031494
LADYBUG,A,14,203,57,56,0.48394355177879333
LADYBUG,B,11,207,67,54,0.48270267248153687
LADYBUG,A,10,205,61,45,0.4819760322570801
FROG,P,1,112,140,60,0.3645792603492737
FROG,P,2,115,145,62,0.3620792627334595
FROG,P,3,107,142,64,0.3600512146949768
FROG,P,4,102,139,65,0.3591901361942291
FROG,L,11,158,188,108,0.3582817316055298
AXOLOTL,I,30,48,65,124,0.27713459730148315
AXOLOTL,N,30,69,114,155,0.2721506357192993
AXOLOTL,M,29,72,113,155,0.2718202471733093
AXOLOTL,M,30,67,101,147,0.27167871594429016
AXOLOTL,L,28,74,106,150,0.27057313919067383
TOAD,B,1,115,71,37,0.32490837574005127
TOAD,A,1,82,48,27,0.32043689489364624
TOAD,C,1,143,92,43,0.31571853160858154
TOAD,P,1,112,140,60,0.31430500745773315
TOAD,P,4,102,139,65,0.31140533089637756
LEMON,J,9,220,208,118,0.6228370070457458
LEMON,J,8,226,213,114,0.6221637725830078
LEMON,J,10,216,207,129,0.6191344261169434
LEMON,J,7,238,220,101,0.6151384115219116
LEMON,J,6,240,218,93,0.6125564575195312
LIME,K,11,185,201,122,0.6773107051849365
LIME,K,10,194,204,116,0.6764013767242432
LIME,L,9,174,194,96,0.675688624382019
LIME,L,8,185,199,94,0.6750857830047607
LIME,L,10,165,191,101,0.6714926958084106
KIWI,L,9,174,194,96,0.5266777873039246
KIWI,L,10,165,191,101,0.5259146690368652
KIWI,L,8,185,199,94,0.5247556567192078
KIWI,M,7,171,194,77,0.524050772190094
KIWI,L,11,158,188,108,0.5235568881034851
PUMPKIN,E,6,213,114,50,0.5484029054641724
PUMPKIN,E,5,217,125,46,0.5462378263473511
PUMPKIN,D,5,200,104,46,0.5446097254753113
PUMPKIN,D,4,202,115,45,0.5444503426551819
PUMPKIN,F,7,223,142,80,0.540033221244812
ZUCCHINI,J,14,190,196,156,0.5669897794723511
ZUCCHINI,J,13,197,200,155,0.5653862357139587
ZUCCHINI,I,15,204,200,166,0.5540482997894287
ZUCCHINI,J,12,203,205,152,0.553024411201477
ZUCCHINI,J,15,195,203,165,0.5486098527908325
GRAPE,G,18,185,148,162,0.49233704805374146
GRAPE,G,17,192,152,164,0.4903974235057831
GRAPE,F,18,178,127,153,0.49006643891334534
GRAPE,F,17,189,129,153,0.48905670642852783
GRAPE,G,19,167,138,159,0.4863479733467102
CUCUMBER,K,14,163,183,135,0.5785921216011047
CUCUMBER,K,13,175,195,138,0.5701960921287537
CUCUMBER,K,15,163,188,147,0.5693857073783875
CUCUMBER,K,12,178,197,132,0.565445065498352
CUCUMBER,J,14,190,196,156,0.5638618469238281
COCONUT,I,15,204,200,166,0.4112750291824341
COCONUT,I,14,209,200,158,0.40825459361076355
COCONUT,I,13,207,190,146,0.407078355550766
COCONUT,I,16,194,198,180,0.38745805621147156
COCONUT,I,12,220,198,142,0.3863165080547333
EGGPLANT,G,19,167,138,159,0.4821045994758606
EGGPLANT,A,4,109,44,35,0.48150527477264404
EGGPLANT,A,3,99,43,32,0.48134422302246094
EGGPLANT,G,20,152,123,154,0.4775298237800598
EGGPLANT,H,19,168,152,171,0.4765956997871399
ASPARAGUS,K,14,163,183,135,0.473439484834671
ASPARAGUS,J,14,190,196,156,0.4656343460083008
ASPARAGUS,K,13,175,195,138,0.46072208881378174
ASPARAGUS,J,13,197,200,155,0.45965808629989624
ASPARAGUS,K,12,178,197,132,0.45873451232910156
PEACH,H,14,222,163,143,0.574698805809021
PEACH,H,13,224,161,135,0.5737931728363037
PEACH,H,12,227,160,127,0.5706458687782288
PEACH,H,11,230,159,119,0.5652039051055908
PEACH,G,11,225,146,123,0.5638787150382996
APPLE,C,8,205,72,45,0.339763343334198
APPLE,C,9,210,75,50,0.3389553427696228
APPLE,C,7,199,74,46,0.3386576175689697
APPLE,C,6,188,76,47,0.33574044704437256
APPLE,D,9,206,89,63,0.33561503887176514
EGG,H,7,230,170,89,0.40688610076904297
EGG,G,5,232,172,88,0.4068164527416229
EGG,H,6,234,177,86,0.406610369682312
EGG,H,8,230,167,96,0.40639743208885193
EGG,G,6,228,159,82,0.4056437611579895
BANANA,I,11,225,195,128,0.4579114615917206
BANANA,I,10,228,200,119,0.4571857154369354
BANANA,I,9,231,195,106,0.45700380206108093
BANANA,I,8,235,194,96,0.4538307785987854
BANANA,H,6,234,177,86,0.4536479711532593
TOMATO,B,8,196,61,46,0.6357139348983765
TOMATO,A,9,192,58,44,0.6352725028991699
TOMATO,B,10,206,66,49,0.6349977254867554
TOMATO,B,7,183,61,45,0.634753406047821
TOMATO,B,11,207,67,54,0.6347490549087524
BEET,A,13,194,54,46,0.36217600107192993
BEET,A,8,165,53,45,0.36159422993659973
BEET,A,9,192,58,44,0.35985806584358215
BEET,A,14,203,57,56,0.3590014576911926
BEET,B,12,209,65,59,0.3588557839393616
PEARL,I,16,194,198,180,0.4757348299026489
PEARL,I,15,204,200,166,0.47559648752212524
PEARL,I,14,209,200,158,0.4640114903450012
PEARL,J,13,197,200,155,0.4583786725997925
PEARL,J,15,195,203,165,0.4564145803451538
AMETHYST,G,21,142,115,151,0.5429161787033081
AMETHYST,F,21,140,104,143,0.5426263213157654
AMETHYST,G,20,152,123,154,0.5424911379814148
AMETHYST,E,24,119,77,129,0.5422784090042114
AMETHYST,F,22,131,95,137,0.5417449474334717
SAPPHIRE,G,30,51,47,105,0.5002084970474243
SAPPHIRE,H,30,49,56,116,0.49884259700775146
SAPPHIRE,F,30,51,44,98,0.4985619783401489
SAPPHIRE,H,29,59,64,124,0.4983357787132263
SAPPHIRE,G,29,57,53,119,0.4982367157936096
GOLD,E,1,203,141,42,0.5754836797714233
GOLD,I,9,231,195,106,0.5736669898033142
GOLD,I,8,235,194,96,0.5720568895339966
GOLD,I,10,228,200,119,0.5705785751342773
GOLD,H,5,237,185,78,0.5703285932540894
RUBY,A,7,143,48,41,0.5497809648513794
RUBY,A,8,165,53,45,0.5475587844848633
RUBY,A,6,130,45,39,0.5474824905395508
RUBY,A,5,124,45,38,0.5424026846885681
RUBY,B,13,201,60,63,0.5408822298049927
JADE,L,21,122,182,175,0.44788801670074463
