word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,D,7,211,99,50,0.3231092095375061
SALMON,E,6,213,114,50,0.3208485245704651
SALMON,E,7,212,113,63,0.31677699089050293
SALMON,D,8,205,95,49,0.31655609607696533
SALMON,E,5,217,125,46,0.31651514768600464
WHALE,K,23,111,164,184,0.30888277292251587
WHALE,L,24,96,164,187,0.30870360136032104
WHALE,K,22,119,178,193,0.3073498010635376
WHALE,L,25,90,147,176,0.3067793846130371
WHALE,M,26,81,147,175,0.30622199177742004
GRIZZLY,A,1,82,48,27,0.30177071690559387
GRIZZLY,B,1,115,71,37,0.2966230511665344
GRIZZLY,C,1,143,92,43,0.29612553119659424
GRIZZLY,A,2,90,47,30,0.29304075241088867
GRIZZLY,O,30,75,135,167,0.2886449992656708
FLAMINGO,F,12,219,133,119,0.30500665307044983
FLAMINGO,E,12,211,111,104,0.30491477251052856
FLAMINGO,G,14,220,142,135,0.3041397035121918
FLAMINGO,E,11,211,117,103,0.30399566888809204
FLAMINGO,F,13,213,130,122,0.3035503029823303
FOX,E,5,217,125,46,0.2906045913696289
FOX,E,6,213,114,50,0.2891203463077545
FOX,E,3,223,136,44,0.28833121061325073
FOX,E,4,218,131,42,0.2875820994377136
FOX,D,7,211,99,50,0.28490889072418213
CRICKET,A,4,109,44,35,0.18561694025993347
CRICKET,A,3,99,43,32,0.1855422854423523
CRICKET,J,21,134,171,185,0.18403716385364532
CRICKET,A,5,124,45,38,0.18341228365898132
CRICKET,D,1,175,118,47,0.18326137959957123
CANARY,L,1,229,216,45,0.3774661719799042
CANARY,J,2,235,211,51,0.37653249502182007
CANARY,J,1,224,203,44,0.37603235244750977
CANARY,J,3,239,213,61,0.3751958906650543
CANARY,L,2,228,217,53,0.3751160502433777
PIG,H,15,218,165,158,0.30793866515159607
PIG,G,13,221,143,129,0.30669429898262024
PIG,G,14,220,142,135,0.3062957525253296
PIG,G,12,223,145,126,0.3050995469093323
PIG,F,12,219,133,119,0.30461567640304565
TIGER,E,3,223,136,44,0.25798094272613525
TIGER,E,4,218,131,42,0.25545597076416016
TIGER,E,2,217,140,41,0.25545498728752136
TIGER,F,3,228,158,50,0.2538588345050812
TIGER,F,4,230,160,63,0.2537635266780853
LADYBUG,J,24,102,130,162,0.2888582944869995
LADYBUG,J,25,91,118,155,0.2866935133934021
LADYBUG,I,22,124,140,165,0.285906583070755
LADYBUG,I,24,103,115,151,0.28500229120254517
LADYBUG,I,23,115,126,158,0.28461265563964844
FROG,K,14,163,183,135,0.2427344024181366
FROG,K,15,163,188,147,0.24189242720603943
FROG,K,13,175,195,138,0.2404719889163971
FROG,P,1,112,140,60,0.2398109883069992
FROG,P,2,115,145,62,0.23954133689403534
AXOLOTL,D,10,209,93,76,0.1998727023601532
AXOLOTL,D,11,208,96,88,0.19853940606117249
AXOLOTL,C,10,213,78,66,0.19839218258857727
AXOLOTL,D,12,207,96,91,0.19712772965431213
AXOLOTL,C,11,211,78,73,0.1970633566379547
