word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,E,6,213,114,50,0.2327151596546173
SALMON,D,5,200,104,46,0.22577500343322754
SALMON,D,6,202,97,45,0.22389540076255798
SALMON,E,7,212,113,63,0.21926897764205933
SALMON,D,7,211,99,50,0.21899884939193726
WHALE,H,25,90,92,138,0.4352269768714905
WHALE,H,26,84,86,138,0.4346124231815338
WHALE,H,27,76,80,134,0.43122389912605286
WHALE,I,26,82,95,142,0.43073248863220215
WHALE,I,27,75,86,138,0.4298935830593109
GRIZZLY,A,1,82,48,27,0.2821009159088135
GRIZZLY,B,1,115,71,37,0.26862382888793945
GRIZZLY,A,2,90,47,30,0.2612558603286743
GRIZZLY,B,2,128,70,41,0.24919341504573822
GRIZZLY,C,2,150,87,44,0.24463048577308655
FLAMINGO,F,14,217,130,129,0.25544464588165283
FLAMINGO,G,14,220,142,135,0.2550368309020996
FLAMINGO,F,13,213,130,122,0.25389063358306885
FLAMINGO,F,12,219,133,119,0.25281867384910583
FLAMINGO,G,13,221,143,129,0.25166967511177063
FOX,E,6,213,114,50,0.3218227028846741
FOX,E,5,217,125,46,0.31744876503944397
FOX,D,4,202,115,45,0.31676703691482544
FOX,D,5,200,104,46,0.3165455460548401
FOX,D,3,191,112,45,0.31012195348739624
CRICKET,A,2,90,47,30,0.2572636008262634
CRICKET,A,1,82,48,27,0.2541172504425049
CRICKET,B,2,128,70,41,0.24009856581687927
CRICKET,B,1,115,71,37,0.24007396399974823
CRICKET,A,3,99,43,32,0.23514896631240845
CANARY,K,6,227,220,95,0.41968411207199097
CANARY,J,8,226,213,114,0.41940563917160034
CANARY,K,5,230,221,85,0.41906940937042236
CANARY,J,9,220,208,118,0.4185405969619751
CANARY,K,7,221,217,108,0.4184245765209198
PIG,H,15,218,165,158,0.28362488746643066
PIG,G,14,220,142,135,0.2810156047344208
PIG,H,14,222,163,143,0.28020691871643066
PIG,G,13,221,143,129,0.27805668115615845
PIG,G,12,223,145,126,0.2736227214336395
TIGER,E,5,217,125,46,0.14378677308559418
TIGER,D,4,202,115,45,0.1426989734172821
TIGER,E,6,213,114,50,0.1410589963197708
TIGER,D,5,200,104,46,0.1392674595117569
TIGER,D,3,191,112,45,0.13880035281181335
LADYBUG,A,12,195,57,41,0.2052900791168213
LADYBUG,C,8,205,72,45,0.20280811190605164
LADYBUG,B,9,202,63,44,0.20259948074817657
LADYBUG,B,7,183,61,45,0.2011464685201645
LADYBUG,B,6,171,61,45,0.20110869407653809
FROG,N,10,106,159,69,0.36409255862236023
FROG,O,6,111,158,69,0.3638875186443329
FROG,O,7,106,155,70,0.3638821244239807
FROG,N,9,116,167,70,0.3628605008125305
FROG,N,11,100,157,71,0.3626750707626343
AXOLOTL,I,17,192,196,189,0.2929520010948181
AXOLOTL,I,18,191,193,194,0.2836880087852478
AXOLOTL,H,13,224,161,135,0.27051228284835815
AXOLOTL,H,12,227,160,127,0.2701667547225952
AXOLOTL,G,10,227,147,113,0.2689693570137024
TOAD,P,4,102,139,65,0.20156967639923096
TOAD,P,3,107,142,64,0.19844554364681244
TOAD,P,1,112,140,60,0.1983335018157959
TOAD,P,5,96,142,67,0.1952102780342102
TOAD,P,6,88,138,67,0.19413286447525024
LEMON,K,7,221,217,108,0.6012823581695557
LEMON,K,8,214,213,110,0.5993708372116089
LEMON,K,6,227,220,95,0.5992927551269531
LEMON,L,6,215,214,82,0.5971225500106812
LEMON,K,5,230,221,85,0.5950771570205688
LIME,N,6,147,183,68,0.4951915144920349
LIME,M,8,158,189,81,0.49317559599876404
LIME,N,5,154,184,62,0.492807537317276
LIME,O,3,139,168,60,0.49093616008758545
LIME,O,4,132,168,64,0.48949259519577026
KIWI,N,4,161,186,60,0.3901856541633606
KIWI,N,5,154,184,62,0.389729380607605
KIWI,O,1,147,170,59,0.38470327854156494
KIWI,N,3,170,189,58,0.3838561773300171
KIWI,O,2,144,170,60,0.38382840156555176
PUMPKIN,E,4,218,131,42,0.38863396644592285
PUMPKIN,E,3,223,136,44,0.3879901170730591
PUMPKIN,E,5,217,125,46,0.3863060474395752
PUMPKIN,D,4,202,115,45,0.3731157183647156
PUMPKIN,E,2,217,140,41,0.3679583668708801
ZUCCHINI,O,1,147,170,59,0.41097015142440796
ZUCCHINI,O,2,144,170,60,0.40942955017089844
ZUCCHINI,O,3,139,168,60,0.40743184089660645
ZUCCHINI,N,5,154,184,62,0.4054235816001892
ZUCCHINI,N,4,161,186,60,0.404582142829895
GRAPE,G,24,108,89,137,0.4250186085700989
GRAPE,F,26,92,69,127,0.42441442608833313
GRAPE,F,27,85,63,125,0.4235243797302246
GRAPE,E,27,92,62,124,0.42082303762435913
GRAPE,E,26,100,68,127,0.4200890064239502
CUCUMBER,N,6,147,183,68,0.5098447203636169
CUCUMBER,M,8,158,189,81,0.5053732395172119
CUCUMBER,N,7,130,175,68,0.5048794746398926
CUCUMBER,O,4,132,168,64,0.5045812726020813
CUCUMBER,M,9,145,182,83,0.5038411617279053
COCONUT,A,1,82,48,27,0.26292723417282104
COCONUT,B,1,115,71,37,0.2520100474357605
COCONUT,C,1,143,92,43,0.24471604824066162
COCONUT,A,2,90,47,30,0.23926717042922974
COCONUT,M,30,67,101,147,0.23380818963050842
EGGPLANT,D,28,91,56,119,0.34538573026657104
EGGPLANT,D,29,82,52,118,0.3452582061290741
EGGPLANT,A,30,97,59,117,0.345024049282074
EGGPLANT,B,30,94,58,120,0.34455519914627075
EGGPLANT,C,30,85,50,118,0.3445151746273041
ASPARAGUS,N,5,154,184,62,0.3408571481704712
ASPARAGUS,O,2,144,170,60,0.340007483959198
ASPARAGUS,O,3,139,168,60,0.33946436643600464
ASPARAGUS,N,6,147,183,68,0.33925753831863403
ASPARAGUS,O,1,147,170,59,0.3389173150062561
PEACH,E,6,213,114,50,0.23200757801532745
PEACH,E,5,217,125,46,0.2258872389793396
PEACH,E,7,212,113,63,0.22190678119659424
PEACH,D,7,211,99,50,0.22121039032936096
PEACH,D,5,200,104,46,0.21719688177108765
APPLE,K,9,204,207,111,0.30498093366622925
APPLE,L,8,185,199,94,0.3049609065055847
APPLE,K,10,194,204,116,0.3048710823059082
APPLE,L,7,201,207,90,0.30476701259613037
APPLE,M,6,182,198,73,0.30420875549316406
EGG,J,10,216,207,129,0.48304328322410583
EGG,J,11,210,207,142,0.4829237759113312
EGG,J,9,220,208,118,0.4780750274658203
EGG,J,8,226,213,114,0.474395215511322
EGG,K,8,214,213,110,0.47412776947021484
BANANA,K,7,221,217,108,0.46706441044807434
BANANA,K,8,214,213,110,0.46550431847572327
BANANA,K,6,227,220,95,0.4646380543708801
BANANA,L,6,215,214,82,0.46180886030197144
BANANA,K,5,230,221,85,0.46125519275665283
TOMATO,C,8,205,72,45,0.31837940216064453
TOMATO,C,7,199,74,46,0.316099613904953
TOMATO,B,9,202,63,44,0.3103559911251068
TOMATO,C,9,210,75,50,0.3097389042377472
TOMATO,C,6,188,76,47,0.30971699953079224
BEET,A,18,192,50,97,0.23112644255161285
BEET,A,20,175,49,110,0.2303898185491562
BEET,A,19,184,48,108,0.22919440269470215
BEET,A,17,197,53,86,0.22603531181812286
BEET,A,21,168,55,115,0.22369641065597534
PEARL,H,18,174,159,174,0.29803580045700073
PEARL,H,19,168,152,171,0.2957834303379059
PEARL,H,20,154,142,164,0.2926419973373413
PEARL,H,21,142,131,158,0.28766512870788574
PEARL,H,22,125,121,154,0.2754650115966797
AMETHYST,F,22,131,95,137,0.4914415776729584
AMETHYST,F,23,123,87,135,0.4904736578464508
AMETHYST,F,24,112,82,132,0.48778024315834045
AMETHYST,G,22,127,106,145,0.48741385340690613
AMETHYST,E,25,106,67,121,0.48722854256629944
SAPPHIRE,G,29,57,53,119,0.4153289794921875
SAPPHIRE,H,28,68,72,131,0.41519808769226074
SAPPHIRE,H,29,59,64,124,0.4151482582092285
SAPPHIRE,H,30,49,56,116,0.4144154191017151
SAPPHIRE,I,29,62,71,129,0.41305989027023315
GOLD,I,10,228,200,119,0.3101416230201721
GOLD,I,6,234,202,91,0.30901527404785156
GOLD,I,5,239,203,76,0.308852881193161
GOLD,I,9,231,195,106,0.3078809976577759
GOLD,I,2,235,196,46,0.3078662157058716
RUBY,A,6,130,45,39,0.3515464663505554
RUBY,A,5,124,45,38,0.34741249680519104
RUBY,A,7,143,48,41,0.3467698395252228
RUBY,A,8,165,53,45,0.34096306562423706
RUBY,A,13,194,54,46,0.3398503065109253
JADE,O,22,100,163,117,0.37419188022613525
JADE,P,23,88,158,113,0.3736282289028168
JADE,N,21,111,173,130,0.37276339530944824
JADE,P,22,90,158,106,0.3723016381263733
JADE,P,24,87,159,119,0.37172847986221313
TILE,D,5,200,104,46,0.41314712166786194
TILE,D,4,202,115,45,0.41254663467407227
TILE,E,6,213,114,50,0.411694198846817
TILE,D,3,191,112,45,0.41067367792129517
TILE,E,5,217,125,46,0.409696102142334
LAPIS LAZULI,H,30,49,56,116,0.35631227493286133
LAPIS LAZULI,I,30,48,65,124,0.3545113801956177
LAPIS LAZULI,G,30,51,47,105,0.3484819531440735
LAPIS LAZULI,F,30,51,44,98,0.3459349274635315
LAPIS LAZULI,J,30,59,68,123,0.34580686688423157
AMBER,D,1,175,118,47,0.47843673825263977
AMBER,E,2,217,140,41,0.4726486802101135
AMBER,D,2,188,118,47,0.4704933166503906
AMBER,E,4,218,131,42,0.4672973155975342
AMBER,E,1,203,141,42,0.4669838547706604
BRICK,B,3,136,67,39,0.3132959008216858
BRICK,B,2,128,70,41,0.3048030734062195
BRICK,B,4,150,70,45,0.3021242022514343
BRICK,C,4,170,82,47,0.3014662265777588
BRICK,C,3,164,89,46,0.30067020654678345
EMERALD,P,24,87,159,119,0.43285462260246277
EMERALD,P,23,88,158,113,0.43114393949508667
EMERALD,P,25,85,160,130,0.4308517277240753
EMERALD,O,24,93,164,133,0.42996543645858765
EMERALD,O,23,98,163,127,0.4289579391479492
SUNFLOWER,L,1,229,216,45,0.3513028025627136
SUNFLOWER,L,2,228,217,53,0.3475579023361206
SUNFLOWER,J,1,224,203,44,0.34398001432418823
SUNFLOWER,J,2,235,211,51,0.343747615814209
SUNFLOWER,L,3,227,217,60,0.3434836268424988
BASIL,N,8,126,173,68,0.37525486946105957
BASIL,N,9,116,167,70,0.37485453486442566
BASIL,O,5,126,166,66,0.3743728995323181
BASIL,O,6,111,158,69,0.37428367137908936
BASIL,N,7,130,175,68,0.373573362827301
MALLOW,B,1,115,71,37,0.23771250247955322
MALLOW,C,1,143,92,43,0.23621831834316254
MALLOW,H,24,105,103,145,0.2358623743057251
MALLOW,B,5,158,65,44,0.23560364544391632
MALLOW,H,23,112,109,149,0.2353687882423401
LAVENDER,G,24,108,89,137,0.4941595196723938
LAVENDER,G,23,118,98,141,0.4928140938282013
LAVENDER,G,22,127,106,145,0.4852708578109741
LAVENDER,G,25,94,81,128,0.4848063588142395
LAVENDER,F,26,92,69,127,0.48241502046585083
POPPY,C,8,205,72,45,0.25837069749832153
POPPY,B,9,202,63,44,0.2556871771812439
POPPY,A,12,195,57,41,0.25551560521125793
POPPY,C,7,199,74,46,0.2522190809249878
POPPY,A,10,205,61,45,0.2515212297439575
WHEAT,H,8,230,167,96,0.37023237347602844
WHEAT,D,1,175,118,47,0.37004390358924866
WHEAT,G,6,228,159,82,0.3652893900871277
WHEAT,H,7,230,170,89,0.36340877413749695
WHEAT,G,7,230,158,91,0.3614763021469116
CARNATION,G,15,222,144,155,0.07829636335372925
CARNATION,G,16,206,150,162,0.06983954459428787
CARNATION,F,15,218,127,144,0.06632742285728455
CARNATION,H,16,200,164,172,0.0638892874121666
CARNATION,H,15,218,165,158,0.053575847297906876
CORAL,E,8,211,105,66,0.5129573345184326
CORAL,E,9,212,109,77,0.5119051933288574
CORAL,D,7,211,99,50,0.5087077617645264
CORAL,D,8,205,95,49,0.507096529006958
CORAL,F,10,220,130,98,0.5056418180465698
MINT,M,20,124,180,147,0.5904653668403625
MINT,M,21,117,180,153,0.5894564986228943
MINT,N,22,105,169,137,0.5884330868721008
