,Words,Stat,p-value
0,AMBER,1.449961051259882,0.27611611436086125
1,AMETHYST,2.2024350985068875,0.14291873712209024
2,APPLE,19.40894267951318,9.192405681635041e-05
3,ASPARAGUS,71.42331183558927,1.1987282801939614e-06
4,AUTUMN,54.50913327440813,4.187278977330067e-06
5,AXOLOTL,1.0240159120906267,0.3829372262972559
6,BANANA,1.166191720709509,0.34005508818667496
7,BARBIE,1.1933604526533796,0.33675694781456067
8,BASIL,4.159295097785117,0.030873343786189777
9,BEET,1.657895951506572,0.22583941712625777
10,BLAS (Y EPI),0.6345815497750783,0.5523108315306691
11,BLOOD,1.00370465998563,0.38846327698320493
12,BRICK,0.5678458408645365,0.5771328284973394
13,BRUSH,13.989504064380151,0.0009508028127179768
14,CANARY,12.418967880564205,0.0015092922489410299
15,CARNATION,0.09772518164901071,0.9073284564152496
16,COCONUT,1.0129254823719953,0.3852952480552667
17,COOKIE MONSTER,4.117797108026557,0.04959071866183595
18,CORAL,2.8179347351910295,0.0861605176863971
19,CRICKET,3.721007369506795,0.05058678957038687
20,CUCUMBER,31.969868917463266,3.899122186901138e-06
21,DANGER,9.340010015977272,0.020486598080176388
22,DISGUST,2.3649257351957362,0.1259477281848791
23,ECOLOGY,1.1351761781819516,0.3595131905624416
24,EGG,5.974583116539934,0.013305536553760766
25,EGGPLANT,1.585891718096266,0.25703799062066524
26,ELMO,1.7660044163718156,0.21620646495692275
27,EMERALD,2.1951011950969903,0.14818037449174826
28,EPI (Y BLAS),0.8242775196603922,0.4726186263948926
29,FEMINISM,26.41803818774404,4.019639684627041e-05
30,FIRE,1.1830387639314877,0.3333660939807579
31,FLAMINGO,12.805471670015885,0.0017461542614962688
32,FLASH,2.7658714539515015,0.10283404425486897
33,FOX,0.5012625664563098,0.6170075019365098
34,FROG,1.6313795217754614,0.22484223913514956
35,GOLD,0.025909033979219825,0.9744599955119981
36,GRAPE,3.7046418995296877,0.05585093072121605
37,GRASS,3.3001013199195897,0.058863608291303327
38,GRINCH,31.13942954721583,5.069248210087807e-05
39,GRIZZLY,0.8881321517766472,0.43198632157524686
40,HAPINESS,225.47059467237722,8.102574167168086e-11
41,HOPE,13.009701307777513,0.0003738252578942003
42,HULK,54.124927197083856,9.875978168594202e-07
43,HURRICANE,4.588593783423591,0.02787026477685961
44,JADE,0.35443869421542873,0.7069385815954269
45,KIWI,4.036942862708266,0.05184923340099801
46,LADYBUG,5.696857471081016,0.016723422077235428
47,LAPIS LAZULI,3.7479780504995857,0.042457366356991155
48,LAVENDER,1.259701070343098,0.30638838351063236
49,LEMON,0.5565944533028638,0.5853336259550258
50,LIME,2.598643517816359,0.11904940706243594
51,LONELINESS,0.3284638814935663,0.7258338370146171
52,MALLOW,1.8807092294325125,0.19836053144291632
53,MINT,11.718812241611374,0.00042819273185112916
54,MOSS,21.239087113985622,0.00011422264445115626
55,MUD,0.6974516711894322,0.5169517046667204
56,PEACE,1.418736957847269,0.27476265118603593
57,PEACH,7.5214920680574915,0.005465267574386035
58,PEARL,3.5378554752509097,0.048361667373031936
59,PETER PAN,1.9248745341308544,0.19195730144170042
60,PIG,0.7909831351690417,0.4693930539728285
61,PIKACHU,13.764512007417517,0.001343271030912918
62,POND,6.004056568429935,0.014226752449390756
63,POPPY,0.44007761765747,0.6507325016560541
64,PUMPKIN,1.9239815312626274,0.18847197192014864
65,RAGE,1.7635919079436875,0.20517000322664258
66,RELAX,0.42343812660179103,0.6623795924677802
67,RUBY,1.5341862971007867,0.24404083861876424
68,SADNESS,8.630742047580698,0.010058298083863826
69,SALMON,0.027558988498785495,0.972866433580428
70,SAND,4.682409361231338,0.023994136228072227
71,SAPPHIRE,2.8653731604920827,0.0931158810042172
72,SEA,8.43317255372733,0.004486919479383178
73,SHAME,3.2772768686417395,0.06413364927356768
74,SHRECK,9.177080813522702,0.006721805679717474
75,SIMPSON,1.858607242089609,0.1900532563247217
76,SKIN,3.2791110721593015,0.07638653352570679
77,SKY,1.781979898680249,0.20442744898984777
78,SMURF,2.062619815095386,0.17349913612524104
79,SONIC,23.01881413640944,1.0953058231955026e-05
80,SPRING,7.133263230581899,0.00811031994904765
81,STITCH,2.9818806317840654,0.09645480743880375
82,SUBMARINE,8.756889923913578,0.006342328175931944
83,SUMMER,4.99117059576148,0.020679194087655173
84,SUNFLOWER,9.259641168505116,0.0031614455545090347
85,SUNRISE,2.5130071482960186,0.11062684813408596
86,SUNSET,12.13277332068369,0.0021169552481977716
87,THUNDERBOLT,6.621743609148984,0.009463621636361275
88,TIGER,4.876180165000964,0.02336467817443122
89,TILE,0.8366567886687669,0.44931913796890577
90,TOAD,0.7020030319817514,0.5122246605774388
91,TOMATO,4.265227209382956,0.04977623108985718
92,TOXIC,3.720199578086114,0.0553167186053799
93,TRACTOR,24.31177239478362,0.00014442408445514143
94,WHALE,7.118374293061704,0.004929276222890078
95,WHEAT,4.4700157626490205,0.0315310313971926
96,WINTER,15.464502541349846,0.00036538263400498483
97,WITCHCRAFT,4.136316534369388,0.040718678177772194
98,WOOD,6.722042156257986,0.007063843121570712
99,ZUCCHINI,30.216951653317,8.327232530302986e-06
