word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,H,13,224,161,135,0.2714483141899109
SALMON,H,12,227,160,127,0.27074480056762695
SALMON,H,14,222,163,143,0.270173043012619
SALMON,G,11,225,146,123,0.26905179023742676
SALMON,G,12,223,145,126,0.2679736912250519
WHALE,I,19,164,176,185,0.25597941875457764
WHALE,I,20,148,161,177,0.2555355727672577
WHALE,J,22,123,155,177,0.2502065598964691
WHALE,I,22,124,140,165,0.24990934133529663
WHALE,I,21,137,147,169,0.24764561653137207
GRIZZLY,I,20,148,161,177,0.244638130068779
GRIZZLY,I,19,164,176,185,0.24436938762664795
GRIZZLY,I,22,124,140,165,0.24303030967712402
GRIZZLY,J,22,123,155,177,0.2428508698940277
GRIZZLY,J,23,112,144,171,0.24227088689804077
FLAMINGO,G,13,221,143,129,0.2706526517868042
FLAMINGO,G,14,220,142,135,0.2699945271015167
FLAMINGO,G,12,223,145,126,0.269595742225647
FLAMINGO,F,12,219,133,119,0.2692042291164398
FLAMINGO,G,11,225,146,123,0.2676118016242981
FOX,I,12,220,198,142,0.23956915736198425
FOX,I,11,225,195,128,0.23928457498550415
FOX,H,10,235,159,109,0.2386494129896164
FOX,G,3,235,169,52,0.2379809319972992
FOX,G,10,227,147,113,0.23769429326057434
CRICKET,N,6,147,183,68,0.23973609507083893
CRICKET,N,7,130,175,68,0.2395838052034378
CRICKET,N,5,154,184,62,0.2392861396074295
CRICKET,N,8,126,173,68,0.23920263350009918
CRICKET,O,4,132,168,64,0.23868583142757416
CANARY,I,5,239,203,76,0.2887877821922302
CANARY,J,3,239,213,61,0.28838562965393066
CANARY,I,4,238,198,69,0.28814104199409485
CANARY,I,2,235,196,46,0.28770747780799866
CANARY,J,6,240,218,93,0.28768888115882874
PIG,H,15,218,165,158,0.2742605209350586
PIG,H,14,222,163,143,0.2711693048477173
PIG,G,14,220,142,135,0.26905959844589233
PIG,G,15,222,144,155,0.2686595320701599
PIG,G,13,221,143,129,0.26851794123649597
TIGER,H,9,229,163,106,0.2497815489768982
TIGER,G,7,230,158,91,0.24948249757289886
TIGER,G,6,228,159,82,0.24918106198310852
TIGER,F,6,229,154,76,0.24905547499656677
TIGER,H,8,230,167,96,0.24903658032417297
LADYBUG,G,14,220,142,135,0.22562170028686523
LADYBUG,G,13,221,143,129,0.22539064288139343
LADYBUG,F,12,219,133,119,0.2243347316980362
LADYBUG,F,13,213,130,122,0.22400273382663727
LADYBUG,G,12,223,145,126,0.2239493727684021
FROG,M,11,128,174,91,0.24619269371032715
FROG,M,10,139,180,87,0.24572497606277466
FROG,M,12,124,172,97,0.24565115571022034
FROG,N,9,116,167,70,0.24526989459991455
FROG,N,8,126,173,68,0.24519872665405273
AXOLOTL,H,15,218,165,158,0.2563852369785309
AXOLOTL,H,17,192,166,175,0.25496208667755127
AXOLOTL,H,16,200,164,172,0.25414538383483887
AXOLOTL,G,17,192,152,164,0.24979948997497559
AXOLOTL,H,14,222,163,143,0.24972106516361237
TOAD,I,20,148,161,177,0.21968261897563934
TOAD,H,17,192,166,175,0.21902747452259064
TOAD,H,14,222,163,143,0.21874184906482697
TOAD,I,19,164,176,185,0.21852068603038788
TOAD,H,15,218,165,158,0.2184430956840515
LEMON,K,4,235,222,79,0.2994985580444336
LEMON,K,2,234,219,67,0.2992022633552551
LEMON,L,2,228,217,53,0.2991129159927368
LEMON,K,3,234,219,71,0.2990034222602844
LEMON,L,1,229,216,45,0.2989712655544281
LIME,N,1,180,193,51,0.321768581867218
LIME,M,5,194,204,68,0.32163649797439575
LIME,M,6,182,198,73,0.32087182998657227
LIME,N,5,154,184,62,0.32074636220932007
LIME,N,4,161,186,60,0.320700079202652
KIWI,N,5,154,184,62,0.28149843215942383
KIWI,N,4,161,186,60,0.28132086992263794
KIWI,N,6,147,183,68,0.28119808435440063
KIWI,N,3,170,189,58,0.2808559238910675
KIWI,N,1,180,193,51,0.28043046593666077
PUMPKIN,E,3,223,136,44,0.27961841225624084
PUMPKIN,E,4,218,131,42,0.2783052325248718
PUMPKIN,E,5,217,125,46,0.2761819362640381
PUMPKIN,E,2,217,140,41,0.2738773822784424
PUMPKIN,F,6,229,154,76,0.2732630968093872
ZUCCHINI,I,19,164,176,185,0.2441766858100891
ZUCCHINI,M,10,139,180,87,0.23805131018161774
ZUCCHINI,M,11,128,174,91,0.23804286122322083
ZUCCHINI,N,8,126,173,68,0.23749840259552002
ZUCCHINI,N,7,130,175,68,0.23740458488464355
GRAPE,A,25,131,58,113,0.2949451506137848
GRAPE,D,22,135,76,125,0.2948176860809326
GRAPE,D,23,128,73,124,0.29480764269828796
GRAPE,D,24,121,71,123,0.2945733368396759
GRAPE,B,27,111,59,115,0.29447007179260254
CUCUMBER,M,10,139,180,87,0.24142098426818848
CUCUMBER,M,11,128,174,91,0.24116644263267517
CUCUMBER,N,8,126,173,68,0.24093097448349
CUCUMBER,N,9,116,167,70,0.24079629778862
CUCUMBER,N,7,130,175,68,0.24072444438934326
COCONUT,I,19,164,176,185,0.23153024911880493
COCONUT,J,22,123,155,177,0.22730019688606262
COCONUT,I,20,148,161,177,0.22670280933380127
COCONUT,J,21,134,171,185,0.2266823947429657
COCONUT,J,23,112,144,171,0.2257266789674759
EGGPLANT,H,21,142,131,158,0.2647954225540161
EGGPLANT,H,20,154,142,164,0.2645222544670105
EGGPLANT,H,22,125,121,154,0.26393622159957886
EGGPLANT,H,18,174,159,174,0.2634202241897583
EGGPLANT,H,19,168,152,171,0.26254940032958984
ASPARAGUS,N,8,126,173,68,0.236215278506279
ASPARAGUS,N,9,116,167,70,0.2361544668674469
ASPARAGUS,N,7,130,175,68,0.2359553426504135
ASPARAGUS,M,10,139,180,87,0.23591291904449463
ASPARAGUS,M,11,128,174,91,0.23570354282855988
PEACH,G,11,225,146,123,0.31186583638191223
PEACH,H,12,227,160,127,0.3114461898803711
PEACH,H,13,224,161,135,0.3105751872062683
