,Words,Stat,p-value
0,AMBER,1.7399468458181733,0.22052113283428354
1,AMETHYST,0.8766751887553048,0.4352284400222025
2,APPLE,4.695009371811971,0.02752214388019847
3,ASPARAGUS,6.3911306899264355,0.016293554928506593
4,AUTUMN,71.7635941730672,1.1723938126984024e-06
5,AXOLOTL,0.1046598365247215,0.9012826943888824
6,BANANA,1.3186559912489946,0.2987542731197963
7,BARBIE,0.1292704335328522,0.8799435270275618
8,BASIL,0.5007994805054794,0.6134460095398655
9,BEET,0.7202966745420412,0.503788619260841
10,BLAS (Y EPI),1.729022608697856,0.23150838730731338
11,BLOOD,0.7142176660813485,0.5045365888824775
12,BRICK,8.647151564586448,0.002567018403798582
13,BRUSH,31.6042864047713,2.7552583833578836e-05
14,CANARY,6.806480404388169,0.011919513708044893
15,CARNATION,0.13243674843809003,0.876720146585087
16,COCONUT,153.4440296844052,3.635336476293105e-11
17,COOKIE MONSTER,13.696452759996909,0.0013678987067873294
18,CORAL,2.2582716882934806,0.13333281861810098
19,CRICKET,3.5774509131388714,0.05559287702371751
20,CUCUMBER,15.470110221326347,0.00022606658916157762
21,DANGER,887.7919133690351,4.178485987216263e-07
22,DISGUST,1.462955255175628,0.26091893872378424
23,ECOLOGY,18.678946732623665,0.000419795828719427
24,EGG,21.365792779800973,5.573420345283964e-05
25,EGGPLANT,47.63298100098906,1.6309843616446607e-05
26,ELMO,2.7113582733741364,0.11033474212692174
27,EMERALD,13.668970363852019,0.0005110393973007943
28,EPI (Y BLAS),0.670003508901869,0.5382340115275351
29,FEMINISM,18.073728916157528,0.00023968856063116828
30,FIRE,1.363018564907605,0.2858229076456744
31,FLAMINGO,13.23900977561735,0.0015482594560298768
32,FLASH,2.765518495157054,0.10285889150217753
33,FOX,10.446432983211333,0.001972095209049396
34,FROG,3.1393706093160034,0.0691289795236516
35,GOLD,3.570466246205244,0.04943335752957312
36,GRAPE,2.847308539089272,0.09728378609434984
37,GRASS,0.7315101943129544,0.4942500340088982
38,GRINCH,11.721411154050617,0.002390481535285982
39,GRIZZLY,0.9780456268960181,0.3987873321579215
40,HAPINESS,576.0599973105228,2.0383694732117874e-13
41,HOPE,26.948475321016208,5.351574860923414e-06
42,HULK,10.816514049917599,0.0020629640291883744
43,HURRICANE,2.4647739928424044,0.11870078123819583
44,JADE,1.3654273676322084,0.2834647727645969
45,KIWI,4.0325256123735445,0.0519761387500014
46,LADYBUG,0.9099302125689077,0.4267220184927427
47,LAPIS LAZULI,5.331161423056591,0.01452814658329471
48,LAVENDER,1.9527589353366974,0.16932774112154203
49,LEMON,0.21459884067871243,0.8094703887514848
50,LIME,1.7728947243119493,0.21508228206115265
51,LONELINESS,0.45677096495249586,0.6431121765803898
52,MALLOW,1.4242946504467933,0.28179242936954274
53,MINT,12.825888154870707,0.0002604492737425801
54,MOSS,17.277982276464797,0.00029324830003352176
55,MUD,53.66906600102418,1.0337417650774228e-06
56,PEACE,2.824268318287815,0.09323624467369906
57,PEACH,11.641270301649334,0.0008875213401133841
58,PEARL,14.359177232009198,0.00013594832072938434
59,PETER PAN,53.43215241665169,2.1630030085928453e-06
60,PIG,2.9241667174722545,0.08101255772442473
61,PIKACHU,11.815479354581436,0.0023243619689808925
62,POND,2.6039710879082523,0.1119273352469139
63,POPPY,0.04764670126672662,0.9535904265747522
64,PUMPKIN,1.6384206585315166,0.23490165190653034
65,RAGE,0.1279246504146902,0.8808693879011362
66,RELAX,0.871060191232136,0.43863773496102454
67,RUBY,2.7189676801522595,0.09450640541456001
68,SADNESS,19.999778335945262,0.0007716334451096651
69,SALMON,0.5028559612619489,0.6146416312659249
70,SAND,3.7568974956381584,0.044547789478709965
71,SAPPHIRE,2.4678471405641553,0.12344216721038748
72,SEA,9.617093696090658,0.002732581154148317
73,SHAME,2.931656436019052,0.08226822048655069
74,SHRECK,4.492837768680056,0.04435278522555852
75,SIMPSON,3.702820323360425,0.04931785688797252
76,SKIN,2.325599807392759,0.14376322310232748
77,SKY,19.611592532805673,8.713451629394076e-05
78,SMURF,0.41229784355094945,0.671947152971906
79,SONIC,13.502962391939198,0.00026183357508247074
80,SPRING,4.260969577311774,0.037748760407178006
81,STITCH,4.12372120587957,0.04942992954756975
82,SUBMARINE,1.9389222171689127,0.19426292586615201
83,SUMMER,236.5901976492291,1.3098411244527597e-12
84,SUNFLOWER,1.1072672294282384,0.3597082900591815
85,SUNRISE,0.1161130814478354,0.891074574658506
86,SUNSET,7.371379082666497,0.010783492686084473
87,THUNDERBOLT,5.959891748564437,0.01341147864116854
88,TIGER,47.03027304187901,3.4528438097591874e-07
89,TILE,87.12375548306466,5.529756652578044e-10
90,TOAD,24.740572666424875,2.5373651671656283e-05
91,TOMATO,25.087943778339184,0.00020866027738009052
92,TOXIC,1.2404957020210954,0.32381555119348127
93,TRACTOR,148.24714070391158,3.6973291983599665e-08
94,WHALE,20.897998300760886,1.589816059077709e-05
95,WHEAT,4.638174259287578,0.028476872494021088
96,WINTER,7.839691479375861,0.005840204697709295
97,WITCHCRAFT,8.58556140164654,0.004200366813865486
98,WOOD,28.349459055902216,3.849429544233729e-06
99,ZUCCHINI,9.274104407468188,0.0027239968104908474
