,Words,Stat,p-value
0,AMBER,1.7920732577282408,0.21198940973599978
1,AMETHYST,1.295981356958197,0.3008554917118478
2,APPLE,10.26114198899002,0.0018038466108361018
3,ASPARAGUS,23.288146594410737,0.00017251527389428034
4,AUTUMN,54.53103813099165,4.179580953445061e-06
5,AXOLOTL,0.22664337766433465,0.7998857616722526
6,BANANA,2.8302109062790373,0.09284241534538828
7,BARBIE,0.6165840430262951,0.5560380389166405
8,BASIL,1.5162995646774848,0.24370838222278335
9,BEET,1.8582219864211542,0.1924244986825836
10,BLAS (Y EPI),1.6869883170748132,0.23867090520485912
11,BLOOD,1.1722042581960574,0.3349115732040824
12,BRICK,0.06437087967651071,0.9378846034975066
13,BRUSH,40.90178861466658,8.054782634214774e-06
14,CANARY,6.483696929947708,0.01379574944318629
15,CARNATION,22.76220982723537,7.0188849778940465e-06
16,COCONUT,1.7067807471501601,0.21287180143473572
17,COOKIE MONSTER,8.967755999498884,0.0058778273134159065
18,CORAL,3.3913618250572326,0.05624853798837148
19,CRICKET,1.9913830203742193,0.17334079789588297
20,CUCUMBER,3.341880820920039,0.06304849989724826
21,DANGER,1911.0198677621581,6.169750221829418e-08
22,DISGUST,2.406902494347589,0.12194051128875805
23,ECOLOGY,2.916494284265445,0.10050450037736258
24,EGG,0.689670090046608,0.518003061429958
25,EGGPLANT,11.797498426814318,0.0030543024950081543
26,ELMO,5.626756406940122,0.020747587285723457
27,EMERALD,2.1738637352283843,0.15059837474963955
28,EPI (Y BLAS),1.463082633966003,0.2874014048606819
29,FEMINISM,1.5237595556840735,0.25721604419834665
30,FIRE,1.3623158440960481,0.285992929915154
31,FLAMINGO,0.04092379040474225,0.9600621826719621
32,FLASH,3.176934698571366,0.07811270081583466
33,FOX,11.956410837089052,0.0011323474332116668
34,FROG,1.9462277481673778,0.17334255873445714
35,GOLD,32.096584904997535,1.158593213923531e-06
36,GRAPE,3.2477806435623315,0.07459030511243714
37,GRASS,5.8701599499503505,0.010349743186595983
38,GRINCH,3.1243542482687814,0.08828883022116052
39,GRIZZLY,4.510257139740622,0.029262887810858063
40,HAPINESS,50.04964429407658,7.81884519240883e-07
41,HOPE,2.5416078078636786,0.10821467828834563
42,HULK,7.060735903272173,0.009399432109089445
43,HURRICANE,56.1210462847684,1.0863091126633861e-07
44,JADE,1.1935916468204857,0.32872915107324197
45,KIWI,0.9176901553274561,0.4306147589649295
46,LADYBUG,1.3888046833328505,0.28402985667244174
47,LAPIS LAZULI,1.9607592037461867,0.16820816201002842
48,LAVENDER,1.1647344500195624,0.3333103599631392
49,LEMON,0.22922241519584338,0.7980776975172539
50,LIME,1.7698822732097417,0.215572924229828
51,LONELINESS,0.41150565382272575,0.670987575661157
52,MALLOW,2.1446964877430124,0.16349837119442534
53,MINT,11.107837955033537,0.0005695901699980244
54,MOSS,8.14710893671655,0.005819709623474001
55,MUD,1.6056766732706242,0.24103513212513694
56,PEACE,9.782943387914136,0.0021958838911991796
57,PEACH,15.166263199018635,0.000249810115117044
58,PEARL,0.2754015450983146,0.7621000258460797
59,PETER PAN,5.724519021845008,0.019772984265285176
60,PIG,0.7657214271926489,0.48038267549557623
61,PIKACHU,1.505052942925888,0.26828466173812815
62,POND,3.092403719299525,0.07969083933010901
63,POPPY,1.3184191380600125,0.29218915943048773
64,PUMPKIN,4.101345936563188,0.04391693629428428
65,RAGE,2.6636905861177653,0.10234666851172614
66,RELAX,0.6325109496638018,0.5448469828099827
67,RUBY,2.1825449599125113,0.14332622731115308
68,SADNESS,1.2657449589404501,0.33296660859047034
69,SALMON,0.8720037395037996,0.43826710297905236
70,SAND,5.955454195300851,0.010959508110951033
71,SAPPHIRE,1.7542487598039969,0.21160831193197327
72,SEA,26.87551247831573,2.4079928264697514e-05
73,SHAME,4.991936837529311,0.020669439119183175
74,SHRECK,0.6806289789356608,0.5305607330466364
75,SIMPSON,2.1214760190714506,0.1543997925063858
76,SKIN,4.302036467251672,0.04166343428697428
77,SKY,21.593608288285647,5.269914104055751e-05
78,SMURF,1.1879923946312554,0.34108926728145605
79,SONIC,8.506164860343958,0.002508785083172538
80,SPRING,3.8573545544749157,0.048397099712906955
81,STITCH,3.6208887351809618,0.0656280986093869
82,SUBMARINE,5.18596402302378,0.02849963724316651
83,SUMMER,2.762930967064494,0.09316986324165621
84,SUNFLOWER,3.6143086739202532,0.05647438305264918
85,SUNRISE,3.112780056682331,0.07048604824021698
86,SUNSET,10.363278330511763,0.0036511571748047977
87,THUNDERBOLT,6.534670844471582,0.009898112623457411
88,TIGER,10.740851671282083,0.0012738583460120134
89,TILE,33.91575903733305,7.845694648400681e-07
90,TOAD,90.96629525962568,9.50932055321374e-09
91,TOMATO,1.0117548679342194,0.4014687885222815
92,TOXIC,3.7197142622810633,0.05533329281432586
93,TRACTOR,20.640654861335374,0.00028197100836435673
94,WHALE,0.17973574260898134,0.8368950300994444
95,WHEAT,9.083627060042378,0.002958001022953294
96,WINTER,2.0549927431750303,0.16769075594971639
97,WITCHCRAFT,41.38719971009174,2.3041484048524907e-06
98,WOOD,2.422274138855791,0.11868607026377254
99,ZUCCHINI,3.4587178298304364,0.060164062966652665
