word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,12,219,133,119,0.2036139965057373
SALMON,G,12,223,145,126,0.20319169759750366
SALMON,F,11,223,134,112,0.20294731855392456
SALMON,G,13,221,143,129,0.2028387188911438
SALMON,G,11,225,146,123,0.2027927041053772
WHALE,I,18,191,193,194,0.20269915461540222
WHALE,N,30,69,114,155,0.20066942274570465
WHALE,M,29,72,113,155,0.19916871190071106
WHALE,N,29,75,128,163,0.19591261446475983
WHALE,M,30,67,101,147,0.19575896859169006
GRIZZLY,A,1,82,48,27,0.1868395209312439
GRIZZLY,A,2,90,47,30,0.17985209822654724
GRIZZLY,I,18,191,193,194,0.17959235608577728
GRIZZLY,P,10,65,118,66,0.17848381400108337
GRIZZLY,B,1,115,71,37,0.17819148302078247
FLAMINGO,E,14,217,110,120,0.20372888445854187
FLAMINGO,B,16,207,57,93,0.2026265561580658
FLAMINGO,C,15,207,67,99,0.2022227644920349
FLAMINGO,D,14,207,88,104,0.20125357806682587
FLAMINGO,B,17,207,55,102,0.20030145347118378
FOX,E,2,217,140,41,0.21407055854797363
FOX,E,3,223,136,44,0.21348249912261963
FOX,F,3,228,158,50,0.2134428769350052
FOX,F,4,230,160,63,0.21338409185409546
FOX,E,4,218,131,42,0.2132319211959839
CRICKET,P,10,65,118,66,0.15636150538921356
CRICKET,P,11,63,120,66,0.15601572394371033
CRICKET,P,12,67,127,70,0.15518569946289062
CRICKET,P,9,70,126,68,0.15518081188201904
CRICKET,O,14,77,150,66,0.1544298529624939
CANARY,J,3,239,213,61,0.2423897683620453
CANARY,J,2,235,211,51,0.24233324825763702
CANARY,K,2,234,219,67,0.24130575358867645
CANARY,L,1,229,216,45,0.24127916991710663
CANARY,K,3,234,219,71,0.24096223711967468
PIG,I,18,191,193,194,0.17848005890846252
PIG,E,14,217,110,120,0.17670926451683044
PIG,G,15,222,144,155,0.17663076519966125
PIG,F,15,218,127,144,0.17653103172779083
PIG,E,15,214,104,131,0.17584428191184998
TIGER,I,18,191,193,194,0.19153892993927002
TIGER,E,1,203,141,42,0.18542391061782837
TIGER,E,2,217,140,41,0.1844889223575592
TIGER,F,3,228,158,50,0.1836947649717331
TIGER,P,10,65,118,66,0.18339622020721436
LADYBUG,A,15,205,59,66,0.15819033980369568
