,Words,Stat,p-value
0,AMBER,3.997545351605785,0.04956010571422109
1,AMETHYST,1.39162469442405,0.2772005344078462
2,APPLE,9.131721063799944,0.0028968189477666106
3,ASPARAGUS,14.080812179866918,0.0012355654013670447
4,AUTUMN,2.151275649196584,0.16708306347111412
5,AXOLOTL,0.43528159458500065,0.6550009103496821
6,BANANA,0.9113767812334409,0.4245431142864371
7,BARBIE,1.2627818549942706,0.31789924977512873
8,BASIL,4.521873138535652,0.023975828040691982
9,BEET,1.9190699386244323,0.1834211001456082
10,BLAS (Y EPI),2.7768246913641352,0.11500526065779448
11,BLOOD,4.214436838061493,0.03386353650867002
12,BRICK,0.2142345412617534,0.8093051216819961
13,BRUSH,9.967835569687757,0.0033894738333757335
14,CANARY,1.1712578954234603,0.34582172941844724
15,CARNATION,0.34787697389822725,0.7103746132340951
16,COCONUT,53.25773739056671,8.461206268961519e-08
17,COOKIE MONSTER,9.275825214126836,0.0052704040533059215
18,CORAL,3.3238153220218414,0.05908482459996889
19,CRICKET,12.774217389898451,0.0006966123184001249
20,CUCUMBER,32.82822310219369,3.3181141514404544e-06
21,DANGER,114.76167524693578,6.636816127125744e-05
22,DISGUST,2.200317543195592,0.14315626566156858
23,ECOLOGY,10.114195759202113,0.0039620942944177395
24,EGG,5.282378744218663,0.019530298578357974
25,EGGPLANT,0.052813963422293574,0.9488482072740878
26,ELMO,3.9665330927722002,0.050459683991942006
27,EMERALD,19.3695301305999,9.289012362057036e-05
28,EPI (Y BLAS),1.0174018215156229,0.4039470424484298
29,FEMINISM,3.424950785177516,0.06656301046411506
30,FIRE,0.9086290254383016,0.42415103513680164
31,FLAMINGO,3.6332314128766514,0.06516030526696304
32,FLASH,2.8379326750071074,0.09790466120574193
33,FOX,4.7776230390206225,0.027830601158894352
34,FROG,6.577105135422033,0.007662282870035009
35,GOLD,28.210462899539674,2.8326761807306866e-06
36,GRAPE,9.416345292081918,0.0034755130882984098
37,GRASS,30.414617609562704,1.1956952578051627e-06
38,GRINCH,13.273396864882084,0.0015337465175159215
39,GRIZZLY,0.07543502956481338,0.9276895012324876
40,HAPINESS,82.38831838758706,4.134722164650384e-08
41,HOPE,25.83965280502662,7.0112543059108745e-06
42,HULK,59.86719049371368,5.71337415600226e-07
43,HURRICANE,3.420958233360996,0.05970406193754174
44,JADE,2.0388390367188824,0.1626492142763667
45,KIWI,0.8052961870670653,0.4739451786541822
46,LADYBUG,0.24391492527622202,0.7870607926590775
47,LAPIS LAZULI,1.9614875127207074,0.1681066475139894
48,LAVENDER,2.2987330799286463,0.12762571126397282
49,LEMON,6.648959646779488,0.009332315908456845
50,LIME,0.7938012236593965,0.4764015527580656
51,LONELINESS,2.3570215741254423,0.13383409041524685
52,MALLOW,6.063169695734885,0.016790817707113548
53,MINT,15.99522940360787,7.096814545548558e-05
54,MOSS,60.318521713963385,5.484013064771531e-07
55,MUD,72.35809297174254,2.0156000246629446e-07
56,PEACE,0.11429941427210617,0.8928146474165193
57,PEACH,12.324923938589885,0.0006821391917456454
58,PEARL,0.5449421948123724,0.5882446232930693
59,PETER PAN,93.8787228768466,1.2214650080277778e-07
60,PIG,0.4553152011610281,0.6417611450107743
61,PIKACHU,2.7438833578470754,0.11221631619578776
62,POND,20.733817666073424,9.030907678275746e-05
63,POPPY,3.4676326867557754,0.05322633890734907
64,PUMPKIN,15.150960639176665,0.0005211070155645148
65,RAGE,193.99233551438067,1.9099388737231493e-11
66,RELAX,1.6982363945622412,0.21635912921295353
67,RUBY,0.27788268747059586,0.7607602337940699
68,SADNESS,19.04822030925718,0.0009071735497586664
69,SALMON,0.3427325103364754,0.7152435557832271
70,SAND,9.577678914935037,0.0016381293321097168
71,SAPPHIRE,0.7795294891479132,0.4789225709401024
72,SEA,26.666730774093008,2.5082423285915922e-05
73,SHAME,1.0155365233967317,0.3844034519623801
74,SHRECK,2.8696983501448967,0.10862570488747558
75,SIMPSON,0.746660658322118,0.49076495682156884
76,SKIN,2.4517953701070434,0.1316546543005872
77,SKY,4.352799110575223,0.03388173247189752
78,SMURF,0.9567336705752751,0.4139272245813681
79,SONIC,131.99891310479464,1.7588930312228968e-11
80,SPRING,1.9774169843452953,0.17791959105574384
81,STITCH,16.356189972865252,0.0007034466154899333
82,SUBMARINE,1.7108874919145536,0.22958855361550534
83,SUMMER,56.44516356651475,5.6389371394516274e-08
84,SUNFLOWER,1.1078854184765572,0.3595183467048837
85,SUNRISE,2.7101415950680083,0.09514074195013011
86,SUNSET,9.817402090517549,0.004375117192572886
87,THUNDERBOLT,95.73442490823365,6.818271947039989e-09
88,TIGER,4.678946700566224,0.026356424976142323
89,TILE,4.743719411941368,0.022143387684486537
90,TOAD,31.825384440315336,6.192641332725124e-06
91,TOMATO,0.0034104361025472296,0.9965966601212463
92,TOXIC,0.8476917544024154,0.4525246977847397
93,TRACTOR,110.3131591639626,1.5326947500060584e-07
94,WHALE,11.531846518520581,0.0005260644011421123
95,WHEAT,19.895542289022888,8.089545891076799e-05
96,WINTER,8.910452824144235,0.0036570989918588426
97,WITCHCRAFT,27.552594878088048,2.113296542372023e-05
98,WOOD,1.0076851312414261,0.38585590253218893
99,ZUCCHINI,55.900949690325824,2.113906928391529e-07
