word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,F,11,223,134,112,0.2691371440887451
SALMON,G,11,225,146,123,0.2691344618797302
SALMON,G,12,223,145,126,0.26880311965942383
SALMON,F,12,219,133,119,0.26820290088653564
SALMON,E,11,211,117,103,0.2681320905685425
WHALE,I,19,164,176,185,0.2578379511833191
WHALE,I,20,148,161,177,0.2549074590206146
WHALE,J,22,123,155,177,0.25088074803352356
WHALE,I,22,124,140,165,0.2497749924659729
WHALE,J,23,112,144,171,0.24942587316036224
GRIZZLY,B,4,150,70,45,0.24282419681549072
GRIZZLY,B,2,128,70,41,0.24281281232833862
GRIZZLY,C,3,164,89,46,0.2427954375743866
GRIZZLY,B,1,115,71,37,0.24247241020202637
GRIZZLY,C,2,150,87,44,0.24238112568855286
FLAMINGO,E,14,217,110,120,0.2633734345436096
FLAMINGO,E,15,214,104,131,0.2633236348628998
FLAMINGO,F,15,218,127,144,0.26267802715301514
FLAMINGO,G,15,222,144,155,0.26210781931877136
FLAMINGO,D,15,206,85,112,0.2618127763271332
FOX,C,5,180,80,46,0.24590609967708588
FOX,C,6,188,76,47,0.24523663520812988
FOX,G,10,227,147,113,0.24501334130764008
FOX,F,9,219,128,88,0.24494190514087677
FOX,G,9,225,149,105,0.24490109086036682
CRICKET,I,15,204,200,166,0.2330194115638733
CRICKET,I,16,194,198,180,0.23298630118370056
CRICKET,I,17,192,196,189,0.2326492965221405
CRICKET,J,15,195,203,165,0.23059441149234772
CRICKET,I,14,209,200,158,0.23045068979263306
CANARY,J,3,239,213,61,0.2706856429576874
CANARY,J,2,235,211,51,0.2702529728412628
CANARY,J,4,237,216,75,0.2700561583042145
CANARY,J,5,238,217,81,0.2700115144252777
CANARY,J,6,240,218,93,0.26987266540527344
PIG,G,15,222,144,155,0.23818306624889374
PIG,F,15,218,127,144,0.23723776638507843
PIG,H,15,218,165,158,0.23720693588256836
PIG,E,15,214,104,131,0.23668739199638367
PIG,D,16,207,85,124,0.23553895950317383
