word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,H,21,142,131,158,0.16981320083141327
SALMON,H,20,154,142,164,0.1697501242160797
SALMON,G,17,192,152,164,0.1683441400527954
SALMON,G,18,185,148,162,0.16815994679927826
SALMON,H,19,168,152,171,0.16778704524040222
WHALE,H,22,125,121,154,0.18204432725906372
WHALE,H,21,142,131,158,0.18168486654758453
WHALE,I,24,103,115,151,0.18143483996391296
WHALE,I,23,115,126,158,0.1814056932926178
WHALE,H,23,112,109,149,0.18117235600948334
GRIZZLY,H,22,125,121,154,0.16257259249687195
GRIZZLY,H,21,142,131,158,0.16120374202728271
GRIZZLY,H,23,112,109,149,0.1601080298423767
GRIZZLY,I,23,115,126,158,0.16006603837013245
GRIZZLY,I,22,124,140,165,0.1589440256357193
FLAMINGO,F,18,178,127,153,0.1776885688304901
FLAMINGO,F,17,189,129,153,0.17758135497570038
FLAMINGO,G,16,206,150,162,0.17663222551345825
FLAMINGO,F,19,166,119,148,0.17649099230766296
FLAMINGO,F,16,202,130,150,0.17631836235523224
FOX,H,21,142,131,158,0.18276438117027283
FOX,H,22,125,121,154,0.18267571926116943
FOX,H,20,154,142,164,0.18071210384368896
FOX,H,23,112,109,149,0.17883482575416565
FOX,I,23,115,126,158,0.17864881455898285
CRICKET,H,22,125,121,154,0.16971303522586823
CRICKET,P,4,102,139,65,0.1684354543685913
CRICKET,H,23,112,109,149,0.16828948259353638
CRICKET,H,21,142,131,158,0.16827672719955444
CRICKET,P,3,107,142,64,0.1681220829486847
CANARY,L,1,229,216,45,0.1825055181980133
CANARY,L,2,228,217,53,0.18224409222602844
CANARY,L,3,227,217,60,0.18189266324043274
CANARY,M,1,211,207,48,0.1818031519651413
CANARY,M,2,208,206,51,0.18167822062969208
PIG,H,21,142,131,158,0.17346704006195068
PIG,G,19,167,138,159,0.17335353791713715
PIG,H,22,125,121,154,0.1728290170431137
PIG,F,19,166,119,148,0.17210328578948975
PIG,G,18,185,148,162,0.17160502076148987
TIGER,F,2,230,162,42,0.16560637950897217
TIGER,G,3,235,169,52,0.16557998955249786
TIGER,F,1,220,158,32,0.16548344492912292
TIGER,G,2,233,174,50,0.16543322801589966
TIGER,G,1,221,168,33,0.16537927091121674
LADYBUG,H,21,142,131,158,0.1727328598499298
LADYBUG,H,20,154,142,164,0.17157107591629028
LADYBUG,G,19,167,138,159,0.17103995382785797
LADYBUG,H,22,125,121,154,0.17093272507190704
LADYBUG,F,19,166,119,148,0.16934865713119507
FROG,N,9,116,167,70,0.18184636533260345
FROG,O,6,111,158,69,0.18177083134651184
FROG,N,10,106,159,69,0.18176978826522827
FROG,O,7,106,155,70,0.1816868633031845
FROG,M,12,124,172,97,0.18145877122879028
AXOLOTL,G,19,167,138,159,0.1786830574274063
AXOLOTL,H,21,142,131,158,0.17512458562850952
AXOLOTL,H,20,154,142,164,0.17504169046878815
AXOLOTL,H,19,168,152,171,0.17478111386299133
AXOLOTL,G,18,185,148,162,0.17387062311172485
TOAD,H,21,142,131,158,0.16923560202121735
TOAD,H,22,125,121,154,0.16843268275260925
TOAD,H,20,154,142,164,0.1664208024740219
TOAD,G,19,167,138,159,0.16561554372310638
TOAD,H,23,112,109,149,0.16480976343154907
LEMON,K,10,194,204,116,0.179513081908226
LEMON,K,11,185,201,122,0.17927265167236328
LEMON,L,7,201,207,90,0.17924566566944122
LEMON,K,8,214,213,110,0.17910215258598328
LEMON,L,8,185,199,94,0.1790783703327179
LIME,N,7,130,175,68,0.19317510724067688
LIME,N,8,126,173,68,0.19317340850830078
LIME,O,5,126,166,66,0.19255542755126953
LIME,N,9,116,167,70,0.1924552619457245
LIME,O,4,132,168,64,0.19210821390151978
KIWI,L,13,145,178,120,0.18158778548240662
KIWI,L,15,147,185,134,0.1811707466840744
KIWI,L,14,141,180,124,0.1810171902179718
KIWI,L,16,146,186,143,0.18090185523033142
KIWI,L,12,152,186,114,0.18035323917865753
PUMPKIN,G,7,230,158,91,0.1837465465068817
PUMPKIN,F,6,229,154,76,0.18371540307998657
PUMPKIN,G,6,228,159,82,0.18357032537460327
PUMPKIN,F,7,223,142,80,0.18329022824764252
PUMPKIN,F,5,230,158,69,0.18318510055541992
ZUCCHINI,L,16,146,186,143,0.17362728714942932
ZUCCHINI,L,17,148,189,154,0.17316120862960815
ZUCCHINI,L,15,147,185,134,0.1723230630159378
ZUCCHINI,L,13,145,178,120,0.17201140522956848
ZUCCHINI,L,14,141,180,124,0.1715821623802185
GRAPE,G,21,142,115,151,0.19272616505622864
GRAPE,G,20,152,123,154,0.1923736184835434
GRAPE,F,21,140,104,143,0.1921282261610031
GRAPE,G,22,127,106,145,0.19199085235595703
GRAPE,F,20,152,110,146,0.19181498885154724
CUCUMBER,L,16,146,186,143,0.17800217866897583
CUCUMBER,L,17,148,189,154,0.17762848734855652
CUCUMBER,L,15,147,185,134,0.17643952369689941
CUCUMBER,M,19,130,182,141,0.1764145791530609
CUCUMBER,M,18,128,180,138,0.17639510333538055
COCONUT,H,21,142,131,158,0.17274215817451477
COCONUT,H,22,125,121,154,0.17128995060920715
COCONUT,H,20,154,142,164,0.17089472711086273
COCONUT,I,21,137,147,169,0.1681971549987793
COCONUT,H,19,168,152,171,0.1665882170200348
EGGPLANT,H,20,154,142,164,0.1811111569404602
EGGPLANT,H,21,142,131,158,0.18073469400405884
EGGPLANT,H,19,168,152,171,0.1800532341003418
EGGPLANT,G,20,152,123,154,0.1800236701965332
EGGPLANT,G,21,142,115,151,0.17952758073806763
ASPARAGUS,L,17,148,189,154,0.16818223893642426
ASPARAGUS,L,16,146,186,143,0.1680174171924591
ASPARAGUS,K,16,170,198,166,0.16764920949935913
ASPARAGUS,K,15,163,188,147,0.1672191321849823
ASPARAGUS,L,15,147,185,134,0.16668972373008728
PEACH,F,13,213,130,122,0.19736096262931824
PEACH,F,14,217,130,129,0.19731928408145905
PEACH,G,14,220,142,135,0.19722995162010193
PEACH,G,13,221,143,129,0.1971263587474823
PEACH,F,12,219,133,119,0.19674301147460938
APPLE,L,16,146,186,143,0.17843523621559143
APPLE,H,21,142,131,158,0.17820250988006592
APPLE,L,15,147,185,134,0.17813420295715332
APPLE,L,14,141,180,124,0.17780232429504395
APPLE,L,13,145,178,120,0.1774110049009323
EGG,H,21,142,131,158,0.1880292296409607
EGG,H,20,154,142,164,0.1873120665550232
EGG,H,22,125,121,154,0.18592306971549988
EGG,H,19,168,152,171,0.18410256505012512
EGG,I,21,137,147,169,0.18328207731246948
BANANA,M,4,202,207,62,0.18577681481838226
BANANA,K,4,235,222,79,0.1857227087020874
BANANA,L,4,223,217,68,0.1856662929058075
BANANA,K,5,230,221,85,0.1856245994567871
BANANA,M,5,194,204,68,0.18557366728782654
TOMATO,C,10,213,78,66,0.1761433184146881
TOMATO,C,9,210,75,50,0.1760183572769165
TOMATO,C,11,211,78,73,0.17584988474845886
TOMATO,C,8,205,72,45,0.17572039365768433
TOMATO,B,11,207,67,54,0.17569807171821594
