,Words,Stat,p-value
0,AMBER,0.0896946877014443,0.9148719515256125
1,AMETHYST,5.0135131406939175,0.020396866637628408
2,APPLE,18.46817914083776,0.00011849526817153677
3,ASPARAGUS,1.4052827784705468,0.28984010853773734
4,AUTUMN,13.711960736378723,0.0013622397039287915
5,AXOLOTL,3.640867191166063,0.05141229575956274
6,BANANA,2.7118938737417695,0.10105522745663087
7,BARBIE,24.691762187826644,5.581829358503043e-05
8,BASIL,3.9523136701406423,0.03577154406675087
9,BEET,0.8257653413863246,0.458140337266131
10,BLAS (Y EPI),3.0386689225326062,0.09809125561573473
11,BLOOD,2.0383528906421593,0.1627122402984451
12,BRICK,2.166070758076158,0.1452188371631511
13,BRUSH,28.986137758935158,4.1204981105047445e-05
14,CANARY,15.037588797296864,0.0007128083758106696
15,CARNATION,0.5352078807710899,0.5937025369395275
16,COCONUT,61.683896723180624,3.0175916432284566e-08
17,COOKIE MONSTER,7.5146908676408115,0.010180037786956975
18,CORAL,0.06250850987175494,0.9396080706510612
19,CRICKET,1.5568952055388612,0.24517308225206058
20,CUCUMBER,6.679329542336925,0.008424453836195611
21,DANGER,1.1058245497959878,0.40025663839626124
22,DISGUST,1.3486279501103278,0.2875655685017341
23,ECOLOGY,2.93178053670526,0.09953975680430738
24,EGG,7.053676083937413,0.007606006701412205
25,EGGPLANT,0.09094910255527264,0.9138926005093044
26,ELMO,1.5183256174968163,0.2616438117585246
27,EMERALD,2.1947121226274486,0.14822427163163898
28,EPI (Y BLAS),4.283300477864994,0.05437838464490874
29,FEMINISM,4.053979212826595,0.045173069784775755
30,FIRE,2.269762144457439,0.13766690439304374
31,FLAMINGO,6.203829804440503,0.017701803158889473
32,FLASH,1.8560007693692966,0.1984716126208501
33,FOX,129.34494439326596,2.6251504303687057e-09
34,FROG,2.7606732973139767,0.09157223634893619
35,GOLD,10.157720121957057,0.0011145207699314597
36,GRAPE,3.5225585995506212,0.06257279853313125
37,GRASS,2.9200615116482767,0.07837880834428268
38,GRINCH,0.45620162978028067,0.6462461470780021
39,GRIZZLY,347.2936205516073,2.7422508708241367e-13
40,HAPINESS,380.87915548822315,2.8910207561239076e-12
41,HOPE,43.22684885897909,2.1551359796756486e-07
42,HULK,6.6499464350764335,0.011386110207016964
43,HURRICANE,4.53353301185105,0.028841033738280952
44,JADE,1.534651901274162,0.24562985911701973
45,KIWI,0.8428649030694589,0.45890289521866867
46,LADYBUG,2772.168234186841,1.1102230246251565e-16
47,LAPIS LAZULI,6.432633993783503,0.0073560088677230295
48,LAVENDER,1.1651346129824804,0.33319157165039504
49,LEMON,0.7257942147568393,0.5012845595980848
50,LIME,2.3285867471352018,0.14346179706774387
51,LONELINESS,0.7865108188859956,0.4759478033074649
52,MALLOW,0.22100149274161449,0.8051901551819636
53,MINT,6.445324919924083,0.006911549374388648
54,MOSS,12.407343016762663,0.0011993912331148548
55,MUD,7.491944700525242,0.0077349976740614945
56,PEACE,2.7343295328052153,0.0994360744607018
57,PEACH,11.329563244513349,0.0010038241183669694
58,PEARL,0.754991957308315,0.4829465861344433
59,PETER PAN,53.24697986770042,2.2007681680369373e-06
60,PIG,20.846472912800767,2.6658494399756094e-05
61,PIKACHU,11.862591672561779,0.002292072777493548
62,POND,7.526715519783181,0.006740977686511718
63,POPPY,15.568499466744548,0.000118788635058098
64,PUMPKIN,3.3853254849748495,0.06826710253760304
65,RAGE,0.25406492727519503,0.7789125953718788
66,RELAX,1.4198986102362205,0.27243323729545343
67,RUBY,9.850250931759284,0.0014424600886259187
68,SADNESS,0.9692277581972861,0.41984052378465364
69,SALMON,5.035167197337241,0.021231637588870478
70,SAND,8.399673474239458,0.002904659328895165
71,SAPPHIRE,3.998029887428962,0.04433391524109864
72,SEA,1.2127163866729334,0.32891900444970323
73,SHAME,11.651387920530665,0.000754352034367578
74,SHRECK,3.095768228982719,0.09481643918956806
75,SIMPSON,3.8794318425171297,0.043858637243112786
76,SKIN,1.0472443044828479,0.3834182549969801
77,SKY,21.926049680030125,4.860292267250266e-05
78,SMURF,1.573408253953618,0.2506321649177673
79,SONIC,30.868423348358885,1.5223728631053035e-06
80,SPRING,3.2694053844437683,0.07076100063273771
81,STITCH,116.86836204686082,1.1625058615738482e-07
82,SUBMARINE,8.861483212691276,0.006106628566561967
83,SUMMER,126.82644753936296,1.5364520766780743e-10
84,SUNFLOWER,19.860163357029915,0.00011162826782684654
85,SUNRISE,7.1421545708598035,0.005604540307430739
86,SUNSET,39.11634929430912,1.8700455650555448e-05
87,THUNDERBOLT,20.93454695351021,6.204329495429484e-05
88,TIGER,3.222160898749252,0.06852390039327261
89,TILE,24.461263742782105,7.367184279072347e-06
90,TOAD,20.13517599444796,7.602523675309669e-05
91,TOMATO,1.2627948900089465,0.3285542438094422
92,TOXIC,1.6426952468722305,0.2341144650254594
93,TRACTOR,204.1836717625005,7.8020928606648e-09
94,WHALE,5.177975095578924,0.016034146916796166
95,WHEAT,21.823404883226797,4.9827523631584825e-05
96,WINTER,10.713164419122682,0.0017817310844220335
97,WITCHCRAFT,8.03312967592389,0.005353062964572386
98,WOOD,3.6982421986314313,0.046401735652149556
99,ZUCCHINI,8.648595720317905,0.0035839231199152888
