word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,I,17,192,196,189,0.14485777914524078
SALMON,G,14,220,142,135,0.14484663307666779
SALMON,F,14,217,130,129,0.14481978118419647
SALMON,I,23,115,126,158,0.14481313526630402
SALMON,G,13,221,143,129,0.14431153237819672
WHALE,I,21,137,147,169,0.16724620759487152
WHALE,I,30,48,65,124,0.16657724976539612
WHALE,I,20,148,161,177,0.16656993329524994
WHALE,J,19,165,194,195,0.1664099395275116
WHALE,J,20,146,185,193,0.16637343168258667
GRIZZLY,I,21,137,147,169,0.15576232969760895
GRIZZLY,J,19,165,194,195,0.15561313927173615
GRIZZLY,H,22,125,121,154,0.15520453453063965
GRIZZLY,I,23,115,126,158,0.15505319833755493
GRIZZLY,I,22,124,140,165,0.15496252477169037
FLAMINGO,F,15,218,127,144,0.16103124618530273
FLAMINGO,I,18,191,193,194,0.16051968932151794
FLAMINGO,G,15,222,144,155,0.1605023294687271
FLAMINGO,E,15,214,104,131,0.15952904522418976
FLAMINGO,E,14,217,110,120,0.15920551121234894
FOX,I,18,191,193,194,0.14878195524215698
FOX,I,17,192,196,189,0.14507731795310974
FOX,I,16,194,198,180,0.1444847732782364
FOX,I,15,204,200,166,0.1434820294380188
FOX,H,22,125,121,154,0.14262798428535461
CRICKET,P,5,96,142,67,0.1573096215724945
CRICKET,P,4,102,139,65,0.15719681978225708
CRICKET,O,8,97,147,69,0.15717598795890808
CRICKET,P,3,107,142,64,0.15716038644313812
CRICKET,P,6,88,138,67,0.15715327858924866
CANARY,L,2,228,217,53,0.19233863055706024
CANARY,L,3,227,217,60,0.19232778251171112
CANARY,K,2,234,219,67,0.19224615395069122
CANARY,L,4,223,217,68,0.19222348928451538
CANARY,L,1,229,216,45,0.19221580028533936
PIG,H,22,125,121,154,0.16450993716716766
PIG,I,21,137,147,169,0.16424429416656494
PIG,I,23,115,126,158,0.16315901279449463
PIG,I,22,124,140,165,0.1629265993833542
PIG,I,20,148,161,177,0.1628914773464203
TIGER,E,2,217,140,41,0.15233168005943298
TIGER,E,3,223,136,44,0.1522659808397293
TIGER,E,4,218,131,42,0.15223442018032074
TIGER,F,1,220,158,32,0.15221333503723145
TIGER,F,3,228,158,50,0.1521819829940796
LADYBUG,O,14,77,150,66,0.1563836634159088
LADYBUG,P,17,81,153,68,0.1563129425048828
LADYBUG,P,16,78,152,70,0.15609896183013916
LADYBUG,P,15,70,145,67,0.15582193434238434
LADYBUG,O,15,81,153,73,0.15579797327518463
FROG,L,14,141,180,124,0.1621263027191162
FROG,L,15,147,185,134,0.16174714267253876
FROG,L,13,145,178,120,0.16167420148849487
FROG,M,13,122,170,101,0.1616164594888687
FROG,M,14,116,169,105,0.16161063313484192
AXOLOTL,J,19,165,194,195,0.16124720871448517
AXOLOTL,H,22,125,121,154,0.15924614667892456
AXOLOTL,I,23,115,126,158,0.15874339640140533
AXOLOTL,I,22,124,140,165,0.15860135853290558
AXOLOTL,I,21,137,147,169,0.15832781791687012
TOAD,H,22,125,121,154,0.1526888906955719
TOAD,H,23,112,109,149,0.1502632200717926
TOAD,J,12,203,205,152,0.15019476413726807
TOAD,I,14,209,200,158,0.1499457061290741
TOAD,J,13,197,200,155,0.1496582180261612
LEMON,L,2,228,217,53,0.18205156922340393
LEMON,M,7,171,194,77,0.18199637532234192
LEMON,L,3,227,217,60,0.18199202418327332
LEMON,L,1,229,216,45,0.18198271095752716
LEMON,K,4,235,222,79,0.18197672069072723
LIME,N,8,126,173,68,0.21850913763046265
LIME,N,9,116,167,70,0.21845270693302155
