,Words,Stat,p-value
0,AMBER,3.504399890420107,0.06644977811708885
1,AMETHYST,0.4707058280947726,0.6329408090525129
2,APPLE,104.65887306406078,3.805691650704546e-09
3,ASPARAGUS,5.245106058897951,0.027686479010801235
4,AUTUMN,102.96403606719873,2.1303671837724636e-07
5,AXOLOTL,1.4144221794920295,0.27369098337690567
6,BANANA,6.105126172771323,0.012405030432985686
7,BARBIE,20.210156368437193,0.00014390962142252217
8,BASIL,4.909168432853625,0.01842747322619742
9,BEET,4.388552216977449,0.033144132642886404
10,BLAS (Y EPI),2.719659360233833,0.11916017441117643
11,BLOOD,1.132399176277085,0.34676943138232663
12,BRICK,71.97477897202606,5.034456962427214e-09
13,BRUSH,24.600929968097148,8.705731505875836e-05
14,CANARY,26.358629775348657,6.371560047091496e-05
15,CARNATION,4.062352161788529,0.033068942181362804
16,COCONUT,223.38942679900794,2.0415891199832004e-12
17,COOKIE MONSTER,14.599042438422147,0.0010806268526195595
18,CORAL,0.9876465396715285,0.3917546007943876
19,CRICKET,55.57593494287235,2.1919712334117492e-07
20,CUCUMBER,18.436932535584813,9.090125568367302e-05
21,DANGER,81.19241461526333,0.00015421789713687684
22,DISGUST,1.9275907484038948,0.17781523608254357
23,ECOLOGY,0.4807569166505269,0.6318984915823067
24,EGG,16.682177382187337,0.000197121898010022
25,EGGPLANT,27.92043690331915,0.00013828383896141716
26,ELMO,231.13070142716322,1.0341982825678997e-09
27,EMERALD,2.0745490287578106,0.16252153670576286
28,EPI (Y BLAS),6.301729323187163,0.02272999952735444
29,FEMINISM,7.523632832394865,0.007626886360950658
30,FIRE,147.31688333067066,1.3782308627696693e-10
31,FLAMINGO,16.33830466834255,0.0007063996301872599
32,FLASH,2.138191897241767,0.1605979306290597
33,FOX,411.5998511907006,1.7603696278456482e-12
34,FROG,9.607139692053078,0.0016156122070987156
35,GOLD,59.3487501767889,1.1901655883050921e-08
36,GRAPE,1.2101240408400757,0.3320863958268834
37,GRASS,18.957510150457413,2.9751146442325016e-05
38,GRINCH,0.7553370630736002,0.49487578673029875
39,GRIZZLY,430.509764990154,5.651035195342047e-14
40,HAPINESS,351.0604215012717,4.865885472327136e-12
41,HOPE,11.526024602326414,0.0006862866216954533
42,HULK,20.967782886721633,0.00012129308544595041
43,HURRICANE,0.2789818625590968,0.7603941793105851
44,JADE,0.36383019133271804,0.7006130799003527
45,KIWI,25.746803931796183,0.00011372347704052821
46,LADYBUG,195.3603088397436,2.0003487755104743e-10
47,LAPIS LAZULI,12.76780294579299,0.0003058012388121867
48,LAVENDER,0.3793609732831762,0.6893664398467247
49,LEMON,16.240882178125847,0.00022486300862090136
50,LIME,2.5372617504274944,0.12413669388431581
51,LONELINESS,0.08374281521983953,0.920159776829051
52,MALLOW,1.2487249295283664,0.324545276663587
53,MINT,7.380030365689971,0.003976442355173249
54,MOSS,16.643714552979798,0.00034611583833521475
55,MUD,51.08136639811381,1.3487806871381736e-06
56,PEACE,3.9087482610900914,0.04479833178282555
57,PEACH,12.103058385978168,0.0007422167050108452
58,PEARL,2.9463408524202808,0.07560136384713634
59,PETER PAN,3.313366873991305,0.07476780369263958
60,PIG,8.937792486385742,0.0022252718533684046
61,PIKACHU,19.020479633056503,0.00039078838456119147
62,POND,17.126414358011747,0.0002274317076030874
63,POPPY,14.54144868417836,0.00017445520120917823
64,PUMPKIN,13.933272377635053,0.0007437652698195629
65,RAGE,116.23628172661194,7.399996171386647e-10
66,RELAX,0.45162834708794175,0.6449691259173602
67,RUBY,9.84610032104585,0.001445236344233214
68,SADNESS,21.507377376139907,0.0006047511951021711
69,SALMON,18.160194790732657,9.851670071214791e-05
70,SAND,13.923375458834762,0.0002624837749922726
71,SAPPHIRE,4.5429627204744225,0.03190658905756749
72,SEA,23.918853730599174,4.400563867434926e-05
73,SHAME,7.20700667958841,0.005866377446099413
74,SHRECK,2.038831707295368,0.18608252587275742
75,SIMPSON,3.884259522144806,0.043719337103167444
76,SKIN,7.323908913011592,0.009503475444182619
77,SKY,4.23311141270281,0.036491004265171045
78,SMURF,1.113843691855517,0.3626587787790966
79,SONIC,12.138135448097092,0.0004598143249945341
80,SPRING,9.342689563609841,0.0030552650219330957
81,STITCH,45.999395468489965,9.05784492410966e-06
82,SUBMARINE,8.819194454071349,0.006200638062338615
83,SUMMER,357.1687616846834,5.306866057708248e-14
84,SUNFLOWER,15.555716594915154,0.000355671605936525
85,SUNRISE,9.319690614280505,0.001851013185802941
86,SUNSET,37.485163484862504,2.2576860669532017e-05
87,THUNDERBOLT,19.869402815492336,8.144795435327534e-05
88,TIGER,668.4134743837152,2.220446049250313e-15
89,TILE,50.33968600571739,4.2469328054295374e-08
90,TOAD,248.1140448633252,1.1709744285326451e-11
91,TOMATO,7.1047783533856,0.01407960551704135
92,TOXIC,3.719818658786459,0.055329727039594934
93,TRACTOR,38.72773022688757,1.9546335394804437e-05
94,WHALE,4.833325282003245,0.02009454419930823
95,WHEAT,32.73757099941758,5.263529507359976e-06
96,WINTER,27.88789358436386,1.9828989665793273e-05
97,WITCHCRAFT,13.363595360799012,0.0007023615528209959
98,WOOD,158.32800028020176,1.0251244297876383e-11
99,ZUCCHINI,27.591312025007973,1.3896871327134797e-05
