word,coordenada_x,coordenada_y,R,G,B,distance
SALMON,H,21,142,131,158,0.17139291763305664
SALMON,H,20,154,142,164,0.17076513171195984
SALMON,H,15,218,165,158,0.17063124477863312
SALMON,G,17,192,152,164,0.1704229712486267
SALMON,G,19,167,138,159,0.17032071948051453
WHALE,L,21,122,182,175,0.1818278282880783
WHALE,K,20,144,191,190,0.18156403303146362
WHALE,K,21,130,186,197,0.18150252103805542
WHALE,L,22,112,177,179,0.1814747154712677
WHALE,K,24,102,146,172,0.18137766420841217
GRIZZLY,H,22,125,121,154,0.16160523891448975
GRIZZLY,H,23,112,109,149,0.16128656268119812
GRIZZLY,H,21,142,131,158,0.16092680394649506
GRIZZLY,H,24,105,103,145,0.15967866778373718
GRIZZLY,I,23,115,126,158,0.15957428514957428
FLAMINGO,F,17,189,129,153,0.1789085417985916
FLAMINGO,F,18,178,127,153,0.17864489555358887
FLAMINGO,G,16,206,150,162,0.17852920293807983
FLAMINGO,G,15,222,144,155,0.17807835340499878
FLAMINGO,F,16,202,130,150,0.17790071666240692
FOX,H,21,142,131,158,0.18426990509033203
FOX,H,22,125,121,154,0.18329866230487823
FOX,H,20,154,142,164,0.18289321660995483
FOX,H,23,112,109,149,0.18197564780712128
FOX,I,23,115,126,158,0.18124577403068542
CRICKET,H,23,112,109,149,0.1723957508802414
CRICKET,H,22,125,121,154,0.17229528725147247
CRICKET,H,21,142,131,158,0.17129100859165192
CRICKET,H,24,105,103,145,0.17127582430839539
CRICKET,I,23,115,126,158,0.17098218202590942
CANARY,L,1,229,216,45,0.18372011184692383
CANARY,L,2,228,217,53,0.18338745832443237
CANARY,M,1,211,207,48,0.18298178911209106
CANARY,L,3,227,217,60,0.182931587100029
CANARY,M,2,208,206,51,0.18280377984046936
PIG,F,19,166,119,148,0.17399592697620392
PIG,G,19,167,138,159,0.1739751696586609
PIG,F,18,178,127,153,0.17378512024879456
PIG,H,21,142,131,158,0.1735767126083374
PIG,G,18,185,148,162,0.17268335819244385
TIGER,H,21,142,131,158,0.16690799593925476
TIGER,H,22,125,121,154,0.16627274453639984
TIGER,H,20,154,142,164,0.16614580154418945
TIGER,H,23,112,109,149,0.16572052240371704
TIGER,G,20,152,123,154,0.1647733449935913
LADYBUG,H,21,142,131,158,0.1730760782957077
LADYBUG,H,20,154,142,164,0.1720913052558899
LADYBUG,G,19,167,138,159,0.17208348214626312
LADYBUG,H,22,125,121,154,0.1719563901424408
LADYBUG,G,20,152,123,154,0.1711987853050232
FROG,L,16,146,186,143,0.18152345716953278
FROG,L,17,148,189,154,0.18062493205070496
FROG,M,17,125,177,129,0.18046683073043823
FROG,M,18,128,180,138,0.18039163947105408
FROG,M,19,130,182,141,0.18026430904865265
AXOLOTL,G,19,167,138,159,0.179921954870224
AXOLOTL,G,18,185,148,162,0.1769910752773285
AXOLOTL,F,19,166,119,148,0.17652162909507751
AXOLOTL,G,20,152,123,154,0.17651225626468658
AXOLOTL,H,19,168,152,171,0.1762593388557434
TOAD,H,21,142,131,158,0.16991378366947174
TOAD,H,22,125,121,154,0.16901686787605286
TOAD,H,20,154,142,164,0.1674668788909912
TOAD,H,23,112,109,149,0.167313814163208
TOAD,G,19,167,138,159,0.166842520236969
LEMON,L,8,185,199,94,0.1807662844657898
LEMON,K,10,194,204,116,0.18072471022605896
LEMON,M,6,182,198,73,0.1807122528553009
LEMON,K,11,185,201,122,0.18051600456237793
LEMON,L,7,201,207,90,0.18035343289375305
LIME,N,7,130,175,68,0.19483336806297302
LIME,N,8,126,173,68,0.1947832703590393
LIME,O,5,126,166,66,0.19397634267807007
LIME,N,9,116,167,70,0.19384926557540894
LIME,O,4,132,168,64,0.19352130591869354
KIWI,L,16,146,186,143,0.18462270498275757
KIWI,L,15,147,185,134,0.18390923738479614
KIWI,L,13,145,178,120,0.1837386190891266
KIWI,L,14,141,180,124,0.18346497416496277
KIWI,L,17,148,189,154,0.18324528634548187
PUMPKIN,H,21,142,131,158,0.1830347776412964
PUMPKIN,H,22,125,121,154,0.18217068910598755
PUMPKIN,H,8,230,167,96,0.18147730827331543
PUMPKIN,H,7,230,170,89,0.18128928542137146
PUMPKIN,G,5,232,172,88,0.18115437030792236
ZUCCHINI,L,16,146,186,143,0.1764335185289383
