,Words,Stat,p-value
0,AMBER,0.12220738945491667,0.886149615289322
1,AMETHYST,0.8031455883573941,0.465175486975145
2,APPLE,3.0830459752846178,0.0777220143943339
3,ASPARAGUS,12.14782225471871,0.002107682335455885
4,AUTUMN,27.794489348486742,8.238452798392526e-05
5,AXOLOTL,2.8680871694071333,0.08814946412213032
6,BANANA,0.9170393576600305,0.4224221207153773
7,BARBIE,9.524237706284518,0.0033330804649488455
8,BASIL,1.4655481014677563,0.2547134001992618
9,BEET,1.0434002253558765,0.3781016106131053
10,BLAS (Y EPI),27.32871290862456,0.00015023477320552647
11,BLOOD,9.461286708174802,0.0019413773081670138
12,BRICK,0.28736055467551297,0.7538137843969266
13,BRUSH,31.3542231720488,2.859662988552447e-05
14,CANARY,3.5013216782961067,0.0665748566144132
15,CARNATION,1.7423833822357824,0.20064920463796176
16,COCONUT,14.84934901929296,0.00022580275899553026
17,COOKIE MONSTER,13.701189621006836,0.0013661671954293686
18,CORAL,3.3288091171257705,0.058869782000970594
19,CRICKET,5.361725881261505,0.018669492705667534
20,CUCUMBER,8.835808820798574,0.002913430476947143
21,DANGER,3.695296465245761,0.10344149476461917
22,DISGUST,0.8930638925963693,0.42885314137940056
23,ECOLOGY,11.90647413376201,0.0022624802654681586
24,EGG,3.7768625157966014,0.048779785132218145
25,EGGPLANT,4.349678780418226,0.04767410287719498
26,ELMO,2.7432328566370097,0.10800855798429887
27,EMERALD,12.30712562934748,0.0008234987088996393
28,EPI (Y BLAS),8.9083749346211,0.009220483178261851
29,FEMINISM,6.673250935722403,0.011261060644309207
30,FIRE,1.6905793603160986,0.2177147253811893
31,FLAMINGO,2.8061210234436,0.1078136181546403
32,FLASH,32.1085421667375,1.5232580809709795e-05
33,FOX,5.259701211168933,0.021201224761333792
34,FROG,6.166085197013225,0.009691480773680206
35,GOLD,22.462889572063656,1.2823162059083515e-05
36,GRAPE,3.346804876169242,0.0699726696190679
37,GRASS,1.482780808808058,0.2521199699537249
38,GRINCH,13.358762032232901,0.0014984182680067848
39,GRIZZLY,0.5893028511642384,0.5670564080974807
40,HAPINESS,846.4845253017191,1.709743457922741e-14
41,HOPE,14.229922001202855,0.00023387205537805933
42,HULK,18.6103687439994,0.00020999007896393973
43,HURRICANE,2.8920564609898416,0.08663597019006686
44,JADE,1.613678060007539,0.22993405577300252
45,KIWI,0.3970004775488762,0.6824765589097194
46,LADYBUG,286.5147908135913,1.7748247316262677e-11
47,LAPIS LAZULI,5.465904688506174,0.013332020942192546
48,LAVENDER,0.619351889760617,0.5488120221621295
49,LEMON,4.914780745864338,0.024159274903748473
50,LIME,0.1919211701181457,0.8280774729696085
51,LONELINESS,1.3698473119830907,0.2885066490208119
52,MALLOW,0.06691557219276682,0.9356518929114098
53,MINT,8.157963274562976,0.0025664255261651503
54,MOSS,16.484561742207063,0.00036107792719575205
55,MUD,1.6347412993703705,0.23558169814327623
56,PEACE,0.4356852525576362,0.6552986803737649
57,PEACH,11.902060520099488,0.0008018637181959054
58,PEARL,0.2567963126083888,0.7760374671519055
59,PETER PAN,104.12372028272978,7.120653300329849e-08
60,PIG,6.03945427553466,0.01043282607995677
61,PIKACHU,7.1334499973843215,0.011883065693656936
62,POND,35.727414912241606,5.218823357355795e-06
63,POPPY,1.6780038688985355,0.21467027866810384
64,PUMPKIN,1.929396298984342,0.1877010749208876
65,RAGE,11.702662979519673,0.0008664600170417147
66,RELAX,3.5347255872085985,0.05523927167719356
67,RUBY,4.079847211995105,0.03571250003908388
68,SADNESS,4.1833241207057625,0.0570848618067219
69,SALMON,0.4270953775343338,0.6600910564365272
70,SAND,11.005544911106243,0.0008584541925619193
71,SAPPHIRE,1.446422821734971,0.2709074603016609
72,SEA,3.1507858029599136,0.07660893411346203
73,SHAME,5.1405419768520915,0.018871815092717403
74,SHRECK,24.76975044914721,0.00021906385368575254
75,SIMPSON,5.550207461978728,0.015697440910062088
76,SKIN,1.4027807368377279,0.28665687402814133
77,SKY,29.526473302909444,9.493625237610992e-06
78,SMURF,1.112371260872732,0.363103160510471
79,SONIC,11.479958527492833,0.0006112528954373975
80,SPRING,0.5500098076130934,0.5897984550977659
81,STITCH,4.540853785116446,0.03952881728362234
82,SUBMARINE,4.826696796459001,0.03410454354778103
83,SUMMER,404.8070068604119,1.9872992140790302e-14
84,SUNFLOWER,2.527798027821841,0.11821018439429676
85,SUNRISE,3.1283516827549493,0.06968776341750027
86,SUNSET,12.193505680661849,0.002079830005158878
87,THUNDERBOLT,7.040569725597006,0.007655845599747413
88,TIGER,2.6650553489346147,0.10224365530409396
89,TILE,1.8013478214571619,0.1935891545464944
90,TOAD,91.89608286151964,8.90087392679817e-09
91,TOMATO,0.7995509809955482,0.4790495949962349
92,TOXIC,1.1688331304052422,0.34372939523785817
93,TRACTOR,17.207632169045322,0.0005785471308866752
94,WHALE,6.542377316966534,0.006891620373776219
95,WHEAT,27.574968500421754,1.394291976719586e-05
96,WINTER,27.165898537324853,2.2761477611932257e-05
97,WITCHCRAFT,24.002873632970736,4.3223696700844805e-05
98,WOOD,1.7609255522558813,0.2018251608813615
99,ZUCCHINI,16.58667621565896,0.00020277717236094617
